post_id;text;date;likes;owner_id;is_video;by_tag
Bj2WT5bl9IA;"Ура! ✨ Небольшой фотоотчёт с сегодняшнего мастер-класса 😊
~
Практически для всех участниц это был первый опыт ткачества. Девушки, вы отлично справились! 😍
Спасибо вам, что пришли! Надеюсь, вам тоже понравилось :) По-моему, у нас сложилась очень классная атмосфера на занятии 😍
~
Следующий МК очень скоро! 🙌 Следите за обновлениями или оставляйте заявки в Директе 🌷
~
Отправляюсь на заслуженный отдых, и всем желаю отлично отдохнуть 💙
#irenelovestextile_мк";1528644539;191;3263677838;False;irenelovestextile_мк
Bk4Z7qSHQtU;"Внесу немного структуры: ниже перечислю тэги, которыми пользуюсь в профиле 🙌
~
Портфолио:
#irenelovestextile_гобелены
#irenelovestextile_украшения
#фактурные_видео
~
Почитать:
#irenelovestextile_про_ирен - познакомиться со мной поближе
#irenelovestextile_про_гобелены - узнать процесс создания, разобраться, куда повесить гобелен, с чем сочетать, а также истории, связанные с гобеленами
#irenelovestextile_рекомендует - дружественные классные проекты
~
Разное:
#irenelovestextile_backstage - процесс и подготовка к ткачеству
#irenelovestextile_inspiration - вдохновляющие фотографии
#irenelovestextile_мк - фото с мастер-классов
~
Купить / заказать:
#irenelovestextile_в_наличии
#irenelovestextile_заказать_гобелен
~
💙";1530861030;78;3263677838;False;irenelovestextile_мк
Bk770JpHunt;"Первый сезон мастер-классов объявляю успешно закрытым! ✨
~
Даже не верится, что за месяц ко мне пришли 15 девушек, чтобы научиться ткать! Не ожидала, что всё так здорово пройдёт 😍 Спасибо большое всем участницам!!! 🎉 Продолжайте творить красоту! 💕😘😘
~
Сегодняшнее занятие прошло отлично - продуктивно и творчески :) По цветам и фактурам - высший бал 👍 ура! 🙌
~
Сейчас по живым мастер-классам беру перерыв до конца августа. По плану - онлайн-МК👌 Делаю размеренно, чтобы всё продумать и ничего не упустить. Буду держать в курсе событий! :)))
~
💙
 #irenelovestextile_мк";1530979458;169;3263677838;False;irenelovestextile_мк
BkqCUlDHcMV;"Доброй субботы! 🌟 В этот вечер я к вам с порцией вдохновляющих фотографий с сегодняшнего мастер-класса 😍
~
В этот раз большой популярностью пользовались светлые оттенки 😏 И гобеленчики получились нежными и гармоничными по цвету! ✨
~
Девушки, вы большие молодцы 😍 Рада знакомству и спасибо, что пришли! 🙌💃😘
~
Следующий МК состоится 7 июля, запись продолжается, есть парочка мест :)
Потом занятие будет скорее всего только в конце августа 🙌
#irenelovestextile_мк";1530378889;204;3263677838;False;irenelovestextile_мк
Bku6B0MH4AT;"Полезный пост для тех, кто хочет ткать самостоятельно 🙌
~
Самое главное в любом деле - начать. А как начать, если нет специальной рамки для ткачества? Предлагаю способ под кодовым названием “натягивание основы вкруговую”👌
~
Берём обычный подрамник (у меня 30х45 см), нить для основы, ножницы, линейку и карандаш 🖍
~
⭐Определяем ширину будущего гобелена и при помощи линейки и карандаша наносим соответствующие засечки на противоположных рейках рамы - вверху и внизу.
~
⭐При помощи той же линейки делим это расстояние на равные отрезки 4 или 5 мм - на этой ширине друг от друга будут располагаться нити основы. Засечки на верхней и нижней рейках должны быть параллельными друг другу.
~
⭐Берём нить основы, привязываем её двойным узлом к верхней рейке рамы на крайней левой точке нашей разметки. Натягивать основу мы будем слева направо.
~
⭐Натягивая нить, доводим её до крайней левой точки на нижней рейке рамы, огибаем рейку, и ведём нить за рамой сзади.
~
⭐Огибаем нитью верхнюю рейку по второй засечке слева и снова спускаемся вниз. Повторяем до тех пор, пока не закончатся засечки. Нить должна быть постоянно в хорошем натяжении.
~
⭐Чтобы закрепить конструкцию, два-три раза обвязываем нить вокруг верхней рейки. Далее делаем двойной узел на крайней правой нити основы.
~
⭐Чтобы задние нити не мешали, продеваем под ними картонку. На неё же можно прикрепить эскиз 👌
~
При таком способе можно соткать два гобелена - каждый со своей стороны и потом вместе срезать работы с рамы.
~
Оставляйте комментарии и 💙, если пост был полезен 👍
~
Вопросы? 😉
~
upd: инстаграм съел качество моей супер-гифки😓 sorry🙌
#irenelovestextile_мк";1530542313;249;3263677838;False;irenelovestextile_мк
BlckwEznJPi;"Вернувшись из полей 🌄 в цивилизацию 🚎, спешу поделиться вторым способ натягивания основы 🙌
Конечно, в интернете можно найти и другие способы и их варианты 👌А также готовые рамки :)) Я в данный момент работаю так ✌️Просто выбирайте, что вам больше нравится 😍
~
Вообще, инструкция получилась довольно длинной. Если вам по душе такие способы, оставьте мне ваш е-мейл в комментарии или в Директе, и я пришлю вам эти материалы в виде документа pdf ✨
~
Рама для ткачества должна быть:
⭐ Крепкой, чтобы не перекосилась из-за натяжения нитей основы
⭐ На 15-20 см выше, чем эскиз, чтобы было удобно ткать руками
~
Вам понадобится:
⭐ Деревянный подрамник (купить в багетной мастерской или сделать самостоятельно);
⭐ Гвоздики длиной 2-2,5 см, толщиной не более 1,5 мм и молоток;
⭐ Линейка, простой карандаш, ластик;
⭐ Помощь сильного пола :)
~
Итак:
1. Отметьте на верхней и нижней рейках рамы желаемое расстояние будущей разметки. Начертите две горизонтальные линии на расстоянии 1 см друг от друга. Приложите линейку к крайней левой точке и отмерьте отрезки по 8, 10 или 12 мм. Расстояние между будущими нитями основы будет в половину меньше – 4, 5 или 6 мм соответственно. Чем детальнее вы планируете ткать, тем меньше должно быть расстояние. Таким образом, точки для будущих гвоздиков располагаются в шахматном порядке.
~
2.  То же самое проделайте с нижней рейкой. Обратите внимание, что точки на нижней раме располагаются точно так же, как на верхней, отзеркаливать их не нужно.
~
3.  Возьмите гвоздики – они не должны быть слишком толстыми, чтобы рамка не треснула. Оптимально – до 1,5 мм толщиной. Гвоздик должен выступать над поверхностью рамы примерно на 1 см. Подбирайте длину гвоздей под толщину рамы.
~
4.  Позовите на помощь сильный пол или вбивайте гвоздики самостоятельно :)
~
⭐Рама готова!
Обратите внимание: при размере рамы более квадратного метра нужно добавить третью горизонтальную рейку в середине, чтобы раму не перекосило при натяжении нитей основы.
~
Идём далее:
5. Сделайте петельку на конце нити, как показано на фото. Заранее нить отрезать не нужно. Наденьте петельку на левый верхний крайний гвоздик и потяните нить вниз. ~
👇Продолжение в комментариях 👇👇👇";1532074662;269;3263677838;False;irenelovestextile_мк
Blr3MwTHhMj;"Дорогие участницы МК! ✨ Вы можете найти фотографии с наших занятий в моей группе Вконтакте. Там я всё так же - Irene loves textile ⭐
#irenelovestextile_мк";1532587651;105;3263677838;False;irenelovestextile_мк
Bm6WSrrHkQW;"Добрый субботний! ✨
Не могу удержаться от фотоотчёта с сегодняшнего плодотворного МК! 💃
~
Сегодня фаворитом были синие и холодные оттенки 💙 Вообще, всегда с интересом жду, какую гамму выберут участницы 🌈
~
Листайте карусель, чтобы увидеть, что получилось 🙌
Девы, отличный результат! 😘😘
#irenelovestextile_мк";1535221198;166;3263677838;False;irenelovestextile_мк
BmbOieTHTmf;"Открыта запись на живой мастер-класс по ткачеству для начинающих! ✨
~
Все подробности о занятии вы можете найти по ссылке в профиле 🙌 Там же можно записаться или написать по этому поводу мне в Директ 🌿
~
Фотографии с прошедших занятий по тэгу #irenelovestextile_мк и в вечных сторис :)
~
Есть 4 места 💛";1534176945;82;3263677838;False;irenelovestextile_мк
BmtK9ydnJBb;"Как проходят мастер-классы? 🙌 Сейчас расскажу! 😉

Сначала небольшое знакомство! :)
А после я перехожу к теоретическому блоку: Рассказываю: ⭐какие инструменты понадобятся, ⭐как выбрать раму, ⭐какие нити и пряжу можно использовать, ⭐где брать вдохновение и идеи для гобелена. По времени это 1/5 МК, и потом мы переходим к практике 😏

К мастер-классу я готовлю разные оттенки пряжи, чтобы каждая участница могла выбрать любимую цветовую гамму 🌈
К выбору материалов переходим как раз после теоретической части. На этом этапе я часто подсказываю, какой цвет можно добавить для большей гармонии :)
Дальше в ход идут рамы: натягиваем основу и крепим эскиз 🙌
Учимся делать косичку и пробуем самое простое переплетние. На занятии мы проходим три фактурные техники и разбираем, при помощи каких материалов можно их разнообразить :)
Я беру на МК свои работы, чтобы на живом примере объяснить, как те или иные приёмы можно использовать в дальнейшем👌😊 В целом, работа идёт блоками, но у каждой участницы свой темп. Я обычно хожу кругами :) объясняю, подсказываю, иногда сажусь помочь 🤗

Время летит стремительно! 🎉В конце успеваем прикрепить готовую работу на подвес, разобраться, куда девать нити основы и обменяться впечатлениями 💙
Ещё все участницы получают распечатанные схемы с изученными техниками и памятку в электронном виде 🙌

Вот так 😉
А на субботний МК 25 августа ещё есть места ✨ Программа и запись на сайте / в Директе / в комментариях 💛

#irenelovestextile_мк";1534779052;138;3263677838;False;irenelovestextile_мк
