post_id;text;date;likes;owner_id;is_video;by_tag
Bs-0H4hHn73;"Не знаете что подарить?🧐 Подарите крутую шапочку🤘🏻 Ваш подарок точно оценят👍🏻! В очень красивом цвете,тёплая,мягкая , 100% ручная работа😍Все шапочки можно дополнить помпонами❄️
Шапочка в наличии и очень скоро может оказаться у вас!
Цена 1000₽+отправка
Полушерсть
Размер 56-58см 
Доставка по всему 🌍";1548255958;31;8700840452;False;амигуруми_мк
Bs-2N0SnKXl;ЧЕМ ПОЛЕЗНО ВЯЗАНИЕ ДЛЯ ЗДОРОВЬЯ?🧐 Знаю по себе, как вязание увлекает😉, успокаивает и приносит удовольствие, поэтому это, несомненно, один из видов арт терапии🚑. Привлечение к творческому процессу давно является одной из психотерапевтических методик, помогающих избавляться от стрессов и подавленных состояний.  Творчество требует усидчивости👩🏼‍🔬, а значит, длительный процесс создания шедевра👩🏻‍🎨 лишает рукодельницу должной двигательной активности. Может показаться, что при таких условиях рукоделие станет причиной набора лишней массы тела🐽. Это предположение не верно👌🏻. Хобби, которое приходится по душе, приносит гораздо большее удовольствие, чем гастрономические радости.🙌🏻 «Заболев»😀 рукоделием, вы будете коротать вечера с пяльцами или спицами в руках, что вовсе не предполагает наличие под рукой бутербродов❌. Сложные жизненные ситуации 📉📈так же будет легче пережить, проводя их анализ📊 за умиротворяющим рукоделием, а не за тарелкой. Избавляясь от лишних килограммов или проводя профилактику их набора, вы влияете на продолжительность собственной жизни💓.;1548257055;26;8700840452;False;амигуруми_мк
Bs0EJrMFFtH;"Красуня Родзиночка.
Це лісова мешканка 💕білочка💕
Вона особлива і тендiтна, грайлива і весела💕
Куколка связана по МК Юлии Пига. 
#амигуруми #амигуруми_описание #амигуруми_мк #бесплатноеописание #amigurumi #игрушка_крючком #игрушка";1547895262;52;3915558092;False;амигуруми_мк
Bs0F8_PlWhP;"Лісова банда 💕
#вязание #вязаниеспицами #вязаниекрючком #бактусспицами #бактус #свитер #реглан #шапка_спицами#комплект #амигуруми #амигуруми_описание #амигуруми_мк #амигуруми_игрушка
#игрушка_крючком #игрушка #amigurumi #crochet #stricken #decor #design #decoration #вышивка #вышитаяподушка #вышивкакрестом #вишивка_хрестиком✖❌✂ #вишиває_україна";1547896207;63;3915558092;False;амигуруми_мк
Bs0T6gDD-ci;"⠀Всех с Крещением !!
⠀
В этот день заканчиваются новогодние гадания. ⠀Сегодня принято святить воду и купаться в проруби.
⠀
Я никогда даже не окуналась,я не люблю холод,у меня часто даже летом,в воде сводит ноги. Хоть и говорят,что в этот день после купания в холодной воде,не заболеешь,я всё-таки не рискую. Думаю для купания в проруби,нужна подготовка и это должно быть осознано,а не потому что так принято.
⠀
А вы окунаетесь в проруби?
⠀
--------------------------------------------
Авторские собачки,размер 20-22 см
Под заказ,цена 450 руб + почтовые расходы
--------------------------------------------
Для желающих связать собачек,есть бесплатный МК,который можно скачать по активной ссылке,в шапке профиля
⠀";1547903526;304;9551043259;False;амигуруми_мк
Bs2cB6blGHB;#вишивка_хрестиком✖❌✂ #вышивка #вишиває_україна #вышитаяподушка #вышивкакрестом #embroidery #crossstitch #aliceinwonderland #внутренний_кот #амигуруми #амигуруми_описание #амигуруми_мк #бесплатноеописание #вязаниекрючком #вязаниеспицами #вязание #бактус #свитер #реглан #шапка_спицами#комплект #амигуруми #амигуруми_описание #игрушка_крючком #игрушка #интерьер #amigurumi;1547974890;58;3915558092;False;амигуруми_мк
Bs2i_5LjKaf;"🔥Хит продаж 🔥
🏷YarnArt Jeans
 55%хлопок 45% полиакрил
160м в 50гр 
Всем давно полюбившаяся Пряжа, она очень мягкая, практичная. Подходит для летних вещей как взрослым так и деткам , игрушки отлично держат форму . Однозначно ФАВОРИТ 👍
Листайте палитру👉
🍓🍓🍓
В наличии практически вся палитра, по наличию информация актуальна на нашем сайте Моточкофф.ру (ссылка в шапке профиля ) ————————————————————
Цена 80₽ шт
-
-
-
-
-#джинспряжа #ярнартджинс #ярнартджинскрейзи #yarnartjeans #yarnart #пряжадлякукол #пряжавмоскве #пряжавналичии #хлопковаяпряжа #тильдакрючком #заяцкрючком #вязаныйзайка #вязаныеигрушкикрючком #пряжадляигрушек #плюшеваясвинка #амигурумисхемы #магазинпряжи #моточкофф #амигурумисвоимируками #амигуруми_мк #вязаныйсвитер";1547978544;110;7459053996;False;амигуруми_мк
Bs3Qve5hu7a;"Возвращение 👌
.
.
Их не было очень давно 😉Даже не припоминаю последнего. Но вот мишки возвращаются🐻
Я даже успела соскучиться по этим крепышам☺️ Большим ,в натуральном цвете 🍬
Люблю 💝
.
.
На конец января два места на неделю с 24 по 31 число!!!
Кто занимает?❄️
На mini, в том числе и Хрю срок изготовления 3 дня БЕЗ ЗАПИСИ 🌟
.
.
#вязаныесвинки #плюшевыймишка#игрушкиручнойработы #игрушкивналичиимосква #вязаныеигпушки#игрушкиназаказ #игрушкиамигуруми #амигуруми_мк #мкростов #мкмеринос #вязаныймишка #коричневыймишка #люьимыйцвет#крещение #январь2019";1548002527;101;945047669;False;амигуруми_мк
Bs4rI24jpo9;"Доброе утро ☀️ Сегодня я проснулась дома, а не по пути на работу😜 Настроение 🔥 Поэтому ловите подарочек 🎁
⠀
Мастер-класс КАРАНДАШ ✏️
⠀
Условное обозначение:
сбн - столбик без накида;
уб – убавка (провязываем 2 петли вместе за передние стенки);
пр – прибавка (провязываем 2 сбн в одну петлю предыдущего ряда);
( ) – цифра в скобках – количество получившихся петель.
⠀
Вяжем розовым цветом
1 ряд: кольцо амигуруми (6)
2 ряд: 6 пр (12)
3 ряд: (сбн, пр)*6 (18)
4 ряд - 7 ряд: 18 сбн (18)
(Фото 1)
⠀
Меняем цвет на серый
8 ряд - 13 ряд: 18 сбн (18) (Фото 2)
Вышиваем 3 полоски чёрной ниткой (Фото 3) швом «назад иголка» ⠀
Меняем цвет на жёлтый (Фото 4)
14 ряд - 40 ряд: 18 сбн (18) (Фото 5)
⠀
Меняем цвет на белый 
41 ряд -43 ряд: 18 сбн (18)
44 ряд: (сбн, уб)*6 (12)
45 ряд - 46 ряд: 12 сбн (12)
⠀
Меняем цвет на чёрный 
47 ряд: 12 сбн (12)
48 ряд: 6 уб (6)
49 ряд: 6 сбн (6)
Закрываем вязание 🧶 ⠀
Пы Сы МК Любовь-морковь скоро вышлю всем кто успел поучаствовать 👌

Вяжу с @mania_hobby #вяжу_с_мания_хобби";1548049920;516;6066513348;False;амигуруми_мк
Bs5-zgzByAm;"Милый и добрый авторский бельчонок, который совершенно не бешенный 🐿👻
⠀
Ну и традиционное: #амигуруми_хвасты #alex_owl_handmade_наличие
⠀
***
⠀
И если хотите заказать, то пишите в direct, либо WhatsApp, Viber, Telegram 8-916-756-05-39 Везде отвечу)
⠀
***
⠀
#амигуруми #вяжутнетолькобабушки #амигурумисвоимируками #амигуруминазаказ #ручнаяработа #амигуруми_мк #амигурумимосква #amigurumi #amigurumitoys #amigurumiaddict #crochet #handmadetoys #hobbytoy #амигурумибелка #амигурумибелочка #белкаигрушка #игрушкабелка #вяжуназаказмосква #валуево #новаямосква #вяжуназаказдетям";1548093990;30;8707665664;True;амигуруми_мк
