post_id;text;date;likes;owner_id;is_video;by_tag
BG5aiRBgYVG;Абажур подвесной в осенней гамме / Hand painted shade lamp a La Rus.  Fragment #настольнаялампа #абажур #росписьпоткани #батик #росписьпошелку #осень #яблоки #батикназаказ #батикмастеркласс #красотанеземная #silkpainting #silk #batik #textile #textiledesign #handmade #handpainted #accessories #originalart #lamp #shadelamp #evashadrina #евашадрина #shadelamp;1466470391;26;3224650096;False;батикмастеркласс
BG5bGteAYWV;"Шерстяная шаль с ручной росписью ""Чертополох"" / Beige and brown hand painted wool shawl #батик #батикпошерсти #батикназаказ #батикмастеркласс #шерстянаяшаль #шерстянойплаток #batik #handmade #handpainted #textile #textiledesign #wool #woolshawl #woolscarf #originalart #purewool #ручнаяработа #росписьпоткани #евашадрина #evashadrina";1466470690;16;3224650096;False;батикмастеркласс
BGKbuyWmE3U;"Когда мои ученицы за работой они выглядят как слушатели в институте благородных девиц. Согласитесь, #исскуство и #творчество облагораживает? Присединяйтесь😉
 #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс";1464893960;28;3255486554;False;батикмастеркласс
BGMy1F1GE09;дзен и медитация . Каждый раз после мастеркласса , когда я отправляюсь мыть кисти я с облегчением выдыхаю! под аккомпанимент шума проточной воды меня уносят мысли о проделанной работе. Я каждый раз анализирую, как все прошло?, что можно улучшить? все ли остались довольны? что бы еще такого придумать чтобы всех удивить? и я всегда открыта к конструктивной критике и к предложениям. Какие у вас есть предложения?  #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс;1464973179;27;3255486554;False;батикмастеркласс
BGN-RAuGE4L;"больше всего мне нравится рисовать на свежем воздухе, особенно в беседке в саду у моих родиелей. Огромный плюс в том что очень быстро высыхают краски на каждом этапе и можно скорее закончить работу. Ну и за вдохновением ходить дако не нужно. можно нарвать цветов и поставить их прямо перед собой, разложить на столе яблок, ягод, или красивых листьев разной формы. и идея для следующих работ не исчерпаемы
 #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс";1465012729;35;3255486554;False;батикмастеркласс
BGNi1ChmEwP;"даже самые отпетые разбойники замолкают и тихонечко рисуют ,когда на их празднике жизни выездной мастеркласс #happycolors_футболки. Хотите занять детей и провести время с пользой обучаясь новым навыкам? Заказывайте на ваш праздник мастеркласс по футболкам. получается даже у тех, кто думает ,что не умеет рисовать.
 #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс";1464998345;21;3255486554;False;батикмастеркласс
BGO8HjYmEw_;"Совсем скоро появится расписание мастерклассов на лето. 3 часа проведенные с удовольствием и с пользой. А на фото процесс создания очаровательного монстра на выездном МК. Вы так же можете заказать выездной мастеркласс к себе на праздник. Это универсальный способ развлечь гостей, научиться новому, и оставить о празднике приятное воспоминание в виде футболки✌
 #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс";1465045158;23;3255486554;False;батикмастеркласс
BGOgrErGE1D;"Люблю эту работу всем сердцем.Это шелковый платок для моей сестры. Когда я думала ,что бы такого нарисовать чтобы ей угодить, перебирала идеи, рисовала эскизы, и долго ничего не приходило в голову. Между делом, мама возвращаясь из сада положила мне на стол сочных яблок подкрепиться. Видимо, как это бывает в истории, когда ничего не приходит в голову, яблоки либо падают с дерева или откусанными отправляются на место логотипа. Перекус оказался весьма плодотворным,  а сестрица осталась очень довольной. И кстати, она как заядлый яблочник, который на протяжении всей жизни съедающая больше пяти яблок в день, оценила дизайн по достоинству.
#яблоки #яблочкоотяблоньки #apple  #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс #дизайнткани #textiledesign";1465030769;82;3255486554;False;батикмастеркласс
BGP52YNGE3J;как сделать так чтобы пионы радовали глаз не только в начале июня, а всегда когда хочется? нарисовать их! желательно на любимом платье из шелка! Тогда, каждый раз ,когда вы будете его одевать, будете вспоминать о том, как наносили сочные цвета и пигменты глядя на эти ароматные шарики. А какие ваши любимые цветы? #пион #любимыепионы #рисуемпионы #пионыбатик  #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс;1465077523;65;3255486554;False;батикмастеркласс
BGPeeD9GE1e;"Почему-то в последе время поход по магазинам приносит все меньше и меньше удовольствия. Все какое-то слишком простое и однотипное. А то что ориигинальное и действитеьно хочется купить, как правило имеет заоблачный ценник.
Для тех кто разделяет мое мнение, совсем скоро будет запущен курс по росписи платьев.💃👯 На курсе за несколько занятий вы сможете расписать платье из шелка или платье-футболку. Вы можете придти уже с вашей идей или мы придумаем вместе на занятии.
У вас уже есть мысли по этому поводу?какое изображение вы хотели бы видеть на вашем люимом платье?
#платьеизшелка #платьефутболка #платьерасписанноевручную  #батик #холодныйбатик #росписьткани #росписьпоткани #росписьшелка #ручнаяработа #батикназаказ #батикмастеркласс #happycolors_футболки #футболкимастеркласс";1465063168;48;3255486554;False;батикмастеркласс
