post_id;text;date;likes;owner_id;is_video;by_tag
Bv1cNKlAXjq;"А я к Вам с букетиком ""Лавандовый замок""))) видео: https://vk.com/video15136528_456239462. В замке живут: лаванда, лагурус, пшеница, можно ещё добавить цветочков с полей. Это целая наука правильно собрать и сохранить цветы- сухоцветы. Я насобирала лаванду, вырастила пшеницу) А вот ЛАГУРУС я купила в магазине для творчества! 
Лагурус ещё называется ""зайчий хвостик"", он очень нежный,пушистый🤗🐰 Очень красиво и нежно смотрится такой букет дома,особенно на белом комодике... Вот Вам и идейка для создания уюта))";1554383879;256;2431156013;False;бесплатныймк
BvBOZUKhcfk;;1552631808;230;2431156013;False;бесплатныймк
Bvxe6BhgAAL;"Обязательно листайте карусельку, 5 частей!!!!!! На видео самое первое фото- наши горы в г.Новороссийск)) люблю свой свой город)))
Как и обещала : покажу,как сделала пасхального зайку)) шаблон из картона плотного( коробка  с была). Мох используется свежий ( он потом станет  суховат)); мох садится на клей( либо горячий пистолет, либо используется клей типа кристалла).После приклеивания  мха,можно сбрызнуть всю поверхность лаком для волос ,а также лаком спреем строительным. Хвостик,как же без него!!! Беру распылитель и брызгаю  на мох белой краской, хвостик готов))) Ленточку замачиваю чае на минут 10, отжимаю, комкаю и сушу либо на воздухе,либо сразу в духовку( я ставлю на 80град). Если в духовке,то ещё старее эффект! 
Обязательно запишу МК ( символическая плата), где расскажу,как сохранить мох в течение 7-10 лет свежим,как только из леса, а также создадим своими руками красивый подсвечник)! Получим красивое интерьерное украшение!
Мох продается и в магазинах для творчества!!!!! Но приятнее собрать самому!!!
Приятного просмотра!!!";1554251077;333;2431156013;False;бесплатныймк
Bw1LD4_j26a;"Вся актуальная палитра в вечных сторис)) Принимаем заказы на кож. фурнитуру по вашим параметрам и на стандартные расчёты !

Цены очень демократичные, также на все наборы скидки!

Есть опт:
(На опт доставка по городу бесплатная от 5 т. р. !) Заказ на сумму 2 000 скидка 3%
Заказ на сумму 3 000 скидка 5 %
Заказ на сумму 5 000 скидка 10%
Заказ на сумму 7 000 скидка 15%
Заказ на сумму 10 000 скидка 20%
Заказ на сумму 15 000 скидка 25%";1556522374;33;6754369605;False;бесплатныймк
Bwj3zqLAjYC;"🔶30 мая в 11:00
в рамках выставки BeautyShow
состоится
⠀
Мастер класс
мастера - тренера @olga_drobot_center
Ирины Кан
на тему: «Перманентный макияж бровей в Авторской технике Ольги Дробот - FLUTTER»
⠀
❕На данном мастер классе Вы сможете:
⠀
✅Просмотреть демонстрационную процедуру ✅ Задать интересующие вопросы и получить на них ответы
✅Узнать подробнее об обучении перманентному макияжу с нуля
⠀
Работы мастера представлены в карусели⏩листайте⏩
⠀
Мастер класс БЕСПЛАТНЫЙ❗️
__________________________________________
🔻Наш СТЕНД A435 в павильоне 1🔻 ⠀
——————————————————-
⠀
Вы приобретаете только входной билет на выставку❗️
⠀
Билеты и подробности ➡️ @beauty_show_krasnodar";1555941854;26;4566051445;False;бесплатныймк
Bwr202HgzgB;"🔶29 мая в 15:00
в рамках выставки BeautyShow
состоится
⠀
Мастер класс
мастера @olga_drobot_center
Александры Силенко
на тему: «МИНИ ТАТУИРОВКА»
⠀
❕На данном мастер классе Вы сможете:
⠀
✅Просмотреть демонстрационную процедуру ✅ Задать интересующие вопросы и получить на них ответы
✅Узнать подробнее об обучении ⠀
Работы мастера представлены в карусели⏩листайте⏩
⠀
Мастер класс БЕСПЛАТНЫЙ❗
⠀ __________________________________________
🔻Наш СТЕНД A435 в павильоне 1🔻 ⠀
——————————————————-
Вы приобретаете только входной билет на выставку❗
⠀
Билеты и подробности ➡ @beauty_show_krasnodar";1556209775;22;4566051445;False;бесплатныймк
BxKNOdfgh_u;"🔶31 мая в 11:00
в рамках выставки BeautyShow
состоится
⠀
Мастер класс
мастера @olga_drobot_center
Александры Силенко
на тему: «Перманентный макияж губ в технике TUFT ART»
⠀
❕На данном мастер классе Вы сможете:
⠀
✅Просмотреть демонстрационную процедуру ✅ Задать интересующие вопросы и получить на них ответы
✅Узнать подробнее об обучении перманентному макияжу с нуля
⠀
Работы мастера представлены в карусели⏩листайте⏩
⠀
Мастер класс БЕСПЛАТНЫЙ❗️ __________________________________________
🔻Наш СТЕНД A435 в павильоне 1🔻 ⠀
——————————————————-
Вы приобретаете только входной билет на выставку❗️
⠀
Билеты и подробности ➡️ @beauty_show_krasnodar";1557228152;21;4566051445;False;бесплатныймк
BxO75eoDlh2;"РАЗМЕРЫ
55 x 48 см

ВАМ ПОТРЕБУЕТСЯ
Пряжа (100% вискозной целлюлозы(рафия) 115 м/50 г) — 500 г коричнево-желтой(крючок №3,5; кожаные ремешки)

УЗОРЫ И СХЕМЫ
СТ. Б/Н
Вязать рядами в прямом и обратном направлении: каждый ряд начать с 1 дополнительной в.п. подъема и закончить 1 ст. б/н в 1-й ст. б/н предыдущего ряда. 
Круговыми рядами: каждый круговой ряд начать с 1 дополнительной в.п. подъема и закончить 1 соед. ст. в 1-ю в.п. кругового ряда.

ПЛОТНОСТЬ ВЯЗАНИЯ
Плотность вязания: 14 п. х 17 р./круг.р. = 10 x 10 см.

ВЫПОЛНЕНИЕ РАБОТЫ
ПЕРЕДНЯЯ СТЕНКА СУМКИ
Выполнить цепочку из 51 в.п. + 1 в.п. подъема и вязать основным узором. 
Для придания формы прибавить с обеих сторон в каждом следующем ряду от начального ряда 13 x 1 п. согл. узору = 77 п. 
Через 48 см от начального ряда закончить работу. 
Заднюю стенку сумки вязать аналогично.
ДНО СУМКИ С БОКОВЫМИ ДЕТАЛЯМИ
Выполнить цепочку из 15 в.п. + 1 в.п. подъема и вязать основным узором. 
Примерно через 141 см от начального ряда (измерить по одной стенке сумки) закончить работу.

КАРМАН
Сделать 1 кольцо из нити и выполнить 8 ст. б/н в кольцо = 1-й круговой ряд. 
Продолжить работу круговыми рядами. 
2-й круговой ряд: удвоить каждую петлю = 16 п. 
3-й круговой ряд: удвоить каждую 2-ю петлю = 24 п. 
4-й круговой ряд: удвоить каждую 3-ю петлю = 32 п. 
5-й круговой ряд: удвоить каждую 4-ю петлю = 40 п. 
6-й круговой ряд: удвоить каждую 5-ю петлю = 48 п. 
7-й круговой ряд: удвоить каждую 6-ю петлю = 56 п. 
8-й круговой ряд: удвоить каждую 7-ю петлю = 64 п.
9-й круговой ряд: вязать без прибавок. 
10-й круговой ряд: удвоить 5 x каждую 12-ю петлю = 69 п. 
11-й круговой ряд: удвоить 6 x каждую 11-ю петлю = 75 п. 
12-й круговой ряд: удвоить 10 x каждую 7-ю петлю = 85 п. 
13-й круговой ряд: удвоить 14 x каждую 6-ю петлю = 99 п. 
14-й круговой ряд: удвоить 16 x каждую 6-ю петлю = 115 п. 
15-й + 16-й круговой ряд: вязать без прибавок. 
17-й круговой ряд: удвоить 10 x каждую 11-ю петлю = 125 п. 
18-й круговой ряд: вязать без прибавок. 
19-й круговой ряд: удвоить 4 x каждую 31-ю петлю = 129 п. 
20-й круговой ряд: удвоить 4 x каждую 32-ю петлю = 133 п. 
21-й круговой ряд: удвоить 8 x каждую 16-ю петлю = 141 п. 
ПРОДОЛЖЕНИЕ В КОММЕНТАРИЯХ";1557386839;132;6754369605;False;бесплатныймк
BxX8Wa3lIe8;"🎀🍨🍧🍰🎀
Платьице ""Нежный десерт"" может быть и шоколадным, и малиновым десертиком - и, даже, со сливками!👍🏻🎉 🎀
В создании образа участвуют Ваше желание и фантазия!☺💓🍧 #платьедляпаолочек
#платьекрючком 
#длялюбимыхкуколок👑💕💄 #вязаниекрючком 
#бесплатныймк";1557689066;14;4094691035;False;бесплатныймк
BxX935PlYk-;"🎀🍨🍧🍰🎀
Платьице ""Нежный десерт"" - ""вкусное"" украшение ваших любимых малышек!👭👯‍♀🌺🌷🌺
🌺МК - бесплатный! Можно найти в моей группе - ссылка на группу в ""шапке"" аккаунта.😊💕🎉 #платьедляпаолочек
#платьекрючком 
#длялюбимыхкуколок👑💕💄 #вязаниекрючком 
#бесплатныймк";1557689865;17;4094691035;False;бесплатныймк
BxZ0EihjiRu;"Привет 👋 рада вас видеть! .Ну что же начинаю запускать посты с МК #платьерусалкаотелены 
Начну естественно с того ,что нам нужно для воспроизведения нашего шедевра.
1. Пряжа СОСО 240/50 ,100% мерсиризованный хлопок.
2.крючок 1,75
3.сантиметр
4.ткань для низа платья (юбки)
5.Украшения.

Ну что дорогие мои ,ПОЕХАЛИ 😊
#мккрючком 
#помощьввязании 
#платьекрючком 
#вяжемвместе 
#бесплатныймк
#еленаросс 
#вязаниекрючком 
#вяжемплатье
#вяжемдлядевочки
#вязаниедеткам
#платьедевочкекрючком
#мкплатья
#вяжемкрасиво";1557751834;22;5884734566;False;бесплатныймк
BxZ0Lvvjfl0;;1557752984;140;5843703377;True;бесплатныймк
BxZ1PCuj7aJ;"Всем привет!
ᅠ⠀
Давайте поиграем😊
Игра не сложная, надо просто угадать, кто изображён на фото😎
ᅠ⠀
Кто угадает первым, тому подарю бесплатный билетик на онлайн по вязанию этого малыша
ᅠ⠀
Ну и не забывайте ставить лайки ❤️
Вам не сложно, а мне приятно";1557752445;770;7291486993;False;бесплатныймк
BxZ1TXPj3C3;"Всем привет! 
Готово описание по корзинке с фруктами.
Что нужно сделать:
1. Выложить этот пост себе в сториз и отметить меня с подписью: бесплатный мастер класс у @kriska_lariska_toys 
И всё! Через минуту описание будет у Вас 😁
.
.
.
#описаниевязания #едакрючком #едакрючкомкурск #едакрючкомбрест #бесплатныймк #бесплатноеописание #бесплатноеописаниевязания #бесплатноеописаниеигрушки #еда #банан #корзинкасфруктами
Хочу в сториз к @mania_amigurumi #mania_amigurumi";1557752480;33;8458833514;False;бесплатныймк
BxZ29szDwOs;"🌸БЕСПЛАТНОЕ ОПИСАНИЕ🌸
.
Пандочка 🐼 
Автор: @magic_mir_toys

Из заявленных материалов получилась 🐼 ростом 15 см";1557753351;563;8445260798;False;бесплатныймк
BxZ4Ekxjdzq;"Итак, завершение вязания сумки #прада_с_алекса , но не спешите расслабляться, впереди ещё подклад шить, без него сумка не будет сумкой!
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀
На сумку ушло: весь! ролл золотого цвета и половина ролла молочного цвета рафии Ispie  объёмом  250м/120гр.
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀Вязание ручек:
💠Наберите 9 в.п. и вяжите 50-т рядов СБН. Вывяжите вторую ручку😄
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀
Средние части ручек сложите и соедините срезы полустолбиками  по середине примерно 12 см. Если есть желание, то сделайте как я, вставьте в середину ручек силиконовую трубку. Получится объем!
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀⠀⠀⠀Вязание внутренней обтачки:
Сразу говорю, спасибо Ирочке @ira.gorban , моему идейному вдохновителю на эту сумку! А я в упор не видела эту обтачку, голову сломала как ""они"" умудрились вшить подклад!
.
Внутренняя обтачка нужна для, во-первых, пришивания к ней подклада, во-вторых, для закрепления края, закрепления ручек и кнопок! Эта обтачка  просто необходима! Ира!❤⠀
⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀
💠Набирайте 144 воздушных петли в кольцо и вяжите по-кругу:
1-й и 2-й ряды СБН , затем поворотными рядами:
3-5 ряды согласно основной схеме, следите, чтобы 5-й ряд совпадал по цвету с последним рядом сумки!
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀
На этом вязание всё! В дальнейшем обтачку необходимо ввязать в край сумки полустолбиками за крайние петли, но это потом, не спешите!😊
⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀
Продолжение следует!⠀
.
#описаниевязания #бесплатныймк #описаниесумкарафия #сумкарафия #вязанаясумка #сумкакрючком #вяжемвместе #вяжемсумку ⠀⠀";1557753932;1040;5540750763;False;бесплатныймк
BxZ6GBnHpbj;"Reposted from @buket.vinegret -  Про БЕСПЛАТНЫЙ МАСТЕР-КЛАСС помните?
Готовимся ко Дню защиты детей. И учимся собирать самый детский букет - Зефирный рожок.
.
🍧Покажем, как подобрать ингредиенты
🍧Научим делать прочные крепления так, чтобы это не было заметно
🍧Продемонстрируем все тонкости и секреты
.
Приходите! Взрыв продаж 1 июня (и не только) будет вам обеспечен! И это все бесплатно. В формате прямого эфира.
.
✅Как зарегестрироваться на мастер-класс?
1. Поставить лайк на этот и два предыдущих поста
2. Прислать в Директ заявку участника, где указать:
Ф.И.О. ✍
Телефон ☎
Адрес электронной почты 📧
Название своего аккаунта
3. Сделать репост этого поста у себя на странице 🔁
4. Отметить нас на фото 📸 ,поставить хэштег #рожокотбукетвинегрет и @buket.vinegret
И всё!
.
👉Среди зарегистрированных участников проведем розыгрыш одного любого видео-урока из нашего курса ""7 шагов успеха в food-флористике"".
Внимание‼ Для участия в розыгрыше регистрация обязательна.
.
Помашите ручкой 👋 в комментариях, кто будет, даже если не зарегестрировался. Хотим понять, насколько вам интересна эта тема.
_______
#сладкийбукет #букетизконфет #обучениефлористов #обучениефлористике #обучениефлористики #букетвинегрет #букетвинегреткраснодар #обучениефлористика #фудфлористика #фудфлорист #букетиззефира #букетизеды #съедобныйбукет #съедобныебукеты #мастерклассы #мастер_класс #букетиззефирок #зефирныйбукет #букетизмаршмеллоу #букетизмармелада #бесплатныймарафон #флористикаобучение #флористикаидекор #креативныебукеты #флористы #бесплатныймастеркласс #бесплатныймк #мастерклассбесплатно #мкбесплатно";1557754992;34;6876031547;False;бесплатныймк
