post_id;text;date;likes;owner_id;is_video;by_tag
-R65LLCz8_;#handemade #ручнаяработа #брошьизшерсти #брошьручнойработы #брошь #красота #валяниемастеркласс #валяние #шерсть #курск;1447965310;29;2257615718;False;валяниемастеркласс
-R6im4iz8V;#handemade #ручнаяработа #брошьизшерсти #брошьручнойработы #брошь #красота #валяниемастеркласс #валяние #шерсть #курск;1447965125;16;2257615718;False;валяниемастеркласс
0C76Vpgbvh;Таких милых совят сваляли участницы нашего мастер-класса по технике сухого валяния #валяниемастеркласс, #сухоеваляние, #валяниесовенка;1425987691;26;1555395109;False;валяниемастеркласс
0DA_8ngbmj;Этого чудесного мишутку сваляла участница нашего мастер-класса по сухому валянию. Хотите научиться такого делать? Приходите к нам на занятия :) #сухоеваляние, #валяниемастеркласс;1425990358;10;1555395109;False;валяниемастеркласс
33vzOVAbmi;"Завтра, 13 июня, у нас в мастерской два мастер-класса: ""Мехенди- роспись тела хной"" и ""Техника сухого валяния. Мишка с подвижными лапками"" #валяние #валяниемастеркласс #менди #мехенди #мехендимастеркласс #мендивкиеве #валяниекиев";1434202177;16;1555395109;False;валяниемастеркласс
647PuZTXJG;#валяние #валяниеизшерсти #валяниемастер #сухоеваляние #валяниедляначинающих #валяниеспб #валяниеигрушек #валяниемастеркласс #валяниеобучение #рукоделие #вышивка #вязание #handmade #цветокваляние #flamin #своимируками #фелтинг #длядетей #длявзрослых #шерстьдляваляния #творчество #длявдохновения #подарок #оригинальныйподарок #красивыекартинки #валяниеизшерсти #хобби #идеидлятворчества #шедеврырукоделия;1440684183;22;1965529955;False;валяниемастеркласс
6qL6VLTXFv;Такой милый котенок. Хотите сделать его своими руками?;1440189604;101;1965529955;False;валяниемастеркласс
6rVosZzXDh;Так мы валяли ослика Иа. Он еще не доделан до конца на фотке, но уже смотрит и почти улыбается :);1440228257;71;1965529955;False;валяниемастеркласс
6rWsNZzXFC;Появление на свет еще одного шедевра :);1440228810;21;1965529955;False;валяниемастеркласс
6sTb8_TXNg;Такого енотику мы будем делать на курсе по валянию игрушек. Хотите с нами? );1440260658;55;1965529955;False;валяниемастеркласс
6sbnq_zXAs;Такого очаровательного песика сделала наш преподаватель Юля. Хочешь и тебя научит?;1440264949;26;1965529955;False;валяниемастеркласс
6sd3JgTXFW;А это результат часового мастер-класса;1440266124;23;1965529955;False;валяниемастеркласс
6sdqANzXE5;Так весело проходят наши мастер-классы :);1440266016;11;1965529955;False;валяниемастеркласс
6seJUITXGB;Правда он милый? )));1440266273;20;1965529955;False;валяниемастеркласс
6seluGTXG9;А этого милахи у меня еще нет в коллекции, но после этого курса по валянию точно будет )));1440266505;52;1965529955;False;валяниемастеркласс
