post_id;text;date;likes;owner_id;is_video;by_tag
BP_vsAagxcU;"Друзья, кто не смог посмотреть в прямом эфире, еще сутки доступна к просмотру запись бесплатного мк по валянию двустороннего бактуса. http://www.mastersecrets.ru/broadcast#broadcast=312
#бактус #валяембактус #бактусизшерсти #валяныйбактус #шаль #палантин #валяныйпалантин #палантинваляный #валяниепалантина #онлайнмк #мконлайн #видеомк #мкповалянию #видеомкповалянию #бесплатныймкповалянию #онлайнконференция #конференцияповалянию #двустороннийвойлок #мкваляние #валяниемк #мастерклассваляние #обучениевалянию #валяниелюонлайн #валяниевидео http://www.mastersecrets.ru/broadcast#broadcast=312";1486010161;9;4502079811;False;валяниемк
BQStatQg-Zw;"Согласитесь, что женщина или девушка в шляпе это загадка и объект внимания. В шляпе и чувствуешь себя по-другому :) Скоро весна! Пройдут холода и можно будет носить этот прекрасный аксессуар! 
Приглашаю на совмещенный  мк по созданию шляп из кардочеса и шапочек в технике нунофелтинг 11 февраля в студию Шерсти Клок и 11 марта в Шкатулочку. #валяние #валянаяшляпа #валяниемк #валяниешляпки #мокроеваляние #мокроеваляниеизшерсти #шляпасширокимиполями #мкповалянию #felting #feltingworkshop #feltinghat #feltinghats #hat #faltinghat #artfelt #шляпа";1486646505;22;4145220004;False;валяниемк
BQTCu0EArpZ;Валяная шляпа из шерсти овцы. Тонкая, изящная, теплая.  Можно заказать или прийти на мастер-класс (можно онлайн) и научиться делать такие самому. Ближайшие мк 11 февраля и 11 марта. #hat #шляпа #валянаяшляпа #войлок #войлочнаяшляпа #шляпасполями #широкополаяшляпа #валяние #валяниемк #felting #feltingworkshop #мастеркласс #мастерклассповалянию #amradesign #feltinghat #felthat;1486657679;20;4145220004;False;валяниемк
BRDTGaXFH3e;Пару недель назад валяем с Ольгой платье в студии Шерсти Клок #шерстиклок #валяноеплатье #валяние #валяниемк  #нунофелтинг #нунофелтингмк #feltingworkshop #felting #nunofelting  #feltingdress #sherstiklok;1488276874;24;4145220004;False;валяниемк
BT8XoHwlEIG;#войлок #войлочнаяшляпа #шерстиклок #учувалять #валяние #мокроеваляние #войлок #валяемшляпу #мастерклассваляние #валяниемк;1494486817;43;5364295984;False;валяниемк
BTCOXl4DTEW;22, 23, 26 апреля Елена Пляшечник проведет мк по детской валяной обуви в студии Шерсти Клок. #валянаяобувь #войлок #детскаяобувь #валяние #войлокдлядетей #дети #детскаявалянаяобувь #валенки #ботиночки #шерстиклок #еленапляшечник #учувалять #учимвалять #мкповойлоку #войлокмк #валяниемк #валяниемастеркласс валяныеботинки  Детские ботиночки . Дл.по стельке 13 см. Сваляны из финского кардочеса 25 микр. Расход шерсти - 200гр. Толщина войлока 5 мм. Подошва. Для примера. Установлен жёсткий задник .;1492535806;47;5340870160;False;валяниемк
BTHoaRVF327;Эту шляпу сделала моя ученица Галина. Очень талантливый человек. Она приезжала в Москву и была у меня на мастер-классе. Я ждала от нее такого эдакого и не обманулась! Шляпка потрясающая и сваляна из кап-мерино :) очень люблю эту шерсть и сама валяю из нее шляпы. 👒 ближайший мой мк 29 апреля, #москва #шерстиклок #шляпыучениц #шляпы_учениц #валяние #валяниемк;1492717232;134;4145220004;False;валяниемк
BTI9I7-l40_;Очень люблю эту шляпу из кап-мерино. У неё необыкновенная поверхность, как замшевая. Сделала несколько повторов для клиенток. А 28 и 29 апреля буду проводить мк по шляпе с полями из бергшафа - восхитительной шерсти. Из неё одно удовольствие валять, особенно  на мастер-классах. #шляпа #войлочнаяшляпа #валянаяшляпа #войлок #валяние #бирюзоваяшляпа #учувалять #валяниемк #валяюшляпы;1492761654;122;4145220004;False;валяниемк
BTKF7ecj5n6;На мастерклассе Ренаты Краус царила особая творческая атмосфера. Картины получились очень теплыми и душевными.есть место на 22 апреля. Кто хочет?  #шерстянаяакварель #шерстиклок #ренатакраус #картинаизшерсти #учувалять #войлок #валяние #валяниемк #войлокмосква #москва;1492799817;45;5340870160;False;валяниемк
BTKI4aPD_vv;На мк Ренаты Краус по шерстяной акварели девушки делали не только картины с цветами, но и с птичками. Было аж три пары чаек! А в субботу 22 апреля будут валять сумочки с цветами! Есть место! Присоединяйтесь! Студия  #шерстиклок записаться: amra123@mail.ru #шерстянаяакварель #живописьшерстью #картинаизшерсти #ренатакраус #ренатакраусмк #войлок #валяние #валяниемк #валяниемосква #войлокмосква;1492801365;40;5340870160;False;валяниемк
BTLtnfsBgfw;Одно из моих первых валяных платьев. #валяноеплатье #валяние #войлокмк #нуно  #нуновойлок #валяниемк #валяниеназаказ;1492854179;41;5364295984;False;валяниемк
BTLuYbPhFTM;Обожаю делать валяные шляпы 👒 принимаю заказы и провожу мк по шляпам из кардочеса. 🎩 29 апреля ближайший мастер-класс  #валяниеназаказ #валяниемк #валяние #войлок #валяныешляпы #валяныешляпыназаказ #шляпа #валянаяшляпа #валяниешляпымк #мастерклассшляпа;1492854580;36;5364295984;False;валяниемк
BTOHey3Fj1c;Айхаллана на моём мк по шляпам. #шляпа #валяниемк #валяние #войлок #мастеркласс #мокроеваляние #wetfelting #мкповалянию #учувалять #шерстиклок;1492934848;16;5364295984;False;валяниемк
BTOJBXflBaN;Айхаллана из Якутска приехала в Москву специально на мастер-классы по валянию. Вместе с ней мы валяли шляпу. #валяние #валянаяшляпа #шляпа #шляпасполями  #войлочнаяшляпа #войлок #учувалять #валяниемк #мастерклассваляние #мкваляние #felt #felting #feltinghat #feltedhat запись на мк amra123@mail.ru(ближайший 29 апреля) #мокроеваляние #wetfelting;1492935656;19;5364295984;False;валяниемк
BTQ_bfaB3_e;"30 апреля (воскресенье) приглашаем на мастер-класс!⠀
⠀
⠀👐🏻 ВАЛЯНИЕ ИГРУШКИ ИЗ ШЕРСТИ ⠀⠀⠀
⠀Время 12.00⠀
⠀
⠀Возраст 12+
⠀
⠀Продолжительность 3 часа ⠀
⠀
Стоимость 950 рублей⠀
⠀
Материалы включены в стоимость. ⠀⠀
⠀Не забудьте записаться! ⠀
⠀Предоплата и запись обязательны!
#выходныетюмень #мастерклассы #мастерклассытюмень  #мктюмень #творчествотюмень #лавкачудес #лавкачудестюмень #валяниеизшерсти #игрушкасвоимируками #валяниеигрушки #валяниемк @to.lavkachudes";1493031290;14;2059098132;False;валяниемк
