post_id;text;date;likes;owner_id;is_video;by_tag
BsJMYt2nyvj;"Это было уххх🤪
Но как же приятно видеть удивляющихся малышей!
С Новым Годом!  #glass #glassblower #glassblowers #стеклодувы #стеклодувмосква#стекло #hotglass #путешествиеврождество #firstglassm #выездноймастеркласс #мастер_класс #шоу";1546456739;133;430740363;False;выездноймастеркласс
Bu-S0C4H1aG;"Гончарная школа ""Ваган"" 
Ул. Солянка 12-14
Тел. +7 925 000 81 89 
@gonchar_vagan #москва#гончар #выездноймастеркласс#гончарваган #гончарноеремесло #гончарныйкруг #мастерклассмосква #гончарваган #ремесло #керамикаручнойработы #глинамосква#керамика#керамикамосква #китайгород #ваганенгоян# #обучение#ваган#гончарнаяшколаваган#ceramics#pottery#гончарнаямастерскаямосква#авторскаякерамика #гончарнаямастерская#свиданиевгончарной #свиданиевгончарноймастерской #счастье#любовь#кружка  #кружкаслоготипом #кружкиназаказ";1552533461;233;3485185407;False;выездноймастеркласс
BuelmXeHQkC;Дети - наша любимая и самая искренняя аудитория 😊😊😊 #мастерклассыдлядетей #мастеркласс #мастерклассмосква #флорариум #флорариуммосква #выездноймастеркласс #выездноймк #мастеркласснамероприятие;1551470224;36;11115639833;True;выездноймастеркласс
Buex-VJn2wj;Мы сегодня с малышами из 2 «А» создавали замечательные композиции : флорариумы) 😊 🌈 а как вы провели первый весенний день ? #мастерклассыдлядетей #мастерклассы #творчество #творчествосдетьми #мастерклассмосква #флорариум #выездноймастеркласс #выездноймк #мастеркласснамероприятие;1551476056;62;11115639833;False;выездноймастеркласс
Bv-CunQFXM0;"«Гвозди» превращаются в нижники 😌
🔥
Теперь #МобильнаяКузница на высоком старте💪🏻
🔥
#кузнецТимур #ковкаСПб #кузнецы #кузнецСПб #выезднойМастерКласс";1554672511;23;1369355258;False;выездноймастеркласс
Bv-Jjv6jA7E;"Я сегодня впервые в жизни побывала на настоящем девичнике❤️❤️👰🏼❤️❤️! С фатой, угощениями и девичьими разговорами о свадьбе! А летняя романтика в наших картинах ещё больше согревала атмосферу!!!
Спасибо вам за такие эмоции! 😆🙏Спасибо за терпение, у всех первый опыт! Вы молодцы!  #РИСУЕМЛЮБОВЬ #кажетсяяумеюрисовать #risuemvspb #boysandgirlsallowed  #рисуютвсе #рисуемпейзаж #артвечер  #рисуемвместе #артпикник #пленэр #мастеркласс #мастерклассспб #выездноймастеркласс #art #artworkshop #яхудожник #like4like #like4follow #spbhalfmarathon #хобби #рисование #пейзаж #акрил #холст #живопись #досуг #досугвспб";1554676092;63;6624541557;False;выездноймастеркласс
Bv0_R_YjgVx;"А вы знаете, что жеоды -  срезы камней очень ценятся⁉️
⠀
 У кого: у ювелиров, дизайнеров эксклюзивных интерьеров и, разумеется, коллекционеров💎
⠀
Жеоды занимают почетные места на главных пьедесталах🏆 самых известных музеев нашей планеты, и стоимость таких чудес достигает столь же космических, невероятных сумм!
⠀
А что, если такая драгоценность появится в вашем интерьере?
#АртYAS
⠀
Для вас самый изящный мастер-класс «Срез камня эпоксидной смолой»!
⠀
Когда⁉️
Уже в эту субботу,  6 апреля, 15:00-18:00.
⠀
Не упустите возможность попасть на МК😀
Скорее записывайтесь! Осталось: 2 места
🌎 https://yourartstory.ru
☎ +7(985) 055 51 25
🎨 Москва, ул.Новая Басманная 10 с.2
⠀
Мини группа и индивидуальный подход!
⠀
Каждый создаст неповторимый шедевр!
⠀
#жеода #interior #обучениерисованию #смола #декор #amaizingworld #эпоксидная_смола #интерьер #мастерклассы #смолаэпоксидная #срезкамня #art #выездноймастеркласс #смоладлятворчества  #epoxyresin  #смоладлякартин #творчество #артвечеринка #деньрождения #эпоксидка #рисованиеснуля #флюидарт #рисованиемосква #kudagomsk_афиша #рисование #эпоксиднаясмола_обучение #картинаизсмолы #fluidartwork #mixedmedia";1554368730;30;4445229793;True;выездноймастеркласс
Bv0sdadFOkc;"Друзья, привет✌️
Запись на песочные мастер-классы на апрель и май идёт полным ходом📆 так что топитесь успеть занять удобные вам даты перед каникулами, к Праздникам Пасхи, 9 мая и выпускным огонькам😉
🎨Дети создадут свою неповторимую песочную  тематическую картину, которую смогут подарить своим своим родным и близким🤗
Продолжительность МК 45 мин и 15 мин на уборку 👣👣👣
🎈Дети остаются всегда в полном восторге и благодарят за интересный мастер-класс😊
Стоимость мастер-класса всего ‼️300р.‼️ с человека + у меня подарочки 🎁 для род. Комитетов👍👍👍
Звоните и пишите @sandfantasys 📲89104901493 Анастасия - песочный терапевт👌
Выезжаю по Москве и области)
Кому интересно - оставьте любой коммент, Я сама вам напишу😍
#детскиймастеркласс#мастеркласс#детскоетворчество#праздник#аниматормосква#аниматор#выездноймастеркласс#детскийсад#начальнаяшкола#школа#праздниквсаду#деньвоспитател#развитиеребенка#развитиедетей#рисование#рисованиепеском#секция#кружок#москва#одинцово#мытищи#сколково#жулебино#люберцы#москва#королев#дети#пасха #9мая #деньпобеды";1554358975;257;1161991052;True;выездноймастеркласс
Bv159rkplxZ;Мой любимый #портрет🖌🖍✏📌🙇 #рисунок #портрет #хобби #вдохновение #МК #мастерклассднепр #мастеркласс #индивидуальный_мастеркласс #выездноймастеркласс #jumpupdnepr #портретназаказ #подарокблизким #урокирисунка #обучение #иллюстрация #portrait #womanportrait #акварель #illustration #живопись #рисунок #picture #gallery #mywork #painting #рисуноккрасками #исскуство #купитьпортрет #рисунокподзаказ #рисуюназаказ;1554399481;92;6277298023;False;выездноймастеркласс
Bv1SSO3ng57;"Пасха - один из самых светлых и ярких религиозных праздников.
⠀
Создать праздничную атмосферу и занять гостей помогут творческие мастер-классы.
⠀
Сделать правильный выбор поможет наша пасхальная подборка мастер-классов:
⠀
🐣Декупаж деревянных яиц
🐣Ободок с заячьим ушками
🐣Валяние из шерсти
🐣Игрушка из фетра
🐣Пасхальный венок
🐣Создание открыток
🐣Декор подставок под яйца
🐣Кукла из лыка
🐣Традиционная народная кукла
🐣Пасхальный зайка/цыплёнок из ниток
🐣Роспись имбирных пряников
🐣Картина из крупы
🐣Картина из песка
🐣Роспись эко-сумки
🐣Роспись деревянной ложки

Для заказа любого мастер-класса из списка на праздник, в кафе, в офис или школу пишите в Директ или звоните.";1554378678;57;3960613173;False;выездноймастеркласс
