post_id;text;date;likes;owner_id;is_video;by_tag
BLbjoG_j9f1;"[ЗОЛОТОЕ ШИТЬЁ]
Давно знакома с этой книгой, но только пару дней назад решила приобрести её себе. Очень много полезного про вышивку золотом.
Для кого подойдет?! Для вышивальщиц которые хотят изучить золотое шитье, узнать много новых техник и приемов с канителью, вышивке золотыми нитями и другими интересными материалами золотыми материалами.
Что там интересного?!
⚜подробные иллюстрации с методикой вышивки(все очень ясно и понятно🤓но конечно же практику никто не отменял)
⚜подробно расписана информация о материалах (например даны все виды канители 😊)
⚜множество разных приемов и техник работы сс материалом
⚜есть информация о начале работы: как запялить, как перевести рисунок. И приведены примеры куда можно применить вышивку и даже как изготовить некоторые виды изделий с ней
⚜разбирается несколько вышивок с применением изученных приемов
Даже видя ее в сотый раз нахожу что то интересное для себя. Или может  у меня склероз😅 😍очень полезная книга!
А что сейчас читаете вы?!";1476205943;74;1631646919;False;вышивкамк
BT5g9e-D0lj;"Я никуда не пропала. Просто выходные и кое-что готовлю для вас💕🎥 Начала снимать еще один мастер-класс.

И хочу сделать подарочек вам. На фото есть небольшой кусочек вышивки. И первым трем отгодавшим, кто будет героем мастер-класса я сделаю скидку 50%❤ Жду ваших предположений💋
И напомню, мой бесплатный мк вы можете найти по ссылке в профиле💕
#брошь
#брошьмк
#мк
#ананас
#фрукты 
#брошьананас
#мкананас 
#брошьбисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#fancyjewelry
#handmadejewelrydesign
#embroiderylove
#fashionjewelryforsale
#украшениякупить
#вышивканаодежде
#couturejewelry
#handmade_ru_jewellery
#брошьизбисера
#украшенияспб";1494391048;102;1631646919;False;вышивкамк
BTdXdJoDeup;"Милые, я решила попробовать и снять мастер класс🙈

Так как вы меня очень просили. И вообще, учить и делиться я люблю!

Это первый опыт - снят на телефон и целая неделя монтажа, осваивая программу. Но я получила большой кайф от процесса и надеюсь, вам понравиться тоже!

Все почти готово, остались маленькие организационно-оформительские штрихи. Видео выложу скорее всего, после праздников уже. Очень важна ваша реакция и обратная связь❤🌷
#брошь
#брошьмк
#мк
#ананас
#фрукты 
#брошьананас
#мкананас 
#брошьбисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#fancyjewelry
#handmadejewelrydesign
#embroiderylove
#fashionjewelryforsale
#украшениякупить
#вышивканаодежде
#couturejewelry
#handmade_ru_jewellery
#брошьизбисера
#украшенияспб";1493446540;146;1631646919;False;вышивкамк
BTlA-sED0w8;"🍍МК БРОШЬ АНАНАС🍍

Как и обещала выкладываю видео ананасика!

Надеюсь, будет вам полезно👌

Ссылка у меня в профиле или просто наберите в поиске ютюба - мк ананас.

Милые, также буду очень рада, если кто решится повторить такую брошку я создала группу в контакте, чтобы вы могли делиться своими работами по моим мк😍 ссылка в описании видео!

Расскажите мне: что бы вам хотелось увидеть еще? Что понравилось? Что не понравилось?

Снимать мне очень понравилось и хочется продолжить) жду обратной связи😚
#брошь
#брошьмк
#мк
#ананас
#фрукты 
#брошьананас
#мкананас 
#брошьбисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#fancyjewelry
#handmadejewelrydesign
#embroiderylove
#fashionjewelryforsale
#украшениякупить
#вышивканаодежде
#couturejewelry
#handmade_ru_jewellery
#брошьизбисера
#украшенияспб
#mak_mk";1493703192;140;1631646919;False;вышивкамк
BUJGa4CjMWy;"🌸НОВЫЙ МК ЦВЕТОЧКИ🌸

Все скорее идите смотрите новое видео по созданию простых, но интересных цветочков из бисера и пайеток. Ссылка у меня в профиле⬆️ Сюда вставила только маленькую часть😊

Как вам мои видео? Нравятся? Продолжать?

Если да, то пишите свои пожелания, буду воплощать!
Больше бесплатный уроков по тегу
#mak_lessons
#хочу_в_rd
#best_maserpiece
#handmade_fifi
#bm_bijou
#уроки 
#урокрукоделия
#уроквышивки 
#вышивкабисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#fancyjewelry
#handmadejewelrydesign
#embroiderylove
#fashionjewelryforsale
#украшениякупить
#вышивканаодежде
#couturejewelry
#handmade_ru_jewellery
#брошьизбисера
#идея_hm
#mak_mk";1494914003;269;1631646919;True;вышивкамк
BUQ0ll2D8rc;"🌼ПРОСТОЙ ЦВЕТОК ИЗ ПАЙЕТОК И БИСЕРА🌼
Меня очень вдохновил ваш отклик от последнего видео. Я читала приятные отзывы, смотрела на увеличивающиеся число просмотров и сохранений и наполнялась ❤
Решила нарезать видео и выложить вам сюда✔
Полную версию можно посмотреть на моем ютюб канале! Ссылка в профиле⬆️
Жду ваших лайков, иф ю лов ми😚
🗨 И девчонки, что еще снять? Идей много! Хочу угодить!
Больше бесплатный уроков по тегу
#mak_lessons
#хочу_в_rd
#best_maserpiece
#handmade_fifi
#bm_bijou  #decor_elements #мрр_2017 #идея_hm #handmade2017 #showme_woi #хочу_в_rd #best_masterpiece а
#девочкитакиедевочки
#уроки 
#урокрукоделия
#уроквышивки 
#вышивкабисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#mak_mk";1495173089;166;1631646919;True;вышивкамк
BUbKhiPDN_O;"🌿ВЫШИВАЕМ ЛИСТИК🌿
Последняя часть видео💕
А завтра будет уже новое👌
Ждете?!
Напишите мне, что бы интересно было еще посмотреть?!
Больше бесплатный уроков по тегу
#mak_lessons
#bm_bijou
#уроки 
#урокрукоделия
#уроквышивки 
#вышивкабисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#fancyjewelry
#handmadejewelrydesign
#embroiderylove
#fashionjewelryforsale
#украшениякупить
#вышивканаодежде
#couturejewelry
#handmade_ru_jewellery
#брошьизбисера
#идея_hm
#mak_mk";1495520135;166;1631646919;True;вышивкамк
BUoLtBBjjZi;"Как хочется уже бабочек, цветочков и тепла🌻
Я уже планирую баловать вас летними украшениями!
Скоро буду закупаться материалами💫

А кто еще не видел новый мастер-класс по брошке бабочке?!
Скорей бегите! Доступен по ссылке в профиле
#брошьбабочка
#уроки 
#урокрукоделия
#уроквышивки 
#вышивкабисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#бабочка
#handmadejewelrydesign
#embroiderylove
#голубаяброшь
#украшениякупить
#вышивканаодежде
#брошьбирюзовая
#handmade_ru_jewellery
#брошьизбисера
#брошь
#mak_mk";1495956961;113;1631646919;True;вышивкамк
BUyTRsxDgyi;"✴ОБРАБОТКА КРАЯ БИСЕРОМ✴

Ставьте ❤ и я буду снимать видео чаще!

Столкнулась с тем, что постоянно нужно в мк снимать какие-то повторяющиеся вещи. А ""эфирное"" время на них тратить жалко, поэтому засняла кусочек работы отдельно.

Это конечно, не единственный способ обработки края бисером..можно вообще, без него обойтись, но я люблю именно так😍

Ну как? Полезно было?! Больше бесплатный уроков по тегу
#mak_lessons
#bm_bijou
#уроки 
#урокрукоделия
#уроквышивки 
#вышивкабисером
#бисермк
#вышивкамк
#вышивказолотом
#мастеркласс
#рукоделие
#своимируами
#ручнаяработа
#девочкитакиедевочки
#серьгискристаллами
#embroiderydesigns
#fancyjewelry
#handmadejewelrydesign
#embroiderylove
#fashionjewelryforsale
#украшениякупить
#вышивканаодежде
#couturejewelry
#handmade_ru_jewellery
#брошьизбисера
#идея_hm
#mak_mk";1496296476;576;1631646919;True;вышивкамк
BV-Stc1hOXF;"Сегодня пятница, а значит рубрика #секретыВики продолжается, как я и обещала.... И сегодня мы поговорим о пайетках. Пайетки я предпочитаю либо Францию либо Италию. Да согласна, сейчас в меня полетят тапки за их цену, но поверьте они того стоят. Отличие от Китая или Тайваня просто огромнейшее ❌ Они не облезают, не портятся и не теряют блеск и краску. Я использую в работе 4мм и 3мм, есть конечно и 5мм и выше, но они требуются для крупной работы. ❌  Пайетки разделяются в основном на три вида: чаша ( могут быть как просто углубленные, так и выдавлены с геометрией, см видео), простые круглые и фигурные. На сегодняшний день их ассортимент безграничен
❌ Самое важное при работе с пайетками запомнить, что у них две стороны и одна из них изнанка, если приглядется, то вы сразу же это увидите. У разных видов оборотка разная, у кого-то просто матовая, а у кого-то есть прям ободочки на кончиках ( см фото №2)
❌ Пришивание пайеток также разное, я знаю всего несколько способов их я вам и покажу ( см видео их там 3). Также на 3 фото, есть схема пришивания. Но я ими не пользуюсь
❌Покупаю я пайетки в основном на ЯМ. Просто зайдите и наберите в поиске пайетки 4мм, там их вылезет море, я пользуюсь Магия Рук и Ma-cherie, у девочек очень большой выбор ассортимента и доставка в любой регион России. 
Ну и на сегодня все, встретимся в пятницу и обсудим с вами канитель, а после этого можно будет приступить и к работе😘😘😘
#пришиваниепайеток #вышивкабисером #вышивкапайетками #вышивкамк
Задаем вопросы и обмениваемся секретиками❤❤❤";1498846316;563;1912905817;False;вышивкамк
