post_id;text;date;likes;owner_id;is_video;by_tag
BaFBJMMg5XG;#гончарнаямастерская #гончарныймастеркласс #хобби;1507662011;32;1057183101;True;гончарныймастеркласс
Bn0Dr_WBAcx;"Керамическая тарелка. Ручная работа. В наличии. 
#СолнечныйГородРевда #гончарнаямастерская #гончарныймастеркласс #керамикаручнойработы #Керамика #керамическаятарелка #тарелки #декор #интерьер #Ревда #Первоуральск #Екатеринбург";1537157601;23;1947016469;False;гончарныймастеркласс
Bn4clAkhSlU;"Добро пожаловать, сочная и особенно красивая осень!
🧡 Мы создадим с вами неповторимые шедевры и станем еще счастливее на один сезон!
⏭Листайте наши афиши, выбирайте шедевры по душе и бронируйте места!⏭
Д͇л͇я͇ ͇д͇е͇т͇е͇й͇ ͇и͇ ͇в͇з͇р͇о͇с͇л͇ы͇х͇:
🔹22 сентября 12:00 «Я гончар!»
🔹29 сентября 12:00 «Я флорист!»
⠀
Р͇и͇с͇у͇е͇м͇ ͇к͇р͇а͇с͇и͇в͇ы͇е͇ ͇к͇а͇р͇т͇и͇н͇ы͇:
🔹30 сентября 12:00
🔹7 октября 12:00
🔹14 октября 12:00
⠀
К͇р͇у͇т͇ы͇е͇ ͇г͇о͇н͇ч͇а͇р͇н͇ы͇е͇ ͇м͇а͇с͇т͇е͇р͇-͇к͇л͇а͇с͇с͇ы͇ с фотосессией в ресторанах:
🔹30 сентября 15:00
🔹21 октября 15:00
⠀
Записывайтесь на индивидуальные мастер-классы в особенной мастерской Пикасо:
🔺Новые изысканные и сложные картины на ваш выбор;
🔺Гончарные свидания;
🔺Создаем самую необычную посуду с нерикоми и золотом;
🔺Флорариумы и живые мини-сады.
⠀
❤️ А также этой осенью вас ждут новые места, сюрпризы и розыгрыши классных призов от Пикасо!
👍🏻 Смело намекайте на подарочный сертификат от Пикасо и отмечайте друзей в комментариях, с кем хотите к нам пойти!👇🏻👇🏻
⠀
Б͇р͇о͇н͇и͇р͇у͇й͇т͇е͇ ͇б͇и͇л͇е͇т͇ы͇ ͇н͇а͇ ͇с͇а͇й͇т͇е͇:
✅ www.picaso.pro
➡️ссылка в профиле @_picaso_⬅️
🚙💨 Доставка билетов по городу бесплатная
🎁💌 Всегда в наличии подарочные сертификаты с открытой датой!";1537304868;132;3600268243;False;гончарныймастеркласс
Bn4hoezhR2i;"Друзья, приглашаем на гончарный мастер-класс Пикасо @_picaso_ для детей и взрослых.
🙌🏻 Включает занятие с мастером на гончарном круге, ручную лепку и роспись изделия. А также покрытие глазурью и двойной обжиг.
🍶 Каждый участник создаст свою красивую настоящую посуду: кружку, вазу или тарелку.
🍶 Стоимость участия = 1000 руб. 🍶 Возраст участников от 4х лет.
🍶 Бронируйте билеты заранее, количество мест ограничено.
🍶 Запись в профиле @_picaso_ или по телефону: +7(928)296-40-04";1537307518;98;5385888997;False;гончарныймастеркласс
Bn863G6F0pQ;"Скульпторами и гончарами раньше были только мужчины💪 Потому что женщины вообще ничего не делали, им положено было дома сидеть👠 И все шедевры старины сотворены мужчинами. А теперь и женщинам можно. Оказалось, что мы талантливы в равной степени🌈

У мужчин получаются более лаконичные формы. У женщин - детальная проработка и упор на декор. Есть и исключения. Но почти всегда можно угадать по изделию, какого полу автор.

Одним словом, керамика - универсальная штука. Изделие отражает автора. И в отличии от вязания или столярных работ🛠, не требует принадлежности к одному полу. 
А вообще особенно трогательно и интересно, когда приходят папы с маленькими дочками👸 Как этот замечательный папа Василисы!";1537454963;202;6748338785;False;гончарныймастеркласс
Bn8hu8mhRDB;"Порадуйте своих детей и себя!
Приходите на гончарный мастер-класс Пикасо @_picaso_ для детей и взрослых.
🙌🏻 Включает занятие с мастером на гончарном круге, ручную лепку и роспись изделия. А также покрытие глазурью и двойной обжиг.
🍶 Каждый участник создаст свою красивую настоящую посуду: кружку, вазу или тарелку.
⏭Листайте фото и видео готовых работ с прошедшего МК и бронируйте места⏭
🍶 Стоимость участия = 1000 руб.
🍶 Возраст участников от 4х лет.
🍶 Бронируйте билеты заранее, количество мест ограничено.
🍶 Бронь билетов на сайте picaso.pro или по телефону: +7(928)296-40-04
Активные ссылки в нашем профиле☝🏻";1537441789;87;3600268243;False;гончарныймастеркласс
BnJZQbGFH6X;"Осенью добавились бусы и блюда.
⠀
Керамические бусы📿 хороши на свитере, они оживляют спокойную теплую одежду🎩
Блюда лепим кружевные, рыбные, черепичные и в форме листьев. Используем высокотемпературную глину. Подхолит для духовки!!👍 Тарелки с отпечатками растений🍀 остаются еще месяц, пока есть что отпечатывать😄, а гранаты - вечный хит! 
А еще мы лепим чайники, расписываем наши заготовки и творим необыкновенные и неожиданные🎊 вещи на Свободном художнике. ⠀

Понедельник 
19-00: Гранаты

Вторник
14-30: Свободный художник
19-00: Бусы

Четверг
17-00 дети

Пятница
14-00: Блюда
19-00: Роспись

Суббота
12-00: Гончарный круг
12-00: Тарелки с отпечатками растений
14-30: Роспись
17-00: Гранаты

Воскресенье
12-00: дети
13-30: дети, гончарный круг
14-30: Чайник
17-00: Свободный художник

Мастер-класс по лепке и по росписи длится 2 часа и стоит 2000₽. Гончарный мк длится 2 часа и стоит 2200₽

Детские👱👸 мастер-классы длятся один час и стоят 900₽. Абонемент на 4 детских занятия стоит 3200₽. Все изделия покрываются бесцветной глазурью и получаются яркими и блестящими.
Глазурирование и обжиги, все материалы и фартуки включены в цену.
⠀
Приходите, будет весело и интересно!🎷
⠀
Записывайтесь через директ, WA в шапке профиля или по телефону+79854111023";1535726069;284;6748338785;False;гончарныймастеркласс
BnL7VAvlXLz;"Девичник с гончаркой!🎷 Девчонкам, которые дружат давно, хорошо вместе везде. В прошлом уже пижамные вечеринки, иногда даже ночные прогулки по барам🍻 Хочется нового фона для общения и веселья. Чего-нибудь свеженького🎊

За гончарным кругом руки пачкаются в глине. Поднимаем и опускаем мягкий ком, образуя причудливые формы. Скоро заведу специальную тетрадку для острот, которые отпускают по этому поводу😀

А потом у каждого получается. Салатик, пиала или чашка. А уж если винца с собой захватили, точно кувшин поднимется! Шутка😄

Анастасия с веселыми подругами была у нас пару месяцев назад. До сих пор улыбаюсь, когда вспоминаю🙂";1535811041;256;6748338785;False;гончарныймастеркласс
BnLIVIih4Aw;"Если в вашем сердце живет ананас, этот мастер-класс 100% для вас!!! 😅
🔄Листайте фото🔄
🍍 «Ананасомания» от @_picaso_
🍍 2 сентября в 15:00
🍍 Зеленая веранда семейного ресторана «Luka pizza», ул.Стадионная, 17/101А @luka_pizza
🍍 Гончарим тарелки, кружки, молочники, ананасо-вазы. Глины мало не покажется!
🍍Акция для ананасо-МАМ: занятие для ананасо-ребенка в подарок!
🍍 Вас ждёт: занятие на гончарном круге с мастером-профессионалом, ручная лепка, роспись изделия и крутая фотосессия Пикасо в подарок!!
🍍Ваши изделия мы высушим, проведем двойной обжиг при 1000 градусах, покроем блестящей глазурью и готовую посуду отдадим вам: счастливым и довольным!
🍍 Количество ананасо-мест ограничено! Бронируйте билеты.
🍍 Стоимость участия 1500 рублей.
⠀
Б͇р͇о͇н͇и͇р͇у͇й͇т͇е͇ ͇б͇и͇л͇е͇т͇ы͇ ͇н͇а͇ ͇с͇а͇й͇т͇е͇:
✅ www.picaso.pro
➡️ссылка в профиле @_picaso_⬅️
🚙💨 Доставка билетов по городу бесплатная
🎁💌 Всегда в наличии подарочные сертификаты с открытой датой!";1535784303;122;3600268243;False;гончарныймастеркласс
BnPQM2XFW1Z;"Мои сегодняшние герои ✊ Мне бы хотелось их с вами познакомить
.
На прошлой неделе Паша сгончарил замечательную чашку и сделал на ней роспись своих домашних попугаев, а на этой неделе пришёл выкрутить медовый горшок 🍯 Со второго раза ремесленный навык окреп и Паша сам перемешивал, центровал глину, выводил в конус и разгонял дно. Я немного помогла с формой. Он большой молодец.
.
Даня пришёл первый раз, руки у него развитые, поэтому мы без особых проблем сгончарили чашку. Он увлекается химией и новыми технологиями. Удивил меня тем, что рассказал про парадоксы квантовой физики и телепортацию одиночных фотонов. Помимо этого Даня хочет купить себе клона 🙈
.
На последней фото Ротибор. Делает уборку мастерской в 21:00 🕘
.
.
#отдыхсдрузьями #ручнаяработа #хендмейд #гончарнаямастерская #гончарныйкруг #гончарныймастеркласс #мастеркласс #дети #лепкаизглины #обучение #курск #керамика #обучениекерамике #ремесло #школагончарногоискусства #городскаяферма #вднх #школагончаров #гончарноедело #kolo_studio #kolokids #handmade #pottery #ceramics #ceramicstudio";1535922647;61;7076703208;False;гончарныймастеркласс
