post_id;text;date;likes;owner_id;is_video;by_tag
BR2hEhLlIEc;"Был необычайный опыт в гончарного мастерской. 😍😍😍 На гончарном круге с глиной сделать кружку, вазу. Это не просто но я справилась. 😇 Отдыхайте с пользой, развивайтесь 😊
.
.
#отдыхайспозитивом #отдыхайспользой #гончарныймастерклассспб #кружкасвоимируками #глинаспб";1489995475;3;4747274325;True;гончарныймастерклассспб
Be5iePNHZRZ;В нашей гончарной мастерской в самом центре Спб в дружеской обстановке, по умеренным ценам можно уже на первом занятии научиться делать пиалы, чашечки и тарелки. Занятия проводит Сергей, чуткий педагог с многолепным опытом)) #творчествоспб #творческий #творческаямедитация #керамикаспб #курсыкерамики #гончарнаястудия #гончарнаястудияспб #гончарнаямастерская #гончарнаямастерскаяспб #гончарныймастерклассспб #мккерамикаспб #мкспб #лепкаспб #творческиймкспб #занятиекерамикой #пиалакерамическаяспб @clayage;1518014160;9;4285494571;False;гончарныймастерклассспб
Be5jKAQnIBn;Творения учеников нашей гончарной студии ClayAge. Мы в самом центре Спб.  Больше информации в нашей группе www.vk.com/ceramicsspb #занятиекерамикой #spb #clayart #ceramicsspb #ceramics #творческиймкспб #мкспб #мкпокерамике #лепкаспб #гончарнаястудияспб #гончарнаямастерскаяспб #гончарныймастерклассспб #мклепка #посудасвоимируками #гдеполепитьизглины #цархитектор #гдеполепитьизглиныспб @clayage;1518014519;19;4285494571;False;гончарныймастерклассспб
Bi4gSATFN0m;"Каждый раз не устаем восхищаться работами наших гостей!😍 Талант есть у всех- это точно! .

Подглазурные краски Bootz для росписи керамики можно попробовать по Акции в Пятницу 500р. или в любое другое время индивидуально по предварительной записи..
.

Краски наносят кистью или аэрографом на заготовку и покрывают прозрачной глазурью, после обжига изделием можно пользоваться в быту и для пищевых целей. .
Листайте карусельную и увидите на фото поэтапный процесс росписи. Вот результат после обжига порадует всех!
.

Если у Вас заготовок нет, можно выбрать из наших. Готовое изделие заберете через 3 дня!
__________________________________________________________
8-921-314-68-28, С.Корзуна 4
Ваша, Babochka";1526569392;31;4115898592;False;гончарныймастерклассспб
BkIgewrlIp4;"👫КЕРАМИКА ДЕТЯМ👫.
. ☀️ЛЕТНЕЕ РАСПИСАНИЕ ☀️.
. 
Дети занимаются в группах:
Понедельник/Четверг/Суббота с 11:00.
.

Занятия продолжительностью 1 час.
.

СТОИМОСТЬ: 
650₽/ разово; 
Абонемент- 2200₽/ 4 занятия/; 3600₽/8занятий. .
.

Если Вам не удобно в это время , а Вы очень хотите, чтобы ребёнок занимался вечером, пишите- звоните, организуем!🦋.
. ——————————————-
С. Корзуна 4, 8-921-314-68-28";1529253851;16;4115898592;False;гончарныймастерклассспб
Bm1U9DBFWX-;"💥ДЕНЬ ОТКРЫТЫХ ДВЕРЕЙ💥

30 августа с 11 до 20.00 (Вход Свободный) 
Направьте творческую энергию в полезное русло! Все Мастер-классы для детей и взрослых- бесплатные🦋
Вас ожидает уникальная возможность:
-пообщаться с педагогами;
-самим прикоснуться к мастер-классам;
-приобрести льготный абонемент;
-купить со скидкой потрясающие изделия наших мастеров😍

_______________ 
Запись обязательна, количество мест ограничено: ☎8(981) 944-50-20 и 8(921)314 68 28 или через Сообщения группы 📍СПб. ул. Солдата Корзуна 4. 
#абракадабраспб #детскийпраздникспб #детскиепраздникиспб #детскийдрспб #детиспб #мастерклассспб #мамочкиспб #мамочкипитера #красносельскийрайон #дрспб #детскоешоу #пиньята #пиньятаспб #пиньятапитер#гончарныймастерклассспб#аэрографияспб#полимернаяглинаспб#";1535052724;25;4115898592;False;гончарныймастерклассспб
BmDmmxBFULO;Наши гости утверждают, что гончарный круг отлично снимает стресс и напряжение после рабочей недели. Во время процесса требуется максимальная концентрация всего тела, вплоть до самых кончиков пальцев✌️, которым будет очень приятно 👌 Голова отключается от всех мыслей и вы полностью погружаетесь в творческий процесс! 😊 #перезагрузка#гончарныймастерклассспб;1533384257;32;4115898592;False;гончарныймастерклассспб
Bt0cqo8lI08;Подарочный сертификат на занятие по керамике. Гончарная студия ClayAge Санкт-Петербург (м.Чернышевская) стоимость 1200 руб. В сертификат входит занятие с мастером длительностью 1.5 часа, количество глины достаточное для 2-3 изделий, утильный обжиг, наша глазуровка бесцветной глазурью и повторный высокотемпературный обжиг. Предоставляем все необходимые инструменты и профессиональный гончарный круг. Подробности по тел +79818598710 Сергей. #автоскаякерамика #спб #подарок #подарокспб #подарочныйсертификатспб #подарок14февраля #санктпетербург #керамикаспб #гончарныймастерклассспб #гончарноеделоспб #гончарнаямастерскаяспб #мкспб #студиякерамикиспб #студиякерамики #лепкаизглины #сертификатспб #спбкерамика #мастерклассспб #мастер_класс_спб @clayage;1550055599;9;4285494571;False;гончарныймастерклассспб
Bt5MXscFxd9;#домашнийдекорспб #авторскаяваза #автоскаякерамика #авторскаякерамикаспб #студиякерамикиспб #студиякерамики #спб #санктпетербург #домашнийдекорспб #необычныйдекор #декорспб #домашнийдекорспб #домашнийуют #арт #артспб #вазаспб #ваза #вазадляцветов #керамическаяваза #мкспб #курсыкерамикиспб #курсыкерамики #гончарноеделоспб #гончарнаямастерскаяспб #гончарныймастерклассспб #мккерамика #мккерамикаспб #керамикаспб #творчествоспб #природа #природный #глина @clayage;1550214827;29;4285494571;False;гончарныймастерклассспб
Bu3txnAFrO_;"Ceramic workshops in St Petersburg (Russia). Ежедневные мастер-классы по керамике и основам глазуровки в гончарной мастерской ""ClayAge"". Отличный вариант для небольших компаний (2-4 человека), т.к. мы обязательно запишем вас на отдельное время + на наших занятиях каждому предоставляется по 2 кг глины (этого хватит на 2-3 изделия). На занятии вы сможете освоить некоторые техники ручной лепки и попробовать гончарный круг. В итоге у каждого получится по 2-3 изделия.  Продолжительность 1.5 часа.  Занятие ведет керамист с многолетним опытом и чуткий педагог Сергей.  Стоимость 900 руб с человека ( в стоимость входит глина, использование всех необходимых инструментов, гончарного круга, последующий обжиг изделий)  Запись через сообщения в группе www.vk.com/ceramicsspb или по телефону +79818598710 Сергей.  На фото 1 изделия учеников, 2 мастерская, 3 изделия учеников, 4 фото с занятия, 5 и 6 изделия учеников.  #гончарныймастеркласс #гончарныймастерклассспб #гончарнаямастерская #гончарнаямастерскаяспб #студиякерамикиспб #мккерамикаспб #арт #спб #санктпетербург @clayage";1552312716;50;4285494571;False;гончарныймастерклассспб
