post_id;text;date;likes;owner_id;is_video;by_tag
Br0XSXtgz3v;Совсем ещё юный, но такой старательный декоратор)))) горжусь!😇 #творимвместе #декордлядома #новогоднийдекор #детскиймастеркласс #belayatvorit #belayanatvorila;1545757811;42;6331595022;False;детскиймастеркласс
BusvfmKABw4;"Позитивное утро 7 марта!Провела мк по росписи пряничков в 4 классе в 5 лицее!Так интересно!и ребятам нравится, и у меня душа радуется наблюдать, как детки творят! какие у них открытые сердца, сколько в них непосредственности и стремлений!от всего сердца желаю им в жизни верных друзей, попутного ветра и правильных целей!P.S.…Легкая ностальгия по своему педагогическому прошлому…)))
#пряничныймастеркласс #прияникившколе #мастерклассдляшкольниковСтаврополь #школаСтаврополь #детскиймастеркласс";1551944518;110;1940149127;False;детскиймастеркласс
Bv_JaowBlqB;"ПРОБНЫЙ УРОК БЕСПЛАТНО*
С 9 до 21, в любой день недели, вы можете совершить звонок нашим администраторам , чтобы уточнить актуальную информацию:
- записаться на плавание или на занятия ;
- узнать цены на абонементы или разовые посещения ;
- уточнить информацию по поводу актуальных мастер классах и лекциях ;
А можно просто прийти на экскурсию и девушки покажут вам наш центр ✊🏻☀️
250-60-61 📞
*кроме бассейна , бесплатно можно попробовать любой урок (танцы, раннее развитие, подготовка к школе, рисование..)";1554709572;30;6660234054;False;детскиймастеркласс
Bw10VNPhEYc;"УТРО, КОТОРОЕ НАЧИНАЕТСЯ НЕ С КОФЕ
*
Арт-студия панда 🐼 приглашает тебя на мастер-класс по рисованию акриловыми красками🎨.
Нарисуем вот такую картину, размер А3🖼.
Все материалы предоставляются🎆 Готовую работу вы сможете забрать домой, она послужит прекрасным дополнением вашего интерьера🏡
*при условия хорошей погоды, рисуем на улице☀️
📆13 мая 11:00, попасть можно по предварительной записи.
Стоимость 800₽, предоплата 300₽";1556544011;31;10695456142;False;детскиймастеркласс
Bw10byrB8UK;"ЖИВОЕ ПАННО ИЗ МХА
*
Арт-студия панда 🐼 приглашает на мастер-класс по изготовлению картины из стабилизированного мха🍃
Мягкий мох🍃 сохраняет свои свойства долгие годы, такая картина прекрасно подойдёт под любой интерьер🖼
🌸Вам будут предоставлены:
-основа для картины 20*30
-рама для картины белого или чёрного цвета
-мох
-кора, камушки, веточки
⏱Продолжительность мастер-класса ~1.5-2 часа
📆13 мая в 19:30, попасть можно по предварительной записи
Стоимость 2400₽, предоплата 500₽";1556544065;24;10695456142;False;детскиймастеркласс
Bw10mwmh3MI;"ДУМАЕТЕ, ЧТО НЕ УМЕЕТЕ РИСОВАТЬ? МЫ ВАМ ПОКАЖЕМ, ЧТО ЭТО НЕ ТАК🖌
*
Арт-студия панда 🐼 приглашает тебя на мастер-класс по рисованию.
Вы сможете самостоятельно нарисовать вот такую картину при помощи кисти🖌 и мастихина🖋
Размер работы А3, рисуем акрилом🎨
Все материалы предоставляются🎆 Готовую работу вы сможете забрать домой, она послужит прекрасным дополнением вашего интерьера🏡
📆15 мая 19:00, попасть можно по предварительной записи.
Стоимость 1000₽, предоплата 300₽";1556544155;33;10695456142;False;детскиймастеркласс
Bw11aeJBxIJ;"ДУМАЕТЕ, ЧТО НЕ УМЕЕТЕ РИСОВАТЬ? МЫ ВАМ ПОКАЖЕМ, ЧТО ЭТО НЕ ТАК🖌
*
Арт-студия панда 🐼 приглашает тебя на мастер-класс по рисованию.
Вы сможете самостоятельно нарисовать вот такую картину🖼
Размер работы А3🎨
Все материалы предоставляются🎆 Готовую работу вы сможете забрать домой, она послужит прекрасным дополнением вашего интерьера🏡
📆16 мая 20:00, попасть можно по предварительной записи.
Стоимость 1000₽, предоплата 300₽";1556544579;30;10695456142;False;детскиймастеркласс
Bw6i2Y2FOxV;"Прекрасные дамы и благородные господа!
Приглашаем вас в эти выходных дни посетить Школу рыцарей Сити-парка ""Град""! Вас научат:
🍵 работать на гончарном кругу (изделие в подарок!)
📌 плести кольчужное полотно
⚔ ""сделать"" меч
👑 создать корону для принцессы

А также фотографии на Железном троне, розыгрыш поездки на настоящий рыцарский турнир, обмен чеков на сахарную вату и многое другое!
.
🎈 Участие в мероприятих Школы рыцарей - БЕСПЛАТНОЕ! 
Подробности читайте на нашем сайте и по телефону 8-800-7007-800.

#играпрестолов #ситипаркград #gameofthrones #воронеж #афишаворонеж #рентв #рыцари #длявсейсемьи #нашворонеж #детскиймастеркласс #мкдлядетей #железныйтрон";1556702618;70;1064513144;False;детскиймастеркласс
Bw9G_OJBGQC;"У НАС ВОЛШЕБСТВО ✨
Столы с подсветкой удовольствие , которое не каждый поселит себе домой по ряду причин:
- занимает много места ( когда и без того уже коробки игрушек , домики и транспорт 😅);
- достаточно высокая стоимость;
- и, конечно, когда такой классный стол есть дома, его используют  все меньше.
Другое дело , прийти в Детский центр и со своими сверстниками рисовать песочком вдоволь, да ещё и под руководством педагога-психолога. Это настоящее чудо☀️.
___________________________________
Занятия по песочному рисованию проходят:
🌿3-4 года вторник/четверг 16:30
🌿4-5 лет вторник/четверг 17:30
Стоимость:
Пробное бесплатно
Разовое 450₽
4 урока 1700₽
8 уроков 3200₽
Запись на пробный урок по телефону 250-60-61";1556790476;27;6660234054;True;детскиймастеркласс
BwCs5x_Bxe7;"Расписание занятий на среду:
•Раннее развитие:
Галина Петровна 16:30 детки 1,3-2; 17:30 детки 3-4;
Анна Александровна 10:00 и 11:00 детки возраста 1,6-3;
•Подготовка к школе детки возрастных групп 4-5,5-6,6-7 занятия в утреннее и в вечернее время;
•Хореография 16:00 дети 7-11; 17:00 3-4,5; 18:00 5-7 лет.
Запись на первое БЕСПЛАТНОЕ занятие по телефону 250-60-61";1554828841;41;6660234054;False;детскиймастеркласс
BwG9_t8BrF_;"Пожалуй, балетную пачку и пуанты мечтает иметь каждая девочка.
Волшебство ✨, несущее в себе этот вид искусства, завораживает и влюбляет на всю жизнь. В @academiya_detstva есть класс балета для разных возрастных групп. Запишитесь на бесплатный пробный урок по телефону 250-60-61";1554972020;32;6660234054;False;детскиймастеркласс
BwMzQ4BBvhL;На занятиях танцами , хореографией или балетом - важен не только этап взаимодействия с телом и самодисциплина. Вот построение отношений и формирование ещё одного круга интересов у ребёнка -  очередной шаг к взрослению и реализации.;1555167720;52;6660234054;False;детскиймастеркласс
BwSYsXBhL0L;"К лету готовите деток ? На море кто едет ? Самое время подготовить малышей к морским приключениям.
У нас работает четыре тренера. У каждого своя направленность и сильные стороны. Принимаем деток от 3 месяцев до 9 лет.
Пробная тренировка с большой скидкой, звоните 250-60-61";1555355116;28;6660234054;False;детскиймастеркласс
BwWlu9pBUkf;"Доброго вам дня) надеемся , дождик ☔️ не мешает вашим планам? У нас все стабильно. К тому же мы добавляем в расписание ещё одну группу подготовки к школе.
Программа полностью начинается с начала.
Возраст 5-6 лет
Вторник и четверг 17:00
Запись на первый бесплатный урок по телефону 250-60-61";1555496171;30;6660234054;False;детскиймастеркласс
BwZvArHhMKq;"Мы ценим чистоту , порядок и комфорт. 
Потому что мы тоже мамы и знаем о важных вещах для наших и ваших малышей.
🛋
#Академиядетства #ростов #бассейндлядетей #развивашки
#бассейн #рисование #танцы #хореография #балет #шахматы #детскийцентр";1555601698;29;6660234054;False;детскиймастеркласс
BwbzulAhhGb;"Эту малышку зовут Лиза 👧🏼
Ей 3 года. И она занимается хореографией.
Каждый урок начинается с разминки. Большое внимание уделяется стопам. Их необходимо разогревать, растягивать и укреплять. Красивая стопа и высокий подъем одна из основ в танцевальных направлениях.
Такие уроки детской хореографии проходят по 
средам/субботам в  17:00 
Группа 3-4,5 года 
Педагог @vilya_n 
Запись на пробный бесплатный урок 250-60-61";1555671280;35;6660234054;False;детскиймастеркласс
BwhkfQ4hYw3;Подошла к завершению ещё одна неделя. А сегодня светлый чудесный праздник. И впереди новая неделя , наполненная домашними делами и приятными хлопотами. Надеюсь , ваши малышата будут участвовать в приготовлении к Пасхальному дню.;1555864617;30;6660234054;False;детскиймастеркласс
BwravMIhBk-;Малыши вовсю готовятся к Пасхе. Такими зайчатами 🐰можно и дом украсить и бабушке подарок сделать 🐇;1556195048;33;6660234054;False;детскиймастеркласс
Bwt0XG2hsdu;Мы готовимся к каждому празднику. В фотозоне всегда ажиотаж. Отмечайте нас на своих снимках🌿☀️;1556275592;54;6660234054;False;детскиймастеркласс
Bwt10DeBT64;Утро, началось не с кофе, а с рисунка 🖌👩🏼‍🎨 Спасибо нашим гостям за атмосферу😍;1556276353;50;10695456142;False;детскиймастеркласс
Bwv7V3LBxWL;А вот и наша замечательная гостья, которая сотворила такую красоту своими руками😍;1556346360;46;10695456142;False;детскиймастеркласс
BwzD1E9BdBD;С праздником вас дорогие наши друзья 🌿☀️;1556451474;22;6660234054;False;детскиймастеркласс
Bwzl-dzBtAT;"День рождения прошёл на ура🎈наши юные гости смастерили замечательные чашки☕️ Каждый смог выбрать дизайн самостоятельно, а наш мастер помог воплотить это в жизнь 🐰🐱🐶
*
Если у вас скоро праздник и вы не знаете как отметить, то мы с радостью организуем для вас и ваших гостей незабываемый арт-праздник 🖌🖼";1556469376;50;10695456142;False;детскиймастеркласс
BxAZopPh7Xf;"У нас все активно: будто никаких выходных и город заполнен детьми.
Завтра по плану:
Подготовка к школе , балет и хореография.
🌿Подготовка к школе:
4-5 лет 10:30 и 16:30;
5-6 лет 11:30 и 17:30
. 🌿Балет:
4,5-6 лет 11:00
. 🌿Хореография:
3-4,5 лет 17:00;
5-7 лет 18:00;
7-11 лет 16:00.
. 
Запись по телефону 2506061. Первый пробный урок БЕСПЛАТНЫЙ";1556899114;23;6660234054;False;детскиймастеркласс
BxF4XHLhYA1;Проверить причёску во время занятий, зачастую важнее, чем ножки растянуть. Потому что  фотограф стоит напротив 👯‍♀️;1557082995;32;6660234054;False;детскиймастеркласс
BxHUcmTBHrI;"Равнодушных не будет.
Время детки проведут не только с пользой и удовольствием. А ещё хорошенько смогут подкрепиться и восстановить силы после занятий.
Доброго утра ☀️🌿";1557131275;42;6660234054;False;детскиймастеркласс
