post_id;text;date;likes;owner_id;is_video;by_tag
Bh0gs4EFEEk;"Мастер-класс по единорожке прошел отлично! 🤗
Сшили с девочками целых 5 волшебных единорожков 😊 загадали желание поехать на морько 🌊 😀
Девочки умницы! Отлично справились ♥️ P.S. Редкий случай, когда после МК у меня куча фото, в том числе и я на них 😆
За это отдельное спасибо Екатерине @kate.decor 😊

#мк_ивашко";1524287910;254;2811504349;False;живоймк
Bh1YcPSBpQg;"Одним из самых ярких воспоминаний #Киева была встреча с известным психологом и просто чудесной женщиной Мариной Романенко @romanenko6276 😍☀🙏
Мне посчастливилось побывать на ее мастер-классе по семейным кризисам. И это было незабываемо! Вот все: место проведения, атмосфера, теплота и душевность, внимательность к каждому вопросу участников и высочайший профессионализм 🤓😇 Один из главных инсайтов встречи, который #догоняет меня до сих пор : это ""ЧЬИ В СЕМЬЕ #ДЕТИ?""
Чьи дети в семье, девочки и мальчики, как вы думаете ❓❗
Правильный ответ по Марине Романенко: ""Дети всегда #мамины""❗
Не общие, а именно мамины. И поэтому, каждый раз, когда ваш мужчина делает что-то для вашего ребенка, благодарите и принимайте, потому что может и не делать! 
Он не обязан ничего делать для вашего ребенка и упрекать его за то, что не гуляет, не уделяет внимания, не занимается воспитанием, нет смысла. Просить о помощи, привлекать, но не упрекать. 
Предвещаю заброс меня тухлыми яйцами, но, я просто делюсь мнением одного из самых лучших семейных психологов в Украине 😀
Скажите, согласны ли вы с этой точкой зрения или есть возражения?😉 #Марина_Романенко #смотрим_ютуб
#Киев #живойМК #чьи_в_семье_дети";1524317134;56;3540506202;False;живоймк
Bh1mKjLABu6;"Сегодня на мастер-классе делали тревел-буки.✈🚙🚌🚈 Участницы научились декорировать папку на кольцах, узнали о правильности наполнения и заполнения тревелов. ✍🏻✉☕📎📖
Спасибо, девочки, за приятную компанию!💐
И, конечно, магазину ""Храни воспоминания"" за гостеприимство 🌷 @keepmemories_shop
.
#мктревелбук #тревелбук #мкекатеринбург #живоймк #travel #мк #мастеркласс #итогидня #скрапбукинг #scrapbooking #scrap #папканакольцах #вдорогу #путешествие #книга #bonvoyage #вместе #своимируками #скрапкнига #екатеринбург #aloha_scrap #aloha_scrap_живоймк #Наталия_Попова";1524324329;57;3490601710;False;живоймк
Bh31drkg1sc;"Вчера прошел мой бесплатный мастер-класс в сетевом магазине “Иголочка”. Атмосфера была потрясающая.❤ Очень тепло приняли сотрудники и очень старательно мастерили ученицы. 👐✂
Мы вместе подбирали бумагу и декор. Время пролетело незаметно,  даже задержались чуток. Рукодельницы ушли домой с красивыми мини-альбомчиками, которые они подарят своим близким. 👪
⠀⠀⠀⠀⠀⠀⠀⠀⠀
А я ушла вдохновленная и окрыленная. Энергия так и била через край. 😃
⠀⠀⠀⠀⠀⠀⠀⠀⠀
С нетерпением уже жду следующего мастер-класс, который состоится в мае. 😉
#обомне_отмарины";1524399459;122;1104635002;False;живоймк
Bh5zeKYjQlG;"Доброе утро💐
Сегодня расскажу о полиэфирном шнуре!
Что же это такое и с чем его едят 😂
🍀Полиэфирный шнур - это удивительно приятный материал. Приятен он тем, что по ощущениям очень мягкий, даже напоминает натуральный материал.
🍀Полиэфирный шнур обладает отличными характеристиками, он тянется, пружинится и отлично держит форму!
🍀При вязание не скрипит, в отличие от полипропиленового шнура!
🍀Полиэфирное волокно интересно тем, что оно не выгорает, не собирает пыль, отлично стирается в стиральной машине ( при 30-40 градусах), быстро сохнет и совершенно не электризуется!👍
Что же вяжут из полиэфирного шнура🤔
🍀Вяжут ковры, корзины, пуфы и сумочки ( но о сумочках чуть позже 😉)
🍀Ковры связанные из полиэфирного шнура получаются объемными и пышными, и обладают массажным эффектом!
🍀Корзиночки отлично держат форму их не нужно уплотнять при вязании.
🍀На фото показаны корзины связанные из полиэфирного шнура «Клевер» замечательной мастерицей @lola.birdie 
В нашей студии представлен полиэфирный шнур от производителя «Клевер»
Толщина нити - 3 мм
Длина нити - 100 метров ( под заказ можно любую длину непрерывной нити)
Цена - 150₽ за бобинку (100 метров)
🍀Наш адрес:
Сокольники ул. Большая Остроумовская 12 офис 17 ( по предварительной договоренности)
-
Хвастайтесь у кого дома есть изделия из полиэфирного шнура и как вам шнур в эксплуатации?😊";1524465523;179;4239580114;False;живоймк
Bh6dYEMFg43;"Групповой МК.
Объявляется набор в группу по карвингу кукол Блайз (карвинг от английского слова carving - вырезать). На мастер-классе вы под чутким руководством двух мастеров создадите «своё» личико куклы Блайз. Мы покажем основы и технику карвинга, что позволит вам в дальнейшем самостоятельно делать любые формы губ и носа. Так же вы полностью сделаете и затонируете (мэйк ап) лицевую панель, которую в дальнейшем можно поставить на куклу. Лицевая панель и все инструменты (на момент работы на МК) предоставляются. Все необходимое для карвинга, а также самих кукол можно будет купить в студии. 
Мастер класс проходит два дня с 11.00 до 19.00 в студии «Мастерская +». Стоимость Мастер класса 10.000₽. Предоплата 3.000₽ на карту СБ (предоплата невозвратная). Запись в директ или What’sApp 89998137262. Количество мест ограничего!!! В подарок мы покажем, как сделать «полный взгляд» и «закрывающиеся глаза». Также на МК можно будет купить чипы для глаз с мерцающим эффектом по спец цене.
МК ведут Александр и Анна Метелёвы @annameteleva @dollblythe_am 
__________________________
#мастеркласс #мк #кастомблайз #блайз #живоймк #москва #карвинг #кастом #карвингблайз";1524487494;157;1657543877;False;живоймк
Bh6pr09lqud;"5 мая -  @alena.gmk с интенсивом по росписи кукольного личика! Вагон информации, практика и шпаргалки с собой домой!!! Кто еще не записался? Кол-во мест ограничено, запись в директ к @alena.gmk 
Стоимость 3500р ( за такой мк - просто даром!) #шопсундук #мастерскаясундук #анонсмк #мастеркласс #живоймк #росписьлица #рисуемлицокукле #текстильнаякукла #кукласнарисованнымлицом #мастерскаяваренду #арендамастерской #арендастудии #арендастудиидлямк #кукларучнойработы";1524493947;69;1642877183;False;живоймк
Bh8YhuQh_A4;"Вариантов ПОЯСНОЙ СУМКИ уже пруд пруди, НО такой милахи мы ещё не видели!😍😍😍
Преимущества:
🔅 вариативность модели!
🔅 оптимальная форма!
🔅 вместительность!
🔅 можно надеть на любой ремень!
Приглашаем связать этот must have сезона весна/лето 2018 вместе❤️
___________
❗️Мастер-класс будет проходить в 3КОКО Studio в субботу 28 апреля с 12:00 и до последней сумочки!😉 Проведёт МК Гергана Коновалова - Производитель пряжи НИТКА!😘
❗️Стоимость участия 600₽ (предоплата), материалы для МК приобретаются в магазине непосредственно с витрины пряжи НИТКА (потребуется 1 моток 330-350₽);
❗️Инструменты (крючки 4, 6, 8 и спицы  6 прямые) приносите с собой или покупаете в магазине (аренда не предусмотрена);
❗️Уровень 1+ (кто не умеет вязать на спицах - научим, но крючком все-таки лучше уметь владеть);
❗️Адрес: ул.Воронцовская 25 стр. 3 (метро Таганская, Марксистская, Пролетарская). Если едете на авто, в навигаторе набирайте - Воронцовская 25 стр 1;
❗️Запись на МК обязательна!
❗️Подробности о модели сумки 👉 @nitkashop !
___________
Напоминаем, что по субботам вне зависимости от проведения МК магазин работает с 11:00 до 16:00! Ждём вас!
___________
#3коко #3кокомаркет #учебныйкласс3коко #мастеркласс3коко #изтпряжи #тпряжа #учисьвязать #мастеркласс #вязатьнатанке #мк #мкповязанию #мкповязаниюкрючком #творческоеместо #творческоепространство3коко #мквмоскве #живоймк #своимируками #клатчкрючком #вязанаясумка #вязаныйклатч #вяжем_с_ниткой #нитка_мк #пояснаясумка #хочумогуделаю #неумеешьнаучим #вяжукрючком #tshirtyarn #hobby #хобби #вязание";1524552060;159;3043179268;False;живоймк
BhJGb8Xh0fp;"101 долматинец!

Долго думала, как связать пятнистую собаку, и тут на глаза попался такой замечательный моток вторички! Эх, прям долматинчик подучился!

Дети в восторге! 🤗🤗🤗 Наконец-то есть и собака! Теперь бы еще не только белого щенка 🐕... и кошку🐈! Таков вердикт любителей корзин с мордашками.

Правда, дети больше кошек любят... но корзинка пришлась по душе!

Хотите связать себе такого? Сами!
Может устроим живой МК?
~~~~~~~~~~
Корзинка Долматинец
✅Материал: 100% хлопок;
✅Размеры: d - 16см., h - 13 см.
✅Цена 800р
✅В наличии.";1522831300;82;4513914520;False;живоймк
BhLxoRgHROn;"Пора строить планы на апрель.🤗
И поэтому публикую анонс МК которые пройдут в нашем шоу руме.
.
.📍14. 04.  с Аней @knittedbird изучим имитацию втачного рукава (или втачному рукаву по кругу).
📍15.04.  свяжем круглую корзинку с @malisa.home .
📍21.04.  числа свяжем ковер из шестиугольных мотивом крючком c @panda_knit_yarn
📍22.04.  свяжем тапочки с @shu_knits
📍И 22.04. сплетем настенное панно в стиле бохо c @ohmyknot
📍30.04.  Панно в скандинавском стиле с @ohmyknot
📍29.04 числа свяжем круглый ковер c @malisa.home

Более подробную информацию о МК опубликуем в следующих постах.

Записаться на МК вы можете написав мне в Директ или мастеру.  Так же можете оставить комментарий и мы с вами свяжемся.

#живоймк #мкСПб #мк #мквязаниеспб #мкмакраме #макраме #вяжемковер #мкковер #мктапочки #учусьвязать #учусьвязатьспицами";1522921054;61;6232198899;False;живоймк
