post_id;text;date;likes;owner_id;is_video;by_tag
BOIqqpYgzMa;Среди ночи любуемся результатами сегодняшнего МК по новогоднему венку🎄🎄🎄 Столько красоты натворили☺️🙈 Девочки-умнички👌😄 Всех с наступающим и доброй ночи😴 #клюквавологда #клюкваМК;1482014551;25;669825121;False;клюквамк
BqIKzgQlXnH;#росписьназеркалах#клюква#клюквамк#хендмейд#инстадетки#выходныевспб#витраж#акрил#рисунок#мастеркласс#дети#творчество#идеи#каникулы#рисование Наш новый мастер-класс по росписи зеркал. Яркие и нарядные рисунки,светящиеся будто изнутри-отличный подарок,сделанный своими руками. Заказать мастер-класс можно уже сегодня. Ссылка в ВК в профиле );1542127388;13;2070696594;False;клюквамк
Br4MZohlQmF;"Мастерская Деда Мороза начала свою работу в Охта Молле
22 декабря мы сделали наш Рождественский домик
Каждые выходные в домике будут появляться новые жильцы
Творческая Мастерская ""Клюква"" приглашает вас в гости
Приходите на наши детские мастер-классы,
До встречи в Охта Молл #охтамолл#тц#длядетей#новыйгод#рождество#клюква#мамыидети#подарки#каникулы#дедмороз#своимируками#мастеркласс#т#поделкидлядетей#клюквамк#klukvamk#klukva";1545886321;14;2070696594;False;клюквамк
Br_A3UXlYA_;"Сегодня в Охта Молл мастерская студии ""Клюква"" продолжила свою работу по созданию игрушек из фетра. Даже самые маленькие посетители смогли справиться и сделали для себя мягкую игрушку из фетра. Теперь пряничный человечек поселился во многих домах Петербурга. Наши новые мастер-классы в Охта Молл ждут вас 30 декабря,3-4 и 6-7 января. Приходите в гости #клюква#мастерклассыдлядетей#новыйгод#игрушкиизфетра#рождество#каникулы#мамыидети#идеидлятворчества#фетр#игрушкиизфетра#охтамолл#какпровестивыходныеспб#спб#клюквамк#klukvamk#klukva";1546115154;19;2070696594;False;клюквамк
Bs2gG8MFyUE;"А как вы проводите воскресенье? У нас полным ходом идет сборка калейдоскопов, и похожих нет ни у кого, потому что фантазия+блестки+цветные стеклышки и яркие бусинки у всех разные. Создать волшебство может каждый))). Закажите выездной мастер-класс в студии """"Клюква"" сегодня и завтра мы будем творить волшебство с Вами. Звоните +7/996-777-96-31 #клюквамк#klukvamk#мастерклассспб#выездныемастерклассы#поделкисдетьми#инстамама#спб#живописьакрилом#флорариум#суккуленты#дети#творчество#";1547977029;17;2070696594;False;клюквамк
BsAPF_nFkWL;Взрослые тоже любят рисовать))), у нас с самого утра роспись пряников в одном из офисов Петербурга. Весело и 😋 вкусно. А как начинается ваш день? #росписьпряников#корпоратив#новыйгод#мамыидети#спб#рождество#каникулы#праздник#пряники#подарки#клюква#мероприятия#праздникподключ#велкам#поздравление#клюквамк#klukvamk#klukva;1546156169;14;2070696594;False;клюквамк
BsBpphNlKV6;"Сегодня студия выездных мастер-классов ""Клюква"" и Охта молл сделали мастер-класс для детей. Волшебные совушки из фетра разлетелись по ладошкам детей.мягкую игрушку может сделать и ваш малыш. Приходите в Охта Молл 3-4-6-7 января. Студия ""Клюква"" ждет вас на 2-этаже,рядом с охта лаб!!! #мастеркласс#мамыидети#школа#новыйгод#выездныемастерклассы#каникулы#рождество#спб#чемзанятьдетей#корпоратив#занятиядлядетей#развлечениязимой#клюквамк#klukvamk#klukva";1546203646;16;2070696594;False;клюквамк
BsFpvcNF4Mm;"Мастерская Деда мороза и студия выездных мастер-классов Клюква поздравляет вас с наступившим 2019 годом. Ждем вас снова на нашей площадке в Охта Молл 3-4 января. Приходите всей семьей,будем творить вместе!!!
#клюква#мастерклассдлядетей#каникулы#спб#кудапойтисдетьми#творчество#идеи#мыгкиеигрушки#фетр#мамыидети#пряничныйчеловек#клюквамк#klukvamk#klukva";1546337912;16;2070696594;False;клюквамк
BsI0sQLlBwM;А чем Вы занимались 1 января??? Мы проводили мастер-класс по росписи елочных шаров в Приозерске. Прекрасный загородный отель, удивительные люди, уютно и по-домашнему. Закажите свой мастер-класс в Клюкве,проведите выходные в творческой обстановке. Звоните уже сейчас +7-996/777/96/31 #клюква#мастеркласс#выездныемастерклассы#рисованиеакрилом#спрингарт#роспись#спб#рождество#илеи#чемзанятьдетей#деньрождения#эвент#развлечения#творчество#вдохновение#акрил#рисуемсдетьми#мамыидети#загородныйотдых#клюквамк#klukvamk#klukva;1546444316;19;2070696594;False;клюквамк
BsLyEmXFs1K;"Сегодня в ТЦ Охта Молл студия ""Клюква"" работала в мастерской Деда Мороза. Все ребята сделали себе мягкую игрушку Лисичку. Завтра ждем всех на 2 этаже Охта Молла,будем делать новую интересную поделку. #игрушкиизфетра#поделкисдетьми#новыйгод#спб#чемзанятьдетей#мамыидети#каникулы#творчество#кудапойтиспб#рисуемсдетьми#рождество#клюква#охтамолл#клюквамк#klukvamk#klukva";1546543606;22;2070696594;False;клюквамк
BsOraixljT3;Сегодня в Охта Молл студия Клюква провела еще один мастер-класс по игрушкам из фетра. Потрудились все,и взрослые и ребята. Мягкие котики получились у всех-всех-всех. Спасибо за старания))), ждем вас в гости 6 и 7 января. #клюква#мастерклассыспб#выездныемастеркрассы#рисуемакрилом#живопись#студиярисования#стрингарт#мамыидети#спб#выходныеспользой#творческиемастерскик#мыловарение#фетр#идеи#дети#детскийклуб#школа#детскийсад#клюквамк#klukvamk#klukva;1546640779;29;2070696594;False;клюквамк
