post_id;text;date;likes;owner_id;is_video;by_tag
BFvcUb8EcmT;"Спасибки, коллеги, за подарок! Было очень познавательно и увлекательно ;) #подарокколлег #мойденьрождения #mosmaryart #акрилпервыешаги #мастерклассакрил #сднемрождениямарикнопка #приятностидлямосмари #happybirthdaymosmari #happybirthdaymariknopka";1463988299;14;544136137;False;мастерклассакрил
BJUxwxzgtEb;Талантливые ученики интенсив-курса «Я-художник 4» Спасибо всем!))) #рисункибою #дочкиматериблг #мастерклассакрил #попарт;1471683506;106;2299628449;False;мастерклассакрил
BMgAquUjwQm;#мастеркласс #живопись #мастерклассживопись #мастерклассакрил #Казань #акрил #рисоватьлегко #рисовать #рисоватькрасиво #пейзаж #рисоватьпейзаж;1478502870;9;4061791272;False;мастерклассакрил
BMtIT4DhFlE;"Приглашаю на мастер-класс по живописи!🎨) Будем писать акрилом на профессиональном холсте. Все материалы предоставляются, домой вы забираете готовую работу.
Специальные навыки не нужны-можно приходить ""с нуля"")
Дата: 19 ноября(суббота)
Время:16.00( мастер-класс идет 2 часа)
Место: ул.Маяковского д.30 (салон флористики и декора ""Калатея"")
Цена:1600р.(все материалы включены!)
Записаться: https://vk.com/alina_zamilova, Директ или 💬☎89872997341(ватсап/звонить) #мастерклассы #мастерклассказань #казань #казанькудапойти #мастерклассыдлявзрослых #живопись #живописьакрилом #гранаты #мастерклассакрил #акрил #холст #живописьнахолсте";1478943085;62;2250842372;False;мастерклассакрил
BQ5lKbphYWl;"Вот и первое фото с мастер-класса по акрилу))) Напоминаем что завтра будем писать медведя))) Записывайтесь😉
✔25 февраля в 16-00 ✔Специальных художественных навыков не требуется! Даже если вы не разу не брали в руки кисть - не волнуйтесь, домой уйдете с прекрасной картиной )
✔Цена - 1000 руб. 
В стоимость включены все материалы, в том числе холст - формата А3 
Предоплата 200 рублей на карту СБ, которая не возвращается, если вы по какой-либо причине не приходите на МК. ✔Возрастные ограничения 15+!!! Записываемся заранее!!! Запись - тел 89058268652 Светлана или сюда https://vk.com/id8068252 
Адрес проведения -Зои Космодемьянской, 43, вход со двора, 2 этаж, каб.208 
Творческая мастерская ""Я - художник""
#art_home72 #мастерклассакрил #медведь #учимсярисовать";1487950800;41;1833267487;False;мастерклассакрил
BQ8HQP6BfHp;"Завтра пишем акрилом тигра! С таким выразительным, проникающим в душу взглядом😊😊😊
Все кто хочет попасть на наш мастер-класс по живописи акрилом - у вас последний шанс чтобы записаться😉
✔26 февраля в 16-00 - пишем ТИГРА 
Продолжительность 3-4 часа! ✔Цена - 1000 руб. 
В стоимость включены все материалы, в том числе холст - формата А3 
Предоплата 200 рублей на карту СБ, которая не возвращается, если вы по какой-либо причине не приходите на МК. ✔Специальных художественных навыков не требуется! ✔Возрастные ограничения 15+!!! Записываемся заранее!!! Запись - тел 89058268652 Светлана
Адрес проведения -Зои Космодемьянской, 43, вход со двора, 2 этаж, каб.208 
Творческая мастерская ""Я - художник""
#art_home72 #arttyumen #мастеркласс #мастерклассакрил #мастерклассдлявзрослых #живописьакрилом  #яхудожник #тюмень #tyumen #instaart #tmn #рисованиедлявзрослых #учимсярисовать #рисуем #творчество
#рисоватьмогутвсе #рисованиешкола #научитьсярисовать #обучениерисованию";1488035782;48;1833267487;False;мастерклассакрил
BQDMZmBDUmt;"К вам домой приходят звезды? :) А к нам часто заглядывают, самые яркие и талантливые! Особой популярностью пользуются магазины на Маяковской и Лубянке. К нам даже экстрасенсы заглядывают! 😂  А только что ""Передвижник"" на Фадеева посетила Корнелия Манго @korneliamango ! Она не только прекрасная певица, но и человек творческий, который ещё и проводит свои мастер-классы по живописи акрилом! И именно за акрилом College она и заходила! 😉
А вы тоже подготовились к творческим выходным? 🎨👌немного позитива и вдохновения вам в ленту с мастер-класса Корнелии! #передвижник_гости #мастеркласс #мастерклассакрил #акрил #товарыдлятворчества #товарыдляхудожников #акрил #акриловыекраски #живопись #живописьакрилом #кисти #краски #творчество #вдохновение #позитив";1486125877;150;1421089109;True;мастерклассакрил
BRi-ZjVBAd1;"Картина маслом в процессе. 
Идет набор в группы на занятия по живописи. Старт занятий с 14 марта в 19.00. В группе 6-7 человек, все материалы предоставляются.
Курс рассчитан на начинающих,  в ходе занятий вы научитесь строить предметы, смешивать краски, разберетесь в многообразии материалов для рисования. 
Используемые краски -гуашь, акварель, акрил.
Стоимость 5 занятий-4000 руб. Запись возможна через сайт studio-magichands.ru или по телефону +79197255788";1489339763;92;184554828;False;мастерклассакрил
BS6VD5yFcmB;🐰, не иначе) Draw&Go в РИО рисует каждые выходные😉#акрил #картина #картинаакрилом #живопись#дайтеещечтонибудьпокрасить#рисуноккаждыйдень #рисунок #акрил#живопись #акрилом #рисунок #acril #picture #drawing #draw #art🎨 #artist #ruslana_sweetart  #росписьакрилом #акриловыекраски #topcreator #illustration #illustration_best #illustrator #color#мастеркласс #мастерклассакрил;1492270879;50;305655212;False;мастерклассакрил
BS8zS-YlkTm;Сегодня цветы🌸 Draw&Go в РИО рисует каждые выходные😉#акрил #картина #картинаакрилом #живопись#дайтеещечтонибудьпокрасить#рисуноккаждыйдень #рисунок #акрил#живопись #акрилом #рисунок #acril #picture #drawing #draw #art🎨 #artist #ruslana_sweetart  #росписьакрилом #акриловыекраски #topcreator #illustration #illustration_best #illustrator #color#мастеркласс #мастерклассакрил;1492353840;56;305655212;False;мастерклассакрил
BT-OQBThn4s;"👍👍👍Такие замечательные игрушки можно получить из самых обычных прищепок.
.
⛵⛵⛵Ждём детей от 5 лет, а ребят помладше вместе с мамами, папами, бабушкам, дедушками  в субботу 20 мая в 12.30 на мастер-класс по игрушкам из прищепок.
.
📝Запись ведем в директ и по телефону 213-65-86.
.
😉🌿До встречи в творческое пространстве школы искусств Гризайль.";1494549010;43;1218147670;False;мастерклассакрил
BT7lTB2BUK1;"🙌⛵🎈🐦Смотрите, какую проникновенную историю придумали, нарисовали, озвучили дети - участники прошлого мастер-класса по мультипликации!
.
🌿🌿🌿Смотришь, слышишь, чувствуешь детские работы и кажется, что мы, взрослые, так много всего перестаем замечать, какие-то мелочи, детали, мысли, эмоции, из которых и складывается сама жизнь.
.
🌟🌟🌟Приглашаем ребят в возрасте от 3 до 12 лет 21 мая в 13.30 на мастер-класс по мультипликации. За 2 часа ребята под чутким руководством взрослых создадут свой авторский неповторимый и такой же проникновенный мультик.
.
📝Запись ведем в директ и по телефону 213-65-23.
.
📌Мы находимся в Новосибирске на Урицкого, 21. До встречи!😊🌿";1494460430;22;1218147670;True;мастерклассакрил
BTO6Peql1CS;Радуют хорошими работами✌🎨#картина #картинаакрилом #живопись#дайтеещечтонибудьпокрасить#рисуноккаждыйдень #рисунок #акрил#живопись #акрилом #рисунок #acril #picture #drawing #draw #art🎨 #artist #ruslana_sweetart  #росписьакрилом #акриловыекраски #topcreator #illustration #illustration_best #illustrator #color#мастеркласс #мастерклассакрил;1492961462;58;305655212;False;мастерклассакрил
BTYqNNXhwsZ;"⛵🐦🚀Дети очень любят рисовать. В своих образах они воплощают фантазии, проекции, рождают новые смыслы и новых друзей.
.
🌟🌟🌟Мы ценим детство и совместность деятельности мамы и ребенка. Ведь именно мама научит, расскажет, поможет ребенку полноценно войти в этот мир и реализоваться в нем.
.
🐦🐦🐦Мы продолжаем проект ""Творческая мастерская мамы и ребенка"" мастер-классом ""Истории камушков"", который состоится 1 мая в 10.00.
.
🐰🐦🐸🐟🍄За полтора часа вы создадите не только новых героев, но и придумаете про них сюжет или даже целую сказку.
.
🏃🏃🏃Стоимость МК 750 рублей. Материалы включены.
.
🌿Записаться можно в директ или по телефону 213-65-23.
.
🌟До встречи в нашем творческом пространстве школы искусств ""Гризайль"" в Новосибирске на Урицкого, 21.😊";1493288599;26;1218147670;False;мастерклассакрил
BTglboGlMET;"Мастер-классы по живописи, 
Время которое вы проведете с удовольствием и в итоге получится невероятная картина написанная вашими руками.
По вечерам вторника и четверга, в Антикафе ""12 комнат"" 
А вы ведь тоже можете написать свой шедевр?

#мастеркласс #живопись  #акрил 
#картина #картинасвоимируками  #урокиживописи #обучение #художник # мастер #рисунок #изо #уроки #антикафе #12комнат #Арт #спб  #санктпетербург #мастерклассакрил";1493554531;49;3242736473;False;мастерклассакрил
BTiNaoWBJOc;"🚘🚘🚘Любимый объект рисования у мальчишек, конечно, машинки. Машинок много не бывает, это знает каждая мама, которая вдруг оказывается в магазине со своим ребенком, или когда наводит порядок дома и убирает игрушки.
.
🌟🌟🌟Длительно удерживать внимание ребёнка на одном объекте непросто. Это сработает, если объект произведен самим ребенком. Тогда игрушка станет любимой и затмит все остальные.😊
.
🚙🚗🚑Приглашаем вас в субботу 6 мая с 16.00 до 17.30 расписать свою любимую и неповторимую деревянную машинку. Размер деревянной заготовки 18 см. Длительность мастер-класса 1,5 часа, чтобы наши юные мастера не устали.😉
.
👌👌👌На мастер-классе мы загрунтуем машинку, покрасим в яркие цвета и покроем для долговечности лаком.
.
🌿🌿🌿Стоимость мастер-класса 1200.
.
🙌Записаться можно в директ и по телефону 213-65-23.
.
⛵🎈Мастер-класс проходит в рамках проекта ""Творческая мастерская мамы и ребенка"". О других мастер-классах уточняйте у администратора.
.
😊🌿До встреч в нашем уютном и творческом пространстве в Новосибирске на Урицкого, 21";1493609049;62;1218147670;False;мастерклассакрил
