post_id;text;date;likes;owner_id;is_video;by_tag
BI-ld-YjJxj;"#мастерклассактау
#рукоделиеактау #mkaktau #masterclassaktau #handmadeaktau #handmadeaktau7292 #mkaktau #aktaumk #актаумк #актаумастеркласс #актаумастерклассы";1470938863;18;3650416752;False;мастерклассактау
BI-nqjkjJSh;"#мастерклассактау
#рукоделиеактау #mkaktau #masterclassaktau #handmadeaktau #handmadeaktau7292 #mkaktau #aktaumk #актаумк #актаумастеркласс #актаумастерклассы";1470940015;36;3650416752;False;мастерклассактау
BJC3kEujNJp;"#мастерклассактау
#рукоделиеактау #mkaktau #masterclassaktau #handmadeaktau #handmadeaktau7292 #mkaktau #aktaumk #актаумк #актаумастеркласс #актаумастерклассы";1471082568;45;3650416752;False;мастерклассактау
BSd9BXDB-N_;#прическиактау #укладкаактау #локоныактау;1491318752;11;1658029315;False;мастерклассактау
BU7pPUTFta3;#стрижкаактау #покраскаволосактау #укладкаактау  #омбреактау #милерованиеактау #прическиактау #локоныактау;1496609980;112;1658029315;False;мастерклассактау
Bbut9nbgBei;"Family and Friends 1

Задачи курса:

Овладение лексическим минимумом по темам: “School things”, “Toys”, “My body”, “Jobs”и др.

Успешная отработка и закрепление грамматических навыков уровня А1

Овладение на начальном этапе умением аудирования (восприятие на слух текста песен, коротких рассказов с визуальной опорой)

Развитие коммуникативных навыков на фразовом и сверхфразовом уровне (способность к коротким монологическим высказываниям по темам учебника)

#английскийактау
#творчествоидети
#детямактау
#мастерклассактау
#рукоделиеактау
#creativeenglish
#teacherofenglishaktau
#своимируками
#украшенияактау
#летняяпрограммаактау
#аксессуарыактау
#курсыактау
#репетиторактау
#преподавательанглийского
#мастерклассактау
#летнийанглийский
#курсыанглийскогоактау";1511208635;4;6478568423;False;мастерклассактау
BbwQemQgMMg;"Бүгінгідей жаһандану заманында көп тіл білетін адамның қоғамдағы алар орны да ерекше. Өзге тілді үйрену, оны жетік меңгеру — бұл ең алдымен халықаралық қатынастар кезінде айрықша рөл атқаратыны баршамызға аян. Тіл – халықпен бірге өмір сүріп дамиды. Елбасымыз Н.Ә.Назарбаев: «Әрбір Қазақстандық үш тілді жетік меңгеруі керек. 2020 жылға дейін ағылшын тілін білетін тұрғындар саны біршама көбеюі керек» — деп айтқан еді. Мектеп табалдырығынан бастап жоғарғы оқу орындарында ағылшын тілін үйрету айрықша мәртебеге ие. Ағылшын тілінің Қазақстандағы рөлінің арта түсуі қазақ тілінің мемлекеттік мәртебесін іске асыру мәселесін маңызды ете түсуде. Тіл үйренудің ешқандай зияны жоқ, керісінше пайдасы ұшан-теңіз. Туған тіліңді білуге тиісті емессің, міндеттісің дер едім. Ал басқа мемлекеттің алдында өз еліңнің дәрежесінің биік екенін мойындату үшін, жеті тілді жетік меңгеру артық етпейді.
Елбасымыздың міндет етіп қойған бәсекеге қабілетті мемелекет құруда жас ұрпақтың тигізер үлесі зор. Бүгінгі таңда жоғарғы оқу орындарында шет тілін кәсіби деңгейде оқыту басты орында тұр. Яғни әрбір студент өз мамандығына байланысты шет тілін жетік меңгеріп, одан әрі қарай дамыта алады.

#английскийактау
#творчествоидети
#детямактау
#мастерклассактау
#рукоделиеактау
#creativeenglish
#teacherofenglishaktau
#своимируками
#украшенияактау
#летняяпрограммаактау
#аксессуарыактау
#курсыактау
#репетиторактау
#преподавательанглийского
#мастерклассактау
#летнийанглийский
#курсыанглийскогоактау";1511260285;6;6478568423;False;мастерклассактау
BbzBO26HxTK;#укладкаактау #локоныактау #прическиактау #стрижкиактау #макияжактау #омбреактау;1511352955;31;1658029315;False;мастерклассактау
BfKn0mKgdNi;"Почему необходимо изучать английский? Потому что на нем общается весь прогрессивный мир. Это язык науки и технологий. На нем ведется большая часть исследований в экономике и бизнесе. Владение английским языком открывает перед человеком большие перспективы.
#репетиторанглийскогоактау

#английскийактау
#творчествоидети
#детямактау
#мастерклассактау
#рукоделиеактау
#creativeenglish
#teacherofenglishaktau
#своимируками
#украшенияактау
#летняяпрограммаактау
#аксессуарыактау
#курсыактау
#репетиторактау
#преподавательанглийского
#мастерклассактау
#летнийанглийский
#курсыанглийскогоактау";1518587390;6;6478568423;False;мастерклассактау
BfvwC0DHBjj;;1519833215;19;1658029315;False;мастерклассактау
