post_id;text;date;likes;owner_id;is_video;by_tag
Bo3gCLugsi8;"Мастер-классы, Санкт-Петербург!
Пока повтор старых тем, позже будут новогодние темы и новые мастер-классы.
.
19 октября(пятница-утро)
МК-панно""ЭГЛОМИЗЕ""
.
20 октября(суббота-утро)
МК-""ИМИТАЦИЯ ШПОНА""
.
26 октября(пятница-утро)
МК-""ПЕРЛАМУТРОВАЯ МОЗАИКА""
.
27 октября(суббота-утро)
МК-""ШКАТУЛКА В СТИЛЕ БУЛЬ""
.
По вопросам, пишем в директ 👍😀
...
..
.
#antonovairina #антоноваирина #антоновскийдекор #мастерклассантоновой #имитацияшпона #перламутроваямозаика #натуральныйперламутр #стильбуль #шкатулкавстилебуль #буль #эгломизе #имитацияэгломизе";1539420609;129;4776935777;False;мастерклассантоновой
BoEJvZygFhb;"Как подобрать цветовую палитру к основному мотиву❓🎨
.
Рассмотрим основные 2 приема. 
Можно обратиться к спец.сайтам и программам по подбору цвета. Это самый легкий способ разбить изображение на основные цветовые составляющие. Тут как бы и голову включать не надо, НО☝😨, как работать дальше с подобранными программой выкрасками?  Как из всех банок с красками намешать нужный оттенок?
.
Некоторые программы смогут даже в процентных соотношениях выдать вам сколько ""вешать в граммах"", НО☝😨, а тот ли оттенок цвета у вас в руках чтобы его замешивать? У каждого производителя свой ""черный цвет"".
.
Есть второй способ, по старинке(мой любимый)👉""метод тыка""! 😀
Тут все просто, как в детстве... Я не усложняю себе жизнь 😀 Берем все краски и замешиваем на месте, глядя на основной мотив разбивая(как программа),его на главные цветовые акценты(пока исключая полутона). .
Это сложно объяснить в виртуальном режиме, каждое сознание додумает свое и возможно не верное.😲
.
Но в одной из серий моего онлайн-курса(который стартовал на днях), я постараюсь наглядно это объяснить и показать(ну как смогу) 😃 Попробуем вместе сделать казалось бы, невозможное 😁
.
А как подбираете цвета вы? И есть ли у вас любимые сочетания доминирующие в вашем творчестве?
.
По всем вопросам в директ 😀👉
...
..
.
#антоноваирина #антоноваболтает #antonovairina #авторскийдекор #декупаж #мастерклассантоновой  #онлайнкурсантоновой";1537697645;160;4776935777;False;мастерклассантоновой
Bp3wBOmhvnJ;"МОСКВА!  Есть еще места на мастер-класс ""Новогодний текстильный шар в стиле Маккензи"", на субботу 24 ноября в 17:00.
Добираем вторую группу. 👍😀
Цена: 4300 р.
.
Повторятся МК в этом году уже не будет! Успейте в этом!
.
Записаться можно по московскому телефону: 8-967-173-06-63 Ирина. 
Все вопросы в директ 🌷
...
..
.
#антоновскийдекор #антоноваирина #antonovairina #декор #новогоднийшар #текстильныйшар #мастерклассмосква #мастерклассантоновой #елочноеукрашение";1541576474;120;4776935777;False;мастерклассантоновой
Bp81xfFhoDN;"Друзья! Москва! 
По просьбе девочек из других городов, которые в свое время не попали на эти мастер-классы, решила провести дополнительное сборное занятие. 
25.11.2018
с 15:00 и до....
.
Пройдут мастер-классы:
1.новогодний подвес""Дань времени""-часики декоративные, они не ходят. 
Цена: 4000 р
.
2. Поднос эгломизе в стиле Шинуазри. 
Цена: 4600 р
.
3.елочное украшение ""Шар зеркальный"" 
Цена: 4000 р
.
Телефон для связи: 8-967-173-06-63 Ирина.
...
..
.
#антоноваирина #antonovairina #мастерклассантоновой #мастерклассмосква #мастерклассырасписание #Шинуазри #эгломизе #зеркальныйшар #декор
#декупаж
#авторскийдекор
#авторскийдекорантоновой";1541747263;57;4776935777;False;мастерклассантоновой
BpFG9M2gNOw;"Санкт-Петербург! 
26 октября, мастер-класс""Перламутровая шкатулка""
Начало в 11:00
Цена: 3300 руб.
.
Работа с натуральным перламутром☝,набор мозаики на округлую форму удобным и быстрым способом. 😀
.
Далее в карусели работы для примера.😃
...
..
.
#антоновскийдекор #антоноваирина #antonovairina #мастерклассантоновой #перламутроваямозаика #натуральныйперламутр #декупаж #декор #авторскаяшкатулка
#авторскийдекор";1539877224;172;4776935777;False;мастерклассантоновой
BpHMGzogppm;"27 октября. Санкт-Петербург.
МК -шкатулка в стиле Буль.
.
Начало в 11:00
Цена 2700 р.
.
Шкатулка в стилистике Андре-Шарль Буля, в черно-красном цвете с золотистым узором имитирующим черепаховый панцирь инкрустированный латунью.
.
В карусели работы для примера.
...
..
.
#антоновскийдекор #антоноваирина #antonovairina #мастерклассантоновой #буль #шкатулкавстилебуль #декупаж #декор";1539947033;159;4776935777;False;мастерклассантоновой
Bp_z-0aBDYf;"Дорогие мои, огромное спасибо за ваши потрясающие отзывы об онлайн-курсе""Почувствуй декупаж""!
.
Это невероятно! После каждого урока ученики оценивают качество урока по 10-бальной шкале. Так вот средний балл первого мастер-класса: 9.68 😀На радостях, мы совместно с фирмой АТУРИ решили сделать специальную акцию. Ведь не понаслышке знаем, как всегда боязно покупать кота в мешке...
.
Так вот теперь каждый может получить доступ к первому уроку всего за 290 р, а если не понравится, мы вернём деньги☝
Все подробности тут👉
@aturi.design
...
.. #антоноваирина #antonovairina #антоноваболтает #антоновскийдекор #мастерклассантоновой";1541846987;132;4776935777;False;мастерклассантоновой
Bpl9LRoHVpR;"💥Заканчивается октябрь и пришло время объявить о записи на МК в Москве на ноябрь.
🌟Даты проведения с 23-26 ноября. 
Место там же: Чаянова,20,Москва.
.
Завтра, 1-го ноября, с 10:00-11:00 будет вывешено расписание и куда писать при желании.
.
МестОФ количество ограниченное☝, по сему успейте спешить 😀
...
..
.
#антоноваирина #antonovairina #антоноваболтает #мастерклассантоновой #расписаниемкантоновой #антоновскийдекор #мастерклассырасписание";1540979392;80;4776935777;False;мастерклассантоновой
BpoTEbnFZU5;"Мастер-классы в Москве, с 23-26 ноября 2018 Г.
Звонить по московскому тел.: 8-967-173-06-63 Ирина 💥С 10:00-20:00💥
________________________________
23 ноября(пятница)
начало в 15:00 
МК-""Боярыня""
цена: 4200 р
________________________________
24 ноября(суббота)
начало в 10:00
МК-""Сендриллон""
цена: 8500 р
________________________________
25 ноября(воскресенье)
начало в 10:00
МК-текстильный новогодний шар в стиле Маккензи
цена: 4300 р
________________________________
26 ноября(понедельник)
начало в 10:00
МК-""Башмачок"" 
цена: 4500 р
________________________________
ВСЕ ПОВТОРНЫЕ МК БУДЕМ ВСТАВЛЯТЬ В РАСПИСАНИЕ ПО МЕРЕ НАБОРА ЖЕЛАЮЩИХ👍😀
...
..
.
#антоновскийдекор #антоноваирина #antonovairina #мастерклассырасписание #мастерклассантоновой #мастерклассмосква";1541057979;194;4776935777;False;мастерклассантоновой
BpraXGzBKzB;"Башмачок из сказки""Золушка"", навеяло 😀.
.
Вещь не только просто интерьерная,но и несколько полезная. Сверху есть полость, где можно временно складывать украшения, часики, ключики или просто мелочи. Второй вариант использовали это с подушечкой для булавок. 
Туфелька нежно голубого цвета,с фурнитурой под бронзу,на подошве бархат. Размер не большой, дл.17 см, высота 7 см.
.
26.11.2018 пройдет МК в г.Москва,все вопросы в директ.😀
...
..
.
#антоноваирина #antonovairina #антоновскийдекор #мастерклассантоновой #мастерклассмосква #башмачок #туфелькадлязолушки #авторскийдекор";1541162466;167;4776935777;False;мастерклассантоновой
