post_id;text;date;likes;owner_id;is_video;by_tag
Bi-ZCkKnPSe;"В продолжении темы о микрозелени 🌱🌱🌱
Как вам такой салатик? 
Я б ни за что не поменяла его на оливье или рыбу под шубой с майонезом🙈
Мы то, что едим. 
Глядя на человека, можно понять и дать небольшую оценку относительно питания. Это как курящего и пьющего всегда заметно. Помните об этом каждый раз. 
Практически любое заболевание,лечится через правильное питание и отношение к еде. Самочувствие в течении дня, наше внутреннее состояние, сон, так же можно наладить с помощью питания. 
Включайте в ваш рацион питательные, сезонные, местные и насыщенные минералами, витаминами натуральные продукты. ✅✅✅
Меняйтесь сегодня, завтра возможно придётся тяжелее...
#пп#зож#ппеда #ппастана#зожастана#астана#сбалансированныйужин #сбалансированныйзавтрак #дневникпитания #режимпитания #доброгодня #диета #диетолог #дневникпп #диетаастана #диетологастана #здоровье #здороваяеда #здоровоепитание #здоровыйобразжизни #здоровьеикрасота #микрозелень #зелень#витамины#минералы#полезно#вкусно#легко#фигурамечты #режимпитания#мастерклассастана";1526766922;121;6252160010;False;мастерклассастана
BjR2oOqH_Hc;"Подписывайтесь и активно участвуйте, что-то придумала для вас интересное 😊✌️#Repost @sultangereeva_dina with @get_repost
・・・
Как вы думаете чем отличаются Правильное Питание от Диеты? 🌿🌱☝️🥗 Никогда не задумывалась 🤦‍♀️. Да и я пока не столкнулась по сфере деятельности в индустрии красоты и здоровья!🧚‍♂️ @maiya_dietolog и не стала работать с диетологом💃 не задумывалась. 😉Расскажите на каких диетах вы сидели? 😉какие результаты получили☝️Кто будет активно участвовать мы с нашим диетологом сделаем вам подарок 🎁 а какой я расскажу чуть позже 😀#мастерклассастана";1527419969;26;6252160010;False;мастерклассастана
Bkb24z8HQkQ;"Доброе утро ☀️ На выходных провела встречу @trichology_astana со своими клиентами с признаками розацеи, куда меня пригласили в качестве диетолога по питанию. 
Розацеа - это хроническое кожное заболевание, основными признаками которого являются покраснения кожи и образование бугорков, гнойничков и др. высыпаний на лице. Примерно в половине случаев розацеа сопровождается поражением глаз. Факторами влияющими могут стать: Погода, пища, процедуры косметические, предрасположенность, ген.данные и тд. 
Питание во время обострения очень строгое, назначают мед. голодание и с некоторыми ограничениями приходится жить всю жизнь, особенно важно не употреблять пищу горячей☝️
А вообще, соблюдать диету не тяжело, если находить продукты заменяющие. 
Так мы решили вместо кофе пить цикорий, сыры заменили на домашние адыгейский, брынзу и моцареллу, 🍎 на 🍏, цитрусы на другие фрукты, жирные сорта мяса на индейку и рыбу. 
Ну и спиртное, курение,острое, жареное в принципе никому не несёт пользу. 
Диета на розацеи схожа с диетой аллергиков, много одинаковых запретов и исключении в плане питания. Ну и конечно, питаться максимально чисто и сбалансированно ещё никому не приносило вреда. 
Важно устраивать #рагрузочныйдень. 
Есть небольшая доля людей, которые без ограничения едят тот или иной продукт с признаками розацеи, и не наблюдают больших изменений на лице. Я делаю акцент именно на это, и призвала женщин ( пациентов) , понаблюдать за собой не отказывая себе в умеренном количестве продукта из списка «ограничения» ( нельзя на пике прогрессирования).
Зачем и почему?
Потому что, любое ограничение влечёт за собой проблемы неврологического характера, срывов в дальнейшем и тд. Тем более, на встрече оказались молодые женщины, у которых, вся жизнь впереди...живите полноценно, смотрите и наблюдайте за собственным организмом.
В последующих рецептах будут пометки с хештегом #допустимоприрозацее 👌
Всем Здоровья 🕊

#пп#зож#ппастана#зожастана#астана#правильноепитание #правильноепитаниеастана #здоровоепитание #здоровье #здороваяеда #питаниепп#розацеа#тренингастана#диетолог#диета#диетологастана #диетаастана #лекцияпопитанию #рацион#сбалансированоепитание#мастерклассастана";1529903133;69;6252160010;False;мастерклассастана
Bn-46jInlTq;"Наше будущее за здоровой и интеллектуальной молодежью.✅
Аудитория в 80 человек, это студенты, которых волнует и интересует своё здоровье и питание. 
Все прекрасно понимаем, что, питаться надо правильно, но с чего начать не знаем. Затрудняемся при составе рациона питания на снижение веса, очищение и тд.
Большое спасибо Н.Назарбаев университет, в лице Акмарал создавшая группу в формировании «здорового образа жизни» в стенах ВУЗ-а @nu_stayfit ,за приглашение провести беседу на тему питания со студентами. 
Не было равнодушных к собственному здоровью, никто не встал и не покинул зал в течении двух часов,было много вопросов, надеюсь, моя информация была полезна.
@fitsweets_astana Жулдыз, десерты просто 💣. Вкусно и без вреда фигуре, главное полезный и здоровый состав.
#Астана#лекция#питание#правильноепитание #правильноепитаниеастана #пп#зож#ппастана#зожастана#диетаастана#диетологастана#мастерклассастана";1537521052;87;6252160010;False;мастерклассастана
Bo8RwDEHRJl;"Вы красивы внешне, но неуверенны в себе с партнером? Вот какая тема была затронута в прошлую субботу. Встреча женского клуба 🦋🦋🦋всегда проходят полезно, много информации получили дамы по процедуре интимного омоложения и плазмалифтинге, о лазерных процедурах на все тело, мастер-класс по Бодифлекс и конечно, вкусный десерт без вреда для фигуры от меня в стенах клуба @grandprixclub . Следующая встреча через месяц, места как всегда ограничены. 
Хотите вступить в клуб либо посещать встречу, пишите в Директ.📩
#женскийклуб#womansclub #диета#диетолог#клиника#диетаастана#диетологастана#астана#встречаклуба#дамы#правильноепитание #правильноепитаниеэтовкусно #безвредадляфигуры #чаепитие#мастерклассастана";1539580893;84;6252160010;False;мастерклассастана
BuQ6AfIDLGh;"#фотобезфильтров #тортыастана #тортастана #астанаторты #астанавыпечка #десертыастана #выпечкаастана #детскийтортастана #edim_domma_astana 
#тортспряникамиастана #вупипайастана #молочнаядевочкаастана #сникерсастана #мастерклассастана #медовикастана #ореотортастана #ореоастана #детскийпраздникастана
#подарокмужу #тортдлямужчины #тортдлямужа #
#тортвподарокастана";1551010506;52;7548574717;False;мастерклассастана
BureDUZjz0L;"Не забудьте поздравить любимых! 
#Тортыастана #тортна8марта

#фотобезфильтров #тортыастана #тортастана #астанаторты #астанавыпечка #десертыастана #выпечкаастана #детскийтортастана #edim_domma_astana 
#тортспряникамиастана #вупипайастана #молочнаядевочкаастана #сникерсастана #мастерклассастана #медовикастана #ореотортастана #ореоастана #детскийпраздникастана
#подарокмужу #тортдлямужчины #тортдлямужа #
#тортвподарокастана";1551901819;53;7548574717;False;мастерклассастана
ButRZwyDQi-;"Весна....пора цветов и красоты❤
#астанаторты #тортыастана #тортына8мартаастана

#фотобезфильтров #тортыастана #тортастана #астанаторты #астанавыпечка #десертыастана #выпечкаастана #детскийтортастана #edim_domma_astana 
#тортспряникамиастана #вупипайастана #молочнаядевочкаастана #сникерсастана #мастерклассастана #медовикастана #ореотортастана #ореоастана #детскийпраздникастана
#подарокмужу #тортдлямужчины #тортдлямужа #
#тортвподарокастана";1551962296;49;7548574717;False;мастерклассастана
Bv6o3sijxNu;"На съёмках просят больше эмоции...и на кадре самые настоящие...
Обожаю красиво оформленное блюдо❤️
Кстати, учу слова на казахском в области питания.
Знаете как будет закуска?
Ваши варианты?
#диетологастана#диетолог#диета#снижениевесаастана#мастерклассастана";1554558291;209;6252160010;False;мастерклассастана
BvCkhdxDygw;"Красивые букеты из пряников один из актуальных подарков в День учителей и 8 марта 🤗😍😄 #фотобезфильтров #тортыастана #тортастана #астанаторты #астанавыпечка #десертыастана #выпечкаастана #детскийтортастана #edim_domma_astana 
#тортспряникамиастана #вупипайастана #молочнаядевочкаастана #сникерсастана #мастерклассастана #медовикастана #ореотортастана #ореоастана #детскийпраздникастана
#подарокмужу #тортдлямужчины #тортдлямужа #
#тортвподарокастана";1552676964;49;7548574717;False;мастерклассастана
