post_id;text;date;likes;owner_id;is_video;by_tag
Bg-hfskAdQx;"Сначала было лёгкое волнение, всё-таки первый раз, в голове терзал вопрос, справлюсь ли я, смогу ли я объяснить всё, успеем ли по времени , понравится ли... Нормальные мысли волнующегося человека 😉, согласитесь.., все эти мысли частями испарялись , при встрече с каждой девочкой, и когда, при первых же взвешиваниях ингредиентов граммы на табло электронных весов показывали сразу точный вес ни отходя ни на грамм, мы все отметили, что день начался просто великолепно. Дружеская сплоченность и организованность каждой сплелись в один букет, поглощающие знания их глаза, запах пасты из шариковых ручек витал над кухней, когда девочки словно на лекциях, записывали для себя интересующую их информацию, пока еще неумелые , но очень осторожные движения в работе , восторг в глазах от вкуса кремов переходящих в предложения : "" вау, это нереально вкусно"", бесконечные щелкания камер на своих телефонах уже над готовыми изделиями, и селфи, селфи, селфи...
В нескольких словах невозможно донести всю ту ауру, которая вчера присутствовала на моей кухне , несмотря на усталость, я зарядилась каждой частицей своего организма, первый мой МК, столько положительных эмоций, и за это , спасибо каждой из вас, девочки, Асиюшка , 
@beautystore.atyrau моя ❤️, один из самых родных людей, которая уже на протяжении всей моей трехлетней работы безустанно жужжала о том, что я давно уже выросла для того, чтоб передавать знания, спасибо, Жанчик, и за поддержку, и за мотивацию , и за то, что ты есть в моей жизни, люблю ❤️.. Спасибо, Гаухар , @Gahaalm, одна из моих дорогих Клиенток, умная, красивая, сдержанная и очень рассудительная 🌷, спасибо Райхан, @i_raikhan, Красавица, замечательная мама троих принцесс, уверенна, теперь твои торты будут еще красивее, и вкуснее, и ваше времяпровождение на кухне с Енешкой за выпечкой тортов, станет восхищением гостей за столом 🎂, Леночка @lenochka2207, девушка с невероятной доброй душой, веселая, позитивная, жизнерадостная и очень красивая 😍
Девочки,  пасиб вам, за посещение МК, за позитив , за интерес и желание к выпечке, за поддержку и веселое настроение ❤️❤️❤️
Отдельное спасибо моей доче @rikkka_2004 за дизайн сертификатов ❤️и Аланчику , за честь быть с Вами 😉❤️";1522476387;100;1734872822;False;мастерклассатырау
Bg0KqAGAck5;"Доброе Утро!!! Хочу поделиться с вами, о предстоящем Мастер Классе "" Розовая Весна"" , где мы с вами испечем один из вкуснейших и нежнейших тортов "" Клубничный Бисквит"" с ароматом ягоды и вкусным кремом на Маскарпоне, один из #трендовых тортов моего ассортимента . Так же мы испечем легендарный торт "" Красный Бархат"" со сливочным кремом, я расскажу и покажу, как не совершать ошибок при выпечке, чтоб коржи были высокими, пористыми и в то же время, оставались влажными и сочными. 
В качестве бонуса, мы испечем лимонные капкейки с сырной шапочкой, и все работы оформим в нежно розовом цвете украсив живыми цветами и свежими ягодами. 
Обещаю, будет очень интересно, познавательно и безумно вкусно 😋 
Мастер Класс пройдёт 30 Марта, в пятницу, с 11.00 до 16.00, группа будет небольшая из 5-6 человек , для того, чтоб вы могли схватить как больше знаний в более спокойной обстановке. 
При себе иметь только ручку 🖊✔️
Все испеченные вами вкусняшки, мы поделим и вы их заберете домой, чтоб насладиться дома за чашкой чая ими  с воспоминаниями о проделанной работе 😉🌷🌷🌷 Запись по предоплате , все вопросы по телефону 📲 87077676415 ( ватсап), Айжана. 
Буду ждать каждого, чтоб поделиться с вами своими знаниями и рецептами ❤️❤️❤️ #Атырау

#Atyrau

#мастерклассатырау

#мастеркласспотортаматырау";1522128869;87;1734872822;False;мастерклассатырау
Bg1rGrqBTth;"Сәлем қыздар🙋15.04.18 күні мастер-класс өткіземін!торттар пісіріп үйретемін және өзімнің құпия әдістеріммен бөлісемін😉
Үйренетін торттар мәзірі:
🎂""Вупи пай""🍫 с крем чиз. (Мега шоколадный торт)
🎂""Красный бархат"" с крем чиз (нежный,влажный корж)
🎂""Капкейки""  с шапочки крем чиз 🎂""Фисташковый"" (фисташковый бисквит,ягодное кули,техника акварельные смазки) қазіргі хит торттың бірі😍
🎂 ""Молочная девочка"" (өте жұмсақ торт, вафельный крошки дайындап уйренесіз)
Бонустық видео- рецепт:
🍓""Самса""песочно слоенное тесто👍😋 видео-рецепт беремін
🍓""Павлова"" десерті видео-рецепт
Үйренесіздер:
📌корждарды пісіру жолдарын 📌крем жасау және құпиялары. 📌түзулеу (выравнивание)
📌шоколадный ганаш
📌 Изомальтпен жұмыс
📌кули или конфи дайындау
📌оформление с свежими  ягодами
📌 екі этажды торт жасап уйренесіздер ☕кофе-брейк с 🍪🍫🍬 және түскі ас 🍛🍲 беріледі.
Мастер-класста пісірілген торттарды тең бөліп үйлеріңізге алып ктесіздер🍰☺Өздеріңізбен бірге ручка және пісірілген торттарды салатын ыдыс контейнер алып келесіздер!
📌ватсаптан группа ашамын
📌уақыты 11:00-18:00 аралығы 📌бағасы 10000тг 📌алдын-ала 50% төлем жасайсыздар!Төлемді Каспий Голд, Народный банк,Казком картасына жібере аласыздар!
📌 Сертификат беріледі
📌Сұрақтар бойынша дайректке немесе уатсап 87014708930 жазсаныздар болады!тәтті торттар пісіріп үйренуге келіңіздер😉😘 #мктортыатырау #мастерклассатырау #мастеркласс";1522179435;36;1216778642;False;мастерклассатырау
Bg5W16BhHWn;"Друзья! 1апреляСтудия NurB приглашает Вас на МК ""День Смеха:
10.00ч Картины ""Смешарик Пин"" и ""Ежик и подснежник""на выбор
11.40. Коробка с сюрпризом
12.50 Салфетница и подстаканник
12.50 Песочное рисование, Эбру-рисование на воде, нв выбор
☎️8701 514 4104, стоимость одного занятия 2000тг.
#атыраумастеркласс #атыраупесочноерисование #атырау #атыраурисование #атырауручнаяработа #атыраунаурыз #атыраудети #атыраудосуг #детиатырау #детскиймастеркласс #мастерклассатырау #мастеркласы #юрты #ботакан #студияNurB #ATYRAU #studionurb #sandatyrau #nurb @nurb_studio @kinder_life_atyrau  @ Atyrau Region @ Atyrau Region @kinder_life_atyrau";1522303030;13;1532296750;False;мастерклассатырау
Bg7tzOSB_QB;"СТЕЙК🥩🥩🥩
Стейк - это не просто вкусный кусок жареного мяса,  это целая история и наука! 🚩На мастер-классе вы узнаете:
✅ О породах животных, об откорме и как он влияет на вкус?
✅ О том какая бывает ферментация!
✅ О том как отличается мясо выдержаное от свежего!
✅ О разделке мяса!
✅ О выборе отрубов для стейка!
✅ Поведаю о премиальных отрубах и альтернативных!
✅ Заморозке, можно или нельзя замораживать?
✅ Поговорим о правилах приготовления стейка!
✅ Обязательно обсудим прожарки стейка, отвечу на самый главный вопрос про мясо с кровью!
✅ Выберем сковородки и грили!
✅ Поделюсь своими предпочтениям в маринаде! ⠀⠀⠀⠀⠀⠀⠀⠀
После теоретический части мастер-класса, каждый мой ученик приготовит стейк сам для себя и насладиться его вкусом.
⠀⠀⠀⠀⠀⠀⠀⠀
Без лишней скромности скажу, после моего мастер-класса вы будете уверенно жарить стейки👋
⠀⠀⠀⠀⠀⠀⠀⠀
✔️ Расписание в шапке профиля 👍⠀ #АннаТараканова #МойВкусныйДом";1522382360;291;1688720164;True;мастерклассатырау
Bg8fatpBobY;#пирожныеназаказ #шу #парижскийсувенир #капкейки🍰😋😍 #муравейник #тортыатырау #тортыназаказатырау #мктортыатырау #мастерклассатырау;1522408189;52;1216778642;False;мастерклассатырау
Bg8fqkHhocJ;#фисташковыйторт #фисташковыйкрем #ягодноеконфи #тортыальфок #тортыатырау #тортыназаказатырау #мк#мастерклассатырау;1522408319;40;1216778642;False;мастерклассатырау
BgOWL33FnQ1;"Студия NurB, наши Подснежники!!!💐🎉💐🎉💐 Мади, Нурбек, Асель, Бекарыс и Дана, которая не любит фотографироваться😊 
#атыраумастеркласс #атыраулучшие #атырау #атыраудети #детиатырау #детскиймастеркласс #мастерклассатырау #атыраудосуг #атыраурисование #атырауручнаяработа #атырауживопись #студияNurB #ATYRAU #studionurb #nurb @nurb_studio";1520859845;13;1532296750;False;мастерклассатырау
BgOX2C5FflH;"Студия NurB, В преддверии праздника Наурыз 🎉 мы с детками мастерили шкатулки- Юрты и панно Тумар, мастера Мади, Нурбек, Фатима, Исмаил и Дана, которая не любит Дана, которая не любит фотографироваться😊 
#атыраумастеркласс #атыраулучшие #атырау #атыраудети #детиатырау #детскиймастеркласс #мастерклассатырау #атыраудосуг #атыраурисование #атырауручнаяработа #атырауживопись #студияNurB #ATYRAU #studionurb #nurb @nurb_studio #наурызмейрамы #наурыз2018";1520860715;21;1532296750;False;мастерклассатырау
BgQF8n_FaT0;Студия NurB, наша Песочница, волшебные картины от Селин, Сании, Миры, Дианы и Айши. Рисовали весенние цветы: подснежники, тюльпаны и ландыши, и обязательно Наурыз !!! #атыраумастеркласс #Атырау #атыраудети #атыраудосуг #атыраупесочноерисование #детиатырау #детскиймастеркласс #мастерклассатырау #подснежники #песочноерисованиеатырау #студияNurB @nurb_studio #ATYRAU #studionurb #sandatyrau #nurb;1520918440;15;1532296750;False;мастерклассатырау
