post_id;text;date;likes;owner_id;is_video;by_tag
Bovf6uthj_2;#абстракция#живопись#творчество#акрил#масло#vscocam#vscofilter#vsco_lover#vscorussia#❤️картиныназаказ#мастерклассбесплатно#;1539152113;49;8689665944;False;мастерклассбесплатно
BskbL4LBmnU;"Важный день в жизни молодоженов должен быть ярким и очень красивым! Мы с радостью изготовим для Вас фотозону,  или стойку, а так же предложим еще много чего интересного для фотосессии 😉🤗🌸🌷🌺🌺🌺🌼🌼 Сделайте не забываемый подарок, который будет радовать своей красотой долгое время!!!
Ждем Вас у нас на страничке @asti_kost 
#подаркикраснодар #большиецветыкраснодар #асти_кост #огромныецветы #краснодар #краснодарцветы #фотосессия #цветыдляфотосессии #заказцветов #рукоделиекраснодар #рукоделие #большиецветы #большиецветыкраснодар #ручнаяработа #оформлениекраснодар #оформлениесвадьбы #праздниккраснодар #обучениекраснодар #мастеркласс #мастерица #дикор #дизайндетскойкомнаты #мастерклассбесплатно #ростовыецветыназаказ #ростовыецветы #цветыкраснодар #бумажныецветы #цветыизбумаги #арендацветов";1547370468;30;7104785781;False;мастерклассбесплатно
BsxgDibB86c;Цветы выполненны из экологичного и долговечного материала,не имеют запаха, легкие и влагоустойчивые. Требуют обычную влажную уборку. Лампочки светодиодные не нагреваются, можно менять.  А еще можно поставить лампочку с разными цветами и выбирать, что вашей душе угодно. Подойдут для украшения любой комнаты в Вашем доме,  детской, гостинной или Вашей спальни🤗 . Для заказа пиши в директ или просто ставти +  в комментариях. Цены Вас приятно удивят!!!;1547809229;40;7104785781;False;мастерклассбесплатно
Bt3msbAFR4e;Вот так мы с @ternika_a отметили День Святого Валентина ! Делюсь с вами лайфхаком как развлекать гостей 😀#мастерклассбесплатно;1550161587;57;2163829444;True;мастерклассбесплатно
BvEit9rgjd3;Дорогие мои подписчики, вы меня порадовали. 😊👏Почти 6 тыс. просмотров видео жакетика!! 💥как и обещала, показываю, как это сделать👀 на образце. Но сначала должна предупредить-обработка хоть и кажется не сложной, подходит не для всех жакетов. Лучше так окантовывать легкие летние жакетики  с прямым низом. Если жакет прямой, вы можете его выкроить без боковых швов. Для этого нужно склеить детали выкройки по боковым швам. Если швов в жакете много, а вам хочется обработать жакет таким способом, то низ лучше обработать так же, как и горловину. И опробуйте сначала окантовку шёлком на кусочке ткани☝️. Перед раскроем  обязательно продекатируйте ткань верха и подкладки☝️. Они будут скреплены жёстко, поэтому могут по разному подсесть при химчистке. Стирать такие жакеты не нужно. дополню: жакет сшит по всем швам, с рукавами. Подкладка тоже. Вкладываем подкладку в жакет изнанка к изнанке, соединяем их по пройме вверху и внизу, намётываем подкладку по контуру и только потом занимаемся окантовкой всех краев жакета. В том числе низа рукавов и верха карманов)). Все остальное понятно из видео. Если МК понравился, ставим ❤️ и сохраняем его в закладки)). 😊🤓 #жакетшанель #светланахацкевич #мкпошитью #учимсяшить #шьемкрасиво  #мк #мастеркласс #мастерклассбесплатно #шьемсvipmam #шьемсосветланой;1552743126;1763;3205737163;False;мастерклассбесплатно
BvElkdOArbx;Дополню, не все поняли, что это делается на готовом жакете. Жакет сшит по всем швам, с рукавами! Подкладка тоже. Вкладываем подкладку в жакет изнанка к изнанке, соединяем их по пройме вверху и внизу, намётываем подкладку по контуру и только потом занимаемся окантовкой всех краев жакета. В том числе низа рукавов и верха карманов)). ☝️Продолжаем... Чтобы окантовать горловину, нужно из этой же подкладки выкроить полосу четко под 45 градусов! Сначала вытягиваем ее утюгом, а потом формируем полукругом по форме горловине. И только потом ее пришиваем. И ещё - очень важно!☝️Такую окантовку не нужно делать широкой. Иначе  косая полоска в закруглениях может морщить. Оптимально - до 2см😊☝️. Вы можете настрочить окантовку с лица в край, но лучше пришить ее аккуратно вручную и украсить бисерным стежком. Смотрится гораздо изящнее. 😊😊Если  МК понравился, ставим лайк и не забываем сохранить его в свои закладки!! 🤓 ☝️Эту и другие обработки по декорирование жакета Шанель мы рассматриваем на он-Лайн курсе)). #жакетшанель #шьемкрасиво #шьемонлайн #мкпошитью #светланахацкевич  #учимсяшить #мк #мастеркласс #мастерклассбесплатно #шьемсосветланой #шьемсvipmam;1552744621;1502;3205737163;False;мастерклассбесплатно
Bw-PRU_AW4t;"ВСЕГДА ПРИЯТНО ПОЛУЧАТЬ БЛАГОДАРНЫЕ ОТЗЫВЫ О СВОЕЙ РАБОТЕ🌹🙂 Благодарю всех кто посетил сегодня мой #мастеркласс по имиджу и стилю в @imageacademy 💐

Радует, что мои мастер-классы посещают и мужчины) сегодня их было двое🙂

Всем кто хочет посетить мой мастер-класс, Вы можете сделать это завтра в 15:00

Адрес: Архангельский переулок 7";1556826571;165;6026093477;False;мастерклассбесплатно
Bw-QtSbFamU;"Проводим мастер классы деткам!
Танцуем с детьми вместе:) #мастерклассдети #мастерклассбесплатно #мастеркласдетям #мастерклассы #детскиемастерклассы #детскиемастеркласы #детскиемастерклассыспб #детяммастеркласс #детямпраздник #праздникдетямfamily#праздникдетка#праздникидетские#детскиепраздникихарьков #детскиепраздникиастана#бердянскдети#детскиеднирождениякиев#днирождениядетей #днирождения🎂#pestocafe #cafepesto #pestocafe5";1556827324;14;5489425710;False;мастерклассбесплатно
Bw-bzzihm0k;"4 мая 2019г., уже в эту субботу в 13.15!Если вы хотите открыть себя настоящего и поверить в себя, научиться петь так, чтобы дрожали не только стекла, но и сердца, и построить новую насыщенную жизнь, в которой каждый день - событие, приходите на бесплатный мастер-класс во вокалу для детей и взрослых певца Фёдора Тарасова, лауреата международных фестивалей и конкурсов, приглашённого солиста Большого театра и многих известных музыкальных коллективов России.  Фёдор Тарасов поделится практическими техниками, выработанными 15-летним опытом артистической деятельности по всему миру. Запись на мастер-класс по ссылке: https://bit.ly/2J9QEjr
Вход свободный для всех желающих! #мастерклассбесплатно #вокальноемастерство #длядетейивзрослых #искусствопения #федор #федортарасов #фёдортарасов #vocalmasterclass #freemasterclass #forkidsandadults #schoolofsinging #singingpractice #fedor #fedortarasov";1556833145;60;1682734589;False;мастерклассбесплатно
Bw-jHo5hN5q;"Мастер- класс 🎨по живописи масляными красками в мокрой технике Алла прима с детьми(6-9 лет). А ля прима- разновидность техники масляной живописи, позволяющая выполнить картину в один сеанс🖼 ""в один присест"" в один слой.👨‍🎨👩‍🎨 Пейзаж с лодкой ""Закат""- художник Эля 9 лет:), натюрморт "" Ваза с цветами для мамы"" - художник Федя 9 лет:), пейзаж ""Север"" - художник Лиза 6 лет:).
#живопись#арт#art#children#childrenart#paint#painter#painting#paintingart#живописьсдетьми#дети#натюрморт#пейзажмаслом#пейзажмасломнахолсте#мастерклассбесплатно#мастеркласс#детскийрисунок#маслохолст#холс#писатьнахолсте#аляприма#аля#люблюрисовать🎨#праздникспользой#holiday#мамы#мамыдети#emotions#goodidea#idea";1556836977;29;7967658611;False;мастерклассбесплатно
