post_id;text;date;likes;owner_id;is_video;by_tag
Bt--hSDhKFF;"С помощью каких красителей я делаю Вам брови ?☺️
• хна #ekkobeauty , в этой фирме более 7 оттенков готового продукта , которые прекрасно смешиваются между собой ✨
•  краски фирмы «THUYA»/ “Kapous Professiona”/ “Levissime”/ “RefectoCil” /«Lash Botox»
 Люблю и работаю всеми красителями 🕊 и хной и краской 🖤";1550408892;76;7100084310;False;мастерклассброви
Bt-_bFxnFh7;"Приглашаем Мастеров Перманентного макияжа на мастер класс одного дня <ВСЕ О БРОВЯХ> 🔸21 МАРТА🔸#‼️МОСКВА
📍Мы подробно разберём как увидеть лицо и правильно отрисовать эскиз скорректировав недостатки .
📍Разберём все нюансы по пигментам разных фирм учитывая кожу , технику и оборудование!!!
📍Отработаем штрих и постановку руки на латексе .
📍И Сделаем нашей модели самые красивые брови . (В выбранной вами технике )
📌Мастер класс проходит с 12:00 до 19:00 📌В группе 2-3 чел . 📌По окончании выдаётся сертификат.
📌Предварительная запись обязательна ☎️8(999)655-28-88
☎️8(926)399-20-12
🏡Москва ВДНХ ул. Космонавтов 18 к1
📌www.tatuazh-moskva.ru
Студия Перманентного макияжа Елены Степановой.
#мастерклассброви #пиксельныебровимосква #пудровоенапылениебровей #школататуажа #базовоеобучениетатуажу #перманентныймакияж #татуажбровеймосква #татуажброви #магазинтатуажа #все доямастеровтатуажа #гиантсан8650оригинал #гиантсан8650 #иглыдлямануальноготатуажа #биомазер#курсынапылениябровей #курсытатуажамосква#обучениетатуажумосква";1550409366;754;4530436901;False;мастерклассброви
Bt02ztxHqPl;"Самая модная процедура- Долговременная укладка бровей.
.
Брови в масле только сутки,после того как оно впитается ,они выглядят пушистыми и послушными. Благодаря укладке брови выглядят более широкими и ухоженными.
✔️Эффект сохраняется до 2,5 месяцев.
✔️Длительность процедуры без архитектуры и окрашивания-30 минут.
.
бровимосква #бровимитино #бровистрогино #бровимолодежная #ламинированиересниц #архитектурабровей #пмгубмосква #пмбровеймосква #перманентныймакияжмосква #перманентныймакияжбровеймосква #татуажмитино #татуажстрогино #татуажмякинино#татуажгубмосква #brows #browup #permanent#browmania #пудровыебровимосква #акварельныегубымосква#мастерклассброви#мастеркласспм#обучениебровимосква#курсбровимосква#мастерклассгубымосква#обучениебровистмосква#укладкабровеймосква#долговременнаяукладкабровеймосква#соболиныеброви";1550069305;168;7403173853;False;мастерклассброви
Bt0ZkQ6gIVe;"🔵Пудровые брови  5000 💥
🔵Перекрытие старого татуажа или микроблейдинга 6000 💥
🔵Коррекция  5000

Веки
⚪Межресничка 5000 💥
⚪Стрелки 6000 💥
⚪Перекрытие старых стрелок 6000
⚪Стрелка с растушевкой 7000
⚪Коррекция  5000

Губы
🔴Акварельная техника 7000
🔴Перекрытие старого татуажа 7000
🔴Коррекция 5000

Вторая коррекция 3000.
Рефреш -обновление татуажа 6000.

Все цены на певую процедуру указаны с учетом скидки!
Без скидки первая процедура 8000 руб.

Валерия Кирсанова
Салон: Рубинштейна 6
Запись:
DIRECT 
Активная ссылка 👆
89052554490";1550053974;11;363007486;False;мастерклассброви
Bt0afsuDxwV;"Подписывайтесь на аккаунт
@studio_bravo_spb 
Студия красоты.
Команда узкопрофильных стилистов.

Наращивание волос
Окрашивание
Перманент
Макияж
Прически
Маникюр
Фото

Красота -это результат мастерства!

Запись: +79052554490";1550054460;6;363007486;False;мастерклассброви
Bt0cfu0Dpyn;"🔵Пудровые брови  5000 💥
🔵Перекрытие старого татуажа или микроблейдинга 6000 💥
🔵Коррекция  5000

Веки
⚪Межресничка 5000 💥
⚪Стрелки 6000 💥
⚪Перекрытие старых стрелок 6000
⚪Стрелка с растушевкой 7000
⚪Коррекция  5000

Губы
🔴Акварельная техника 7000
🔴Перекрытие старого татуажа 7000
🔴Коррекция 5000

Вторая коррекция 3000.
Рефреш -обновление татуажа 6000.

Все цены на певую процедуру указаны с учетом скидки!
Без скидки первая процедура 8000 руб.

Валерия Кирсанова
Салон: Рубинштейна 6
Запись:
DIRECT 
Активная ссылка 👆
89052554490";1550055509;9;363007486;False;мастерклассброви
Bt0pwwwBA9D;"🌷8 МАРТА🌷
Дорогие девушки, мы так ждали этого дня, чтобы опубликовать для Вас подарок 🎁
Перманентный макияж любой зоны - 5000 рублей !!!
Запись ведётся уже на март 🌸
К любому мастеру в нашем салоне татуаж Вы можете попасть на процедуру всего за 5000 РУБЛЕЙ🕊🕊🕊
Ждём именно тебя, чтобы сделать ещё более красивой и привлекательной 💋❤️ _______________________________________________________
Мастер Валдис - цена 5000 рублей 🤩👁
Мастер Екатерина Петрякова- 5000 рублей🌸🌷
Мастер Елена - 4000 рублей 🌷🌟
_______________________________________________________
Телефон 8-960-257-94-47
Наш адрес: Санкт-Петербург, ул. Шамшева, дом 10
#перманентбровей #перманентспб #перманентглаз #перманентгубспб#мастерклассброви #перманентногомакияжа  #перманентбровиспб #перманентмежреснички #перманентстрелкиспб #перманентгубыспб #перманентгуб #перманентвек #перманентброви  #перманентгубы #перманентпитер #перманентвеки #перманентперманентныймакияжбровей#обучениепм#обучениетатуажуспб#обучениемикроблейдингу#обучениетатуажспб#обучениепм";1550062465;1096;7727610273;False;мастерклассброви
Bt2R5YKF-bI;"❤️Свободное время на брови❤️ .
✅15.02(пт) в 15:00, 16:00 .
✅16.02(сб) в 10:00, 11:00, 12:00 .
✅18.02(пн) в 15:00, 16:00, 17:00, 18:00, 19:00 .
✅20.02(ср) в 15:00, 16:00, 17:00, 18:00, 19:00 .
✅21.02(чт) в 10:00, 11:00, 12:00, 13:00, 14:00 .
✅22.02(пт) в 11:00, 13:00, 14:00 .
✅23.02(сб) в 11:00, 12:00, 13:00 .
✅25.02(пн) в 15:00, 16:00, 18:00, 19:00 .
✅27.02(ср) в 15:00, 16:00, 17:00, 18:00, 19:00
.

Девочки, занимайте удобное  время на бровки💋 🤳🏻Записаться можно онлайн(ссылка в шапке профиля)
.
Жду за красивыми бровками😍💗
#бровипермь #красотавдеталях #пермь #пермьактивная #свободноевремя #времянаброви #пермьбровная #долговременнаяукладкабровей #укладкапермьброви#макияж #обучениебровистов#курсыпермьброви #мастерклассброви#бровинашевсе❤️ #хнабровипермь #краскабровипермь#ресницыпермь";1550117061;13;4499359709;False;мастерклассброви
Bt3dwSyg-xf;"Девочки🌷
Есть окошки на бровки к мастерам студии.

Таня А.
Анна.
Наталья.
Для записи пишите в л с.
#бровирыбное#бровихной#брови#архитектурабровей#курсыброви#обучениеброви#мастерклассброви#мастерарыбное";1550156833;38;3046844921;False;мастерклассброви
Bt47Fk_lQ6a;"😏Лайфхаки для роста бровей🤤 . 
Девочки, вы все еще не можете отрастить брови? Возможно вы делаете что-то не так! Скорей читаем мои рекомендации и ищем где вы ошиблись!😝👇🏻 . ✍🏻Отдайте пинцет на время мне!😄Ну или спрячьте его куда-нибудь, так чтобы не вспомнить куда!☝🏻 Ну хотя бы на 5-7 недель! Да-это сложно, ну если вы щипаете их каждую неделю, вы никогда их не отрастите! . ✍🏻Используйте масло или сыворотки для бровей. Волоски тоже требуют питания, как и наши волосы на голове! Очень классно помогает масло из виноградовых или абрикосовых косточек, оно пробуждают фолликулу к росту!🌾 . ✍🏻Делай пилинги! Да, брови тоже нужно отчищать от сухой ороговевшей кожи, за счет чего твои поры откроются и дадут им дышать! После пилинга используй масло, так оно глубже проникнет в клетки! Пилинг можно делать 2 раза в неделю🌿 . ✍🏻Смывай вечером макияж! Как я уже говорила наши брови требуют отчищения, чтобы кожа дышала! Не забывай это правило, оно одно из важных!👌🏻 . ✍🏻Прочесывай брови щеточкой! За счет такого действия, твои фолликулы начнут работать, что даст нам рост волосков!💖🤤 . ✍🏻Не наносите крема для лица на брови! Они закрывают поры, и создают парниковый эффект, что не дает волоскам спокойно расти!☝🏻
.
Ну что, ты выполняешь все рекомендации по росту бровей? Или где то фальшивишь?😉 . 
Ухаживайте за собой и любите себя еще больше❤🌸✍🏻#пермьброви #бровивперми #красотавдеталях #курсыбровистовпермь #обучениепермь #обучениебровистов #курсыбровиста#бровикурсы #мастерклассброви#пермь #бровихна #бровиброви";1550205766;38;4499359709;False;мастерклассброви
