post_id;text;date;likes;owner_id;is_video;by_tag
BcnXv7TBaC3;Это самый крутой мастеркласс ❤️жду вас, девушки, на новые техники 🙌🏻🤞🏻👌🏻😻💋 Всем красивых макияжей! #вечерниймакияж #макияжсмоки#макияжакварель #макияж #макияжднепр #визажист #визажистднепр #макияжднепр #всевидымакияжа #восточныймакияж #арабскиймакияж #возрастноймакияж #вечерниймакияж #макияжнасвадьбу #днепр #макияжксениягаврилова #днепр #свадебныймакияжднепр #свадебныймакияж #смоки #bestmua #макияжнафотосет #макияжнадому #макияжнафотосессию #макияждляфото #макияждлякарихглаз #макияждляфотосессии #брови #бровиднепр #бровидешево #бровистднепр #мастерклассвизаж;1513109591;37;5632674093;False;мастерклассвизаж
Bk0lDoiBYnM;"Ура! Новый номер от  @muaclub уже доступен! 
Бомбический летний номер с обложкой от Эли Булочки, огромным количеством полезностей, видеуроками и  крытыми съемками ждет вас в ваших телефонах!
Ждали? :)))
⠀
Mua @elya_bulochka
Hair @marina_vaskina
PH @justannkharchenko
MD @bynatalykoreneva
⠀
#muaclub #muaclubmagazine #элябулочка
⠀
⠀";1530732645;19;7886604355;False;мастерклассвизаж
Bk5GKQRguFT;"Сделать красивую воздушную прическу можно даже на самых тонких волосах✨
#Обучениеприческам#мастерклассмэйкап#мастерклассвизаж#мастеркласспрически#видеоуроки#видеоурокипричесок#видеоурокимэйкапа#обзоркосметики#мэйкаперы#локоныкосы";1530884291;30;1805296499;True;мастерклассвизаж
Bk5HqjbBmb3;❤️ #мастерклассвизаж;1530885007;23;5632674093;False;мастерклассвизаж
Bk7yk4vgCkh;"Дорогие девушки!😍16 июля стартует группа по базовому макияжу💄Интересные уроки, качественное преподавание и хорошее настроение гарантировано 👍Если вы давно мечтали освоить данную профессию и научиться создавать великолепные образы ,то скорее к нам🤗
Мы предоставляем всю необходимую косметику и моделей , на протяжении занятий идёт постоянная практика💁‍♀️Интересные беседы,которые обязательно сподвигнут вас покорять новые высоты🔝Грамотная подача материала📑Также вы сможете узнать о там ,как правильно вести свою страницу в соц.сетях, какие программы помогут вам в развитии,информация о smm продвижении 📊 и многое другое 💞
Базовый курс 10 занятий:
💎дневной
💎вечерний - классический
💎вечерний - цветной
💎голливудский
💎свадебный
💎жидкое скульптурирование
💎классический smoky eyes
💎smoky eyes с цветными пигментами
💎карандашные техники .
База ➕ TV:
14 занятий:
💎10 занятий базовых
➕
💎fashion make up
💎восточныймакияж
💎лифтинг макияж
💎мужской макияж
💎профессиональная фотосессия.
📲Запись на курс по телефону 8(964)537-78-60
___________________
Make-up @zoyaniki ❤️
#zoyaniki #studiozoyaniki #курсыzoyaniki #мастеркласс #мастерклассмосква #москва #макияж #мастерклассмакияж #мастерклассвизаж #обучениемакияжу #курсымакияжа #обучениевизажу #курсывизажа #школамакияжа #школавизажа #школавизажамосква #обучениевизажумосква #школамакияжамосква #обучениемакияжумосква #курсывизажамосква #курсымакияжамосква #макияжмосква #визажмосква #стилистмосква #визажистмосква #самсебевизажист #макияждлясебя #мэйкапмосква";1530974614;5742;186602668;False;мастерклассвизаж
Bk8IbNLjGSB;"В нашей студии  самые лучшие стилисты 😍Только любовь к своей работе может сделать вашего клиента по-настоящему счастливым 😇Именно поэтому в нашей студии всегда царит любовь,гармония и красота💞Индивидуальный подход к клиенту,качественная работа и хорошее настроение гарантировано !👍 На фото наш топ-стилист Екатерина😍

Записаться на курс или образ по телефону : 📲8(964)537-78-60
_________________________________________

#zoyaniki #studiozoyaniki #курсыzoyaniki #мастеркласс #мастерклассмосква #москва #макияж #мастерклассмакияж #мастерклассвизаж #обучениемакияжу #курсымакияжа #обучениевизажу #курсывизажа #школамакияжа #школавизажа #школавизажамосква #обучениевизажумосква #школамакияжамосква #обучениемакияжумосква #курсывизажамосква #курсымакияжамосква #макияжмосква #визажмосква #стилистмосква #визажистмосква #самсебевизажист #макияждлясебя";1530986069;44;2225421196;False;мастерклассвизаж
Bkc2vJYAXsL;"Моя умница выпускница📚🎓👠 ☎️8(926)815-8-999
#Обучениеприческам#мастерклассмэйкап#мастерклассвизаж#мастеркласспрически#видеоуроки#видеоурокипричесок#видеоурокимэйкапа#обзоркосметики#мэйкаперы#локоныкосы";1529936746;15;1805296499;True;мастерклассвизаж
BkcHMILByhD;"Красотки!🔥🔥🔥
⠀ В июле,в моей студии @studiozoyaniki вы можете пройти следующие курсы:
⠀
⠀❤️Однодневный курс ""Сам себе визажист"" в любое время по записи!
⠀
⠀❤️2 Июля - 13 Июля:
Базовый курс по макияжу - 10 занятий ( преподаватель ТОП стилист @studiozoyaniki )
⠀
⠀❤️16 Июля - 27 Июля:
⠀ Базовый курс по макияжу (вечерняя группа)- 10 занятий (преподаватель @zoyaniki )
⠀
⠀❤️16 Июля - 2 Августа:
Расширенный курс по макияжу (вечерняя группа)- 14 занятий (преподаватель @zoyaniki )
⠀
⠀❤️28 июля - 25 августа:
⠀ Базовый курс по прическам - 10 занятий (преподаватель @zoyaniki )
⠀
⠀С любовью, Zoya💋
⠀
⠀📲Запись и подробная информация по телефону:8(964)537-78-60
_________________________________
#zoyaniki #studiozoyaniki #курсыzoyaniki #мастеркласс #мастерклассмосква #москва #макияж #мастерклассмакияж #мастерклассвизаж #обучениемакияжу #курсымакияжа #обучениевизажу #курсывизажа #школамакияжа #школавизажа #школавизажамосква #обучениевизажумосква #школамакияжамосква #обучениемакияжумосква #курсывизажамосква #курсымакияжамосква #макияжмосква #визажмосква #стилистмосква #визажистмосква #самсебевизажист #макияждлясебя #мэйкапмосква";1529911679;5340;186602668;False;мастерклассвизаж
BkcyFD3BnqO;"Красотки!🔥🔥🔥
⠀ В июле,в моей студии @studiozoyaniki вы можете пройти следующие курсы:
⠀
⠀❤️Однодневный курс ""Сам себе визажист"" в любое время по записи!
⠀
⠀❤️2 Июля - 13 Июля:
Базовый курс по макияжу - 10 занятий ( преподаватель ТОП стилист @studiozoyaniki )
⠀
⠀❤️16 Июля - 27 Июля:
⠀ Базовый курс по макияжу (вечерняя группа)- 10 занятий (преподаватель @zoyaniki )
⠀
⠀❤️16 Июля - 2 Августа ⠀ Расширенный курс по макияжу (вечерняя группа)- 14 занятий (преподаватель @zoyaniki )
⠀
⠀❤️28 июля - 25 августа:
⠀ Базовый курс по прическам - 10 занятий (преподаватель @zoyaniki )
⠀
⠀С любовью, Zoya💋
⠀
⠀📲Запись и подробная информация по телефону:8(964)537-78-60
_________________________________
#zoyaniki #studiozoyaniki #курсыzoyaniki #мастеркласс #мастерклассмосква #москва #макияж #мастерклассмакияж #мастерклассвизаж #обучениемакияжу #курсымакияжа #обучениевизажу #курсывизажа #школамакияжа #школавизажа #школавизажамосква #обучениевизажумосква #школамакияжамосква #обучениемакияжумосква #курсывизажамосква #курсымакияжамосква #макияжмосква #визажмосква #стилистмосква #визажистмосква #самсебевизажист #макияждлясебя #мэйкапмосква";1529934166;11;2225421196;False;мастерклассвизаж
Bkesx-SBQvL;"Красотки! У меня отличная новость!🌷🌷🌷🌷
❤️16 июля, стартует вечерняя группа буднего дня, по базовому макияжу, под моим руководством !❗❗❗
Если ты давно мечтала обучиться искусству макияжа у профессионала!
👌Спешите занять своё место!
На курсе тебя ждёт: теория и практика каждое занятие, вся косметика и модели предоставляются, сертификат визажиста, информация о smm продвижении!💫💫💫 Базовый курс 10 занятий:
🔥дневной
🔥вечерний - классический
вечерний - цветной
🔥голливудский
🔥свадебный
🔥жидкое скульптурирование
🔥классический smoky eyes
🔥smoky eyes с цветными пигментами
🔥карандашные техники .
База ➕ TV:
14 занятий:
🔥10 занятий базовых
➕
🔥fashion make up
🔥восточныймакияж
🔥лифтинг макияж
🔥мужской макияж
🔥профессиональная фотосессия.
📲Запись на курс по телефону 8(964)537-78-60
___________________
#zoyaniki #studiozoyaniki #курсыzoyaniki #мастеркласс #мастерклассмосква #москва #макияж #мастерклассмакияж #мастерклассвизаж #обучениемакияжу #курсымакияжа #обучениевизажу #курсывизажа #школамакияжа #школавизажа #школавизажамосква #обучениевизажумосква #школамакияжамосква #обучениемакияжумосква #курсывизажамосква #курсымакияжамосква #макияжмосква #визажмосква #стилистмосква #визажистмосква #самсебевизажист #макияждлясебя #мэйкапмосква";1529998497;5291;186602668;False;мастерклассвизаж
