post_id;text;date;likes;owner_id;is_video;by_tag
3UOyG4Lama;"Друзья, 7 июня (воскресенье) я провожу мастер-класс по витражной технике!! Всем, кому интересно пишите,звоните,записывайтесь!
На мастер-классе вы:
1) отлично проведете время в дружной компании🎉
2) узнаете о витражной технике, материалах и интересных приемах🎓
3) побудете настоящим художником😇
4) сделаете яркий и стильный предмет интерьера своими руками🙌
Адрес: К. Маркса,51офис 2
С собой ничего не нужно, кроме хорошего настроения!!
Всех жду в 19.00 
Стоимость: на одного-1000, на двоих 1500
Звоните: (843)2531861, записывайтесь!
#мастерклассыказань#творческиемастерклассыказань#казанькудапойти#мастерклассыдлявзрослых#развлеченияказань#витражи#витраж#мастерклассвитраж#хендмейдказань";1433010461;20;1130262921;False;мастерклассвитраж
BBTOw_4rkiO;Отчет с прошлого мастер-класса)) Кто-то первый раз взял в руки стеклорез, кто-то уже имел представление как режутся стекла и собираются витражи. В результате же получились интересные изделия: часы, тарелки, панно. #своими_руками #своими_ручками #мастерклассвитраж #воронинаекатерина #артиндиго #artindigo #artindigo_vitrage #мастеркласс #витражи #fusing_masterclass;1454451734;20;2812402961;False;мастерклассвитраж
BBTRvEYrknk;Татьяна забрала свое изделие и обещала вернуться✈️. Ждет следующего мастер-класса. Рядом фото с ее отзывом в фэйсбуке. И это взаимно, приятно отдавать накопленный опыт интересующимся людям:)) #витраж #vitrage #artindigo #артиндиго #искусство #vitrage_artindigo #воронинаекатерина #художник #художникмосква #художественнаямастерская  #мастерская #fusing_masterclass #фьюзинг #стекло #запеченоестекло #часыизстекла #цветноестекло #фьюзингстекла #фьюзингукрашения #фьюзингмосква  #stainedglass #fusing #fusedglass #часы #творчество#творимкрасоту #мастеркласс #art #glass #stainedglass;1454453291;25;2812402961;False;мастерклассвитраж
BBTSTRdrkpA;Отзыв на своей странице в фэйсбуке о мастер-классе от Татьяны. #artindigo_vitrage #мастерклассвитраж #фьюзинг #артиндиго #витражи #витражиотзывы #fusing_masterclass;1454453588;24;2812402961;False;мастерклассвитраж
BCqp5cApS-Y;"Удивительно милая работа ученицы на мастер-классе в г. #СанктПетербург в студии #ОранжевоеНастроение
#оранжевоетворчество #оранжевоепространство #мастерклассвитраж #витраж #творческоепространство  #слонвслоне
#витражение #vitragenie";1457385194;51;3018267378;False;мастерклассвитраж
BCqqRV3JS_B;"Такой приятный труд.... нет. Скорее ОТДЫХ!!! Ведь  #витражнаяРоспись -настоящая #АртТерапия!!! Фото с МК в студии #ОранжевоеНастроение 
#витражение #vitragenie 
#оранжевоетворчество #оранжевоепространство #мастерклассвитраж #витраж #творческоепространство #слонвслоне";1457385390;37;3018267378;False;мастерклассвитраж
BFDz-x1ob-U;03 апреля - мастер-класс по витражной росписи. Участники нарисовали очень яркие и красочные витражный картины, которые теперь украсят их дома :) А дети в это время играют в нашей бесплатной детской комнате! Вот такое семейное удовольствие :) #кудапойтисребенком  #кудапойтиспб #оранжевоенастроение #кудапойтисдетьми #богатырский18 #слонвслоне #детская комната #мастеркласс  #мастерклассспб #питермастеркласс #отдыхвпитере #витраж #витражнаяроспись #мастерклассвитраж;1462524309;10;3025182158;False;мастерклассвитраж
BI0sPKIACkt;"Чудесный подарок 🎁внучке, сделала замечательная женщина, постоянная ""ученица""🎓 на наших мастер-классах😊. Тарелка в технике Фьюзинг с датой рождения и символами знака зодиака ♋️. #творчествобудущего #екатеринаворонина #витражиотворониной #артиндиговитражи #artindigo_vitrage #vitrage_artindigo #витражноеискусство #витраживмоскве #artindigo #ekaterinavoronina #katrinart_vorinina #артиндиго #воронинаекатерина #творчествомоихрук #мастерклассвитраж #vitrages #designervoroninaekaterina #витражкупить #витражинфо #дизайнерворонинаекатерина #фьюзингроссия #искусствослюбовью #творимслюбовью #витражиотдуши #дизайнсдушой #фьюзингназаказ #любовьвовсем #дизайнпроектотворониной #fusing_glass #творчествоназаказ";1470606867;75;3628263423;False;мастерклассвитраж
BJgG9iMDB-w;"🍀 Для тех кто давно хотел попасть и не мог :) это занятие для вас 💛
Вы точно уйдете с занятия с готовым изделием - проверено многлетним опытом 😉
Мастер-класс по созданию флорариума / террариума / красивой интерьерной вещицы! ⭐28 августа в 12:00 🌐Венцека, 60 
Продолжительность 8 часов ( 2 или 1 занятие) 🌟Стоимость 3500 (в стоимость включены все материалы) 
Делаем фигуры на выбор (додекаэдр, усеченный куб или тетраэдр, пирамиду) 🌿 Запись по тел. 8-987-982-85-19 или viber/whatsapp #витражныеукрашения #витраж #ручная_работа #ручнаяработа #мастеркласс #мастерклассвитраж";1472063719;19;2250112396;False;мастерклассвитраж
BNrOLGhA_MJ;"Мастер класс: ""Новый год своими руками."" Ожидание волшебного праздника чаще бывает интереснее, чем сам праздник, так как подготовка к Новому году приносит даже больше приятных и незабываемых воспоминаний, чем само торжество. 
На Новогоднем мастер-классе мы будем расписывать елочные игрушки, кружки, подсвечники, вазы и много другое.
Мы поможем вам стать творцом самого волшебного и загадочного праздника Новый год.
Мастер-класс будет проходить в ""Семейном кафе"" по адресу ул. Гомельская 116/1. в 16.00 часов.
Запись на мастер-класс по тел.: 8-918-02-10-666
#мастерклассвитраж #новогодниймастеркласскраснодар #витражнаяросписькраснодар #портретыназаказкраснодар #павлоградгаллери #павлоградскаятатьяна #подаркикраснодар #картиныкраснодар";1481026534;47;3235043315;False;мастерклассвитраж
BP2wHNAhKMX;Вот такие трудовые творческие выходные...) 🌷я благодарю всех за участие,девчонки, вы все невероятные, неповторимые,уникальные.... на видео запечатлён процесс витражного МК (рисунок по стеклу)...все итоговые работы будут чуть позже...капельку терпения...) я в полном восторге от того,что у нас с Вами получилось .... уверенна,что каждый слоник станет Вашем оберегом, Вашей защитой! И волшебником, так как он ИСПОЛНЯЕТ ЖЕЛАНИЯ... с любовью Ваша @nadyamarokesh ☺🙏🏼💋🌷 #мастерклассГанеша #витраж #Ганеша #art #Ganesha #картинаГанеша #новосибирск #мастерклассвитраж #мастерклассновосибирск;1485708394;54;192642390;True;мастерклассвитраж
BQ0N5snhgZ4;Пусть ваше настроение будет таким же ярким и солнечным ✨✨✨ как этот фонарик, сделанный золотыми ручками Киры @manzhulovakira с небольшой помощью моего МК по росписи витражными красками. Кира, ты крутая!💔Ну я прям не могу налюбоваться, вот как будто внутри него сейчас сама зажжется  свеча, и все вокруг заискрится🌈 Вы можете сделать тоже такой фонарик, пишите! После оплаты получите подробнейший мк с кучей полезных советов и фоток😉 и сможете не только фонарь сделать! #мариянетт #малиновка #мастеркласс #витраж #мастерклассвитраж #витражнаяроспись #росписьстекла #мастеркласстюмень;1487770832;85;1078770718;False;мастерклассвитраж
BQ8K9PcA9ua;"Друзья, такие ваши счастливые лица - лучшая награда для меня💖👼 Я счастлива!😍 Сегодня прошел мой мастер-класс по витражной росписи в Студии изящного рукоделия ""Светлица""🎨Вот такая дружная команда у нас сложилась..Приятно видеть, как мамы и ребятишки рисуют вместе, обсуждая детали, цвета, технику...И вообще приятно видеть мам, которые активно занимаются с детьми и которым интересно проводить с ними время😉

В итоге два часа пролетели как миг и все ушли с чудесными, яркими, ""дышашими"" рисунками🎴

Витражная роспись сделает простой кусочек стекла ярким и живым!✨";1488037724;66;3100324779;False;мастерклассвитраж
