post_id;text;date;likes;owner_id;is_video;by_tag
BOH_QarD_aM;Вчера у нас отмечал день рождения Артём, 5 лет! 😊Спокойный уравновешенный умничка, очень любит творчество👍🏻А мама ему подарила мастер-класс по росписи имбирных пряников🍪☕️ Подарок понравился не только детям, но и родителям👏🏻 Ещё раз поздравляем!🍰🎉🎊🎈 +7 (921) 903-00-53 #игротекасмайлик#всеволожск#hakkapeliittavillage #аниматоры#мастеркласс#мастерклассвсеволожск#росписьпряников#посписьпряниковвсеволожск#романовка#рахья#приютино#котовополе#межевая#межеваяулица#бернгардовка#всеволожскюжный#посимморозова;1481991791;20;3140873549;False;мастерклассвсеволожск
BRjSkhzFxOY;"Всеволожск! В креативном пространстве ""Всевкреатив"" 18 марта буду проводить мк по сухому валянию. Будем валять брошь, знакомиться и строить творческие планы. Запись по телефону. Количество мест ограничено!#всеволожск#всевкреатив#vsevkreativ#мастерклассвсеволожск#валяниевсеволожск#сухоеваляние#мастеркласс";1489350338;29;1771778069;False;мастерклассвсеволожск
BV12pYil3vz;"Вот такие сердечке мы можем сделать с вами на нашем мастер-классе

Хотите незабываемый праздник для своего ребенка?  Мы с огромным удовольствием поможем Вам это осуществить : ✨ Все вопросы по 📱 +79062640053 (звонок,  вотсап,  вайбер)";1498563167;44;5577143229;False;мастерклассвсеволожск
BaHBjuyhC_2;"#детали фрукета🍭 даже фильтр не нужен! 💓
👆 А вот скажите,  кому будет интересен мастер-класс, На котором мы сделаем небольшой фрукет в осенних тонах и вы заберете его с собой?👌
💐 Возможное время проведения следующая неделя, точнее выслушаю ваши пожелания😊 по стоимости от 1600 до 2000 в зависимости опять же от дня проведения... количество человек от 3 до 10. Достаточно камерная обстановка для понимания принципов сборки фруктово-овощных  букетов и приятного общения😊
#всеволожск #всеволожскцветы #vsevolozhsk #берда #бернгардовка #колтуши #фрукет #fruketto #мастерклассвсеволожск #сделайсам";1507729248;28;349711793;False;мастерклассвсеволожск
Bccs8YiFMCn;"УЖЕ ЗАВТРА В НАШЕМ КЛУБЕ СОСТОИТСЯ МАСТЕР-КЛАСС ДЛЯ ВЗРОСЛЫХ! 
А вот так прошёл наш прошлый мастер-класс (листайте карусель). Душевная и доброжелательная атмосфера, разговоры, веселье и творчество! Рисуем и пьём вино. #всеволожскюжный #vinolavka #vsevcluboblaka 
В это раз вас ждёт новый сюжет для картины, новые знакомства и прекрасный наставник, с которым не страшно браться за кисти и холст! 
Приходите, будет интересно! 🖌️";1512751604;36;2225375050;False;мастерклассвсеволожск
BdHreR4Fhou;"Дорогие друзья! 
Уже в этот четверг - 28 Декабря в 18.00 - состоится последняя в этом году #арт_вечеринка. Тема картины - ""Зимний сюжет"". Вас ждёт наш чудесный куратор, вооружённая кистями и акриловыми красками, чтобы погрузить вас в #творческий_процесс Рисовать будем на холсте под её чутким руководством, и к концу вечера каждый участник сможет принести домой чудесную картину, которая будет радовать вас и ваших близких! 
Успейте записаться! 
Приходите, даже если вы не умеете рисовать, вас научат! 
Записаться можно здесь под постом или в нашей группе Вконтакте (ссылка в шапке профиля). Записывайтесь и отмечайтесь в комментариях кто придёт! 
Давайте творить вместе! 🤗";1514193674;17;2225375050;False;мастерклассвсеволожск
BdPcDVkF4fm;"Приглашаем деток от 3х лет на наш #мастер_класс по декупажу новогодних игрушек. Каждый участник сделает по 3 игрушки и сможет дома украсить ими ёлочку. 
Мероприятие состоится 29.12. в 17.00. Стоимость 400 руб.
Записаться можно здесь под постом, по телефону 8 (981) 155-37-14 или в нашей группе Вконтакте (ссылка в шапке профиля). Приходите, у нас интересно 🤗";1514454024;26;2225375050;False;мастерклассвсеволожск
Be7x6D4j05b;"Друзья!
В  эту субботу, 10 февраля, приглашаем вас на интересный и полезный мастер класс к нам в кафе!
В программе:
Мастер-класс «Полезный и вкусный завтрак для вас и вашей семьи».
Вас ждёт интерактивная программа с приготовлением полезных и простых блюд, которые сделают ваше утро бодрым, а вас и вашу семью здоровыми и более продуктивными.
На мастер-классе вы:
1. Узнаете, что такое здоровый завтрак и из чего он состоит.
2. Узнаете, как приготовить полноценные блюда для завтрака быстро и просто, потратив совсем немного времени.
3. Своими глазами увидите, как всё это готовится.
4. Поучаствуете вместе с нами в творческом процессе приготовления вкусных и полезных блюд.
На мастер-класс мы пригласили специального гостя:
Специалиста по здоровому питанию, тренера, преподавателя, спортсменку и путешественницу – Оксану Яцыну.
Начало мероприятия: 10 февраля, суббота,  11:00-12:30
Адрес: город Всеволожск, улица Заводская, дом 2 
Стоимость: бесплатно по предварительной регистрации.
Важно! Друзья, мы можем принять в нашем кафе ограниченное количество человек, поэтому необходимо обязательно забронировать место.
Забронируйте место, написав нам в WhatsApp:
Ждём от вас: имя фамилию и количество человек, которые придут вместе с вами.
Ждём вас в субботу!";1518089361;71;578254306;False;мастерклассвсеволожск
BfIueSbDk3A;Мы до сих пор находимся под впечатлением от прошедшего в субботу мастеркласса. Это было действительно интересно, весело, познавательно и душевно. Хотим поблагодарить всех за участие и помощь, надеемся, проведение подобных мероприятий станет доброй традицией в нашем заведении #zavaricoffee #мастерклассвсеволожск #zavariмастеркласс #vsevolozhsk;1518523769;135;578254306;False;мастерклассвсеволожск
BffTS49ht8g;"Приглашаем ребят на мастер-класс в технике Stringart, а по простому Изонить. 
Мероприятие пройдёт в нашем клубе 23.02 в 12.00. Продолжительность 1 час. 
Готовая работа может стать прекрасным подарком в праздник! 
Записаться можно в нашей группе Вконтакте (ссылка в шапке профиля), а также под этим постом или по телефону - 8 (981) 155-37-14. 
Стоимость мастер-класса 400р.
Внимание! Оплата производится только в клубе ""Облака"" и только администраторам!!!";1519281271;25;2225375050;False;мастерклассвсеволожск
BfseIOZB0Rr;"Приглашаем на мастер-класс по живописи детей и взрослых. Тема работы - ""Тюльпаны"". Навыки рисования не требуются. 
Стоимость участия 800 руб., (оплата производится только в клубе и администраторам клуба, будте бдительны!!) все материалы (холст , акриловые краски, кисти) включены в стоимость! Пример работы листайте карусель. 
Мероприятие состоится в субботу 03.03 в 12. 00 в клубе ""Облака"", наш адрес: Всеволожск,  Южный мкрн., ул. Доктора Сотникова 9, если у Вас есть вопросы - звоните 8(981)155-37-14 запись в комментариях.";1519723159;27;2225375050;False;мастерклассвсеволожск
BfwVBoNBAsN;"Ещё один арт-вечер прошёл в нашем клубе. Все участницы унесли домой прекрасные пейзажи. Картины получились у всех, даже у тех, кто никогда не рисовал и пришёл впервые! 
А вы всё ещё боитесь рисовать?";1519852604;48;2225375050;False;мастерклассвсеволожск
BgA8b_zhNEn;"Наши арт-вечера продолжаются! Ближайший пройдёт 10 марта в 18.00. 
Также у нас появилась возможность приобрести подарочные сертификаты на наши арт-вечеринки. Теперь вы можете порадовать не только себя, но и друзей. 
Записывайтесь к нам в комментариях под постом и приобретайте сертификаты. 
ВНИМАНИЕ! Оплату и покупку сертификатов можно произвести только у администраторов клуба - Юлии и Надежды. 
Ваши вопросы вы можете задать здесь⤵️или позвонить по телефону ⤴️8(981)155-37-14";1520410138;31;2225375050;False;мастерклассвсеволожск
BgO703ZgwcI;"Мамы и папы Всеволожска и близ лежащих окрестностей! Это объявление для вас 🙂
. 
Я приглашаю ваших деток в кафе @coffeevarka.vsev на мастер-класс по КРАСИВОМУ ПОЧЕРКУ.
.
📘 18 марта, вс, с 15.00 до 16.00 📘
.
Я проведу урок по красивому почерку для деток от 6 до 11 лет.
.
Почерк - это одна из больных тем почти у всех младших школьников. Сейчас в школе чистописанию уделяют очень мало времени, поэтому маленькие ученики просто не успевают овладеть навыком аккуратного красивого почерка.
.
✍🏻 Что будет на мастер-классе? Наши юные каллиграфы научатся правильно держать ручку, писать один из самых основных элементов – крючок, потренируются писать букву «И». В конце урока мы возьмем в руки настоящие перья и настоящей тушью немножечко порисуем обводилки.
.
🙇 Для кого будет интересно: для деток от 6 до 11 лет.
.
💰 Сколько стоит: 450 рублей. В стоимость входит мастер-класс для ребенка и чашечка вкуснейшего ароматного кофе с печенькой для одного родителя.
.
🔥 Количество мест: всего 8, поэтому вход по предоплате.
При оплате до 15 марта – стоимость 450 руб, после 15 марта – 550 руб.
.
⚠ Место проведения: Всеволожск, ул. Плоткина 19. Кафе «КофеВарка» @coffeevarka.vsev
.
☎ Позвоните прямо сейчас 89215878103 или напишите мне, и я сообщу, как внести предоплату.";1520879580;38;1347583342;False;мастерклассвсеволожск
Bh1OYL4FIzM;"👩🏻🎨Приглашаем на арт-вечеринку🎨 🎇КАРТИНА НА ВЫБОР !!! 🎇
28 апреля в 18.00. 
Вас ждет 3⃣часа творчества в процессе увлекательного общения, бокал вина или чашка чая и, конечно же, прекрасная картина, написанная Вами самостоятельно под руководством нашего куратора‼

Стоимость участия 1200 руб., все материалы (🎇холст, 🎨акриловые краски, 🖌кисти, 🍷☕напитки и прочее) включены в стоимость! 
Примеры работ смотрите в карусели ☝️
Записывайтесь у администраторов клуба Юлии или Надежды)  Вопросы и запись на мероприятие по телефонам 89811553714 , 89219144680 или в комментариях под этим постом.";1524311858;23;2225375050;False;мастерклассвсеволожск
Bh_XMs5l-xn;"Приглашаем деток на мастер-класс - «Зайка»! 🐇
Мероприятие состоится 28 апреля в 14.00. 
Продолжительность около 1,5-2 часов. 
Стоимость: 400р. 
Дети с 5 лет справятся самостоятельно.
Вопросы и запись на по телефонам 89811553714 , 89219144680 или здесь под постом. 
Примеры работ листайте в галерее. 
Внимание ☝️оплата производится непосредственно в клубе и только нашим администраторам Надежде и Юлии!";1524652027;20;2225375050;False;мастерклассвсеволожск
Bi1S_4glkzb;"Приглашаем детей на мастер-класс по созданию «Чудо Остров» ( для дальнейших игр животными или машинками) 
МК состоится 19 мая в 12.00 продлится 2-3 часа. 
Стоимость: 600р. ( один можно делать семьей).
Записывайтесь в комментариях под этим постом или по телефону: 914-46-80 (Надежда).";1526461764;21;2225375050;False;мастерклассвсеволожск
BiO8p3pHMvp;"Какой стильный мне сделал @grif_reklama сертификат, как вам?❤️ Осталось мало мест, не пропустите ! 🌺Мастер-класс по макияжу — пора преображаться. 💄💋👁
💜""Макияж для себя» 3 часа индивидуального мастер-класса. 💛Вы научитесь наносить дневной и вечерний макияж. 💚Вас будет ждать мастер-класс от профессионального визажиста, много знаний,прекрасная компания друзей,вкусный чай с конфетами,мини магазин косметики. Хотите ? 
Тогда пишите мне 📲8(965)8145104 💙Стоимость составляет 900 руб/чел. Количество мест ограничено!
Всеволожск 20 мая в 11:00 -14:00 ул.Межевая Д.27  vk.com/club81518299 #глаз#выпускницы2018#мастерклассвсеволожск#лущиковаевгения#нагениялущикова 🌺🌺💕💕💕💕💕💄💄💄💄💄";1525174981;12;326122601;False;мастерклассвсеволожск
BiculpBBONM;"👩🏻🎨Приглашаем на арт-вечеринку🎨 🎇КАРТИНА НА ВЫБОР !!! 🎇
13.05 в 17.00 
Вас ждет 3⃣часа творчества в процессе увлекательного общения, бокал вина или чашка чая и, конечно же, прекрасная картина, написанная Вами самостоятельно под руководством нашего куратора‼

Стоимость участия 1200 руб., все материалы (🎇холст, 🎨акриловые краски, 🖌кисти, 🍷☕напитки и прочее) включены в стоимость! 
Записывайтесь у администраторов клуба Надежды или Юлии ) 
Вопросы и запись на по телефонам 89811553714 , 89219144680 или в комментариях под этим постом. ! Внимание ! Оплата производится только в клубе и только нашим администраторам. Будьте бдительны!";1525637368;21;2225375050;False;мастерклассвсеволожск
BjXI0BSlm54;"🎨Приглашаем на арт-вечеринку🎨 🎇КАРТИНА НА ВЫБОР !!! 🎇
03,06 в 17.00 
Вас ждет 3⃣часа творчества в процессе увлекательного общения, бокал вина или чашка чая и, конечно же, прекрасная картина, написанная Вами самостоятельно под руководством нашего куратора‼

Стоимость участия 1200 руб., все материалы (🎇холст, 🎨акриловые краски, 🖌кисти, 🍷☕напитки и прочее) включены в стоимость! 
Записывайтесь у администраторов клуба Надежды или Юлии )  Вопросы и запись на по телефону 9144680 или в комментариях под этим постом 👇";1527597275;27;2225375050;False;мастерклассвсеволожск
BnM2OWfBJ2C;"С днем знаний друзья! Сегодняшний день богат на события! В нашей семье есть #первоклашка, #Всеволожск отмечает юбилей, и у нашего семейного клуба родилась НОВАЯ традиция! 
В последние лет 10 запуск воздушных шаров обязательный атрибут всех праздников. Сиюминутная радость, веселье и ""традиция"" с самыми лучшими намерениями....
На улице конец мая. Май в этом году жаркий... Детсадовский выпускной подходит к концу и традиционно завершается запуском шариков. Десятки разноцветных пятнышек постепенно превращаются в точки и скрываются из вида.
-  Мамочка, а куда улетают весёлые шарики?
От вопроса дочери холодок пробежал по телу, а осознание последствий навсегда ""отбило желание"" участвовать в таком ритуале.
Впереди нас ждало целое лето, оно было тёплым, интересным, познавательный и творческим. Дочка узнала куда улетают веселые шарики. Уже в июле наш дедушка смастерил с детьми бумажных змеев, а сегодня после торжественной школьной линейки, весёлой семейной игры на площадке у дома, воздушные змеи совершили свой первый полет!
Теперь у нашего клуба есть  экологичная традиция.

Приглашаем детей, родителей, бабушек и дедушек в наш семейный клуб по интересам!
 #семейныйклубвсеволожск
#бернгардовка #Всеволожск #мамаиребенок #мастерклассбернгардовка #мастеркласс #мастерклассвсеволожск #клубпоинтересам #детивсеволожск #деньзнаний #творчествосдетьми #экскурсииизвсеволожска #всеволожскэкскурсии";1535841919;12;8092346711;False;мастерклассвсеволожск
Bo2bBiLAW4l;"Доброго осеннего дня!  Мастер-класс 14 октября в 12.00 по скрапбукингу ""Фоторамка для бабушки"" продолжительностью 1,5 часа, стоимостью 500р. МК подойдет для детей в возрасте от 6 лет. На мастер-классе мы будем работать с бумагой и маркерами, освоим приемы раскрашивания, научимся базовым приемам композиции. В результате получим готовую рамку для фото 10х15 вертикального или горизонтального расположения. ВНИМАНИЕ. Все используемые материалы не токсичны и не вредны. Запись в комментариях.#лавканилень #мастерклассвсеволожск#мастерклассдетям#детиюжный#пряжаиталия#алмазнаямозаика#хобби#рукоделие";1539384428;16;7474359871;False;мастерклассвсеволожск
BqZaIGpDnw0;"Новое пространство для мам и деток 😊 Там будут очень рады гостям, всех ждут😊
Приходите и следите за новостями в @vsev_lucky_time
#всеволожск #детивсеволожск #мамывсеволожск
#мастерклассвсеволожск
#декрет
#длямам
#отдыхвсеволожск";1542705847;28;2039378575;False;мастерклассвсеволожск
Br246gqhlX6;"🔷Хотите провести Новогодние каникулы с пользой? Не знаете что подарить друзьям и близким? 🔶Мы знаем ответ! Освойте новый навык по изготовлению уникальных украшений своими руками.
🔷4-го января (12:00) в @medlimons состоится мастер-класс по изготовлению украшений из сухоцветов и эпоксидной смолы от Оксана.
В программу входит: 🔹вкусная😋 ""передышка"" от @medlimons
🔸удовольствие от отлично проведенного времени в интересной компании
🔹и, конечно, сделанное Вашими же руками, украшение (брошь/кулон/кольцо/серьги).
🔶Регистрация: https://vk.com/oksanakim 
Первым 3 записавшимся мы подарим сюрприз от нашего партнера к новогоднему столу.🎁 стоимость участия 1500₽, требуется предоплата 500₽.
🔷Приведи друга. Участие в мастер-классе 
для двоих будет стоить 2500₽ .
🔶Сделайте подарок маме, сестре или подруге!
Оплатите мастер-класс, оставьте нам контактные данные участника, мы отправим подарочный сертификат  по электронной почте или Viber/WhatsApp.
🔴Количество мест ограниченно, поэтому спешите записаться.
Всеволожск.Южный.Невская 1/2. Пн-пт (07-21) Сб-Вс (9-22). +7.999.029.68.08

#маленькиерадости #НовыйГод #украшениясвоимируками #Рождество #мастерклассВсеволожск #вотчеговамнехватало
#всеволожск #микрорайонюжный #непростопекарня #медлимон  #сделанослюбовью❤️ #ВнутриРадость
#медлимон  #ЖизньВОбъективе #кофейня #кофессобой #пекарня #южныйрулит #всевкафе #большечемпекарня
#всеволожск #ВсеВкусноеВПетербурге #ЭтовамнеБатон #КрасотаСпасетМир";1545842550;28;3671456703;False;мастерклассвсеволожск
