post_id;text;date;likes;owner_id;is_video;by_tag
13Wn7dh7kH;"Мастер-класс с Радой ""С самого начала"". Три часа разговоров, много петель, укрощение среднего пальца, чашка выпитого какао и кофе с философией от #Даблби и слова мне - Оля, вяжут многие, но мне хотелось именно к тебе! Обалдеть, не правда ли? #мастеркласс_от_Оли_в_СПб #вяжемвПитеревместесОлей";1429894010;478;14775493;False;мастерклассвспб
16Yd0GsQIf;"Работа @anastasi_solar
 #love #mosaic #мозаика #впетербупге #Петербург #спб #санктпетербург #своимируками #красота #любовь #Mosaic #master #мозаика #санктпетербург #петербург #спб #обучение #мастеркласс #мастер #красота #своимируками #творчество #твори #мозаикавспб #мастерклассвспб #курсы #курсывпетербурге #обучение #обучениевспб #петроградская #мозаичнаямастреская #мастерская #мозаиканазаказ #проект #подарок #длялюбимых";1429995639;72;2124408135;False;мастерклассвспб
1nCpgAsQNB;#Mosaic #master #мозаика #санктпетербург #петербург #спб #обучение #мастеркласс #мастер #красота #своимируками #творчество #твори #мозаикавспб #мастерклассвспб #курсы #курсывпетербурге #обучение #обучениевспб #петроградская #мозаичнаямастреская #мастерская #мозаиканазаказ #проект #подарок #длялюбимых #творчество #твори #создавай #mosaicoblako;1429346666;124;2124408135;False;мастерклассвспб
6T_cMOvLCv;"3 ДНЯ в СПБ! ""Кулинарная Революция"" - уникальный интенсив-курс по современным технологиям. Всего 10 человек в группе.

Регистрация и описание: http://chefs-academy.com/modern_cuisine

Место проведения мастер-класса: 
г. Санкт-Петербург, Заневский проспект 37, 4-й этаж, Кулинарная студия Taste Lab.

P.S. Наши партнеры студия Taste Lab, ее сайт Tastelab-spb.ru и группа вк https://vk.com/tastelab #modernist #molecularcuisine #masterklassSPB #молекулярнаякухня #мастерклассотАУП #АУП #академияуспешныхповаров #chefsacademy #мастерклассвСПБ #modernistchefs";1439444868;7;1907938883;False;мастерклассвспб
7heHCITLsR;"❤ Дорогие девушки, мамы, бабушки!!! ❤ 
Рады сообщить вам, что 03.10.2015 в 15.00
пройдет мастер класс от Натальи Клыжовой.

В программе 
Плетение кос, прически и макияж.

Ну конечно же чай с печеньками и очень приятная атмосфера.

Вы прекрасно проведете время и получите знания.
Всех пришедших будут ждать СЮРПРИЗЫ и ПОДАРКИ!!! Запись на мастер класс обязательна в комментариях или в лс.

Участие БЕСПЛАТНО!!!!
❤ Всех ждем с нетерпением!!!!❤ #мастеркласс #плетениекос #мастерклассвспб #прически #макияж #натальяклыжова #студиямойстиль";1442044639;14;1064519909;False;мастерклассвспб
8WFZAsTLiR;"Вот и осталось меньше суток до моего мастер класса. Уже завтра 03.10.15 в 15.00 по адресу: канал Грибоедова 26. 
Всех пришедших будут ждать приятные сюрпризы и подарки. 
А также у нас будут гости из ""Мастерской праздников "" и они нас научат делать сладкие цветы.
Всех ждем с нетерпением!!! #мастеркласс #мастерклассвспб #мкклыжовой #натальяклыжова";1443810064;7;1064519909;False;мастерклассвспб
9YHW3vG8kn;Друзья, мы знаем, что долго томили Вас, но ответственно заявляем, в ноябре пройдет еще один мастер-класс по составлению экошариков 🌿 Все подробности мы будем раскрывать постепенно. Следите за обновлениями в группе и instagram 😉 #мастеркласс #yourstream #скоро #comingsoon #мастерклассспб #ноябрь #мастерклассвспб #экошар #флорариум;1446025687;225;1298401777;False;мастерклассвспб
BA48RSgg-Xw;"🌸Сварила мыло с эфирным маслом иланг-иланга, персиковой косточки и натуральным красителем. Записывайтесь на мастер-классы ➡ http://vk.com/pollyschool Будем учиться делать красоту 🌸
#школа_мыла_с_Полли
#мылоручнойработы #ручнаяработа #мыловарение #мастерклассспб #мылоспб #мылопитер #мастерклассвспб #мк #мастеркласс_спб #cпб #soap #handmade #soap #мастеркласс #мыло #варюмыло #моемыло #мылоназаказ #мыловарня #мыловподарок #косметикаручнойработы #своимируками";1453569622;66;1111580248;False;мастерклассвспб
BBDoMcSg-el;"Первый базовый мастер-класс курса завершился, записывайтесь на следующий ""Многоцветное мыло"" в эту субботу 😉 ➡ http://vk.com/pollyschool (активная ссылка в профиле).
#школа_мыла_с_Полли
#мылоручнойработы #ручнаяработа #мыловарение #мастерклассспб #мылоспб #мылопитер #мастерклассвспб #мк #мастеркласс_спб #cпб #soap #handmade #soap #мастеркласс #мыло #варюмыло #моемыло #мылоназаказ #мыловарня #мыловподарок #косметикаручнойработы #своимируками";1453928195;34;1111580248;False;мастерклассвспб
BBDqM5sA-TE;"Самое долгожданное - это результат 🙈🙏 Первые работы участников мастер-класса 🌹🌸🌻🌼 по цветам.
#школа_мыла_с_Полли
#мылоручнойработы #ручнаяработа #мыловарение #мастерклассспб #мылоспб #мылопитер #мастерклассвспб #мк #мастеркласс_спб #cпб #soap #handmade #soap #мастеркласс #мыло #варюмыло #моемыло #мылоназаказ #мыловарня #мыловподарок #косметикаручнойработы #своимируками";1453929247;58;1111580248;False;мастерклассвспб
