post_id;text;date;likes;owner_id;is_video;by_tag
BbSG1W4lE8k;"Мастер-класс для наших малышей. Такие молодцы. Трудоспособные и усидчивые. Детям 2х летнего возраста это не всегда свойственно. Нашим интересно все! Для нас это будет доброй традицией. Мамочкам и папочкам всегда рады. Приходите к нам чаще.
#детскийсадЛИДЕР
#найдилучшеЛидера
#лидерповедники
#частныйдетскийсад #детскийсаддмитровка #детскийсадосташка #мастерклассдети #частныйдетскийсаддмитровка #поделкисдетьми #сделайсам";1510248596;13;6070206352;False;мастерклассдети
Br8UBujlzDS;Мастер-класс по росписи стеклянного шарика на фабрике игрушек в Клину. #центрэкскурсийипутешествиймосковский #клин #фабрикаелочныхигрушек #клинскоеподворье #мастерклассдети;1546024537;15;6573429853;False;мастерклассдети
BscU4AHlGuP;Юный кулинар #мастерклассдети #пряникироспись;1547098724;22;6573429853;False;мастерклассдети
BscUdRWFjNc;Расписываю новогодние прянички #центрэкскурсийипутешествиймосковский #росписьпряников #мастерклассдети;1547098519;22;6573429853;True;мастерклассдети
BscVNMzl0GY;Мои прянички расписные #мастерклассдети #пряники #рописьпряников;1547098897;20;6573429853;False;мастерклассдети
BscWBRYF4eO;Я пряничных дел мастер #первыймосковскийгородпарк🌳🌲🌳 #пряники  #мастеркласспопряникам #мастерклассдети;1547099324;20;6573429853;False;мастерклассдети
BtvGYX5n_-K;;1549876143;2;11053229137;False;мастерклассдети
BtvGa5fnXMb;;1549876163;2;11053229137;False;мастерклассдети
BtvGcNQnY0A;;1549876174;0;11053229137;False;мастерклассдети
BtvHDCon0RN;Мастер класс 4 класс Челябинск 128 школа;1549876509;2;11053229137;True;мастерклассдети
BtvKJn9nOpi;Дорогие родители, учителя, педагоги, готовы провести увлекательный мастер - класс для ваших детей. 45 минут проведенных вместе не пройдут даром и научат их чему то новому. телефон для заказов +79193451453, +79127710077;1549878119;2;11053229137;False;мастерклассдети
BtvKcbQHOMb;Дорогие родители, учителя, педагоги, готовы провести увлекательный мастер - класс для ваших детей. 45 минут проведенных вместе не пройдут даром и научат их чему то новому. телефон для заказов +79193451453, +79127710077;1549878273;1;11053229137;False;мастерклассдети
BtvKgouHOfW;;1549878307;2;11053229137;False;мастерклассдети
