post_id;text;date;likes;owner_id;is_video;by_tag
BnKhz24HqEp;Рука-крюк - хит сезона!👍 Также в тренде мешочек-кошелёк для монет/золота/телефона☠️ #мастерклассыдлядетей #мастерклассы #детскийпраздникмосква #детскийпраздникпираты #декорпираты #пиратскийпраздник #декоризфетра #фетр #пиратскаявечеринка☠️ #выездныемастерклассы #выездныемастерклассымосква #выездноймастеркласс #мастерклассдлядетей;1535764108;16;295807311;False;мастерклассдлядетей
BnQiNyCgZlv;Фетровые милые масочки 🐼🐱 #мастерклассыдлядетей #мастерклассы #мастерклассмаски #мастеркласспраздник #детскийпраздникмосква #декоризфетра #карнавальнаямаска #выездноймастеркласс #выездныемастерклассы #выездныемастерклассымосква #мастерклассдлядетей;1535965647;14;295807311;False;мастерклассдлядетей
Bp9bayfHU-K;Больше золота! 😁 Больше Поттера! 💖 И прочее девчачье #выездныемастерклассы #мастеркласспраздник #мастерклассы #детскийпраздникгаррипоттер #детскиймастерклассмосква #детскийпраздникмосква #декоризфетра #декорирование #мастерклассбейсболки #мастерклассдлядетей;1541767000;20;295807311;False;мастерклассдлядетей
BpSPgPFHQt5;Самый популярный герой сегодняшнего выжигательного дня🔥(не мишка) #ратоборцы #назадвссср #московскиесезоны #мастерклассы #мастерклассыдлядетей #мастерклассвыжигание #выжиганиеподереву #мастерклассдлядетей;1540317912;13;295807311;False;мастерклассдлядетей
BpfJUdRnlFi;Хеллоуиновское. Шляпы и веночки👻 #хеллоуин #хэллоуин #мастерклассы #мастеркласспраздник #мастерклассымосква #мастерклассыдлядетей #мастерклассхеллоуин #выездныемастерклассы #мастерклассдлядетей;1540750878;14;295807311;False;мастерклассдлядетей
BqFgYQiHeTc;Маленькие цветочные миры🐇🌵 #флорариум #флорариумсвоимируками #флорариуммастеркласс #выездныемастерклассы #мастерклассы #мастеркласспраздник #мастерклассымосква #флорариумы #флорариумымосква #мастерскаяединорога #мастерклассдлядетей;1542038036;18;295807311;False;мастерклассдлядетей
Br-i7b6nt-9;Сегодня девочки и мальчики #ватнаяигрушка #ватныеигрушкисвоимируками #ватныеигрушкиссср #ватнаяигрушканаелку #мастерклассымосква #мастерклассдлядетей #мастерскаяединорога #мастерклассватнаяигрушка #игрушкасвоимируками #игрушкиизватынаелку #игрушкаизватынаелку #игрушкаизваты;1546099459;25;295807311;False;мастерклассдлядетей
Brc0M2FHI4L;Снеговичковое селфи снеговика и его ватные приятели⛄ #мастерклассымосква #мастерклассдлядетей #мастеркласспраздник #мастерклассы #мастерклассыдлядетей #ватнаяигрушка #ватныеигрушкисвоимируками #ватныеигрушкиссср #ватнаяигрушканаелку #ватныеигрушкинаелку #мастерклассватнаяигрушка #игрушкасвоимируками #игрушкиизватынаелку #игрушкаизватынаелку #игрушкаизваты #мастерскаяединорога;1544967664;14;295807311;False;мастерклассдлядетей
Brr0mMqnKL5;Сегодня - ватные снегурочки. Бесплатный мастер-класс в течение всего дня для жителей Бутово😀 #ватнаяигрушка #ватныеигрушкисвоимируками #ватныеигрушкиссср #ватныеигрушкинаелку #игрушкасвоимируками #игрушкиизватынаелку #игрушкаизватынаелку #мастерскаяединорога #выездныемастерклассы #выездныемастерклассымосква #мастерклассымосква #мастерклассдлядетей #мастерклассватнаяигрушка #мастерклассы #мастеркласспраздник #мастерклассыдлядетей;1545471188;21;295807311;False;мастерклассдлядетей
BsahC0ZhvS_;Рыженькая💘 Во время мастер-классов появляются на свет вот такие милые девочки #ватнаяигрушка #ватныеигрушкисвоимируками #ватныеигрушкиссср #ватнаяигрушканаелку #ватныеигрушкинаелку #выездныемастерклассы #выездныемастерклассымосква #игрушкасвоимируками #игрушкиизватынаелку #игрушкаизватынаелку #игрушкаизваты #авторскаякукла #мастерклассымосква #мастерклассдлядетей #мастерскаяединорога #ссср2019;1547037995;44;295807311;False;мастерклассдлядетей
Bsp0ss5nVUg;Эльф с дредами, ребёнок-паук и остальная компашка, образовавшаяся во время мастер-классов👩‍👧‍👦👨‍👩‍👧‍👦👨‍👧‍👦 #ватнаяигрушка #ватныеигрушкисвоимируками #ватныеигрушкиссср #ватнаяигрушканаелку #ватныеигрушкинаелку #выездныемастерклассы #выездныемастерклассымосква #игрушкасвоимируками #игрушкиизватынаелку #игрушкаизватынаелку #игрушкаизваты #авторскаякукла #мастерклассымосква #мастерклассдлядетей #мастерскаяединорога #ссср2019;1547551616;32;295807311;False;мастерклассдлядетей
Bt-q1UdHZJT;Короны и головные уборы для принцев и принцесс (и благородных разбойников😁) #выездныемастерклассы #выездныемастерклассымосква #принцессыдиснея #мастерклассымосква #мастерклассдлядетей #мастерскаяединорога #мастеркласспраздник;1550398571;10;295807311;False;мастерклассдлядетей
