post_id;text;date;likes;owner_id;is_video;by_tag
BM1WPG5DY4O;"Вот такие кормушки для птиц сами скрутили, загрунтовали и расписали мальчики в нашей студии. Хотите, чтобы ваш парень сделал такую же?  Пишите в директ. #наширукинедляскуки#мастерклассдлямальчиков#творческаятюмень#творимсдетьми#творим #детки72 #деткитюмень #мамытюмени #подарокмаме #мамочки72 #tyumenmams #яхудожник #тюмень #tyumen #instaart #tmn #paint #artwork
#art #arts #art_home72 #arttyumen#яхудожниктюмень";1479218821;51;1833267487;False;мастерклассдлямальчиков
BMFEVFcDPGj;Решила не мучать вас тыквами))) а просто озадачить☺️Итак, вопрос: кто знает что изображено на картинке?🕵🏼Специально☝🏻️, по просьбам нашей мужской половины художников ☺️в субботу в 13-00 состоится мастер-класс под названием......Жду ваших ответов!☺️#ктовтеметотпоймет #мастерклассдлямальчиков #жкмосковский #краснодар #краснодарскийкрай #студиядавинчи #живописькраснодар;1477598821;29;3235054540;False;мастерклассдлямальчиков
BMR0468gxev;"Приглашаю всех желающих на мастер класс по созданию ловца снов. Ловец снов (амулет)— индейский талисман, защищающий спящего от злых духов. Плохие сны запутываются в паутине, а хорошие проскальзывают сквозь отверстие в середине. Мастер класс состоится 13.11.16 в 10 утра по адресу Комарова 28 В ""талант виль"" #мастерклассростовнадону #ловецснов #созданиеловцаснов #амулет #мастерклассдлядевочек #мастерклассдлямальчиков #сундучокподарков #северныйрынок";1478026933;25;2301902219;False;мастерклассдлямальчиков
BNEcFikjtQA;"Скоро еще один мастер-класс, который будет интересен мальчишкам. Елочная игрушка/подставка под горячее  из среза дерева, работа выполнена выжигателем. #наширукинедляскуки#мастерклассдлямальчиков#научимрисоватьтюмень#яхудожниктюмень #детки72 #деткитюмень #мамытюмени #подарокмаме #мамочки72 #tyumenmams #тюмень #tyumen #instaart #tmn #paint #artwork
#art #arts #art_home72 #arttyumen";1479725205;33;1833267487;False;мастерклассдлямальчиков
BQm8TZGDxXH;Топиарии только для девочек? Не думаем!) 🎸💪 #мастерклассмосква #мастеркласстопиарий #мастерклассдлямальчиков #топиарий #декордома #подарок #23февраля;1487325398;16;1934154802;False;мастерклассдлямальчиков
BUHPaEnDhMd;"Ураааааа! Урааааааа!🔥🔥🔥 20 мая  в 11:00 📅 в нашей студии будет Мастер Класс для настоящих парней ""Папин помощник"". 📌Будем знакомиться с папиным инструментом 🔨 📌Будем пробовать забивать гвозди и закручивать саморезы 🔩 📌Будем работать сверлами 🔧 📌Станем настоящим помощником для своего папы👨 
Цена: 400 руб.💰 Звоните и записывайтесь по тел:☎89857861567☎
Количество мест ограничено!
#мастерклассдлямальчиков
#himki_vmeste";1494851607;12;1650705725;False;мастерклассдлямальчиков
BUHPx0EDChA;"20 мая 📅 11:00 в  студии ""Счастливы вместе"" @himki_vmeste будет Мастер Класс для настоящих парней ""Папин помощник"". 📌Будем знакомиться с папиным инструментом 🔨 📌Будем пробовать забивать гвозди и закручивать саморезы 🔩 📌Будем работать сверлами 🔧 📌Станем настоящим помощником для своего папы👨 
Цена: 400 руб.💰 Звоните и записывайтесь по тел:☎89857861567☎ Возраст от 6 лет 
Количество мест ограничено!
#мастерклассдлямальчиков ___________________________________________________________ 
#himki_vmeste #химки #куркино #сходня #новогорск #подрезково #путилково #левобережный #мамыхимки #khimki  #club_mam_khimki #химкидети #химкидетям #куркинодети #кудапойтисребенком #афишахимки #афиша #афишакуркино #досуг #московскаяобласть";1494851801;23;3662327064;False;мастерклассдлямальчиков
BX9z717hYsm;"Утра доброго!!! Дорогие мои люди!!!
Есть места на МК по сотворению вот такого чудесного рюкзачка. (Для мальчиков мы припасли черный и коричневый цвета кож зама, а для девченок молочный) Есть места!!!
Возраст:9+
Продолжительность:5часов.
Цена: 1000 руб.
Мастер класс состоится по адресу:
Г.Краснодар. Ул.3я Целиноградская, 9 (цоколь, творческая мастерская #davidenko_mariya)
#феечки_davidenko_mariya #какнаучитьребенкашить #davidenko_mariya#мастерклассыдлямальчиков#мастерклассдлямальчиков#мккраснодар#мастерклассыдлядетей";1503125148;31;1459113269;False;мастерклассдлямальчиков
BXLAzEChL_1;"Дня доброго)✨
Девчонки девчонками!!!👱🏻‍♀ У меня тут еще и мальчишки!!!👱🏻 Юра и Рома : определенно два капитана!!!👬 И каждый капитан со своим подчерком выжигания!!!🖊 Ну вот совершенно определенно не хватает в нашей мастерской мастер классов для Мальчишек, но мы же исправляемся☺
Пока маленькими, но уверенными шагами))🤞🏼
Помните мое слово: мы сделаем все возможное, чтобы парни стремились к нам так же, как и летят наши феечки!!!)🌸
Наш адрес:г.Краснодар , Ул.3-я Целиноградская, 9(цоколь, Творческая Мастерская #davidenko_вmariya) ❤
Обязательная предварительная запись по тел: 8-918-376-73-73-Мария👧🏼
#выжигание#выжиганиекартины#мастерклассдлямальчиков#мастерклассы#мастерклассы_krd#davidenko_mariya#мужскаяработа#МК#творчество#краснодар#каникулы#работа#мастеркласс#городкрвснодар#мастерклассыдлядетей#детитворят#своимируками#творческийгородкраснодар#мастерклассыдлявзрослых";1501420616;46;1459113269;True;мастерклассдлямальчиков
Ba26fGcBdlZ;"Мы отменяем тяжелые понедельники! У нас понедельники веселые, хохочащие, обнимательные и тортопоедательные.🎂 Если ваш понедельник не такой, то заходите к нам!🤗
🌎ФМР, ул. Дальняя, 39/5 - это 500 м2 семейной территории и визуального наслаждения.🌺";1509336152;61;5997122633;False;мастерклассдлямальчиков
