post_id;text;date;likes;owner_id;is_video;by_tag
Bp0oqDkFVvu;"Было очень правильным решением по прилету заселиться сразу в Марина Бэй, первое впечатление самое сильное, это был прекрасный уикенд в Сингапуре, двигаемся дальше)
.
Наша команда в лице: @msjuliette @justcalldaria @xolod622 снова в сборе!
.
#gobrotrips #wedvibes #helloworld #singapore #weddywood #мастерклассдляфотографов #asia #travel";1541471951;1128;235381059;False;мастерклассдляфотографов
Bp17lrLnKw7;"25 (!) ноября я планирую крайне пользительный перед новогодними праздниками мастер-класс
🌟ФОТОГРАФ И МОДЕЛЬ🌟

Расскажу все, что знаю и отвечу на вопросы о том, как  провести съемку с непрофессиональными моделями (то есть с обычными людьми, которые пришли к вам за красивыми картинками) без потерь для нервной системы и сделать это максимально красиво. 
Буду много говорить, показывать шпаргалки и рисовать схемы, а потом потренируемся на ком-нибудь особо вредном. 
Краткое содержание:
1. Определяем цель сьемки
2. Готовим к работе фотографа (техника и нервы) и модель (одежда, обувь, прическа, макияж, аксессуары)
3. «А можно я его стукну?!» Взаимодействуем на сьемочной площадке:
- Как помочь человеку, который не знает как встать, куда смотреть и что делать с руками, почувствовать себя комфортно;
- Позирование: добиваемся естественных и непринужденных кадров;
- Как быть, если снимать нужно маленького ребёнка, а он не хочет сотрудничать :)
- Сколько делаем кадров и что именно снимаем - Как понять, что пора заканчивать

В конце всем вручу электронную папочку с ценными советами, рецептами и схемами. 
Стоимость участия для моих студентов: 2500 р.
#tapniphoto_обучение #мк #мастерклассдляфотографов #фотографтомск #фототомск #обучениефотографии #курстатьяныпрониной #томск";1541515431;35;5615554438;False;мастерклассдляфотографов
Bp1MG2lFBKW;"Свадебная среда не отпускает меня даже в путешествиях)
.
Только заселились в отеле и набережную начали собирать под свадьбу)
.
Познакомился с местным декоратором. Рассказала о том, что на острове большинство Китайских свадеб, своего рода  альтернативные Гавайи американцев.
.
Выяснили, что свадьбы на Бали выходят дешевле, чем в России! Большинство подрядчиков работают через агенства.
.
К сожалению большинство пар из Китая выбирают именно фотографов и операторов из Китая, которые живут на ПМЖ на Бали и работают. А вот флористы и декораторы здесь работают и местные и с других стран, через агенство, видимо потому что с парой практически не контактируют.
.
Shooting for: @becikflorist
.
#wedding #decor #bali #indonesia #weddywood #wedvibes #helloworld #мастерклассдляфотографов #weddingphotograher";1541490537;1081;235381059;False;мастерклассдляфотографов
Bp9hPsJhPOH;"У меня душа уходит в пятки от волнения и восторга, ведь зимним мастер классам с волшебником @andrrresky быть! .
.
🎄30 ноября - МК «Секрет новогоднего контента», который пройдет в фотостудии.
🎄3 декабря - МК «Праздник за городом» - отправимся на настоящую фотоохоту за самыми нарядными и яркими кадрами, которые мы сделаем в подмосковной усадьбе с настоящим камином!!! ❄❄❄ Подробнее:
🌟«Секрет новогоднего контента» - это проверенная программа по обучению фудфотографии, которая в этот раз адаптирована под Новый год - самый активный период в Инстаграме. 💫Программа подойдет не только для новичков, но и для всех, чей бизнес  зависит от фотографий.
💫Андрей расскажет вам, как даже в формате собственной квартиры можно сделать такие масштабные кадры, как этот!
💫На практике мы будем снимать множество новогодних сюжетов, шикарные торты, пряники и домики, глинтвейн и любимая рождественская выпечка!
💫Готовьте флешки побольше, потому что кроме совместной практики у нас будет 5 особенных индивидуальных зон для тренировки полученных знаний.
ГДЕ: фотостудия «Москва» на Электрозаводской
Когда: 30 ноября с 9:00 до 15:00
Стоимость: 9000 руб 🎄🎄🎄
❄«Праздник за городом» - это выездной МК с бомбической программой! Да, мы приглашаем вас на комфортной «оленьей упряжке» отправиться в подмосковную усадьбу, где с самого утра, под снегопад за окном, и с кружкой горячего напитка в руках вы увидите, что сказка превращается в жизнь.
💫Это насыщенная практика: съемка в зале с окнами от пола до потолка, елкой и праздничным столом, который мы вместе будем сервировать.
💫Съемка с камином, глубоким мягким креслом, пледом в шотландскую клетку и россыпью подарков.
💫А для того, чтобы у вас был контент на каждый день, мы оформим 5 отдельных зон для фотосессий и в доме, и на улице. И даже если не будет снега, мы знаем, как сделать, чтобы он был!
💫МК на природе - это Мега круто, потому что только так можно раздвинуть границы кадра и снять такой настоящий праздник, о котором мечтают все без исключения!
ГДЕ: Усадьба в 30км от МКАД
Когда: 3 декабря с 9:00 до 16:00
Стоимость: 15 000 руб (входит трансфер, питание и бесконечно красивые кадры)
🎄🎄🎄
🎁Запись и все подробности у меня, пишите в личку.";1541770055;1999;260890859;False;мастерклассдляфотографов
BpDBAfYHwIM;"Делайте стильные свадебные фотографии вместе с нами! А еще мы научим вас организовывать фото-проекты и самым лучшим фотографам дадим шанс работать с нашими свадебными агентствами @familyevents & @ritmy_shastya !

Декор и флористика @miroslava_studio
Платье @amomio.ru
Muah @ejevika_makeup
Photo @judicata

#workshop #воркшопдляфотографов #воркшопмосква #воркшоп #свадебныйworkshopмосква #свадебныйфотограф #свадебныйворкшопмосква #свадебныйворкшоп #фотографнасвадьбу #мк #мкфото #мастерклассфото #мастерклассдляфотографов";1539806996;136;6074733014;False;мастерклассдляфотографов
BpKZy7dFscp;"ВАС УЖЕ 70000!!!🎉🎉🎉
😊Спасибо большое, мои друзья, мои дорогие подписчики за поздравления с ДР, директ взорвался! Не смогу ответить каждому, поэтому выражаю вам свою благодарность в этом посте!
🍁
Ну, и раз уж появился такой замечательный повод, да еще и круглая цифра - 70000 подписчиков, давайте знакомиться!😋
⠀
Я - Ксения!😀 Уже 10-ый год я являюсь профессиональным детским и семейным фотографом!  О возрасте говорить не буду, моя внутренняя отметка остановилась на 25,  поэтому дальше считать не вижу смысла🙈. Имею два высших образования, училась в Университете на журналиста и на юриста, дипломы до сих пор пылятся на полочке, а я долго работала совсем по другому профилю на очень ответственной должности – главным бухгалтером, а также преподавала в Университете экономические дисциплины, пока мир фотографии не затянул меня в свои сети)
🍁
😀 Самым главным мотиватором для меня является моя любимая семья, мои родители, а самым главным вдохновителем – моя дочка Олеся, которой уже 10 лет: модель, актриса, певица, отличница, умница и красавица... О ней будут отдельный посты, так как о ней я могу говорить бесконечно долго, она – мое ВСЕ!
🍁
✨""ВОСПОМИНАНИЯ БЕСЦЕННЫ..."" Этот мой личный слоган был придуман мной еще тогда, когда я только начинала свою фотографическую деятельность и он со мной уже 10 лет, и это не просто слова... Я сохраняю детские улыбки и самые счастливые моменты, а также обучаю фотографов по всему миру мастерству фотографии!📸
🍁
Помимо фотографии меня сильно вдохновляют путешествия по миру🌍, ну и, конечно же, природа. Как человек, рожденный осенью, я обожаю октябрь с его прозрачным бездонным небом, когда возникает ощущение, что тронь воздух - и он зазвенит!🍁
🍁
А еще я очень люблю море, во всех его проявлениях!🌄Могу наблюдать за ним бесконечно!😘 И мои мечты связаны именно с морем...
🍁
Мне часто говорят, что я многого достигла, но я лишь стараюсь каждый день двигаться вперед… иду к своей цели, стараюсь открывать себя, чувствовать и понимать, кто я....
🍁
Еще раз всем спасибо, всех люблю)💋
🍁
Напишите, пожалуйста, о себе в комментариях, из какого вы города или страны, что вы любите, а что нет, чем занимаетесь? Очень интересно вас узнать поближе!😜";1540054873;2445;1991074509;False;мастерклассдляфотографов
BpKg7I8ADG_;"Рейка #5. Первый снимок серии странный. Да, это схема сборки фотозоны - в этом вся соль)
.
Спасибо всех, кто не прошел мимо моего опроса. Сделал для себя выводы.
.
Во-первых, буквы под фотками реально читают.
.
Во-вторых, я буду продолжать делать странные, необычные, нестандартные снимки на ваших свадьбах.
.
Удивлён, что многие написали цифру 4.
.
Вообще в честь чего опрос?
.
В какой-то момент подумал, вдруг я двигаюсь не в том направлении, вдруг все эти ракурсы, вспышки и мой Свадебный тетрис никому не интересен.
.
Вдруг всех интересуют только эмоции и цвет.
.
Рад что это не так - продолжаю.
.
#мквасютинданиил#мквкрыму#мкдляфотографов#мастерклассдляфотографов #свадьбамосква2018 #свадьбакрым #свадебнаяфотосессиямосква #xczva #котаныжаряткартошку #фотосессиявмоскве#мастерклассвмоскве#мастеркласспофотографиивкрыму #мастеркласспофотографиивмоскве #обучениеобработке #свадебныйфотографмосква #фотографнасвадьбумосква";1540058610;247;1576160047;False;мастерклассдляфотографов
BpMMdE-AyYx;"ЧТО ДЛЯ ТЕБЯ СТРАСТЬ?
.
Во время фотосессии ты не услышишь от меня ""покажи мне страсть!""
.
Это на уровне ощущений. Её можно только почувствовать. И показать только глазами. Для выражения страсти и сексуальности совсем не обязательно сильно стараться и лезть из кожи вон.
.
Я чувствую людей... И мне нравится ощущение обмена энергией. Особенно ценно когда в глазах виден огонь и СТРАСТЬ. А движения становятся плавнее и спокойнее.
.
Есть желание... Получить не только красивые фотографии но и узнать себя... Раскрыть свою душу? Тогда тебе точно ко мне. В ноябре есть свободные даты. Пиши в whatsapp.
.
#adaocean_портфолио";1540114987;2056;632485995;False;мастерклассдляфотографов
BpO5j8JglGL;"Листайте карусельку и наслаждайтесь историями из жизни гномов. Фото @gord_photo ❤️
Декорации и костюмы от меня 😍
Юные модели от @artpodiumkids__moscow. Тоня, Яна и Давид 🤗
Костюмы и декорации возможно взять в аренду (для брони пишите в директ) 
#сказочныефотосессии #детскаяфотосессиямосква #новогодняяистория#воркшопдляфотографовмосква #мастерклассдляфотографов#семей#подарокнаденьрождения#подарокдочке#детимодели#журналдлядетей";1540205745;1319;2084530192;False;мастерклассдляфотографов
BpOXnRnHl2Q;"10-11 ноября пройдет мой групповой мастеркласс по съемке и обработке для фотографов в Саратове. Принимаю заявки на участие в директ. ✍🏻 .
.
Возможно, уместим всю программу в один полный день 10 ноября, или обработку вынесем на 11 число. .
.
✅Мини-группа 3-4 человека.  Каждый сможет узнать у меня именно то, что необходимо ему. И получить кадры в портфолио.
.
✅ Будем снимать красивую пару  в ожидании малыша, в двух разных залах студии @pobelka64, в двух образах. Один из образов планируется не классический🔥. 😉 
Я покажу, как я работаю с естественным светом в темном и светлом залах, а так же как использую вспышку для создания объема (в контровом свете). Работа с парой. До съемки небольшой теоретический блок с ответами на те вопросы, которые интересны именно вам. По свадебной съемке и не только. И обработка фото. Варианты участия разные, в том числе, знания по обработке можно будет получить лично или по моему авторскому видео курсу, или лично + видео курс + пресеты к лайтруму. Для тех, кто уже обучался у меня или приобретал видео курс, возможно участие только в воркшопе. .
.
#фотографксениязолотухина #мкксениязолотухина #мкксениязолотухинасаратов #мкзолотухина #золотухинамк #обучениедляфотографов #обучениеобработке #мастерклассдляфотографовсаратов #мастерклассдляфотографов";1540187947;136;251836841;False;мастерклассдляфотографов
