post_id;text;date;likes;owner_id;is_video;by_tag
0PscRNtWL_;💝Колье из синтетического шнура василькового цвета в технике макраме. Обучаю плетению. Готовое изделие заказать ✉ oven54@list.ru;1426415788;11;1725358415;False;мастерклассмакраме
0PxzmWtWDh;💝Макраме колье. Синтетический шнур белого цвета. Удивительное украшение для вашего весеннего гардероба.📝 Заказать oven54@list.ru;1426418600;9;1725358415;False;мастерклассмакраме
0QSALJtWBZ;"🎀 Друзья! Такого еще не было! Бесплатное Рукодельное Весеннее преображение - доступно каждой 👸. Видео уроки для создания Вашего красивого образа 🎽с 23 марта в прямом эфире 💻 вместе с мастерами рукоделия Вы узнаете много секретов, с которыми у каждой 👩 всегда будет ВЕСНА! ☀ мой мастер класс по макраме будет проходить 24 марта в 19.00 по мск времени. Тема моего выступления"" удивительные украшения своими руками в технике макраме"" Регистрируйтесь 💃🏃активная ссылка в профиле 👏";1426435480;11;1725358415;False;мастерклассмакраме
0mgzTWtWHq;💥 Хочу показать Вам комплект украшений : колье и браслет в технике макраме еще одной моей ученицы Майи Пшеничной. 💻 Сначала она прошла обучение по основным базовым узелкам в макраме , а потом по мастер классам выполнила такой замечательный комплект - 💖подарок для своей подруги. 👏 Браво! Я очень рада. Вы тоже так сможете.  Начните сегодня осваивать чудесный мир макраме на моем бесплатном мастер классе по плетению сережек. Ссылка в профиле. 💞 Я жду Вас.;1427181437;48;1725358415;False;мастерклассмакраме
1BXCTFtWMi;Хочу поделиться своим мастер классом по макраме. Этот узор был применен при плетении сумок. Получить доступ к  мастер классу можно пройдя по ссылке http://vipkashpo.com/?p=4441;1428082286;32;1725358415;False;мастерклассмакраме
4bRBM0tWEs;"Макраме украшения.  Открыт набор на июль месяц - макраме для начинающих. Записывайтесь на курсы макраме oven54@list.ru  В международной школе макраме обучение проходит по  видеоурокам через интернет, + проверка домашних заданий, + мои рекомендации. Я передаю  Вам свой опыт плетения в макраме. После обучения Вы легко сможете выполнять заказы, продавать свои шедевры ручной работы и иметь дополнительный источник дохода. Возьму 5 человек. Обучение проходит по таким направлениям: кашпо; пояса; сумочки; украшения: браслеты, кулоны, колье; шторы и занавеси; а также возможны мастер классы по отдельному изделию. За более подробной информацией обращайтесь личным сообщением oven54@list.ru";1435393998;184;1725358415;False;мастерклассмакраме
4lmKtItWEh;Вот такая красота своими руками в технике макраме. Принимаю заказы. Курсы макраме. Пишите oven54@list.ru;1435740630;40;1725358415;False;мастерклассмакраме
4tXNKeNWIm;"Узоры для кашпо. Макраме. ❗👉Запишись на мастер класс по плетению кашпо для цветов. 📧 oven54@list.ru Получите: ✅умение плести кашпо разной сложности и дизайна; ✅возможность дополнительного источника дохода; ✅ признание окружающих; ✅ опыт плетения";1436001221;29;1725358415;False;мастерклассмакраме
BQIwlZpAMDG;"Вот так может начаться кашпо для цветов, а может и по-другому :) Забавно, что этот способ я придумала сама на ощупь и только позднее узнала, что данный метод давным-давно известен и используется многими мастерицами - вот она сила коллективного бессознательного!

О том, как плести кашпо, я могу научить вас на МК :) Группы пока не набираю, провожу индивидуальные занятия в городах ЕКАТЕРИНБУРГ и ТЮМЕНЬ.

Стоимость с учетом необходимых материалов 1000 рублей :) Домой вы вернетесь с новеньким кашпо, сделанным своими руками 🤗 Для записи пишите в Директ или Viber/Telegram +79920110207";1486312621;50;3041600307;False;мастерклассмакраме
BUEJugUgJKR;Доброе воскресное! ☀️ Ещё одно фото с вчерашнего мк 🐾 Девочки плетуньи стараются 🙌🏻 #ox_lisalisa #макраме #масткрклассспб #мастерклассмакраме #нити;1494747965;38;2327767194;False;мастерклассмакраме
