post_id;text;date;likes;owner_id;is_video;by_tag
Bs3eviaBn6Q;"Когда нет моря рядом, душа рвётся туда с неистовой силою. Вот и сегодня на мастер-классе в прекрасной компании написали лодочки в прибрежном городке... Очень радостно, когда кто-то впервые берет в руки масляные краски, кисти и холст, это настоящие открытие! Поздравляем вас с таким необычным опытом и желаем творческих успехов!!!
""ARTIST"" STUDIO Тольятти ул. 70 лет Октября, 31а, оф. 302. 
#artist_studio_tlt #artist#artist_tlt #живопись #живописьмаслом #oilpainting #sea #landscape #морскойпейзаж #мастерклассмаслом #яхта  #море #мастеркласс #прибрежный";1548009867;23;1198227266;False;мастерклассмаслом
BssaGqVhYA5;"«Яхт-клуб» (этюд), х.,м. Скорей бы лето и на пленэр!!! «ARTIST» STUDIO Тольятти. ул. 70 лет Октября, 31а, оф. 302. 
#artist_studio_tlt #artist#artist_tlt #живопись #живописьмаслом #oilpainting #sea #landscape #морскойпейзаж #мастерклассмаслом #яхта  #закат #назакате";1547638336;35;1198227266;False;мастерклассмаслом
Bt-RLIDD0Wx;"""Морской пейзаж"" 24 фев. (воскресенье) в 17:00
Мастер-класс ""Картина маслом за 3 часа"".
Записаться можно 24 часа на сайте, места еще есть!
Сайт: https://artmir.ru/mk
- Навыки рисования не требуются!
- Все материалы включены в стоимость.
- 8 человек в группе.
- Размер холста 30*40 см.
- Стоимость при оплате заранее 2000 руб. При оплате на мастер-классе 2400 руб. На мастер-классы которые проходят по пятницам скидка 40%, стоимость всего 1500 р. (при оплате заранее).
Записывайтесь заранее !
------------------------------------------------
Расписание всех мастер-классов на сайте: artmir.ru/mk
(в описании группы есть активная ссылка на сайт)
4 минуты от ст. метро ""Обводный канал""!
-------------------------------------------------
Будет очень интересно!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#artmir #артмир #мастерклассмаслом #мастерклассспб #картинамасломзатричаса #творчество #артмирналиговском #обучениерисованию #обучениеживописи #картинамаслом #артстудия #художественнаястудия";1550385118;28;3860645216;False;мастерклассмаслом
Bt-sokuAn2n;"""Летний пейзаж"" 26 фев. (вторник) в 18:30
Мастер-класс ""Картина маслом за 3 часа"".
Записаться можно 24 часа на сайте, места еще есть!
Сайт: https://artmir.ru/mk
- Навыки рисования не требуются!
- Все материалы включены в стоимость.
- 8 человек в группе.
- Размер холста 30*40 см.
- Стоимость при оплате заранее 2000 руб. При оплате на мастер-классе 2400 руб. На мастер-классы которые проходят по пятницам скидка 40%, стоимость всего 1500 р. (при оплате заранее).
Записывайтесь заранее !
------------------------------------------------
Расписание всех мастер-классов на сайте: artmir.ru/mk
(в описании группы есть активная ссылка на сайт)
4 минуты от ст. метро ""Обводный канал""!
-------------------------------------------------
Будет очень интересно!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#artmir #артмир #мастерклассмаслом #мастерклассспб #картинамасломзатричаса #творчество #артмирналиговском #обучениерисованию #обучениеживописи #картинамаслом #артстудия #художественнаястудия";1550399515;35;3860645216;False;мастерклассмаслом
Bt23mbEjJJ3;"03.02.19 ""Девочка в поле""
⠀⠀⠀⠀⠀⠀⠀⠀⠀ Фотографии с мастер-класса живописи маслом! Записывайтесь на наши следующие мастер-классы на сайте: https://artmir.ru/mk
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#artmir #артмир #мастерклассмаслом #мастерклассспб #мастеркласс #творчество #хочубытьхудожником #научитьсярисовать #обучениерисованию
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Все фото можно посмотреть в альбомах группы:
https://vk.com/artmir_mk
или
https://www.facebook.com/artmir.ru/";1550136829;25;3860645216;False;мастерклассмаслом
Bt2ZH0fFHXl;"💗Итоги ""Свободного дня""💗
Следующий свободный день, где вы можете рисовать все, что вашей душе угодно, состоится в марте!
Копите идеи, что бы вам хотелось порисовать и приходите на следующий свободный день!
⠀
#мастеркласстюмень #мктюмень #тюмень #мкмасло #мастерклассмаслом #мкмаслотюмень #мкпастель #мастеркласспастель #мкпастельтюмень #мкакварель #мастерклассакварель #рисованиетюмень #мастерклассдлядетей #тюмень72 #мкаквамарин";1550120849;36;4538174391;False;мастерклассмаслом
Bt3pkMWgCXZ;Гуашь-младшая группа #живопись #графика #обучениерисованию #обучениерисунку #академическийрисунок #акварель #пастель #гуашь #акриловыекраски #досугдети #школаживописи #студияживописи #мастерклассмаслом #живописьдлядетей #живописьдлявзрослых #живописьдляначинающих #живописьакварелью #живописьмаслом #скульптура #обучениекерамике #градмосковский #москва;1550163025;31;4104730178;False;мастерклассмаслом
Bt3pnAfAfVT;Гуашь-младшая группа #живопись #графика #обучениерисованию #обучениерисунку #академическийрисунок #акварель #пастель #гуашь #акриловыекраски #досугдети #школаживописи #студияживописи #мастерклассмаслом #живописьдлядетей #живописьдлявзрослых #живописьдляначинающих #живописьакварелью #живописьмаслом #скульптура #обучениекерамике #градмосковский #москва;1550163048;32;4104730178;False;мастерклассмаслом
Bt3prpNgwA0;Гуашь-младшая группа #живопись #графика #обучениерисованию #обучениерисунку #академическийрисунок #акварель #пастель #гуашь #акриловыекраски #досугдети #школаживописи #студияживописи #мастерклассмаслом #живописьдлядетей #живописьдлявзрослых #живописьдляначинающих #живописьакварелью #живописьмаслом #скульптура #обучениекерамике #градмосковский #москва;1550163086;28;4104730178;False;мастерклассмаслом
Bt3pvc0gGU0;Гуашь-младшая группа #живопись #графика #обучениерисованию #обучениерисунку #академическийрисунок #акварель #пастель #гуашь #акриловыекраски #досугдети #школаживописи #студияживописи #мастерклассмаслом #живописьдлядетей #живописьдлявзрослых #живописьдляначинающих #живописьакварелью #живописьмаслом #скульптура #обучениекерамике #градмосковский #москва;1550163117;34;4104730178;False;мастерклассмаслом
Bt5jUZJDb8I;"Выходные все ближе. А это значит, что уже скоро наши мастер-классы! Когда так далеко до отпуска, а за окном пасмурно, сочные солнечные пейзажи поднимут настроение, зарядят энергией и оставят незабываемые воспоминания! Приходите, будем создавать свое место силы😜

СУББОТА (16.02.19) 
ПАЛЬМЫ 
холст 40х30 
начало в 17:00 
окончание в 21.00 
Стоимость 1700 руб. 
ВОСКРЕСЕНИЕ (17.02.19) 
ПРОСТОРЫ 
холст 60х30 
начало в 17:00 
окончание в 21.00 
Стоимость 2000 руб. ✨СКИДКА ЗА РЕПОСТ 10% 
ВНИМАНИЕ! ВО ИЗБЕЖАНИЕ ОБЩЕНИЯ С МОШЕННИКАМИ, ДЛЯ ЗАПИСИ И ПО ВОПРОСАМ ОБРАЩАЙТЕСЬ ТОЛЬКО ПО УКАЗАНЫМ НИЖЕ КОНТАКТАМ. 
Запись по телефону 299-05-59, 89137905016 или сообщением 😊";1550226859;239;2013495298;False;мастерклассмаслом
Bt5nlcLFJp2;"Дорогие наши художники!
⠀
У нас как-то спонтанно 17 февраля в 14:00 состоится мастер-класс ""Свободная тема"".
⠀
Поэтому, мы приглашаем всех художников, что бы написать СВОЮ картину. А наши преподаватели Ирина и Ольга вам чуть-чуть помогут.
⠀
Для кого подходит этот мастер-класс:
🌶Для художников с опытом, кто хочет и пишет свои картины.
🌶Для художников без опыта, которые любят свой темп, самостоятельность и эксперименты.
🌶Для тех, кто хочет дописать свои старые картины.
🌶Или кто пропустил понравившийся мастер-класс.
⠀
🎨Приглашаем вас 17 февраля с 14 до 17 часов на занятие со свободной темой, где вы можете прийти и написать любую картину (по согласованию с преподавателями студии), какую ваша душа желает!
⠀
Как записаться на свободную тему:
Пришлите в сообщения группы @akvamarin_art фото картины, которую вы хотите нарисовать, ,
и мы с вами обсудим все подробности!
⠀
⏰Когда: 17 февраля с 14.00 до 17.00
📍Где: ул. 50 лет октября, 23 (вход в центр досуга ""Артемида"" с ул. Елизарова)
👛Стоимость занятий в свободный день - 500 руб/час. Длительность занятий зависит только от вашего желания
(запись на свободный день по предоплате 500 рублей)
⠀
Количество мест ограничено!
⠀
#мастеркласстюмень #мктюмень #тюмень #мкмасло #мастерклассмаслом #мкакрил #мкакрилом #мкмаслотюмень #мкакрилтюмень #мкпастель #мастеркласспастель #мкпастельтюмень #мкакварель #мастерклассакварель #рисованиетюмень #мастерклассдлядетей #тюмень72 #мкаквамарин";1550229095;16;8550444180;False;мастерклассмаслом
Bt5ySLtgwwm;Работа сына. Масло .эдакий Дед Мороз в отпуске))#кунцево #крылатское #москва #рисуем #зао #портрет#портретмаслом #мужскойпортрет #старик #борода#бородач#дед#мастеркласс#мастерклассмаслом #арт#art#art🎨 #artist #arts#artwork #artworks #portrait#male #beardedman #man#oldman#old;1550234705;69;4062094184;False;мастерклассмаслом
