post_id;text;date;likes;owner_id;is_video;by_tag
BQ7wSnvBEaO;"Роспись хной для Ирины🌼
#faceart_pro #belkot #belkotliubov #БелкотЛюбовь 
Все мои работы по мехенди смотрите по хэштегу #мехенди_FACEART_PRO 
#bodyart #bodyartist #henna #hennaart #hennaartist #mehandi #mehendi #mehndi #биотату #временнаятатуировка #временноетатухной #купитьхну #мандала #мастер #мастерклассмехенди #мастермехенди #менди #мехенди #мехендидизайн #мехендимастеркласс #мехендиобучение #обучениемехенди #росписьхнойхмельницкий #хнахмельницкий #мехендихмельницкий";1488023743;60;1919141746;False;мастерклассмехенди
BQGjolcjUx7;"#AŞ_qina #AŞ_qinaornekleri #ashk_mehendi
#мкмехендисимферополь #мкмехенди #мастерклассмехенди #мехенди #рисунокхной #мехендисимферополь #мехендинаруке #mehendi #henna #art #mehendiart  #mehendisimferopol #mehendicrimea #vscomehendi #vscohenna #vscosimferopol #vscocrimea #vscorussia #design #hennadesign #mehendidesign";1486238722;26;3639037891;False;мастерклассмехенди
BQJE1ErjQa6;"Пара слов о семинарах: 6 часов - много или мало?🌿✨
👉6 часов более чем достаточно для погружения в роспись, но при условии, что большая часть семинара - практика.
👉Напрактиковаться за 6 часов можно вдоволь, а если поистине с удовольствием, то ничуть не устанешь!
👉Хватает ли этого времени для передачи знаний? Да, хватает. Если качественно организовать процесс передачи. Я предлагаю обсуждать важное, главное - практический опыт.
👉Тем не менее, очень важно не бросать. В постоянной практике залог совершенствования. Поэтому после семинара я предлагаю еще 2 месяца практиковать дома. 🌿✨Для учеников доступна подписка на 40 упражнений на каждый день. ❤️🌿
#tanora_workshop #mehndi #moscow #henna #мастеркласс #мастерклассмехенди #семинармехенди #росписьхной #мехенди #кудаgo #февраль2017 #tanorastudy";1486323235;13;2095666306;False;мастерклассмехенди
BQKWu70jFbl;"11 февраля снова соберемся в @myhennaplace и будем весело практиковать! 🌿✨
👉Получать удовольствие от росписи хной легко! Но как сделать практику суперприятной? Такой, чтобы хотелось заниматься каждый день? 👉Ведь именно так уровень росписи вырастет максимально быстро!
🌿✨ Заражаем мехенди на #tanora_workshop Приходите! Места еще есть)))
#mehndi #moscow #мехенди #москва #мехендимосква #мастеркласс #мастерклассмехенди #семинармехенди #росписьхной #кудаgo  #роспись #хна #tanorastudy";1486366176;9;2095666306;False;мастерклассмехенди
BQKwPzMDwyv;"Роспись и дипломчик - подарки на семинаре. Но это еще не все!
🌿✨ Гарантированное хорошее настроение, новые навыки и пряные ароматы - само собой)) а еще, чтобы приятная практика продолжалась, ученики получают набор для домашних тренировок :)
#tanora_workshop #mehndi #moscow #мастеркласс #мастерклассмехенди #мехендимосква #мехенди #кудаgo #москва #диплом #роспись #хорошеенастроение #tanorastudy";1486379553;21;2095666306;False;мастерклассмехенди
BQLEsmRgDnQ;"Кадр с одного моего мастер-класса. Ученица впервые строит композицию хной на себе!

Хочу напомнить, что ближайший мк по мехенди состоится 11 февраля! Осталось 3 местечка!😊🌿Программа и прочая информация по мастер-классу в группе в шапке профиля ↑
Запись по телефону ☎8-926-841-71-44 (whatsapp, telegram,sms). #мехендиобучение #обучение #обучениемехенди #мк #мастерклассмехенди #мехенди #мехнди #менди #мехендимосква #мехендилук #росписьхной #москва #механди #mehendi #mehndi #mendi #henna #hennaart #hennalove #hennalover #art #арт #хна #naturalhenna #hennatattoo #росписьхнойвмоскве #мехендимосква #мехендисделать #мастеркласс #m_a_обучение mehndi_anastasia";1486390274;38;2237437276;False;мастерклассмехенди
BQLRZqPjup3;"✨🌿 Чтобы стать мастером, нужно работать. Работать и получать удовольствие от работы. 😍 И чем больше удовольствия, тем активнее работа - тем быстрее и легче достичь высокого уровня.
🕉 Практика должна быть любимой привычкой - делать что-то простое, но каждый день. И кайфовать от этого.
🕉 Вот, почему ""домашка"" стала неотъемлимой частью обучения #tanora_workshop. После семинара можно подписаться на рассылку с 40 кейсами - каждодневными задачами, которые здорово повышают уровень мастерства.
🕉 А еще можно посещать практикумы - уроки, на которых практика на теле идет под чутким наблюдением мастера 🙏🌿
#tanorastudy #tanora #tanytanora #workshop #moscow #кудаgo #семинар #практикум #москва #семинармехенди #практикамехенди #росписьхной #мехенди #мехендимосква #росписьхноймосква #обучениемосква #обучениемехенди #мастеркласс #мастерклассмехенди #мкмехенди";1486396935;16;2095666306;False;мастерклассмехенди
BQLigpbBJAp;"Мехенди для фотосессии 😍😍😍
#faceart_pro #belkot #belkotliubov #БелкотЛюбовь 
Все мои работы по мехенди смотрите по хэштегу #мехенди_FACEART_PRO 
#bodyart #bodyartist #henna #hennaart #hennaartist #master #mehandi #mehendi #mehndi #биотату #временнаятатуировка #временноетатухной #купитьхну #макияж #мандала #мастер #мастерклассмехенди #мастермехенди #менди #мехенди #мехендидизайн #мехендимастеркласс #мехендиобучение #обучениемехенди #росписьхнойхмельницкий";1486405905;42;1919141746;False;мастерклассмехенди
BQLiwzMhFqw;"Мехенди для фотосессии 😍😍😍
#faceart_pro #belkot #belkotliubov #БелкотЛюбовь 
Все мои работы по мехенди смотрите по хэштегу #мехенди_FACEART_PRO 
#bodyart #bodyartist #henna #hennaart #hennaartist #master #mehandi #mehendi #mehndi #биотату #временнаятатуировка #временноетатухной #купитьхну #макияж #мандала #мастер #мастерклассмехенди #мастермехенди #менди #мехенди #мехендидизайн #мехендимастеркласс #мехендиобучение #обучениемехенди #росписьхнойхмельницкий";1486406037;55;1919141746;False;мастерклассмехенди
BQQfUzTjkac;"3/3 🌸
✨ Семинар стартует 11 февраля в 11:00! В студии @myhennaplace. 🌿 Стоимость при предоплате до пятницы составит 5500р. В день семинара - 6000р. В эту стоимость помимо занятия и подарков входит подписка на 40 кейсов ✨ для повышения уровня - упражнений, которые можно выполнять дома! И получать от меня поддержку и комментарии :)
🌸🌿 Еще у нас есть скидки! Читайте в ""2/3🌸""
Про регистрацию и предоплату написано в ""1/3🌸""
#мастерклассмосква #мастеркласс #мастерклассмехенди #мкмехенди #мехенди #росписьхной #мехендимосква #обучениемосква #пурпурный #мандала #семинар #семинармехенди #tanora_workshop #tanorastudy";1486572007;16;2095666306;False;мастерклассмехенди
BQQgSUujQJx;"2/3 🌸
✨ Скидки на семинар!!! Три способа получить скидки! ✨✨
🌿 Пригласить друзей - вместе то веселее! И вы, и ваш друг получает 5% скидку. Если вы пригласите двух друзей, то ваша скидка составит 10%, а скидки ваших друзей - по 5%!
🌿🌿 Предъявить студенческий билет на ваше имя! Всем студентам скидка 5%!
Если вы студент и приводите друга-студента, то каждому из вас будет скидка 10%!!!
🌿🌿🌿 А еще у нас есть волшебные листовки, которые появляются в разных уголках Москвы. Они дают скидку 10% одномоментно!))) Приносите такую листовку и класс будет стоить вам дешевле :)
(открою секрет: в этот раз листовки появились в антикафе ИндигоКофе и в общежитии ГЗ МГУ, если их не расхватали - ловите удачу за хвост!)
🌸🌿
Про регистрацию читайте в ""1/3🌸"", а про стоимость семинара - в ""3/3🌸"" #мастерклассмосква #мастеркласс #мастерклассмехенди #мкмехенди #мехенди #росписьхной #мехендимосква #обучениемосква #пурпурный #мандала #семинар #семинармехенди #tanora_workshop #tanorastudy";1486572511;10;2095666306;False;мастерклассмехенди
