post_id;text;date;likes;owner_id;is_video;by_tag
-q_1-CwTGo;#декорспб #мозаикаспб #мозаика #мастерклассмозаика #мсд #спб #декорирование #мастерклассдекорирование #мозаикаизстекла #vsco #instagood;1448806766;13;2298459171;False;мастерклассмозаика
-q_7tdwTGy;#мозаика #мастерклассмозаика #мсд #спб #декорирование #мастерклассдекорирование #мозаикаизстекла #vsco #instagood;1448806813;10;2298459171;False;мастерклассмозаика
-rAI-nwTHU;#мозаика #мастерклассмозаика #мсд #спб #декорирование #мастерклассдекорирование #мозаикаизстекла #vsco #instagood;1448806922;9;2298459171;False;мастерклассмозаика
BDc8FuZMVD4;Шла Кошка по роялю #мастерклассмозаика #mosaicmasta;1459072454;57;509973155;False;мастерклассмозаика
BG1-m_erjoL;Мастер класс мозаика ))Девчёнки молодцы #мастерклассыдомодедово #мастерклассмозаика #;1466355087;24;2286887957;False;мастерклассмозаика
BJJA1UgAuyH;"Рада приветствовать Вас, в группе художественной студии рисования для взрослых и детей ""Pick Art"". Вступайте, приглашайте друзей и знакомых- вместе веселей!!! #творчество #искусство #мозаика #мозаикаобучение #мозаикамосква #обучение #искусствомозаики #студия #художественная #москва #искусствомосква #искусстводети #творчествосдетьми #детииродители #дети #родители #хобби #хоббидлявсех #хоббидлядуши #хоббидлявсех #мастерклассыдлядетей #мастерклассмозаика #обучениемосква";1471288754;17;3644723578;False;мастерклассмозаика
BJN9ekJAOPc;"Приходите к нам на мастер-класс по мозаике, который пройдет в Уютном зале Креативного Дома ОТ УМА http://www.otumahouse.ru/
Ждем Вас в субботу 20 августа в 13.00
Стоимость: 
для 1 ребенка — 1000 рублей.
для 1 взрослого — 1300 рублей.
Продолжительность занятия – 3 часа. Пишите расскажем про СКИДКИ.
Материалы включены. 
Справки и запись по тел. 8-915-252-12-66. Количество место ограниченно. 
Москва, м. Курская, Костомаровский пер., дом 3, стр. 3, 2-ой этаж.
#творчество #искусство #мозаика #мозаикаобучение #мозаикамосква #обучение #искусствомозаики #студия #художественная #москва #искусствомосква #искусстводетям #творчествосдетьми #детииродители #дети #родители #хобби #хоббидлявсех #хоббидлядуши #хоббидлявсех #мастерклассыдлядетей #мастерклассмозаика #обучениемосква";1471454767;25;3644723578;False;мастерклассмозаика
BJP6DMogt-u;Отчёт с последнего мастер-класса #художественнаястудия #мастерклассмозаика  #обучениемосква #родителиидети #мозаика #mosaic #мастерклассыдлядетей #хоббидлявсех #хоббидлядуши #хобби #родители #дети #детииродители #творчествосдетьми #искусствомосква #искусстводетям #искусство #творчество #развитиедетей #лучшийподарок  #искусстводлядетей #искусстводлявсех;1471520079;39;3644723578;False;мастерклассмозаика
BMQxWPVhWEs;"Студия мозаики ""Smalta Studio"" приглашает всех на БЕСПЛАТНЫЙ мастер-класс по созданию новогоднего украшения 2 НОЯБРЯ (среда). Адрес: ул. Лесопарковая 7, ЦИ ""Park Avenue"" 
Время проведения: 16:00-18:00

ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ОБЯЗАТЕЛЬНА: 750-95-94, 8-922-75-999-10 !

#смальта #студиямозаики
#мастеркласс
#мозаика #новогодняяигрушка #smaltasudio #мастерклассмозаика";1477991522;65;2262656781;False;мастерклассмозаика
BMcpl9PhX5-;Мы даем замечательные мастер-классы для взрослых и детей! Незабываемые эмоции и веселые штуковины, которые вы унесете домой гарантированы! #мастеркласс #мастерклассмозаика #mosaique #mosaic #mosaicstudents #studiomozayka;1478390109;7;4118534239;False;мастерклассмозаика
BMcqi0vBwjt;"Мозаикой можно выложить целый пол! Получится красиво и эффектно!
#studiomozayka #mosaicstudents #mosaic #mosaique #мастерклассмозаика";1478390608;8;4118534239;False;мастерклассмозаика
BMcrJdlBgx0;"Мы много работаем с витражным стеклом. Любим его за непревзойденный цвет и прозрачность, а еще потому, что можно играть с геометрией каждого кусочка! 
#мастерклассмозаика #studiomozayka #stainedglass";1478390924;9;4118534239;False;мастерклассмозаика
BPSw-y1jQPk;#мастерклассмозаика #мозаика @olgaprime как же у тебя всегда душевно и уютно! #спвсибо;1484500889;20;361246753;True;мастерклассмозаика
BPTEON-DCpb;Доработка и покраска дома #мозаика #мастерклассмозаика #мозайка #черепаха #tortuga;1484510977;38;361246753;False;мастерклассмозаика
BPTLJZUDk3s;Проект и окончательный вариант почти всегда две разные работы пока (( . Как научиться видеть окончательный вариант сразу?! 😌🙈☀️🎨#мозаика #мастерклассмозаика #спасибо @olgaprime #masaic #mosaique;1484514608;35;361246753;False;мастерклассмозаика
BQ4Gdu4AjmB;гранат (витражное стекло) символ плодородия и процветания приглашаю на мастер класс.(репост плюс к карме)#оригинальныйподарок  #очумелыеручки  #подаркисвоимируками #витражноестекло  #девочкитакиедевочки #мастерклассмозаика  #мастерклассдомодедово #подаркивосьмоемарта;1487901151;67;2286887957;False;мастерклассмозаика
BQ7a2zAAq4U;"Ух, какие сочные мозаики получились на нашем мастер-классе ""Мозаика за один день""
#pomozaim #мастерклассмозаика #handmade #mosaic #мозаикаспб #курсыпомозаике #обучениемозаике";1488012505;34;2234644569;False;мастерклассмозаика
BQcElEeguvQ;На мастер классе родился новый петушок!!#мастерклассдомодедово  #мастерклассмозаика #девочкитакиедевочки #красотаизстекла;1486960638;54;2286887957;False;мастерклассмозаика
BQcFKjPAq_B;Рабочий момент.мастер класс.гранат.#мастерклассмозаика #мастеркласс #девочкитакиедевочки #красотаизстекла #рукодельница;1486960945;92;2286887957;False;мастерклассмозаика
BSZAhu3gipG;Мастерица с работой)))#мастеркласс  #мастерклассмозаика  #подаркисвоимируками  #очумелыеручки  #девочкитакиедевочки  #жить_любить_творить;1491152817;59;2286887957;False;мастерклассмозаика
BTwUxz0DWrk;Скоро мастер-класс по мозаике в Казани, подробности после праздников #мастерклассмозаика  #красотасвоимируками #всехочу #всемдобра #мамыказани #всемогусама #Гульнара_Ураз #GulnaraUraz #kznlife #lookkazan #tatarkazan #instagramkazan;1494082671;48;2978846890;False;мастерклассмозаика
BTyEYJDg4ch;Мастер класс мозаика рабочий момент))#мастеркласс  #мастерклассмозаика #девочкитакиедевочки #жить_любить_творить  #оригинальныйподарок #очумелыеручки;1494141181;44;2286887957;False;мастерклассмозаика
BTyFd26AaB8;Первая работа в мозаичной технике))Браво мастеру)))Викуся молодец!!!Вот такой кот у нас родился в мастерской.Приглашаю всех желающих)))#мастеркласс #мозаика #мастерклассмозаика #очумелыеручки  #жить_любить_творить #оригинальныйподарок;1494141752;44;2286887957;False;мастерклассмозаика
BTyHTNCA_zs;Выходные с пользой ))готовый кот)) Мозаика это то чудо ,которое сначала снимает напряжение....а потооом упорядочивает и расставляет по полочкам мысли))#мозаика #мастерклассмозаика #жить_любить_творить #очумелыеручки #оригинальныйподарок #девочкитакиедевочки;1494142713;50;2286887957;False;мастерклассмозаика
BTyHwp2gKg-;Рождение тюльпанов))Уже работа на заказ))#мастерклассмозаика  #мозаика  #жить_любить_творить .#девочкитакиедевочки .#творчество #творческиелюди #очумелыеручки;1494142954;43;2286887957;False;мастерклассмозаика
BTyJBfKA5e1;Весна тюльпаны..после первой работы ))работа на заказ )))Марго молодец так держать..долго думала о Допзаработке и вуаля!!!Поздравляю#мастерклассмозаика  #очумелыеручки #жить_любить_творить #девочкитакиедевочки  #оригинальныйподарок;1494143616;38;2286887957;False;мастерклассмозаика
BUHPAwKAxVy;"Это было очень здорово!😍
На прошедшем мастер-классе в субботу участницы Яна, Юля и Маша
создали настолько сочные и яркие мозаики, что глаз не оторвать.
Оцените сами😉

И да, спасибо всем участницам за невероятно позитивный и творческий настрой👍

#мозаика #mosaic #творчество #обучениемозаике #мастерклассмозаика #pomozaim";1494851399;35;2234644569;False;мастерклассмозаика
BUfN_2DjJ16;Сегодня состоялся первый мастер-класс по которой мозаике, все расскажу завтра, а это для атмосферы #мастерклассмозаика #стекляннаямозаикаказань #златолиткамень #Гульнара_Ураз #маринаабрамова #мамыказани #татьянафисенко #mozaikkazan #GulnaraUraz #instagramkazan #decoratorkazan #designerkazan #lookkazan #kznlife #tatarkazan;1495656174;50;2978846890;False;мастерклассмозаика
BUgTY-QjnsL;Получилось! Трогательно, весело, сложно, крошили стекло, показывала хитрости и секреты, надеюсь в городе и окрестностях появится много красивых и почти вечных мозаичных арт-объектов🤗😂😇😘 #мозаика #мозаикаказань #стекляннаямозаикаказань #мастерклассмозаика #колотаямозаика #женщиныказани #детиказани #Гульнара_Ураз #мамыказани #маринаабрамова #GulnaraUraz #instagramkazan #mozaikkazan #magic #mamakazan #lookkazan #kznlife #tatar #tatarstan;1495692556;54;2978846890;False;мастерклассмозаика
BUnBLduA5mi;Доченька тоже вдохновилась))Умничка моя)))#подаркисвоимируками  #девочкитакиедевочки #жить_любить_творить #мастерклассмозаика #мастерклассдомодедово  #очумелыеручки;1495917889;47;2286887957;False;мастерклассмозаика
BUyuA2JAaTr;"Лето...☀ Бабочки...🦋 Очень тонко и изящно исполненная работа 👏
Автор: Ольга

#мозаикаобучение #курсыпомозаике #курсымозаики #яхудожникятаквижу #pomozaim #mosaic#мозаика#мастерклассмозаика #мастеркласспомозаике#бабочка#хэндмейд #handmade #butterfly";1496310493;66;2234644569;False;мастерклассмозаика
BVYGlCPgL72;Ещё немножко солнца в ленту)))Первая работа ученицы ,первое знакомство со стеклом))Талант он и есть талант))#оригинальныйподарок  #мастерклассмозаика  #очумелыеручки  #девочкитакиедевочки #жить_любить_творить  #мастерклассдомодедово #красотаизстекла  #красотаспасетмир;1497564887;101;2286887957;False;мастерклассмозаика
BWNzONThrSf;"Мозаика, витражи, смальта...девчонки творят красоту💚@space_mosaic спасибо за гостеприимство!
#мозаика#мозаиканазаказ#витражи#витражноестекло#мозаикамосква#витражназаказ#мастерклассмозаика";1499366678;75;28073893;False;мастерклассмозаика
BaisMGFgZLh;Зима не за горами! А новый год на носу)))#мастерклассдомодедово #мастерклассмозаика #декор #девочкитакиедевочки #жить_любить_творить  #житьнужновкайф;1508657568;48;2286887957;False;мастерклассмозаика
