post_id;text;date;likes;owner_id;is_video;by_tag
BxUI7osAKZt;"Декоративная штукатурка. Мастихин. Вдохновение. И большая любовь к своему делу.
. .
#скульптурнаяживопись #современноеискусство #декоративнаяштукатурка #roses #decorativeplaster #букет #часысцветами #обучение #decorhome #interiordesign #handmade #объемнаяживопись #картинасцветами #сделатьподарок #назаказ #декоринтерьера #декордома #декорквартиры #аппартаменты #рельефнаяживопись #скульптурнаялепка #мкмосква #мастерклассмосква #обучение #декор #продажакартин #artgallery";1557561445;832;1965660454;False;мастерклассмосква
BxUQnT8nXFy;"Голубой ирис💙
Одна из девушек на моем МК делает такой же только в фиолетовом цвете, мне так понравилось, что я даже немного пожалела, что выбрала такую цветовую гамму для своего🌿
В наличии, размер S
Цена:1700₽";1557565473;433;5455450361;False;мастерклассмосква
Bxe9dmBH7W0;"5 полезных привычек на каждый день 🤸‍♀
.
🌼 Начинайте день с улыбки 
Ничто не заряжает на целый день, как утренняя улыбка. Даже если совсем нет настроения, плохо себя чувствуйте, просто попытайтесь натянуть, как можно шире, улыбку и удержать её хотя бы на 1 минутку, вы почувствуйте прилив положительных эмоций.
.
🌼 Выпивайте стакан воды перед завтраком 
За 15-20 минут до завтрака выпейте стакан воды, чтобы запустить внутренние процессы в организме. Вода вымывает токсины из желудочно-кишечного тракта и способствует улучшения здоровья.
.
🌼 Шевелитесь 
Выберите себе какое-либо активное занятие, какое вам ближе по душе: бег, плавание, зарядка, йога или что-то др., тогда ваши мышцы будут в тонусе. Всё тело будет выглядеть здоровым и красивым. Увеличится концентрация внимания. Занятие спортом это отличный выход из депрессии. Он позволяет отстранится от всех насущных дел.
.
🌼 Научитесь планировать предстоящий день 
Составьте чёткое расписание следующего дня. Это позволит вам выполнить больше важных задач и упорядочит ваш день. Самые важные дела выполняйте в первую половину дня, тогда день вам не покажется тяжёлым.
.
🌼 Думайте, что едите 
Откажитесь от всего вредного, что отравляет ваш организм. Научитесь любить себя, своё тело. Ведь от того, как мы питаемся, так мы себя и чувствуем, так мы и выглядим. Не позволяйте себе объедаться, но и не голодайте. Ешьте умеренными порциями, понемногу, но часто. Перерыв между приёмом пищи, в среднем, 3-4 часа. Перед сном также не стоит нагружать свой организм едой.
.
💫 Подведём итог: 
Самое важное для человека это его здоровье, остальное приложится. Полюбите себя. Наш организм как цветок. Если за ним ухаживать: поливать, подкармливать, создавать благоприятные условия для него, то он будет расти. Если всего этого не делать, цветок погибнет. Каждый день проводите работу над собой и, в то же время, получайте удовольствие от каждого дня. Ведь, в совокупности, каждый прожитый день - это и есть наша жизнь. Действуйте. Здоровья вам и вашим близким.";1557924530;19;11068589342;False;мастерклассмосква
BxfMnLzD8yn;"Вы стремитесь окружать себя лишь красотой и хотите сделать мир вокруг немного прекраснее? Мечтаете о карьере в beauty-сфере, но не знаете, с чего начать?💁
⠀
Приглашаем вас посетить курс «коррекция бровей» - идеальный первый шаг на пути к освоению дела вашей мечты. Курс сочетает в себе теоретическую часть и практические занятия: вы получите все необходимые знания и навыки и сразу после окончания обучения сможете принять своего первого клиента!😍
⠀
Опытные преподаватели курса обращают внимание не только на безупречную технику выполнения процедуры. На занятиях вы также обсудите психологические тонкости работы с клиентом, ассортимент брендов необходимой косметики и множество других интересных и важных нюансов.
⠀
О главном:
⠀
⏳ Продолжительность 1 занятия: 6 часов.
📅 Даты проведения: 09.05.19-01.06.19. Занятия проходят ежедневно, выбирайте удобную вам дату.
🏠 Место проведения: ул Калужская М., д 15 стр 16
⠀ 💸Стоимость: 3325₽
⠀
Приходите! У нас дешевле, чем у организатора (обучающий центр Sattva Life @sattva_life_school).
⠀
📝 Запишитесь на сайте или по ссылке в шапке профиля прямо сейчас! Мест остаётся все меньше!";1557932473;22;6968086895;False;мастерклассмосква
BxfMsT2Ic3_;Из серии «творим и вытворяем» :) С Женей валяем платьишко :) #нуно #нунофелтинг #мкнуно #мкНатальиСафоновой #мкваляние #валяние #мокроеваляние #мкмокроеваляние #валяниемосква #валяноеплатье #валяемплатье #радостьтворчества #мастерклассваляние #мастерклассмосква;1557932515;61;5364295984;False;мастерклассмосква
BxfNdoPgtKV;"Разгадать код волшебных ирисов вместе с художницей-акварелисткой Ириной Павловой @pavlova_watercolor уже в следующее воскресенье!🧡
Дорогие друзья, приглашаем вас на мастер-класс ""Ирисы"", 26 мая в уютную мастерскую в центре города! ☀️
.
Вместе с преподавателем мы исследуем и проанализируем натуру и поймем как:
🚩Передавать характер и индивидуальность цветка.
🚩Совмещать разные акварельные техники на одной работе.
🚩Компоновать цветы на листе к белому фону.
✌И самое главное - Ирина научит, как попадать в цвет и тон.👉
🧡Важно: каждый нарисует под руководством мастера такое количество цветов, которое позволяет его уровень подготовки. .
🚩Когда: 26 мая (воскресенье) с 12.00 до 16.00
🚩Где: м. Китай-Город , Старосадский переулок, д.5/8 стр.6 (Московский Союз Художников.)
🚩Стоимость: 3000 руб.
.
👉Запись в директ или вотсап по прямой ссылке в шапке профиля👍
.
#paint_in_spain #рисуемцветы #цветыакварель #flowerstagram #flowers #картинасамостоятельно #выходныевгороде #весна2019 #ирисы #мечтысбываются #картинасвоимируками #рисуйтвори #мастеркласс #рисованиемосква #мастерклассмосква #веснапришла #акварель #акварельнаятехника #учусьрисовать #мкакварель #акварельмк #мквмоскве #мастерклассрисование";1557932919;58;8604545465;False;мастерклассмосква
BxfOJYGpGxJ;"🚙Наша выездная студия отработала на частном празднике🎉 и подарила прекрасное настроение всем гостям🤣. Были мастер-классы🥳: по росписи панно🔳, изготовление украшении из бусин📿, роспись гипсовых игрушек🦄 и венки из цветов💐.
Гости остались довольны🤩 и забрали с собой много сувениров, которые будут напоминать об этом прекрасном дне!🌆
✂Выбирая творческую студию ""Мастер Поделкин"" - Вы выбираете праздник!🎉
⚪ Профессиональные сотрудники, для которых работа в удовольствие
⚪Индивидуальный подход к каждому клиенту
⚪Оптимальная стоимость и выбор дополнительных услуг
⚪Пошаговые инструкции с интересной и увлекательной программой
📞Звоните +7 (495) 721 - 52 - 47
Выездные мастер-классы под ключ на мероприятия!
#мастерподелкин #мастеркласс #мастерклассмосква #мктворческий  #мк  #корпоратив #мастеркласснавыезд #выезныемастерклассы #творческаястудия #art #творчество #москва #event #деньрождения";1557933278;51;647385825;False;мастерклассмосква
BxfQ74RoUlI;"Разгадать код волшебных ирисов вместе с художницей-акварелисткой Ириной Павловой @pavlova_watercolor уже в следующее воскресенье!🧡
Дорогие друзья, приглашаем вас на мастер-класс ""Ирисы"", 26 мая в уютную мастерскую в центре города! ☀️
.
Вместе с преподавателем мы исследуем и проанализируем натуру и поймем как:
🚩Передавать характер и индивидуальность цветка.
🚩Совмещать разные акварельные техники на одной работе.
🚩Компоновать цветы на листе к белому фону.
✌И самое главное - Ирина научит, как попадать в цвет и тон.👉
🧡Важно: каждый нарисует под руководством мастера такое количество цветов, которое позволяет его уровень подготовки. .
🚩Когда: 26 мая (воскресенье) с 12.00 до 16.00
🚩Где: м. Китай-Город , Старосадский переулок, д.5/8 стр.6 (Московский Союз Художников.)
🚩Стоимость: 3000 руб.
.
👉Запись в директ @paint.in.spain или вотсап +7 985 1101750
.
#paint_in_spain #рисуемцветы #цветыакварель #flowerstagram #flowers #картинасамостоятельно #выходныевгороде #весна2019 #ирисы #мечтысбываются #картинасвоимируками #рисуйтвори #мастеркласс #рисованиемосква #мастерклассмосква #веснапришла #акварель #акварельнаятехника #учусьрисовать #мкакварель #акварельмк #мквмоскве #мастерклассрисование";1557934740;103;7007878;False;мастерклассмосква
BxfQMW-pTdb;"Всем привет! 
1️⃣5️⃣-1️⃣6️⃣ июня со своей новой программой к нам в студию приезжает  Екатерина Климчева @sweetburg

Два дня интенсива с теорией и практикой, которые подойдут как для новичков, так и для профессионалов, желающих повысить свой уровень мастерства.

Программа просто 🔥, охватывает разные виды бисквитов, начинок, разнообразных техник и текстур. А так же будет много разнообразного декора.

Екатерина даёт два варианта с алкоголем и без😉

Программа:

1.  Aperol Schpritz: миндальный кранч, заварные профитроли, мандариновое желе, мусс с шампанским, апельсиново-мандариновый мусс с ликером апероль.

2.  Pina colada: кокосовый дакуаз, компоте ананас-ром-манго-лайм, кокосовое креме с

Малибу, ананасовый мусс

3.  Irish coffee: шоколадный бисквит, кофейное креме с хрустящими шариками, шоколадное креме с виски, мусс баваруаз с белым шоколадом и виски

4.  Strawberry margarita: шифоновый клубничный бисквит, взбитое желе с ромом и лаймом, лаймово-клубничное креме, лаймовый мусс, клубничный гарнир

5.  Биррамису: генуэзский бисквит с кофе, кофейная пропитка с пивом, темперированный шоколад, мусс на пиве с маскарпоне

6.  Banana milk shake: миндальный бисквит джоконда, бананы-фламбе, миндальное креме с амаретто, сливочно-ванильный мусс

7.  Глазури, велюр

8.  Шоколадный декор. Все секреты и фишечки.

Хочешь, чтоб твой торт узнавали из сотни, тысячи похожих? Мы ждём тебя на мастер -классе, где расскажем и покажем как создать свой собственный стиль.

Подробности и запись по телефону +7(916)302-55-20 или на сайте www.5vkusov.ru

#обучение #мастеркласс #муссовыйторт #кондитерскаястудия #тортыназаказ #мастерклассмосква";1557934351;123;3940099134;False;мастерклассмосква
BxfQf3MlI_b;"Молодоженам, которые не желают повести свой медовый месяц, праздно загорая на пляже🌅🏝, либо же не готовы к экстриму горнолыжных курортов🏔🌄, стоит обратить внимания на туры в старинные города Европы🤔
✈️Поистине жемчужиной восточной Европы является Прага. Перечень ее достопримечательностей просто огромен, но знатоки советуют в первую очередь посетить Пражский град, в котором находится резиденция королей и современного президента.
✈️А какой великолепный свадебный тур можно устроить по странам, в  которых зародилась античная культура. Смело отправляйтесь на медовый месяц в Грецию или Италию и наслаждайтесь теплым климатом, лазурным морем и увлекательными экскурсиям по древним Афинам, Риму, Генуе, Неаполю и Венеции.
✈️Для страстных влюбленных как нельзя лучше подойдет свадебный тур на родину Кармен Испанию. Помимо жаркого климата и ласковых волн Средиземного моря Вас ожидают увлекательнейшие экскурсии по Мадриду.
⠀
#свадебныйстилист #мастерклассмосква #свадебныймастеркласс #идеидлясвадьбы #ведущаямосква #мастеркласс #мастерклассотwedsecret #ведущиймосква #подружкиневесты #москвасвадьба #свадьбавмоскве";1557934510;57;4222694962;False;мастерклассмосква
