post_id;text;date;likes;owner_id;is_video;by_tag
BP-VAOqAGTV;"Итак, день 10 из 30.✨
10 дней, как я встаю раньше обычного на час и удивляюсь, почему я раньше этого не делала!😄
Я успеваю сделать за этот час так много (по ощущениям), что остальное время дня я уже ни на что не отвлекаюсь, ведь всё самое важное я уже сделала утром.☝️ Напоминаю, что вставать раньше я начала после прочтения книги ""Магия утра"", в которой автор Хэл Элрод рекомендует просыпаться раньше обычного, чтобы делать шесть практик, которые напрямую влияют на наше развитие во всех сферах жизни:
-10 минут медитация или молитва, или просто посидеть в тишине;
-10 минут ведение дневника;
-10 минут аффирмации;
-10 минут визуализации;
-10 минут чтение;
-10 минут физические упражнения.
Я часто комбинирую по-своему эти практики, иногда уделяя больше внимания медитации, иногда физическим упражнениям, каждый день ведь разный и надо прислушиваться к себе👌
Но однозначно с внедрением ранневставания в свою жизнь, я стала больше успевать и вообще...стала счастливее, что ли💕
Я очень довольна😊";1485962616;64;3054587304;False;мастерклассмск
BP0E8GaAowO;"Магия утра, день 6.✨
Не смотря на выходной день,  я самоотверженно решила продолжать свой эксперимент с ранними подъёмами по книге ""Магия утра"". Каково же было моё удивление, когда я сегодня проснулась сама в 6 утра и больше не уснула👀
Ну нет сна и всё!
Конечно, я решила использовать это время с пользой - сделала зарядку, написала цели на ближайший месяц и поработала. Но к вечеру я превратилась в сонного гнома, и сейчас считаю часы до сна, чтобы рухнуть и отоспаться😂
Ох уж эти эксперименты😒";1485618649;51;3054587304;False;мастерклассмск
BP10XpggWKd;"Кто такой «настоящий мужчина»?
Вы когда-нибудь замечали разногласия во мнении кто такой «настоящий мужчина»?
Одни говорят, что настоящий мужчина – это человек решительный, быстрый, темпераментный, импульсивный, соответственно, настоящая женщина – это спокойная, нерешительная, тихая…
Другие говорят, что настоящий мужчина – это, наоборот, такая «скала», могучая, терпеливая, немногословная, выдержанная, в то время как «настоящая женщина» - это такая «бушующая стихия», непредсказуемая, эмоциональная, немного взбалмошная…
Мнений на этот счет великое множество – так всё-таки как же «правильно» думать про настоящего мужчину?😳Какой он? Каким он должен быть?
 Ответ очень прост. Ваш настоящий мужчина – ровно такой, каким Вы его видите.☝
Вот что лично Вы вкладываете в это понятие, то и есть истина, и лишь это и имеет значение для Вас. Вам жить с ним.😉Отбросьте стереотипы общества, навязанные фильмами, журналами, еще кем-то (даже если это ваши близкие – например, родители), здесь нет и не может быть универсального мнения. 
Для каждой девушки, женщины в мужчине важны какие-то свои нюансы, и именно они будут для нее олицетворять мужественность.
Избегайте сравнений с подругами и чаще спрашивайте себя «что МНЕ важно?», «что МНЕ нравится?». Чем чаще задавать эти вопросы и честно на них отвечать, тем легче станет на душе и яснее в голове, и вы начнете сами формировать  ключевые понятия в вашей жизни✨

foto: @anjastepanova_com";1485677071;97;3054587304;False;мастерклассмск
BP4M0_TAAI-;Доброе утро и хорошей недели всем!🌸🌸🌸;1485757003;60;3054587304;False;мастерклассмск
BP5LEjWgrav;"Ранние подъёмы, день 8.✨
Ну что ж, похоже я начинаю привыкать.😏
Сегодня просыпаться было легче, отчасти, наверное, потому что и муж со мной встал - как-то веселее!) Дочка, наконец-то,пошла в садик, и я в кой-то веке не носилась всё утро колбасой, разрываюсь между своими и общественными нуждами, а к моменту её пробуждения успела сделать все свои дела. Необычные и приятные ощущения, надо сказать😄
Так что, день восьмой, полёт нормальный👌😁";1485789636;45;3054587304;False;мастерклассмск
BP6xAmbgDFS;"Фоновая эмоция.
У всех нас есть фоновые эмоции - это те эмоции, которые идут фоном в наших днях, неделях, месяцах.😉
У одних это раздражение, нервозность, обида, у других - оптимизм, принятие,радость.
Особенность фоновых эмоций в том, что они уже закрепились внутри нас и часто не зависят от обстоятельств и событий, а просто уже живут с нами, являются неотъемлемой частью нас.
Хорошая новость в том, что мы эти эмоции можем выбирать.☝
При этом остаётся вероятность различных сбоев и реакций на происходящие события, но тут надо схитрить.😏
1. Прежде всего разделите эмоции на фоновые и ситуационные. Как уже говорилось, фоновые - те, что принадлежат нам,идут фоном, ситуационные - это наша ответная реакция на события дня.
2. Задайте себе фоновую эмоцию (или несколько) сначала на один день. Настройтесь, что сегодня вы будете, например, спокойной. Ответьте себе на вопрос, почему это важно для вас? Что это даст вам?
3. Когда произойдёт что-то выбивающее вас из колеи, отметьте про себя, что сейчас возможна ситуационная эмоция, например, огорчение. Просто понимайте, что происходит и скажите себе, что чуть позже вернётесь в свою фоновую эмоцию.
4. Момент выхода из ситуационной эмоции очень важен, не нужно зависать,например, в жалости к себе или грусти. Погрустили официально какое-то время, а потом обратно - в свою фоновую эмоцию, выбранную вами!
Очень важно:если мы не выбираем фоновую эмоцию сами, мы просто живём от одной ситуационной эмоции до другой, становясь мячиком в руках обстоятельств!
Над фоновой эмоцией можно и нужно работать, это привычка, которую надо взращивать в себе! Более подробно про фоновую эмоцию можно поговорить со мной на консультации.✨
Расскажите, какая у вас фоновая эмоция?
#фоноваяэмоция_шалыгина
foto @nice_day";1485843082;95;3054587304;False;мастерклассмск
BP7t2-cgDYY;"Практика раннего вставания, день 9 из 30.✨
День, полный сил и дел!Всё успела, кучу дел переделала, настроение при этом не растеряла👍🏻😂
Связываю это во многом именно с началом дня, с того, как я теперь начинаю утро.☝️
Всё без суеты, это такое счастье- спокойно сделать зарядку, спокойно посидеть в тишине, спокойно сходить в душ - ради этого однозначно стоит вставать раньше на час! Я даже полюбила писать в дневник, хотя по началу меня напрягало это дело.😐
Сейчас я просто пишу всё, что в голову приходит и чувствую, как в голове  и в мыслях освобождается место для чего-то нового и интересного.
Я вступаю в новый день с открытым сердцем и готовностью ко всему, что он мне приготовил💫💫💫";1485874984;68;3054587304;False;мастерклассмск
BP9X4xRA7kK;"Как часто я слышу, что говорить о своих проблемах неловко.😒
Мол, я всегда сама справляюсь, как-то не привыкла делиться, нагружать кого-то...
Ну хорошо.
Представьте, что у вас болит зуб, но вы терпите, потому что ""неловко"" идти к зубному. 
Представили?
Глупо, правда? Но, к сожалению, к своей душе, к своим чувствам мы не так внимательны, как к зубам, ногам, рукам и прочему тому, что можно реально потрогать.😒
А между тем наше настроение, наши эмоции, наши чувства настолько важны, что сложно представить, есть ли что-то важнее...
Ведь, если у вас плохое настроение изо дня в день, хотя вы и здоровы, вам всё будет не в радость, вы даже не заметите, что вы ...ЗДОРОВЫ (ура, бинго, как мне повезло💃🎉 - вот этого всего не будет! ).
Ну а если настроение на высоте...
Вы и сами знаете!
Всё удается✨Бабочки не только в животе, но и в метро, и на куче неглаженного белья😂😂😂
И просто ощущение счастья.
Ощущение полноты жизни.
Ощущение, что лучше и быть не может.
Так стоит ли говорить о своих проблемах?😏 foto @anjastepanova_com";1485930573;89;3054587304;False;мастерклассмск
BPGTCg8hhaK;"Приятного тёплого вечера вам любимые🏩💜☀️ Скоро старый Новый год. И мы не можем пропустить начало декабря без новогоднего МАСТЕР КЛАССА. 
Пройдёт 22 января. С 11:00-17:30
Место проведения: Переделкино Ближнее, клуб @polyana_chudes (ул.Самуила Маршака 15 к1).
Мы вместе с теплотой и аккуратностью сошьём текстильную куколку ростом 30см, в новогоднем образе🌲🎄🌲⛄️ Головка у нашей Куколки крутящаяся, что делает её очень живой🙆👭🦄 🎁На руках будут необходимые выкройки, этапы и основы создания, список необходимых материалов🎁

Присоединяйтесь - проведем время весело и с пользой🌲👭💜 #кукласповоротнойголовой #кукласнежка #текстильнаякукла #переделкиноближнее #мастеркласспокукок #мастерклассмск #мкпокуколке #новогодняякуколка #куклакнг #переделкино #переделкиноближнее #поляначудес  #ближнеепеределкино #зао #москва #жулебино #люберцы #городокб #дети";1484082538;44;1598383112;False;мастерклассмск
BPIRFhtA7d1;"Можно ли самой решить проблему?
Конечно, можно!
Вы же можете, например, выбирать - работать над фигурой с тренером или самостоятельно.
Сделать маникюр в салоне у мастера или самой.
Покушать в кафе или дома, ну и так далее, принцип вы поняли😉
И тот, и другой вариант имеет право на существование, и только вы можете решить, что вам подходит больше☝️
Как правило, имеет значение серьёзность проблемы, ваши навыки решения подобных вопросов, готовность к самостоятельной работе или работе с коучем и ещё некоторые индивидуальные факторы.
Если говорить, обо мне, у меня тоже есть коуч. Обращаюсь я к нему по-разному - бывает, разово (это когда есть конкретный вопрос), а бывает, что он ""сопровождает"" меня какой-то период времени (бывают переломные периоды в жизни, когда такая регулярная поддержка очень важна), опять же, всё зависит от ситуации😉
Я из тех людей, кто понимает, что, обратившись к специалисту, я получу результат быстрее, и эта идея мне нравится😄
Хотя иногда мне прям в кайф самой поковыряться🙊
А вы как, сами?
Или к специалисту?

за фото спасибо @nice_day";1484148623;96;3054587304;False;мастерклассмск
