post_id;text;date;likes;owner_id;is_video;by_tag
BaM6vX5lhAd;"В жизни каждого человека есть то, что заставляет гореть глаза, что взрывает волнами эмоций, что позволяет улыбаться каждый день. Я счастливый человек, потому что у меня есть восхитительная семья. И в ней я получаю самые светлые эмоции. Но есть и ещё один важный аспект в жизни каждой женщины. Это увлечённость. Хобби. То, что наполняет душу, даёт другой род впечатлений. Позволяет чувствовать себя реализованной и раскрывает талант. Думаю вы все знаете, чем увлечена Я. Моя семья помогла мне посетить невероятно важный для меня курс от человека, которым я восхищаюсь. Не только работы konfect дарят мне вдохновение, но и обратная сторона тоже научила жить так, как мне комфортно. Сегодня разбирала профессиональные фото от Ксении и Матвея @matveynokhrin , пережила заново курс, в очередной раз вдохновилась энергией и открытостью этих ребят. Спасибо вам за умение вдохновлять на расстоянии в 1000 км и за то, что после курса я словно помолодела лет на 10. Не устану повторять, какие вы крутые! Спасибо вам за всё! С любовью
#mkann_tresh#ann_tresh";1507927000;162;1905288631;False;мастерклассонлайн
BnSzkxwB182;"Дорогие друзья! Сегодня мы открываем набор на курс ""Candybar"". Уже 1 марта #школанастасьи откроет двери  для второго потока. В обширной программе вы получите все знания и навыки, необходимые для создания презентабельной композиции. Стоимость курса дешевле самого маленького Кендибара! Напоминаем - наши курсы дистанционные и все процессы вы будете выполнять на своих кухнях!

Учимся 1 марта - 21 марта.
Сдаём домашние задания 21-31 марта. 31 марта получаем сертификаты.

В программе:
- 3 вида капкейков;
- 3 вида начинок для капкейков;
- 3 вида крема для декора;
- 3 вида зефира;
- Десерт ""Павлова"" с соленой карамелью;
- Кейк-попсы;
- Птичье молоко;
- Маршмеллоу;
- Меренга на палочке.

Итак, в потоке на курс всего 20 мест. Курс ""Candy bar"" содержит 9 вариантов десертов для создания идеального candybar , включает 12 видеоуроков и 18 рецептурных карт, а также множество основ, лайфхаков и секретов. 
Вы не только получите проработанные и испытанные рецептуры, но и сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных прямых эфирах и закрытом сообществе. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536042016;209;1905288631;True;мастерклассонлайн
Bnc62D4haUk;"Дорогие друзья! Сегодня мы открываем набор на курс ""Candybar"". Уже 1 марта #школанастасьи откроет двери  для второго потока. В обширной программе вы получите все знания и навыки, необходимые для создания презентабельной композиции. Стоимость курса дешевле самого маленького Кендибара! Напоминаем - наши курсы дистанционные и все процессы вы будете выполнять на своих кухнях!

Учимся 1 марта - 21 марта.
Сдаём домашние задания 21-31 марта. 31 марта получаем сертификаты.

В программе:
- 3 вида капкейков;
- 3 вида начинок для капкейков;
- 3 вида крема для декора;
- 3 вида зефира;
- Десерт ""Павлова"" с соленой карамелью;
- Кейк-попсы;
- Птичье молоко;
- Маршмеллоу;
- Меренга на палочке.

Итак, в потоке на курс всего 20 мест. Курс ""Candy bar"" содержит 9 вариантов десертов для создания идеального candybar , включает 12 видеоуроков и 18 рецептурных карт, а также множество основ, лайфхаков и секретов. 
Вы не только получите проработанные и испытанные рецептуры, но и сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных прямых эфирах и закрытом сообществе. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536381367;246;1905288631;True;мастерклассонлайн
BniGlVohWLT;"Дорогие начинающие кондитеры! Приглашаю вас получить знания, которые позволят готовить вкусные сладости своим детям или под заказ своими руками. Цена курса равна цене одного заказного торта)) Курс ""Тортовая классика"" рассчитан на абсолютных новичков. 
В программе:
- ""Тирамису"";
- ""Прага"";
- ""Ванильная смородина"";
- Торт-цифра ""Медовик"";
- ""Красный бархат"";
- "" Наполеон"". Мы разберёмся не только в технологии изготовления, но и научимся выравнивать торт, делать аккуратные подтеки, собирать многоярусные торты, готовить современный торт-цифру. Также рассмотрим малазийскую технику декора,  украшение в стиле ""Rose cake"", создадим Космоторт. 
Итак, в потоке на курс всего 15 мест. Курс ""Тортовая классика"" содержит 6 вариантов классических тортов и 7 техник декора, которые позволят вам создавать натуральные торты своими руками. Вы получите в постоянное пользование 10 видеоуроков, полностью раскрывающих процесс выпечки, сборки и декора тортов, а также 6 тортовых рецептур,  дополнительные 7 техкарт для декорирования и бонусную рецептуру торта-сюрприза.

А ещё сможете сдать домашние задания, поболтать о тонкостях кондитерского мастерства в запланированных эфирах. По окончанию курса каждый участник получит обратную связь с комментариями и сертификат о прохождении курса! Цена просто смешная! Все вопросы задавайте в директ или вайбер)
#mkann_tresh#ann_tresh";1536555139;131;1905288631;False;мастерклассонлайн
Bo-izsXHOlk;"ВНИМАНИЕ !!! обращаем Ваше внимание на то, что во вторник 16 октября еженедельные расстановки с Ларисой Чепурной в г.Томске будут проходить в закрытом режиме - только для приглашенных. 
Просим иметь ввиду и отнестись с пониманием. 
С 23 октября ждем всех желающих в 18:30 до 22:30 
Системно-семейные расстановки в группе, тема лекции: ""Перерождние"" 
30 октября с 11:00 до 22:00 Песочный день с Ларисой Чепурной 
Адрес: город Томск, ул. Тверская, 81, клуб ""Школа Вдохновения"" 
Запись по ссылке http://24.podsozn.ru 
Можно сделать психотерапевтическую или расстановочную работу онлайн по скайпу. - Стоимость работы по скайпу - 5000 рублей. 
Запись по ссылке http://1.podsozn.ru 
Справки по телефону и WhatsApp 89539276624

#tomskgram #tomsk2018 #инстатомск #инстатомск2018 #мамытомска #услугитомска #мастеркласс #мастерклассОнлайн #мастеркласссЛарисойЧепурной #онлайн #вебинар #девочка #хозяйка #королева #ребёнок #хобби #ПолезныеНамерения #внутреннийПорыв #развитиеРебёнка";1539656945;11;3311854314;False;мастерклассонлайн
Bo1Lef1hslr;"Привет, друзья! Честно, не знаю, как начать этот пост, поэтому просто буду излагать всю информацию по порядку.
Итак...
1⃣ Я вернулась из Москвы.
⚪
2⃣ Сразу по возвращению домой уехала к своей сестре в Херсон (Украина).☝Не путать с Херсонесом, который находится в Севастополе😆 Буду здесь примерно месяц...😐🙈 Город совершенно не мой, но надеюсь, немного привыкну к нему...😏
⚪
3⃣ Донецкие друзья, те, кто давно спрашивают, когда я уже вернусь и смогу приготовить для вас торт/пирожные/конфеты или провести мастер-класс, потерпите, пожалуйста, ещё немного!🙏🙏🙏 Ну, а те, кто не могут ждать, а хотят веганский или сыроедческий торт прямо сейчас, пишите Инне Марченко @ovsiankasir_donetsk ! Она - моя правая рука в Донецке😉👌🎂
⚪
4⃣ Я по-прежнему провожу мастер-классы по Скайпу. Поэтому смогу обучить тебя, даже, если ты живёшь на Дальнем востоке 🌏
⚪
5⃣ Ну, а, если ты из Херсона и тоже хочешь научиться готовить сладости без сахара, пиши - проведу для тебя мастер-класс на дому 🏠
⚪
6⃣ Также я всегда открыта для новых знакомств с единомышленниками и готова к сотрудничеству с производителями эко-продукции и ЗОЖ-мастерицами. Свои предложения пиши в Директ📩
⚪
7⃣ А теперь самое главное - из Москвы я уехала, но душой и сердцем осталась там...🤗❤ Поэтому иногда в своих постах я буду мелькать на фоне московских достопримечательностей🚞🏙 И не удивляйся, если красивые фото будут сопровождать мои слёзные тексты, пропитанные тоской по Москве...😭 Но надеюсь, до такого не дойдёт.
⚪
А вообще у меня осталось ОЧЕНЬ много наводок из Москвы для вегетарианцев!..🌱 Кафе, рестораны, где купить самый вкусный сыроедческий шоколад, сыр из ферментированного кешью... Так что я обязательно буду продолжать делиться полезной информацией👌
⚪
А те, кто любил смотреть в сториз #приключениябузовойвмоскве , не расстраивайтесь, для вас я припасла ещё много интересного 😎 Так что следите 🕵
⚪
Москвичи, спасибо каждому, кто был со мной эти два месяца!🙏❤☀ Без вашей помощи и поддержки я бы точно не справилась... Так и хочется сказать #моилюдивсегдасомной , но этот хештег принадлежит другой Бузовой😊👸";1539342723;265;3966565279;False;мастерклассонлайн
Bo1P8FGnKZ1;"📌 ПРИМЕР ИЗ ПРАКТИКИ РАССТАНОВОК С ЛАРИСОЙ ЧЕПУРНОЙ (имена и данные не указаны, профессиональная этика) 
Девушке 21 год , пришла с проблемой отношений с мамой.Чувствует себя нелюбимой со стороны мамы. Один из примеров их отношений- мама обижается на что-либо и не разговаривает по пол года с дочерью.Запрос от клиентки звучал так : хочу принимать маму такой, какая она есть, адекватно реагировать на ее чувства, видеть сложности ее характера и чувствовать себя спокойно. 
В ходе расстановки (первой работы для девушки) проявилась целая цепочка сложных взаимоотношений в роду : мама не могла чувствовать любовь своих родителей, потому что они были травмированы смертью в результате выкидыша двух первых детей ( отсюда привычка в семье ""не замечать"" чувства детей). Бабушка была зла на дедушку, потому что он не поддерживал ее в этом горе. Дедушка не мог ее поддержать, потому что был лоялен свой матери (прабабушке клиентки) в том , что детей должно быть мало, а лучше - совсем бы не было !!!!😕 У прабабушки такая установка из её тяжелого голодного детства в многодетной семье. 
Можете себе представить, как тчжело сейчас строить отношения потомкам этой семьи, неся тяжелые перенятые чувства?! Как трудно быть ребенком в системе, как сложно родителям проявлять любовь? 
Увидев все это, в такие моменты я в глубине души радуюсь, что есть такой метод помощи, как системные семейные расстановки и что клиент дошел до расстановщика. 
Работая с подсознанием с помощью разрешающих фраз , восстанавливаем возможность любви и радости в роду, Это позволит клиентки снять то напряжение,стресс, которое чувствовали в роду из поколения в поколение. 🍎 Расстановки онлайн (по скайпу) с опытным психологм Ларисой Чепурной! 📍 Для записи перейдите по ссылке: http://1.podsozn.ru

#РасстановкиТомск #ПсихологТомск #ПсихотерапевтТомск #СемейныеРасстановкиТомск #СемейныйПсихологТомск #мастеркласс #мастерклассОнлайн #мастеркласссЛарисойЧепурной #онлайн #вебинар #девочка #хозяйка #королева #ребёнок #хобби #ПолезныеНамерения #внутреннийПорыв #развитиеРебёнка";1539345062;18;3311854314;False;мастерклассонлайн
Bo1tPe_hmrn;"Бисерный ликбез с @annbraginsky 
ДЗ 4. Многоугольники.
#бисерныйликбез2018
#учусьумастера #мастеркласс #мастерклассонлайн #обучениеонлайн #бисероплетение #бисерныймир";1539360425;45;1599777234;False;мастерклассонлайн
Bo2EkgaFZJx;"Волшебный fluid art . 
Холст. Жидкий акрил. 
#акрил #картинаакрилом #море #волна #картинамаслом #жидкийакрил #флюидарт #картинавинтерьер #любовь #рисунок #рисуемвместе #рисованиеонлайн #мастерклассонлайн #флюидартонлайн #fluidart #art #artist #artartist #love #instamood #instaart #blogger #artblog #nofilter";1539372656;39;6486839661;False;мастерклассонлайн
Bo2FagKgfan;#тканьдлякукол #тканьдляпальто #тканьхлопок #тканьдлярукоделия #тканьназаказ #мастерклассатырау #тканьдляшитья #тканьдляштор #тканьоптом #мастерклассытомск #тканьдлятворчества #тканьдлябукв #мастерклассонлайн #тканьдлядетей #мастеркласстараз #тканьнаплатье #тканьмосква #тканьдляплатья #мастерклассоренбург #тканьдлябортиков #тканьшелк #ткань #тканьврозницу #тканьдляпэчворка #мастеркласстверь #тканьвналичии #тканьдляпостельного #тканьдляодежды #тканькупить #мастерклассбесплатно;1539373098;12;8066977686;False;мастерклассонлайн
