post_id;text;date;likes;owner_id;is_video;by_tag
BeqQze4lFZh;;1517501581;0;4494093325;False;мастеркласспитер
BeqRGkylDSR;"Пора порадовать подарками мужчин))
#питернеспит";1517501737;1;4494093325;False;мастеркласспитер
BeqRvDFF2ex;;1517502069;1;4494093325;False;мастеркласспитер
BnmPduSlaeG;#cleanline_permanent #бровиСПб #макияжПитер #перманентбровейСПб #татуажПитер #татуажгубСПб #татуажгуб #перманентбровей #межресничка #татуажбровейПитер #татуажвекСПб #перманентгуб #перманентныймакияж #перманентвекПитер #бровиПитер #мкпоперманенту #мастеркласс #обучениеперманентномумакияжу #перманентныймакияж #обучениеСПб #обучениеПитер #мастерклассПитер #обучениебровиперманент#spbgirl;1536694013;130;1801641110;False;мастеркласспитер
Bp-_e9_g_lK;Всем привет💜я-менеджер студии чистого взгляда CleanLine, если у Вас есть какие-то вопросы,пишите. Я Вам на них сразу отвечу💜💜💜#cleanline_permanent #бровиСПб #макияжПитер #перманентбровейСПб #татуажПитер #татуажгубСПб #татуажгуб #перманентбровей #межресничка #татуажбровейПитер #татуажвекСПб #перманентгуб #перманентныймакияж #перманентвекПитер #бровиПитер #мкпоперманенту #мастеркласс #обучениеперманентномумакияжу #перманентныймакияж #обучениеСПб #обучениеПитер #мастерклассПитер #обучениебровиперманент#spbgirl;1541819463;80;1801641110;False;мастеркласспитер
Bt-3EePAAjK;"Когда есть из чего выбрать!) 🤩🙃👍🏻 Следующий мастер-класс по живописи маслом «Готовая КАРТИНА за 3 часа» пройдёт 17.02 в 18-30! 
Ждём по адресу: м. Ладожская, пр. Энергетиков 26

Все материалы входят в стоимость участия: • мольберт, • одноразовые фартуки • холст (грунтованный оргалит) • кисти и краски • палитры • упаковка для картины 
От Вас только хорошее настроение! 
Написанную картину каждый забирает себе сразу после мастер-класса! 
По тел 8911-128-8883 
#волшебныекраскиспб #подарок #картинасвоимируками #картинамасломспб#картинанахолсте #мастеркласспоживописи #картинасвоимируками #картинамасломспб#картинанахолсте #мастеркласспоживописи #мастеркласспитер #мастерклассдлявзрослых #артвечеринка #ятворю #выходные #красногвардейскийрайон #семзанятьсяввыходные #кудасходитьвспб #арткраски #арткраскиспб";1550404986;38;366525386;False;мастеркласспитер
Bt03dUOAGRV;".
🎭 Вы мечтаете о красивых бровях, но не можете решиться сделать сами? Тогда вам следует обратиться к опытному мастеру @dellarte_club Марине
⠀
🔥 Уже три года Марина радует своих клиентов идеальными бровями.
✍️ Постоянное обучение, участие в конкурсах, саморазвитие - все это позволяет Марине держать руку на пульсе современных тенденций.
🔥 Будьте уверены, что после процедуры ваши довольные глаза будут лучшей наградой для мастера.
⠀
🎭 Предлагаем вам знакомство с мастером!
🎁 Долговременная укладка бровей всего 1️⃣0️⃣0️⃣0️⃣ рублей!
💌 Вам осталось просто записаться на процедуру✍
⠀
▪️ Работаем на лучших материалах
▪️ Квалифицированные мастера
▪️ Все стерильно
▪️ Бесплатный Wi-Fi и чай/кофе.
⠀
🎭 Dell’ Arte - почувствуйте атмосферу Италии 🌸 в опытных руках наших мастеров!
⠀
✍️ Запись по ссылке в шапке профиля
🚇 Пионерская
📌 Коломяжский пр-т, д. 28/2 (5 мин. пешком, есть автостоянка)
📲 +7 999 005 11 90";1550069645;60;9459045596;False;мастеркласспитер
Bt0D5jajWyZ;"Дорогие рукодельницы. 
Предлагаем помещение, где вы сможете провести свои мастер-классы по адресу: Санкт-Петербург, набережная канал Грибоедова 99. 
Арендная ставка почасовая. 
Информацию о вашем мастер-классе размещаем у себя в профиле. 
Мы сотрудничаем со всеми мастерами, в разной сфере творчества😊 
Кто заинтересовался пишите в директ/ватсап/вайбер  #мастеркласс #мк #проведениемк #проведениемастеркласса #проведениемк #проведениемастерклассов #творчество #рукоделие #арендастудии #арендаспб #арендапитер #арендамк #арендастудииспб #мкспб #мкпитер #мастеркласспитер";1550042614;50;6232198899;False;мастеркласспитер
Bt0cxfTDLCZ;"А ты готов к 14 февраля⁉️💕❤️ 14.02 (четверг) в 18-30 пройдет Мастер-Класс «Картина МАСЛОМ за 3 часа»! 2 сюжета на выбор! 
Мастер-Класс «Картина маслом» - это занятие, где не надо иметь художественное образование или практику в написании картин. Вы просто наслаждаетесь ТВОРЧЕСКОЙ атмосферой, дружеским общением и создаете свою собственную картину под моим руководством. 
Мы не используем на занятиях АБСОЛЮТНО НИКАКИХ РАСТВОРИТЕЛЕЙ, поэтому нет резких запахов, и краски безопасны для детей и аллергиков! 
Все материалы входят в стоимость участия: • мольберт, • одноразовые фартуки • холст (грунтованный оргалит) • кисти и краски • палитры • упаковка для картины 
От Вас только хорошее настроение! 
Написанную картину каждый забирает себе сразу после мастер-класса! 
Стоимость 2500 руб 
СКИДКА по кодовому слову «ЛЮБОВЬ»
По тел 8911-128-8883 
#волшебныекраскиспб #подарок #картинасвоимируками #картинамасломспб#картинанахолсте #мастеркласспоживописи #картинасвоимируками #картинамасломспб#картинанахолсте #мастеркласспоживописи #мастеркласспитер #мастерклассдлявзрослых #артвечеринка #ятворю #выходные #красногвардейскийрайон #семзанятьсяввыходные #кудасходитьвспб #арткраски #арткраскиспб";1550055655;57;366525386;False;мастеркласспитер
Bt0mZH_FaJH;"В самый мужской день - 23 февраля в 19:00 на территории студии kenwood  @kenwood_studio @kitchen.in.spb проводит самый мужской мастер класс!
Будет сочно!🔥
Будет вкусно!🔥
Будет горячо!🔥
Много мяса, нет не так, очень много мяса!🥩
В программе: самая сочная часть говядины, тар-тар от шеф повара ресторанного холдинга RECA, он расскажет, где и как выбрать лучший кусок мясца, научит готовить, как Бог! И это ещё не все!
Мяса без пива не бывает! А хорошее мясо, только с хорошим пивом!
Будут представлены два особых сорта одного из самых старинных пивоваренных домов Бельгии! Узнаем о них немного больше и, конечно же попробуем! 
В программу так же включён лёгкий welcome и отличное настроение! Места есть, но их разбирают!

Псссс...мы знаем, что ты подаришь своему парню😏
Скидка для пары! Все подробности у @kitchen.in.spb 
#мастерклассспб #мастеркласспитер #гастрономическиймастеркласс #мясноймк #мкпомясу #питердосуг #досугспб #подарок23февраля #подарокдлямужчин #выходныеспб #выходныеспользой #скидкидляпары";1550060698;42;8148421891;False;мастеркласспитер
