post_id;text;date;likes;owner_id;is_video;by_tag
BaOPg2tl2iL;"🐶 Собачка 🐶 Рост 12см., длина 14,5см. Символ 2018 Нового Года! 
Как сделать такую собачку можно посмотреть на моём YouTube канале ВАЛЯШКИ
Активная ссылка на канал у меня в профиле!!! Заходите и творите вместе со мной!!!
#валяныеигрушки #валянаясобака #собакаизшерсти #собакисвоимируками #собачкаизфетра #собачкисвоимируками #валяниеизшерсти #валяние #мастеркласс #фелтинг #сухоеваляние #креативныеподарки #игрушкиручнойработы #игрушкисвоимируками #игрушкиизшерсти #символновогогода #животныесвоимируками #валяшки #валяшкианныконстантиновой #ютубканал #ютубканалваляшки #мастерклассповалянию";1507971445;55;5760723317;False;мастерклассповалянию
Bl-U_KjhSli;"Кто-то рождается!
Угадайте, кто это будет)
Очередной заказ.";1533207248;50;5612176914;False;мастерклассповалянию
Bl7WvXSnCZH;"🌺Что валяют у меня на #мастерклассповалянию ? Что душе угодно!
👗Космические юбки, солнечные платья, жилеты в этно стиле, нежные жемчужные джемпера...
😍Талантливые ученицы, чудесные женщины, терпеливые волшебницы!
Потому что чудо не рождается на пустом месте - это всегда труд и аккуратность. 👍Но под чутким и умелым руководством возможно все! За один день мы полностью заканчиваем вещь, я веду вас от начала до конца. И валяние одежды вообще с нуля - когда человек первый раз прикоснулся к шерсти - это тоже возможно, все в всших руках!
💓💓💓МК в Москве 19 августа, приглашаю!
💓Для примера - “космическая” синяя юбка в этой подборке - первое знакомство девушки с войлоком! 
#учувалять #обучениевалянию #одеждаизвойлока #мкповалянию #светланамельникова #svetamelnikovafelt #felting #войлок #мквмоскве #студияшкатулочка";1533107503;74;7555998421;False;мастерклассповалянию
Bl8Ir7GhwY0;"🦁 Лев 🦁 Царь зверей. Рост 22см.
Вот такой шикарный лев выполнен на заказ. 
Хвост сделан на каркасе, можно задать нужный изгиб. Гриву я решила оставить длинной, лев 🦁 все таки «Царь зверей»☝🏻
Сувенир, сделанный из шерсти приятно держать в руках и он всегда будет радовать глаз! 
По желанию заказчика @denkach сделала бирочку, мама получившая такой подарок, будет смотреть и вспоминать о своём сыне ❤️
Смотрите этот Мастер-класс на моём YouTube канале ВАЛЯШКИ
Ссылка на канал, у меня в профиле!!!
Присоединяйтесь!!!
#валяныйлев #левсвоимируками #левизфетра #левизшерсти #валяныеигрушки #игрушкиизшерсти #игрушкиручнойработы #авторскиеигрушки #фелтинг #сухоеваляние #креативныеподарки #мокроеваляние #felting #feltingwool #изшерсти #извойлока #войлок #валяние #валяниеизшерсти #валяниешерсти #валяниеигрушек #мастерклассповалянию #ютубканал #ютубканалваляшки #валяшкианныконстантиновой";1533133690;46;5760723317;False;мастерклассповалянию
BlpMaehHUbC;"""Ты домой придёшь, а они тебе радуются..."" это Печкин точно про тапки говорил 😊
Человек, которому вы делаете такой подарок, просто не сможет не 😃
Да и продать такие тапочки - доставить радость и себе и покупателю 😍
.
Заказать у меня? ...не получится... а вот научиться делать ТАКОЕ (и другое!) своими 🙌 на мастер-классе 3 августа в студии Шкатулочка, это милости прошу! .
Подробности по ссылке в профиле ☝️ там же все пароли/явки/ватсапы 😉
.
Последнее фото - напоминалочка для моих учениц-валяльщиц. Пригодятся вам такие шпаргалки для заказа кардочеса коридейл? ❤️
.
@shkatulochka_com @demyanova.olga #мокроеваляние #валяниеизшерсти #валяниевмоскве #мастерклассповалянию #войлокручнойработы #войлочныетапки #войлоковаляние #войлоксвоимируками #тапкишерстяные #тапкиизшерсти #валяныетапочки #обучениевалянию #научитьсявалять";1532498110;224;3280391357;False;мастерклассповалянию
Blq5_4mHd4N;"Дорогие Друзья!
Приглашаем Вас  4 августа 2018 г.  на МК по валянию ЛЁГКОЙ КУРТКИ @j.khabarova 
Данное изделие будет незаменимо в прохладные летние питерские вечера, а так же в путешествиях и поездках за город!

Этот МК разработан мной по специальной технологии, позволяющей свалять лёгкую и пластичную куртку за 1 день!!!
Модель куртки, благодаря своему фасону великолепно сидит на красавицах от 46 до 56 размера! Свободный силуэт позволяет чувствовать себя очень комфортно, а так же корректирует несовершенства фигуры:) Итак, что мы будем делать: - лёгкую куртку, свободного силуэта с рукавами 3/4 , цельноваляной обтачкой и карманами;
- в качестве подкладки будем использовать вискозу;
- декор с лицевой стороны может быть абсолютно любым (кроме флиса);
- модель куртки предполагает только застёжку- молнию;
После МК у Вас будет изделие, полностью готовое для дальнейшей швейной обработки: вшивания молнии и обработки низа рукавов и куртки.
МК сложный и требует навыков валяния, его продолжительность 10 часов (с 10:00 до 20:00) 
Пожалуйста, обратите внимание на материалы, которые необходимо приобрести для этого МК. 
Только чёткое выполнение всех рекомендаций обеспечит Вам отличный результат!  Вам понадобится: - 300 г вискозы в топсе. Выбирайте матовую или полуматовую вискозу. это значительно сэкономит время раскладки!
- 200г 18-ти микронного мериносового кардочеса. Шерсть в топсе не приемлема. Это важно!
- подложка под ламинат 2м
- воздушно-пузырчатая пленка 1м
- мыло
- материалы для декора лицевой стороны любые (пряжа, шёлк, ткани, волокна), кроме флиса! При необходимости, можно заранее проконсультироваться и обсудить варианты декора лицевой стороны.
- шлифовальную машинку;
- перекус, чтобы хватило сил:) #feltclub #хабароваюлия #обучениевпитере #обучениевалянию #юлияхабарова #курсываляния #куртка #войлочнаяодежда #мастеркласс #мастерклассповалянию #валяниешерсти #валяемодежду #студиявойлока";1532555564;67;7289570286;False;мастерклассповалянию
Bm0bKQ-Be53;"Мед для глаз...
Детки валяют свои шедевры)";1535022424;28;5612176914;False;мастерклассповалянию
Bm5J1-iHMIS;"Очень милый щеночек у нас получился. Буду рада вас видеть снова на мастер-классе

#мастеркласс #мастерклассвладивосток #валяниевладивосток #кудасходитьвладивосток #влмастерица #мастерклассповалянию#мастеркласспосухомувалянию #обучениевладивосток #игрушкиизшерстивладивосток";1535181117;12;7060687801;False;мастерклассповалянию
Bm5KBy9Hg1B;"Очень милый щеночек у нас получился. Буду рада вас видеть снова на мастер-классе

#мастеркласс #мастерклассвладивосток #валяниевладивосток #кудасходитьвладивосток #влмастерица #мастерклассповалянию#мастеркласспосухомувалянию #обучениевладивосток #игрушкиизшерстивладивосток";1535181214;23;7060687801;False;мастерклассповалянию
BmA7YaMn7uA;"Лето продолжает радовать нас жаркой и солнечной погодой.
Мы тоже спешим порадовать Вас: совсем скоро начнется распродажа летних курсов по ярким ценам от Ольги Филатовой!

Платье, туника, юбки ждут Вас по самым привлекательным ценам уходящего сезона!

Распродажа будет проходить с 09 по 11 августа включительно.

Все подробности в ближайшее время в наших группах! Не пропустите!

#валяние #войлок #обучениевалянию #мастерклассповалянию #мокроеваляние #нинадемидова #ninademidova #felt4fun #вебинар #felt #felting #ninademidovafelt #feltonline";1533294486;109;2231579729;False;мастерклассповалянию
