post_id;text;date;likes;owner_id;is_video;by_tag
BckEzxigTGg;"Одна из самых нежных, пожалуй на мой взгляд, девчонка с зайкой🐰😁можно дергать, трепать, грызть, пришито на ""5""!";1512998998;46;6343364261;False;мастеркласспокукле
BfQr3TxAnnu;Наконец-то, эта куклена пополнила мою ленту😍обещала ее представить давно...но времени не так много на воплощение всех моих задумок😅;1518790836;68;6343364261;False;мастеркласспокукле
BgWZ2M-l_NW;Винтажная девочка ростиком 35 см, сшита по заявочке 😍🌹;1521130200;59;6343364261;False;мастеркласспокукле
BhEUOaMgxup;"На мой вопрос доченьке ""Ну как тебе куколка?!"" я получила ответ: ""Ах...душа моя🤗...Это мой компонент "" (цитирую)
Хотя последнее стихотворение А.С. Пушкина ""Узник""(не совсем про любовь😁)...ну неважно😊отзыв меня устроил-выкладываю!
Зато муж сказал так: ""Если тебя вовремя не загнать на кухню, то мы будем кушать ""лайки"" из Инстаграм!🤣
Р.S. Друзья, спасибо Вам за ваши ❤";1522670757;64;6343364261;False;мастеркласспокукле
Bi1UPh1Fr-G;Наборы для перепрашивки кукол ,пряди ангорской козы готовые к работе .Длина волос составляет 18-20 см цена 150 рублей за 10 гр цвет рыжий .паоларейна #блайз #ручнаяработа #handmade #paolareina #ярмаркамастеров #натуральныеволосыдлякукол #козийпух #волосыкозочки #интерьернаякукла #текстильнаякукла #мастеркласспокукле #hairfordolls #dolls #scalpfordolls #парикдлякуклы #козадереза #шкуркакозы #козьиволосыдлякукол #альпака #bjd #bjddoll #doll #reroot #blythe #castom #paolareina #вседлякукол #козочка #мохер #moher;1526462417;32;7570470811;False;мастеркласспокукле
Bi1eFSzFGOO;"#кукла
 #куколка
 #мк #мастерклассвчелябинске #мастеркласс #мастеркласспокукле #интерьернаякукла #дизайнинтерьера #декордетской #ландыши #кукласцветами #куклавпышнойюбке #юбкаизфатина #гномочка #украшениебисером #нежная #купитькуклу #заказатькуклу #куколки #текстильнаякукла #dollstagram #dolls #dollphotography #куклаЧелябинск #куклапитер #кукласпб #кукламосква #instadoll #dollcollection";1526467576;57;3956461072;False;мастеркласспокукле
Bi1nkq1lobI;Пряди ангорской козочки для кукольных волос готовая работа ,цвет орех длина волос 18-20 см вес 10 гр 150 рублейпаоларейна #блайз #ручнаяработа #handmade #paolareina #ярмаркамастеров #натуральныеволосыдлякукол #козийпух #волосыкозочки #интерьернаякукла #текстильнаякукла #мастеркласспокукле #hairfordolls #dolls #scalpfordolls #парикдлякуклы #козадереза #шкуркакозы #козьиволосыдлякукол #альпака #bjd #bjddoll #doll #reroot #blythe #castom #paolareina #вседлякукол #козочка #мохер #moher;1526472551;31;7570470811;False;мастеркласспокукле
Bi1qoQ6F71G;Пряди ангорской козы  крашенные професиональными красками готовая работа .Цвет светло русый длина волос соостовляет 18 -20 см . Цена за 10 гр 150 рублей .паоларейна #блайз #ручнаяработа #handmade #paolareina #ярмаркамастеров #натуральныеволосыдлякукол #козийпух #волосыкозочки #интерьернаякукла #текстильнаякукла #мастеркласспокукле #hairfordolls #dolls #scalpfordolls #парикдлякуклы #козадереза #шкуркакозы #козьиволосыдлякукол #альпака #bjd #bjddoll #doll #reroot #blythe #castom #paolareina #вседлякукол #козочка #мохер #moher;1526474154;26;7570470811;False;мастеркласспокукле
Bi2FWMTlg04;"Дорогие мои, приглашаю всех желающих на мой Мастер Класс по созданию игровой текстильной куколки, который будет проходить в женском тренинг центре «Империя» Алины Силаевой @imperiya_trening 27 мая в 12:00 м. Аэропорт.  Стоимость 4200, рассчитан на 7 часов. Запись через директ или по тел. 8 916 930 93 39
Куколка ростом 28 см., волосы можно расчесывать и заплетать, одежду снимать 🙌
🎀 На МК набиваем тельце и ручки, пришиваем и ставим на ножки, пришиваем волосики. 🎀Цвет волос и платья можно будет выбрать.
🎀Выкройку и готовую куколку забираете с собой.  #мастеркласс#шьемкуклу#мастеркласспокукле##текстильнаякукла#интерьернаякукла#handmade#ручнаяработа#подарок#decor#ботиночкидлякукол#авторскаякукла#flores#babygirl#botas#dol
#puppet#dollplay#handmadedolls
 #dolls#cotondoll#fabricadoll#clothdoll#текстильнаякукла#интерьернаякукла#tilda#moda#подарок#fashion#style#dolldress#sewing#dollplay#handmadedolls";1526488161;70;2251689580;False;мастеркласспокукле
Bi2FoeWnwz2;"Дорогие мои, приглашаю всех желающих на мой Мастер Класс по созданию игровой текстильной куколки, который будет проходить в женском тренинг центре «Империя» Алины Силаевой @imperiya_trening 27 мая в 12:00 м. Аэропорт.  Стоимость 4200, рассчитан на 7 часов. Запись через директ или по тел. 8 916 930 93 39
Куколка ростом 28 см., волосы можно расчесывать и заплетать, одежду снимать 🙌
🎀 На МК набиваем тельце и ручки, пришиваем и ставим на ножки, пришиваем волосики. 🎀Цвет волос и платья можно будет выбрать.
🎀Выкройку и готовую куколку забираете с собой.  #мастеркласс#шьемкуклу#мастеркласспокукле##текстильнаякукла#интерьернаякукла#handmade#ручнаяработа#подарок#decor#ботиночкидлякукол#авторскаякукла#flores#babygirl#botas#dol
#puppet#dollplay#handmadedolls
 #dolls#cotondoll#fabricadoll#clothdoll#текстильнаякукла#интерьернаякукла#tilda#moda#подарок#fashion#style#dolldress#sewing#dollplay#handmadedolls";1526488311;74;297325667;False;мастеркласспокукле
Bi2ruv7FgNU;Шелковые трессы ангорской козы прошитые клеенные, а так же крашенны професиональными красками.Цвет БЕЖЕВЫЙ длина волос составляет 12-15 см длина тресса 1 метр .ЦЕНА 420 рублейпаоларейна #блайз #ручнаяработа #handmade #paolareina #ярмаркамастеров #натуральныеволосыдлякукол #козийпух #волосыкозочки #интерьернаякукла #текстильнаякукла #мастеркласспокукле #hairfordolls #dolls #scalpfordolls #парикдлякуклы #козадереза #шкуркакозы #козьиволосыдлякукол #альпака #bjd #bjddoll #doll #reroot #blythe #castom #paolareina #вседлякукол #козочка #мохер #moher;1526508285;25;7570470811;False;мастеркласспокукле
Bi3ngp5FPG_;"🌿 Ура! Готов мой мастер класс по пошиву белья для куклы! И я уже могу им поделиться...⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀
🌿 Всё как всегда - приятная музыка, хорошее настроение и любимые куклы...⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🌿 Чтобы сшить кукле бельё, не надо обладать особыми умениями и навыками. На наглядных примерах покажу простые приемы кроя, пошива и декорирования.⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🌿 Мы вместе сошьём комплект белья, состоящий из тончайших чулок, нежной сорочки и пышных панталончиков.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🌿 Непременно расскажу, как выбрать подходящую ткань и фурнитуру для пошива. Ведь это важно!⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀
🌿 Материал мастер класса прост в изложении, поэтому будет понятен даже начинающим мастерам. Выкройка панталончиков прилагается, а выкройку сорочки и чулок вы без труда, под моим руководством, построите сами...⠀⠀
⠀⠀
🌿 Стоит заметить, что бельё у моих девочек несъёмное, т.к. призвано скрыть соединительные крепления. Отсюда и специфичная технология пошива.⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀
🌿 Стоимость МК по белью для куклы⠀⠀⠀
2 000 рублей - 2.6 гигабайт полезной информации.⠀⠀⠀
⠀⠀⠀
🌿 Уж мы-то, девочки, с вами прекрасно знаем, как меняет походку красивое бельё... Не правда ли?.. ))";1526539692;210;1231055339;True;мастеркласспокукле
Bi4D44lAV8V;"🍷«Вино-это разлитая по бутылкам поэзия». Чем не романтика? Море, пустынный берег, бутылочка вина😏. Хотя лично я предпочитаю более крепкие напитки, такие как ром /черный/ и виски. Видимо не очень я романтична👹.
_________________________________________________________
""Wine is bottled poetry."" What is not romance? Sea, deserted shore, a bottle of wine. Although personally I prefer more hard liquor, such as rum, black and whiskey. I guess I'm not very romantic. -
-
-
-
-
-
-
-
#шоурумспб
#шоурумомск
#песнинатнт
 #кукларучнойработы
#by_balaya
#маникюркраснодар
#гельлаккраснодар
#мастеркласспокукле
#doll
#маникюрфмр
#педикюркраснодар
#мастеркласскраснодар
#свадебнаякукла
#гельлакюмр
#декордетской
#шоурумкраснодар
#свадебнаяприческакраснодар
#маникюрпанорама
#полировкаволоскраснодар
#тильда
#подушкасплюшка
#подушкидлядетей
#кошечки
#кукланазаказ
#авторскаякукла";1526554506;36;2325003495;False;мастеркласспокукле
Bi4QlO2l2VH;Шелковые трессы ангорской козы на шкурке длина тресса 65-70 см длина волос 20 см ЦЕНА 250 рублейпаоларейна #блайз #ручнаяработа #handmade #paolareina #ярмаркамастеров #натуральныеволосыдлякукол #козийпух #волосыкозочки #интерьернаякукла #текстильнаякукла #мастеркласспокукле #hairfordolls #dolls #scalpfordolls #парикдлякуклы #козадереза #шкуркакозы #козьиволосыдлякукол #альпака #bjd #bjddoll #doll #reroot #blythe #castom #paolareina #вседлякукол #козочка #мохер #moher;1526561161;28;7570470811;False;мастеркласспокукле
