post_id;text;date;likes;owner_id;is_video;by_tag
Bw--iDmlcFF;"Мои клиентки самые красивые ♥️
Укладка выдержала даже ветер, все осталось в прекрасном виде как и было 😌👏🏻 со слов клиентки ⠀ ⠀
👇Узнать подробнее или записаться на обучение или услугу:
☎+7-909-054-74-06 (под описанием профиля нажмите кнопку ""позвонить"") 📩Директ, Viber, WhatsApp
📍г. Ижевск, ул. Коммунаров 224д, 5 этаж, 506 офис.";1556851349;353;762956293;False;мастеркласспоприческам
Bw-FOo7HOlz;#низкийпучок #прическа #вечерняяприческа #свадебнаяприческа #стилист #стилистмосква #визажист #свадебныйстилист #имиджмейкер #новыйобраз #мастеркласс #мастеркласспоприческам #весна2019 #моявесна #майскиепраздники #любимаяработа #☀ #инстафото #фотосессия #фотографмосква #парикмахер #парикмахерскиеуслуги #москва #подмосковье #московскаяобласть;1556821306;19;2534029367;False;мастеркласспоприческам
Bw-JXvupjdK;"🌺О МОЕМ ОБРАЗОВАНИИ В СФЕРЕ ПРИЧЕСОК!🌺
⠀
Хочу рассказать вам о пути, который привел меня к постижению основ профессионального мастерства в сфере создания причёсок из длинных волос.
⠀
С детства у меня были длинные👱‍♀ волосы, но кроме традиционных трехпрядной косы и хвоста, больше ничего не могла делать🙈. что говорить о длинных распущенных? Да, красиво, но слишком банально и трационно😔. Всегда обращала внимание на красивые прически, которые выделяются, разглядывала, очень хотелось освоить☝️.
⠀
В 2016 году пошла на обучение ,  получила сертификаты и красный диплом в сфере ""Стилист-визажист"" в "" Образование 21века""💃. Этого мне показалось мало. Закончила живые курсы в школе кос @shkolakos, продолжила он лайн обучение🥰 . Люблю учиться и делиться знаниями. Мне это нравится.
⠀
🌺Что я достигла?🌺
⠀
🌷изучила основы причесок
🌷с уверенностью берусь за волосы и знаю, что с ними можно сделать
🌷знаю много нюансов в создании причесок
🌷участвую в показах
🌷Фестивалях
🌷благотворительных мероприятиях
🌷Частная практика
🌷 провожу мастер классы
⠀
Кому интересно обучение? 💃 Интересно научиться плести косы другим или на себе? Делать красивые прически? 🧚‍♀Делать быстрые прически для фотосессий, на каждый день? Поменять свой образ? Прически на выпускной?
⠀
Решение есть. Обращайтесь. Бонусы и подарки при встрече. 🌺
⠀
💐До 7 мая💐 в Москве.
⠀
Пишите в direct";1556823478;49;4015550084;False;мастеркласспоприческам
Bw-LlcYBsZg;Ещё одно веселое видео с очаровательной Юлией Свежаковой@yulia_svejakova  с легкой руки потрясающего профессионала 🎥@nlukashevich;1556824690;17;368506969;True;мастеркласспоприческам
Bw-M0pQJ8Iu;"Вторая красотка с мастер класса от @ulyana_nik_hairstylist 😍😍🔥🔥🔥🔥 Королева! 
Макияж: @maryam_visage 
Локоны: @ulyana_nik_hairstylist 
#мастеркласспоприческам #мастерклассульяныник #макияж #макияжнурсултан #проверкаотевгения #проверкаотевгения";1556825287;83;579794566;False;мастеркласспоприческам
Bw-QBRjl1ci;"Beautiful Dasha🔥 ⠀ 
Nude make up во всей красе без фильтров и обработки😍 ⠀
#instamakeup#макияж#визажист#визажистмосква#свадебныйстилист#свадебныйстилистмосква#стилистмосква#урокмакияжа#bulahkatya#обучениепричёскам#обучениеприческаммосква#курсыпричесокмосква#курсыпричесок#обучениепоприческам#курсыпричесокмосква#прическанасвадьбу#самсебевизажист#самсебевизажистмосква#урокмакияжадлясебя#мастеркласспоприческам#обучениепомакияжубазавизажист#обучениенавизажиста#обучениевизажист#обучениевизажистмосква#inbeautmag#bebeautymood @inbeautmag @american_salon @bebeautymood @glamazonkw @modelmalay @makegirlz @makegirlz @makeupgalss @make.up.vines @makeup_clips @faceenvogue";1556827079;27;648573507;True;мастеркласспоприческам
Bw-Tr5IAki2;"Как Вы думаете, существует такое понятие, как математика красоты?

И хотя красоту невозможно свести к четкой формуле, ее можно понять, если взглянуть на нее как на систему из трех взаимодействующих элементов: удивление, правильность и элегантность.";1556828886;36;368506969;False;мастеркласспоприческам
Bw09h4Lgf3H;"Все мысли материальны....
С самого младенчества я мечтала стать парикмахером!!!
Девочка Света выросла и мечта исполнилась...
Повышение квалификации для меня было ростом именно себя и новой цели и мечты...
Я стала ТОП стилистом!!!!
Размышляя над своими целями в карьере я понимала что как бы я не была больна своей профессией, в зрелом возрасте придётся что то менять...
Не возможно быть креативной старушкой парикмахером,хотя.... время покажет!
Но...
Появилась тогда новая цель....
Преподавать....
Учить и вкладывать свои мысли в своих коллег!
На сегодняшний день я даю мастер класс по макияжу...
Уже были собранные 3 группы....
Сегодня я преподаватель причёсок!!!! Размышляйте, мечтайте и все получится!!!
С уважением, ваша Шумеева💞

#шумеевасветлана #стилистжелезнодорожный #стилист #обучениеприческам #преподаватель #мастеркласспоприческам @svetlana_shumeeva";1556515279;91;4151948148;False;мастеркласспоприческам
Bw0u5eRlsT4;"УХОД ЗА ВОЛОСАМИ👏🏻
⠀
Делюсь с вами прекрасными средствами по уходу за волоами🙌🏻 Цена у них приемлема, не всегда супер дорогие средства бывают качественные. 
И конечно же каждый продукт индивидуален, кому то понравиться кому то, мы все разные 🌟
⠀
Ollin Perfect Hair 🍹
15 в 1 Несмываемый крем спрей
Мультифункциональный несмываемый продукт для всех типов волос, заменяющий целый ряд привычных средств по уходу за волосами и их укладке. 
Не утяжеляет волосы. 
Лёгкость, быстрота в применении и максимальный эффект при минимальных усилиях.
После применения они мгновенно получают необходимый уход, питание и глянцевый блеск по всей длине. ⠀
⠀
Мед для волос Ollin Perfect Hair Honey🍯 – это инновационный ухаживающе-стайлинговый продукт, позволяющий превратить укладку самых «трудных» и непослушных волос в комфортный и быстрый процесс.  Помогает сделать волосы послушными и гладкими, снять эффект статики и излишнюю нежелательную пушистость, защитить от негатива высоких температур во время укладки с помощью фена/плойки. Подходит для тех у кого сильно путаются волосы. ⠀
⠀
P.S так же эти средства я использую по уходу на манекен-головой и волосы у них хорошие 🙌🏻
⠀
Ставим ❤️и сохраняем";1556507608;247;762956293;False;мастеркласспоприческам
Bw13IeGgGah;"🙎‍♂️Детская креативная стрижка 🙇‍♀️мастер :Екатерина 😃Спешите записаться ❗️ 📲8️⃣9️⃣2️⃣7️⃣5️⃣6️⃣6️⃣0️⃣1️⃣0️⃣0️⃣📲 Салон красоты ""Семейная"" находиться по  ул.Жилая,11 💢Ждём Вас с нетерпением 💢
#salonfamily30#ast бабаевскогоастрахань #випастрахань #стрижки#ногтеваястудия#астрахань #selfiastrakhan#nails #astranails #shellak #nogti #lashmaker #lashmakerastra#lashmakerastra #nogti #пафия #salonfamily #прикорневойобъем#nogti #пафия #salonfamily #прикорневойобъем#ногтеваястудия #мастеркласспоприческам #salonfamily #окрашианиеблондинок #окрашиание";1556545480;28;9050212147;False;мастеркласспоприческам
