post_id;text;date;likes;owner_id;is_video;by_tag
Bp49NLIBggp;"#ГАРДЕРОБУСПЕШНОЙЖЕНЩИНЫ
Спасибо большое всем пришедшим сегодня на мой МК в @elegantsamara
Так рада нашему общению и тому, что все собранные луки нашли позитивный отклик у вас! Успешная и стильная всегда и везде!
Три кита женской жизни:
🌓быть любимой и любить (партнер/муж)
🌕быть реализованной как женщина (рождение и воспитание детей)
🌓найти свою профессию, быть реализованной в бизнесе.
Командировки, прогулки, деловые встречи, публичные выступления, корпоративы, выходы в свет...Тот немалый набор мероприятий, к которому современная женщина должна быть готова!
Мы обыграли несколько. Представляю вам @nelly.danelyants
Какой образ кажется вам наиболее удачный или просто нравится больше всего 1, 2 или 3?
____________________
#стилисттрифонова
#мастеркласспостилю#мастеркласс#деловыегардеробы#стильнакаждыйдень#style";1541616942;83;5522664787;False;мастеркласспостилю
Bp4iqb_F5jm;"Мы организуем встречу со стилистом!👜🧤🛍 @dressbar_project совместно с @nikolaeva_image представляют, а Коламбия Пикчерз не представляет🙀☝😂.
.
Тема: ""Модный трендовый гардероб осень-зима 2018/2019""🍁❄.
.
Хотите начать НОВУЮ жизнь с НОВОГО года? У Вас есть такая возможность, и очень скоро Вы её реализуете😏.
.
Уже в следующий четверг мы расскажем про все тренды, раскроем секреты необходимости покупки тех или иных вещей и их правильное сочетание друг с другом😊.
.
Выглядеть стильно и модно, потратив при этом всего 50 тысяч рублей, собрав полный базовый гардероб из трендовых вещей зима/осень включая обувь, верхнюю одежду и аксессуары - отныне это реальность🙀.
.
Стилист будет лично общаться с каждым и при этом Вы будете не просто слушателями, а активными участниками обсуждения, ни один Ваш вопрос не останется без ответа, внимания и детального разбора👀.
.
Уверены, что Вы уйдёте с новыми идеями! Дайте шанс зимним вещам стать яркими здесь и сейчас... В Новый Год с новым имиджем👗👠. .
Мастер-класс будет проходить в пространстве @dressbarmoscow - костюмерная, которая вот уже 10 лет радует Вас своими нарядами на любые тематические вечеринки 🎉 💃🏻♥️.
.
Дата проведения: 15 ноября в 19.00.
Стоимость 1000 рублей.
Регистрация на мастер-класс, производится после внесения оплаты на карту сбербанка💳.
⚠Количество участников ограничено☝️ всего 10 мест!
⚠Участвуй в конкурсе и приходи к нам БЕСПЛАТНО💯! Правила читай в следующем посте! 🔸Встречаемся в @dressbarmoscow на Преображенской площади, не забудь взять с собой хорошее настроение ☺🌸. #девичник#девичникимосква#девочкитакиедевочки#мастеркласс#модныетренды#мастеркласспостилю#скоросвадьба#праздник#красота#жизньпрекрасна#фотодень#фотосессия#вечеринка#подарок#костюмнапрокат#костюмернаямосква#тематическийвечер#мастеркласс#бесплатныймастеркласс#конкурс#розыгрыш#подарок";1541603026;16;426323889;False;мастеркласспостилю
Bp4oWRyHeBg;"Вы просили, мы сделали!
.
Теперь у Вас есть возможность  своими глазами посмотреть как проходят занятия курса ""Персональный стилист"", задать любые вопросы и узнать много нового о моде и стиле!
.
22 ноября приглашаем всех желающих на пробное занятие курса ""Персональный стилист"" в форме мастер класса от @aleksandra_morgun.
.
Стоимость 3х часового занятия 350 грн.
.
Количество мест ограниченно. Записывайтесь заранее по телефону 095-750-73-35 или в Директ 🌺
.
#msg_agency #milanoshoppinggroup #msg_курс #стилист #обучениестилю #обучениехарьков #курсыстилистов #мастеркласс #мастеркласспостилю #kharkov_beauty #kharkovgirls #kharkovgo";1541606006;25;4002972836;False;мастеркласспостилю
Bp5APKfgjq4;"Сегодня у нас в @elegantsamara прошёл мастер-класс « Гардероб успешной женщины»☺️
Делимся образами прекрасной модели @nelly.danelyants 😍
#ГАРДЕРОБУСПЕШНОЙЖЕНЩИНЫ
#РУБРИКАСТИЛИСТА
Три кита женской жизни:
🌓быть любимой и любить (партнер/муж)
🌕быть реализованной как женщина (рождение и воспитание детей)
🌓найти свою профессию, быть реализованной в бизнесе.
Командировки, прогулки, деловые встречи, публичные выступления, корпоративы, выходы в свет...Тот немалый набор мероприятий, к которому современная женщина должна быть готова!
Мы обыграли несколько. Какой образ кажется вам наиболее удачный или просто нравится больше всего 1, 2 или 3?
____________________
#стилисттрифонова
#мастеркласспостилю#мастеркласс#деловыегардеробы#стильнакаждыйдень#style
#самарашопинг #самараодежда #обувьсамара #самараNaumi #naumiсамара #naumi";1541618531;127;331087902;False;мастеркласспостилю
Bp683MZBHTd;"Дорогие девочки! ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀
Мы готовим для вас интереснейшие мастер-классы, фотосессии и девичники под ключ 🔑 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Уже в следующий четверг, пройдёт мастер-класс по стилю со специально приглашённым гостем, а кто это будет вы узнаете совсем скоро!☺️ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Если у Вас есть какие-то пожелания и предложения о том на какую тему вы бы ещё хотели мастер-классы, пишите и мы это реализуем!!👌 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
До скорых встреч! 😚🌸";1541683871;37;8977532491;False;мастеркласспостилю
Bp6ADQ6F4-G;"#backstage 
Детская Сибирская неделя Моды 
@fk.models 
@sinar_ru @trend_fishka2018 @olga_galitsina.go_millinery 
Фотограф @kozlovnsk 
#шляпыновосибирск #мастеркласспостилю #детимодели #fashionweek #fashionkids #hat #hats #шляпымосква #шляпыизфетра #шляпыизвелюра #кепи #картузы";1541651988;76;2212043317;False;мастеркласспостилю
Bp6_5lyAfie;"Как сформировать свой базовый гардероб и внедрить в него тренды сезона? Легко! Приглашаем вас на первый Мастер-класс от @manifistel_butik ""Ланч на стиле"" уже в следующий четверг - 15 ноября!
⠀
Что вас ждет?
✅Уютная атмосфера итальянского ресторана ""Перец и мята"" @perezmyata.
✅Фуршет от шеф-повара.
✅Мастер-класс с известным стилистом Катей Гуссе @katya_gousset , на котором вы узнаете:
⠀
- Как правильно составить базовый гардероб
- Как с помощью одной трендовой вещи сделать из базового лука новый образ.
🛍А так же: все новинки от @manifistel_butik , которые вы сможете приобрести по ценам ниже чем в бутиках Европы.
⠀
✅Фотосессия и съемки рекламного ролика, в котором вы в главной роли.
✅Розыгрыш подарков.

Приходите знакомиться с нами и нашими друзьями поближе😉:
📆15 ноября в 16.00.
📍Ресторан ""Перец и мята"". Ул Академика Пилюгина 4.
⠀
💰Стоимость участия 3500 руб.
🎁Первые 10 мест по специальной цене всего 2500 руб.
⠀
❗️Внимание! Количество мест ограничено! Не упустите шанс провести время в отличной компании, получить консультацию от первоклассного стилиста, приобрести новые знакомства, брендовые вещи по супер цене и шикарный фотоконтент для Инстаграм.
⠀
📝Запись через директ и WhatsApp +7 916 561 38 38 (активная ссылка в шапке профиля).";1541685463;58;7273268575;False;мастеркласспостилю
Bp6imGCAfTb;"Случается, что смотрите в зеркало и возникает чувство, что что-то не так в вашем образе?
Вроде бы крутые ботильоны, стильная юбка и верха не менее эффектные и, даже дорогие вполне, но как-то все не .....
Сразу в голове мысли, какая-то я не такая, не смотрится на мне ничего, зря деньги потратила и т.д.. Порой девушки действительно не видят, что некоторые вещи ими поданы неправильно, ломают фигуру.
Например, самая распространённая проблема - как ботильоны могут укоротить ваши ноги и даже сделать щиколотки толще.  Что же, не покупать их и вовсе?

Откроем  маленькие секретики:
- во-первых, на светлых колготках тёмные, а иногда и угольно чёрные ботильоны, сразу укорачивают  длину ног на высоту голенища, да и ещё дробят силуэт на части. Конечно, если длина ваших ног, как у моделей- от 110 см, а рост от 175, то вам пофиг, ничего уже не испортит.
А если нет?

Правило: одеваем колготки близкого цвета с ботильонами( чёрные, графитовые), оптически граница голенища и ноги не видна, нога становится длиннее. Если ещё добавить юбку правильной длины ( выше колен-если форма ног хороша, по колено и ниже всем остальным), или ботильоны с джинсами не контрастными по цвету. С юбкой миди возможно и без колготок в тон ботинкам, если проглядывается малая область голых ног между краем юбки и голенищем обуви.
Наши студенты - будущие Стилисты, изучают композицию основательно.

Хотите и вы узнать больше фишек и секретов стильного гардероба и как использовать тренды под себя?

Модный интенсив «Сама себе Стилист» создан ииенно для вас, чтобы помочь стать ещё более стильными и красивыми.
Длительность 5 недель, 5 дней )по выходным), по 3 часа.
Стоимость 10000₽. Присоединиться можно и онлайн!
Будем играть с одеждой и аксессуарами, изучать основы и фигуры, учиться адаптировать модные тренды в свой образ.
Старт в ноябре.
——————————————
Запись на курс в Direct группы или по тел.89114634106.
Оформление по предоплате-авансовый платёж.

PSFA fashion academy- Учим делать Моду http://psfa.academy/";1541670099;15;2982528097;False;мастеркласспостилю
Bp6pubhF_ML;"Получить бесплатное посещение мастер-класса от @dressbar_project  легко!🙏♥️ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Что для этого нужно сделать? Запоминай!☝️👀
⠀
⚠️Тебе нужно быть подписанной на аккаунты:
🔹️ Девичники @dressbar_project💃🏻💖
Стилист @nikolaeva_image👜🛍
🔹️ Костюмерная @dressbarmoscow👗👠
🔹️ Организаторы: @aikyadeshi и @julijazajceva⠀⠀⠀⠀⠀⠀⠀⠀
⚠️Поставить лайк под этим постом♥️⠀⠀⠀⠀⠀⠀⠀⠀⠀
⚠️Отметить в комментариях под этим постом двух своих подруг👭 выкладывай нашу публикацию у себя в сторис☝️и отмечай дополнительно бесконечное количество подруг, чем увеличиваешь свой шанс на победу!
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⚠️12 ноября в понедельник, мы разыграем бесплатный💯 билет на наш Мастер-Класс!
Будьте активнее и пусть повезет именно Вам! Удачи!🙏😍😍. #девичник#девичникимосква#девочкитакиедевочки#мастеркласс#модныетренды#мастеркласспостилю#скоросвадьба#праздник#красота#жизньпрекрасна#фотодень#фотосессия#вечеринка#подарок#костюмнапрокат#костюмернаямосква#тематическийвечер#мастеркласс#бесплатныймастеркласс#конкурс#розыгрыш#подарок";1541673837;22;426323889;False;мастеркласспостилю
Bp7HOaJh8I8;"Хочешь устроить необычный девичник🎉? ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Тогда выбери в качестве тематики девичника стиль Pin up (Пинап) — идеальный для ярких и зажигательных девушек💃🏻. ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀
Когда, как не в последние дни холостой жизни, можно смело примерить на себя образ Pin-up girl и хорошенько повеселиться с подругами😁🤩?! Самое важное на девичнике в стиле Пинап — наряд и прическа невесты и ее подруг. Важно, чтобы ваши образы соответствовали стилю Pin-up.

Кстати, девичник можно совместить и с фотосессией📸. ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Так как же создать образ Pin-up girl? 
Чтобы сделать свой образ максимально соответствующим стилю пинап, выберите хотя бы несколько характерных деталей:⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🔸прическа в стиле ретро
🔸цветок или лента в волосах
🔸стрелки на глазах
🔸яркая красная помада
🔸корсет или декольте
🔸пышная юбка
🔸ретро сумочка
🔸чулки
🔸яркие туфли на высоком каблуке

И тогда ваш образ будет бомбическим!) А чтобы не тратить на поиски необходимых вещей много времени и сил, наши стилисты помогут подобрать образы для Вас и ваших подруг в нашей костюмерной, где на всех хватит👗👠!) ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Нравятся наши советы? Ставь плюс в комментариях и мы напишем про другие образы ☺️👌 #полезныесоветыdressbar";1541689304;210;8977532491;False;мастеркласспостилю
