post_id;text;date;likes;owner_id;is_video;by_tag
Bs7O0HijyPx;"Если очень хочется сделать композицию,но нигде не учился, всегда можно довериться природе. 🌷Так,на этом уроке нам захотелось вспомнить лето☀️И усыпанный ракушками берег🐚. А чтобы расположить их на бокале,надо просто налить в него воды,а потом наклонить. И вода сама подскажет вам форму 🌊😊
Теплых вам воспоминаний!🌻
____________________________________
#новосибирск#букетыназаказ#красивыебукеты#цветылюбимым#курсыдлядетей#детскаяшколафлористики#красивыеподелки#мастеркласспофлористике#красотавмире#флорариум#рукодельницы#красивыйдом#хэндмэйд#мироваяфлористика#праздничныйдекор#подарки#праздник#детскиймастерклас#деньрождения#новыйгод2018#декорручнойработы#дети";1548135734;61;6078840825;False;мастеркласспофлористике
Bt566hrl0cT;"Сухие веточки #эвкалипт.
Есть двух видов серебристый и с длинными, тонкими листиками. На фото высушенный, свежий, сбор этого года, можем отправить вам и свежий если нужно)
🌿 Все наши сухоцветы по тегу #dikoflora_сухоцветы, а веточки по тегу #dikoflora_дерево
----------------------------
🌿 Серебристый - 10-20 см - 10 шт - 100 р
🌿 Длиннолистный - 20-50 см - 10 шт - 100 р
🌿 Веточка с семёнами 1 шт - 25 р
🌿 Отправка почтой или транспортной компанией
🌿 Собираем посылочки от 500 р
🌿 Удобно выбрать и купить можно в магазине на Ярмарке Мастеров, ссылка в профиле";1550239230;24;10950257616;False;мастеркласспофлористике
BtWbTEkBxHp;"Сезон пионов и гортензий открыт...
⠀
Стоимость данного букета 3000₽
___________________________________________
🌿Заказ📩  и доставка🛵 в директ
✅WApp🔹Viber↗️Telegram
⤴️ссылка в шапке профиля
📲 +7 (900) 633-86-36
⠀
🚀Доставка: Спб, Пушкин, Павловск, Славянка, Шушары, Колпино, Купчино
____________________________________________";1549048248;7;10885232601;False;мастеркласспофлористике
Bu-2C4mHuN-;"Благородство. Оно свойственно не только людям, но и в полной мере цветам) И что интересно, цветы умеют им делиться) Бывает так, что малозначимые цветы, в сочетании с парой королевских особ, создают такую гармоничную композицию, в которой и паж имеет вид вельможи))
#futurum_bouquet
_____________________________________________
Для заказа самого необычного букета в городе, просто позвоните нам!
☎ +7(495)532-02-06
Или напишите в Direct, WhatsApp или Viber
📲 +7(926)497-90-79
🚚 💨 Доставим ваш заказ по Москве и области.
А ещё Вы можете прийти в нашу студию по адресу:
г. Мытищи, ул. Лётная, д.21, ЖК Квартал 9/18 и получить ароматный зерновой кофе в подарок к вашему заказу 😉
_____________________________________________";1552551932;146;7462913970;False;мастеркласспофлористике
Bu-lhnUBFZL;"Милая коробочка в форме сердца с кустовой розой. Сделаем и для вас) любые цвета, любое наполнение! Круглосуточная доставка!
#цветыкраснодар
#краснодардоставка
#цветыдоставка
#101розакраснодар
#крд
#розывкраснодаре
#101роза
#цветывкоробках
#свежиецветы
#мастеркласссдетьми #мастеркласспофлористике #liberte_decor_мастерклассы #букеткраснодар #букетневестыкраснодар #сладкиебукеты #заказатьсладкийбукет";1552543271;6;9171839737;False;мастеркласспофлористике
Bu-tLNGlVLx;"Курс НАЧИНАЮЩИЙ КОНДИТЕР
‼️Запись открыта‼️
Это:
✔5 прекрасных дней в компании единомышленников ( по субботам в мае-июне)
✔Интересная программа
✔Понятная форма подачи информации, домашние задания и возможность разбора ошибок и вопросов на следующем занятии с преподавателем ✔ Возможность посещения как полностью всего курса так и каждого занятия отдельно

Программа курса:
Занятие 1. (11 мая)
✔Маффины и капкейки! Рецептура, выпечка, начинка, декорирование! ✔Любимые сладости: зефир, маршмеллоу, конфеты Птичье молоко!!! ✔Десерт МАКАРОН и 3 вида крема к ним!!! Занятие 2. (25 мая)
✔ПЯТЬ лучших бисквитов!
Шифоновый, Супер шоколадный, Красный бархат, Кокосовый, Фисташковый!!! ✔Лучшие крема для сборки и выравнивания тортов!!! ✔Ганаши, карамель, курды, желейные прослойки в торты!!!! Занятие 3. (1 июня)
✔Сборка тортов!!! ✔Идеальное выравнивание тортов ✔Каждый учасник соберет, выровняет свой торт и заберет его домой радовать своих родных!!! Занятие 4. Идеальные эклеры (8 июня)
✔Заварное тесто: шу, шукеты, эклеры, гужеры ✔Лучшие крема и глазури для Эклеров и Шу

Занятие 5. (15 июня)
✔Песочное тесто: Сладкие и солёные Тарты ✔ТРИ вида рулета : Красный бархат, Шоколадный, Меренговый

Кроме всего этого, мы отдельно изучим разные виды декора, темперирование шоколада, работа с изомальтом и карамелью!!! Ждем Вас по адресу:Киев метро🚇 Академгородок Ул.Ефремова 19а
подробности по тел ☎ 0502341778. ☎0635917217 Viber, WhatsApp.
Для брони места предоплата 1500 грн на карту или в одном из наших магазинов zolotoytrufel.com наличными. #курсыкондитера #курсыкиев #кондитерскиекурсы #кондитерскиймагазин #кондитеркиев #мастеркласспофлористике";1552547282;52;1675142296;False;мастеркласспофлористике
Bu03MxknqIY;"Миновал рубеж наших мечтаний о весне) Весна пришла и теперь все наши мысли устремляются к тёплому лету)) А если вам не хватило весенней романтики, в  студии FUTURUM вас ждёт специальное, очень вкусное предложение по тюльпанам 😉 Стоимость 1 тюльпана 35₽ при покупке от 30 штук. А на фото букет из 51 пионовидного тюльпана за 1950₽😍
#futurum_bouquet #futurum_flowers
_____________________________________________
Для заказа вкусного букета из тюльпанов, просто позвоните нам!
☎ +7(495)532-02-06
Или напишите в Direct, WhatsApp или Viber
📲 +7(926)497-90-79
🚚 💨 Доставим ваш заказ по Москве и области.
А ещё Вы можете прийти в нашу студию по адресу:
г. Мытищи, ул. Лётная, д.21, ЖК Квартал 9/18 и получить ароматный зерновой кофе в подарок к вашему заказу 😉
_____________________________________________";1552216993;115;7462913970;False;мастеркласспофлористике
Bu0v9KnjIbg;"Ещё один вариант расцветки гортензии, которую мы будем делать на мастер-классе🌸
Такая нежно-розовая в небольшую крапинку💖
А я продолжаю лепить различные варианты😉";1552213196;326;269579268;False;мастеркласспофлористике
Bu1bn5hHlBa;"Базовый курс ""Основы флористики"" для начинающих, а также для тех, кто работает с цветами или в свадебном оформлении без образования по флористике. ⠀
⠀
Расписание:⠀
15-21 марта Ставрополь⠀⠀
20-26 марта Краснодар⠀⠀
24-30 марта Москва⠀⠀
2-8 апреля Краснодар⠀⠀
20-26 апреля Краснодар ⠀⠀
2-8 мая Краснодар⠀⠀
20-26 мая Санкт-Петербург⠀⠀
20-26 мая Краснодар⠀⠀
Дальше расписание по филиалам смотри в сториз 👌🏻⠀
⠀
🌟Во время обучения за 7 дней вы научитесь самостоятельно делать все виды коммерческих Букетов на витрину в упаковке и без, на конструкции и параллельный - в том числе и Свадебный букет!⠀
⠀
🌟Научитесь создавать композиции из живых цветов на флористической губке, аквапаке, с пробирками, в кашпо, шляпной коробке.⠀
⠀
🌟Сможете самостоятельно делать дизайнерскую упаковку подарков. Создавать преложения для оформления отелей, ресепшн, ресторанов. ⠀
⠀
🌟Научитесь основам свадебного оформления - гостевые композиции, президиум, свадебные аксессуары.⠀
⠀
🌟Узнаете как правильно ухаживать за цветами, выставлять грамотно витрину, делать калькуляцию букета. ⠀
⠀
🌟Вам дадут всю теоретическую основу - как правильно создаются композиции, по каким законам пропорций, цветового круга и тд. ⠀
⠀
⭐️Вы получите основу продаж и сервиса в цветочном магазине. А также научитесь правильно вести Инстаграм без накруток!⠀
⠀
🌟За семь полных дней с 10 до 18 часов вы освоите все знания для того, чтобы работать флористом или помощником. ⠀
⠀
🌟После курса вы можете устраиваться работать с международным сертификатом в любой бутик, к тому же вы получите рекомендации для трудоустройства, а также сможете грамотно руководить своим цветочным магазином или профессионально работать декоратором.⠀
⠀
🎁Запишись прямо сейчас по телефону и получи дополнительные бонусы и подарки 8918-312-35-15⠀
#bazinflowerschool #базовыйкурс_bfs";1552236090;319;1222809893;False;мастеркласспофлористике
Bu2E_qyluMF;"""И древо жизни посреди рая..."" так называется выставка, где представлено искусство вырезания из бумаги. Москва, ул. Тверская, 15. До 14 марта. Если приедите, то звоните администратору 8 985 060 26 00.🌳🌳
#ландшафтныйдизайн#дача#участок#проектучастка#планучастка#сад#садовник#дача#флорист#флористика#фитодизайн#творчество#творчествосдетьми#мастеркласспофлористике#цветы#букет#клумба#картиныизсухихцветов#москва#россия#flower#landscape#green#nature#naturelovers#garden#florist#plants#flowerlovers#fitodesign#рейзеле";1552257781;59;2867160243;False;мастеркласспофлористике
