post_id;text;date;likes;owner_id;is_video;by_tag
BD0TtMbDqfx;"Оникс очень любит цветы (особенно на вкус), всяческие флористические штучки и не пропускает ни одного из наших флористических курсов @ledentsovaflowers. Этот усатый зверь уже ждет-не дождется наших цветочных выходных 23 и 24 апреля, чтобы все понюхать, пожевать и традиционно собрать комплименты от всех присутствующих.

Кстати, кто хочет познакомиться с нашей командой, постичь основы флористики, наколдовать своими руками (да, да, работа с живыми цветами - это настоящее волшебство!) под чутким руководством талантливой @trifonovanna,  руководителем студии @verynicedecor, роскошный букет невесты, бутоньерку жениха, венок и браслет, почесать пушистого зверя за ушком, у нас есть последнее местечко на курсы! Много учениц, как обычно, брать не будем, в наших группах не более 6-7 человек, так как качество, индивидуальный подход и ваш комфорт для нас превыше всего!

Записаться на курсы можно:
- в комментариях,
- в Директ,
- по телефону +7 906 227 11 44.
#котик_оникс";1459856588;135;347990936;False;мастеркласспофлористикеспб
BEjIosNDqSj;"Где я сегодня? Ну, конечно, на работе! 
Наслаждаюсь ароматом свежих цветов и довольным видом наших учениц. Первый день курсов флористики подходит к концу. Сегодня девочки научились делать венки, а завтра будут собирать букеты. 
Если работа не приносит вам удовольствие, срочно её меняйте!
P.S. Оникс испугался большой группы и спрятался в офисе под диваном (позорит маму), поэтому на фото не попал.";1461427842;88;347990936;False;мастеркласспофлористикеспб
BEl4GjfTDFG;"Всем привет! Раньше мы рассказывали о наших цветочных занятиях на страничке агентcтва @ledentsovawedding, но теперь мы решили завести для наших курсов флористики отдельный аккаунт. Здесь мы будем делиться флористическими секретами, вдохновлять, делать анонсы новых занятий и рассказывать об успехах наших учеников, которых с 2013 года набралось уже очень много. Не переключайтесь!
Фото @cheremisinstudio";1461519837;28;3166284875;False;мастеркласспофлористикеспб
BEl6NDWjqZd;"Немного о сегодняшнем дне или мы веселились, как могли 😁
Цветочные выходные пролетели, как один миг,  и оставили после себя очень приятные воспоминания! Спасибо нашему преподавателю несравненной @trifonovanna за то, что поделилась знаниями и уделила внимание каждому, и фотографу @lopyreva.ksenia за то, что была с нами оба дня, и сделала фотоотчет с занятий, который мы все очень ждем!
А еще для курсов флористики у нас теперь есть отдельный аккаунт @ledentsovaflowers, записаться на занятия можно там же. Кстати, в майской группе почти не осталось мест, запись ведем уже на июнь.";1461520939;116;347990936;True;мастеркласспофлористикеспб
BEoFqzGTDFo;"На головах венки, в головах новые знания, в воздухе аромат свежих цветов - так прошел первый день курсов флористики «для начинающих» в эти выходные. 
За фото спасибо  @lopyreva.ksenia";1461594059;22;3166284875;False;мастеркласспофлористикеспб
BEonce2TDDP;А фотографии с курсов свадебной флористики, которые состоялись в прошедший уикенд, уже ждут ваших лайков и репостов в нашей группе ВК (активная ссылка в профиле). Спасибо @lopyreva.ksenia за чудесные снимки.;1461611767;27;3166284875;False;мастеркласспофлористикеспб
BEqXYYnzDKa;"Мы точно знаем, что теперь эти милые девушки будут дарить своим родным и близким только букеты, созданные своими руками.
Фото @lopyreva.ksenia";1461670454;24;3166284875;False;мастеркласспофлористикеспб
BEtbG1-zDDJ;"А вы знаете, что даже срезанные тюльпаны продолжают расти в воде? Обязательно учитывайте этот факт, составляя букет или композицию, иначе буквально через пару дней первоначальный дизайн будет нарушен и тюльпаны ""выглянут"" из общей массы цветов на несколько сантиметров.
Чтобы сохранить форму вашего флористического творения с тюльпанами, изначально ставьте их в букете или композ ции чуть глубже, чем остальные цветы. 
Еще больше полезной и интересной информации по флористике вы можете узнать на наших курсах. 
Даты ближайших занятий:
🌿 04-05.06 (сб и вс) для начинающих 🌿 21-22.05 (сб и вс) для продолжающих 
Записаться на занятия можно, оставив свое имя и контактный телефон, в комментариях или в Директ.
Фото @lopyreva.ksenia 
#ledentsovaflowers_советы";1461773071;28;3166284875;False;мастеркласспофлористикеспб
BEtvl_MTDEF;"Знакомьтесь, это котик Оникс. Не пропускает ни одного цветочного занятия и без труда отличит анемоны от ранункулюсов, а рускус от эвкалипта (причем на вкус 😂). Дома он настоящий бандит, но на занятиях ведет себя гораздо скромнее. А когда у Оникса хорошее настроение, даже разрешает ученикам сделать фоточку со своей мордашкой. 
Фото @lopyreva.ksenia
#котиконикс";1461783811;35;3166284875;False;мастеркласспофлористикеспб
BEwZLuazDPF;"На наших курсах свадебной флористики мы проводим обучение в мини - группах по 5-6 чел. по двум программам.
Программа «для начинающих» идеально подходит для тех, кто только хочет научиться работать с цветами. 
Программа «для продолжающих», создана для тех, кто уже имеет начальные навыки, но хочет развиваться и совершенствовать свои умения.

Подробнее о программе курсов «для начинающих».
📚 Теория📚
- Обзор существующих стилей и новых тенденций во флористике
- Особенности закупки, транспортировки, хранения и подготовки к работе цветов
- Профессиональные инструменты флориста
🌷Практика на живых цветах🌷
- Отработка составления букета по спирали, практика на букете из 30-50 цветов
- Букет невесты
- Бутоньерка для жениха
- Браслет для подружки невесты
- Венок

А кроме того, после окончания занятий:
- вы заберете с собой созданные своими руками работы,
- вы получите диплом об окончании курсов.
✏ Ближайшие даты: 4 и 5 июня 2016 (сб и вс).
✏ Место проведения: СПб, ул. Дибуновская, д. 50, оф. 217 
Для тех, кто едет на метро, мы удобно находимся в 7 минутах неспешной ходьбы от с. м. ""Старая деревня"".
Для тех, кто едет на машине, у нашего офиса есть удобная парковка.
✏ Время проведения: 12:00 – 18:00
✏ Стоимость обучения: 12 500 руб. (включая все цветы и материалы)
📌Традиционно мы приготовили для вас приятные скидки:
- 10% скидка на при единовременной оплате курса «для начинающих» и «для продолжающих»
- 10% скидка, если вы привели с собой подругу/сестру/маму
Скидки не суммируются!

С программой курсов «для продолжающих» мы познакомим вас в следующем посте. 
Записаться на занятия можно, оставив свое имя и контактный телефон в Директ или комментариях.

Фото @shaporrodion";1461872725;20;3166284875;False;мастеркласспофлористикеспб
BEyRtp1TDAg;"Сегодня, как и обещали, познакомим вас с программой курсов «для продолжающих». Курс вулючает в себя:
- разработку концепции и создание эскиза оформления - созлание цветочной композиции на стол гостей
- создание цветочной композиции на стол молодоженов
- оформление свадебной арки

А кроме того, после окончания занятий:
- вы заберете с собой созданные своими руками работы,
- вы получите диплом об окончании курсов. ✏Ближайшие даты: 18 и 19 июня 2016 (сб и вс)
✏Место проведения: СПб, ул. Дибуновская, д. 50, оф. 217 
Для тех, кто едет на метро, мы удобно находимся в 7 минутах неспешной ходьбы от с. м. ""Старая деревня"".
Для тех, кто едет на машине, у нашего офиса есть удобная парковка.
✏Время проведения: 12:00 – 18:00
✏Стоимость обучения: 12 500 руб. (включая все цветы и материалы)
📌Традиционно мы приготовили для вас приятные скидки:
- 10% скидка на при единовременной оплате курса «для начинающих» и «для продолжающих»
- 10% скидка, если вы привели с собой подругу/сестру/маму
Скидки не суммируются!

Записаться на занятия вы можете, оставив свое имя и контактный телефон в Директ или комментариях.";1461935918;16;3166284875;False;мастеркласспофлористикеспб
BF0bHeqzDIq;"Сложный,  но в тоже время очень увлекательный процесс монтажа композиций на свадебную арку, который обычно остаётся за кадром.

Если вы тоже хотите научиться работать с цветами и получать эстетическое удовольствие от своей работы каждый день, скорее записывайтесь на наши занятия:
🌿 18-19.06 Основы флористики ""для начинающих""
🌿 25-26.06 Все об оформлении свадебного банкета ""для продолжающих""

Записаться на занятия можно, оставив свое имя и контактный телефон в комментариях или в Директ.
Фото @sichkar_alexey";1464155440;25;3166284875;False;мастеркласспофлористикеспб
