post_id;text;date;likes;owner_id;is_video;by_tag
BlTYBu7lDzK;"Коллеги фотографы! Приглашаем вас 6-7 октября 2018 года в Таллине на обучение по съемке новорожденных деток с преподавателем @olesyakovalchuk_ Мастер класс рассчитан на тех фотографов, которые только начинают или собираются снимать новорождённых малышей.

В 2х дневном мастер классе мы будем снимать малышей, в студии побывают 4 малыша. 
в первую очередь я расскажу, как важна безопасность и гигиенические аспекты данного вида съемки. 
Мы будем работать с импульсным светом! 
Научимся снимать в формате JPEG!!!!! За 2 дня у вас будет возможность сделать много красивых кадров, которыми вы сможете пополнить свое портфолио. 
Я ПОДРОБНО РАССКАЖУ, как готовить локации для съемки малышей на бин-бэге, в корзинках, бадеечках, как пользоваться позировочной миской и за чем нужны бобы. 
Мой мастер класс это не реализация моих творческих задумок, а четкая инструкция как снимать малышей от А до Я.

Напоминаем, что количество участников всего 12 человек ☝️
Не упустите возможность получить новые знания 🌟
Регистрируйся сейчас! 
Напиши письмо на емайл jbasarenko@gmail.com ✉ 
Укажи в письме следующие данные : ▫Ваше имя и фамилия ▫Контактный номер ☝Убедительная просьба указать тему письма MK Olesja Kovatsjuk
#мастеркласспофотографии #обучениефотографов #съемкановорожденных #newbornphotography #newborntallinn #обучение #мк";1531766001;153;2091652859;False;мастеркласспофотографии
Bn--EXjA6At;"Про обработку 👩🏽‍🎨. ______________________________________________________
Возможно вы заметили, что я люблю теплые цвета ☀️. если кто-то не разбирается- это когда фотография уходит больше в «желтые»(грубо говоря) тона, чем в холодные, синеватые или зеленые. На эту тему многое могу рассказать, но слишком долго😏🧡
_____________________________________________
Так вот. Я не фанат жестких обработок : где бесконечно много ретуши и фотошопа или когда от исходного кадра не остается ничего (все перерисовано , перекрашено. так делают обычно новички в надежде , что получится шедевр). Но при этом я не против него. Пользуюсь. в меру☝🏼. Иногда ведь кадр требует что-то с него «стереть», выровнить, похудить, подтянуть или напротив добавить объемов. Главное правило для меня : не испортить, а подчеркнуть красоту.  я за естественность 😌 при этом перфекционизм иногда может заставить меня убирать один волосок с лица минут 20😂 Но я трепетно отношусь к исходным данным и оч важно сохранить пропорции, линии, необходимые морщинки мимики лица и т. п. )) _______________________________________________
И самое любимое это цветовые/ световые схемы🎨. У кадра есть атмосфера (почти всегда). Я кайфую, когда кручу всякие ползуночки. Т. к. иногда из светлой фотографии, я делаю более темную, приглушенную, чтобы добавить больше «интимности» (когда не было возможности в живую создать так). или напротив могу сделать кадры посветлее, свежее и ярче. Зависит от настроения кадра, темы и идеи 🌿. _______________________________________________
Это фото не лучший пример для данной темы. т. к. здесь все лайтово и естественно 😌 Люблю пастель и чуть монохромчика. чтобы без пересветов и диких цветов. Надеюсь вам было чуть интересно это😄. Если есть вопросы- с радостью отвечу 🌷";1537523753;181;2190277781;False;мастеркласспофотографии
Bn0-OcchsM6;"27 сентября в 19:00 приглашаем на бесплатный мастер-класс по фотографии ""Репортажная фотография"".
Репортажное фото – это движение. Даже статичные его участники пронизаны динамикой и наполнены стремлением. Как удается это передать мастерам фоторепортажа? 
У репортажной фотосъемки есть одна ограничивающая особенность – фоторепортеру приходится использовать те условия, которые имеются, и в этих условиях создать динамичный, интересный зрителю снимок. Задача фоторепортера – вовремя заметить или предугадать интересный кадр, среагировать на него нажатием кнопки; притом сделать это грамотно, учитывая фоновое и световое окружение, не забывая о композиции. И тогда рождается репортажное фото, наполненное чувством и атмосферой события.
Возрастная аудитория от 14 до 30 лет включительно. Мастер-класс ведет руководитель фотостудии ЦМД Ирек Камалетдинов @irek2d . 
Записывайтесь в комментариях (имя, фамилия). Фотоаппарат на мастер-класс не обязателен. Можно захватить блокнот и ручку. 
#цмд #центрмолодежногодизайна #сургут #кудасходитьвсургуте #кудапойтивсургуте #мастеркласс #фотомастеркласс #мастеркласссургут #бесплатныймастеркласс #мастеркласспофотографии #фотоискусство #репортажнаяфотосъемка";1537188292;23;1474062609;False;мастеркласспофотографии
Bn0jAPEgOtf;"🗓23-24 сентября 🔴КРАСНОДАР 📷🖥 МК&WORKSHOP по фотографии с стиле LIFE STYLE ☀️фотограф-спикер Мила Каменева ©️FAMILY FOTO (@family_foto_ )
🌿WORKSHOP LIFE STYLE будет интересен всем кто хочет создать тёплые и красивые настоящие фотоистории На workshop будет 2 съёмки 🌿ПЕРВЫЙ ДЕНЬ практический посвящён фотосъемке и разбору : ✅колористики(гармоничному цветовому сочетанию и его влиянию на зрителя) ✅фотосъёмке love story и детской живой фотографии ✅индивидуальности пары- как подчеркнуть и создать неповторимую атмосферу ✅как создавать не постановочную серию ✅и многому другому 🌿ВТОРОЙ ДЕНЬ посвящён обработке фотографий ⚠️вы гарантировано подучите красивые и порфолийные карточки, зарядитесь творческим настроем и проведёте время в компании тех, кто как и вы любит красивую и живую фотографию ✅Запись и подробности в Директ @family_foto_ —————————- Фото Мила Каменева  @family_foto_  #workshopfamilyfoto #familyfoto #workshopfamilyfoto #workshop #воркшоп #фотошколамилыкаменевой #воркшопкраснодар #воркшопкрд #workshopкраснодар 
#workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколамосква #мкfamilyfoto
#обучениефотокраснодар #workshopfamilyfoto #workshopkrd #lovestory #workshopмосква #воркшопмосква #фотошколамск";1537174019;46;2322229476;False;мастеркласспофотографии
Bn15fxsFYTq;"Посетила мастер класс ""Модельные тесты"". Узнала много интересного и полезного для себя.
Огромное спасибо организаторам за такое занятие (@vilasinipria @vberlizev @shkolawood @tanyafake).⠀
Отдельное спасибо прекрасным моделям:⠀
@shuzolotova @v.e.h.a.e.v.a_m из @avantmodelsagency⠀
И визажиста: @tatiana.konopleva⠀

#модельныетесты_в_shkolawood  #place @wood_studios  #мастеркласспофотографии  #модельныетесты #однойступенькойвыше #модели #shkolawood";1537219367;113;2099266200;False;мастеркласспофотографии
Bn17DMZFMZp;"В это воскресенье посетила интересный мастер класс по Модельным тестам.
Огромное спасибо организаторам за такое занятие (@vilasinipria @vberlizev @shkolawood @tanyafake).⠀ ⠀ 
Конечно же не было бы снимков без прекрасных моделей:⠀
@shuzolotova @v.e.h.a.e.v.a_m из @avantmodelsagency⠀
И визажиста: @tatiana.konopleva⠀

#модельныетесты_в_shkolawood #place @wood_studios  #shkolawood #фотосессия #модельныетестыотменя #модельныетесты #наоднуступенькувыше #яфотограф #мастерклассы #мастеркласспофотографии #мастеркласспомодельнымтестам #мастеркласс #мастерклассфото";1537220181;39;2099266200;False;мастеркласспофотографии
Bn1cfV0gsXn;"Красивые фотографии - легко!!! 🍁🍂
📷 Курсы ""Основы фотографии"" в фотошколе PROфото
Стоимость всего 💥8000руб.💥
ТЕОРИЯ и много ПРАКТИКИ! Занятия как в студии, так и в полевых условиях!
По окончании выдается СЕРТИФИКАТ!
Преподаватель: фотограф Анна Заводчикова
Вопросы и запись по тел.: 54-12-24
или сообщением Вк.: vk.com/fotolife.anna

#фотошколаPROфотоЧереповец #курсыфотографииЧереповец #курсыфотоЧереповец #обучениефотографии #фотошкола #индивидуальныезанятияпофотографии #фотошоп #научитьсяфотографировать #фотошколачереповец #курсычереповец #фотосессии #мастеркласс #мастеркласспофотографии #фотопроект #фотопроектвсевключено #фотосессиячереповец #фотографчереповец #фотосессиявплатье #фотосессиянаприроде #фотопроектчереповец #красивыефотографии";1537204159;21;1814741047;False;мастеркласспофотографии
Bn3CTOzh8c2;Мария и Екатерина, 2018 #margoovcharenko #portraitphotography #workshop  #мастеркласспофотографии;1537257537;38;8124648590;False;мастеркласспофотографии
Bn3pfNxlyEh;"В это воскресенье посетила интересный мастер класс по Модельным тестам. Многое для себя узнала, на будущее. 
Огромное спасибо организаторам за такое занятие (@vilasinipria @vberlizev @shkolawood @tanyafake).⠀ ⠀ 
Конечно же не было бы снимков без прекрасных моделей:⠀
@shuzolotova @v.e.h.a.e.v.a_m из @avantmodelsagency⠀
И визажиста: @tatiana.konopleva⠀

#модельныетесты_в_shkolawood #place @wood_studios  #shkolawood #фотосессия #модельныетестыотменя #модельныетесты #наоднуступенькувыше #яфотограф #мастерклассы #мастеркласспофотографии #мастеркласспомодельнымтестам #мастеркласс #мастерклассфото";1537278082;42;2099266200;False;мастеркласспофотографии
Bn4KJF3Afch;"У меня уже в предвкушении чемоданное настроение! Куда я лечу? На этот раз в Ростов на Дону!  Когда то я даже там жила пару лет) но это было очень очень давно с 2001 по 2003 год🙈🙈🙈 Ох сколько же времени прошло!  Сколько ностальгии  с этим городом у меня😉😌 связано! Нус я в прекушении, Ростов встречай) ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
🌿22-23 сентября пройдёт мой мастер класс по сьемке новорожденных! Кто не успел скорей записываемся одно местечко у нас есть для вас👌🏻❤️
#мастеркласспофотографии #mkvedeneeva #newbornworkshop #photographerlosangeles #фотографсамара #photographermoscow #мойпервыйребенок";1537295203;1290;901624346;False;мастеркласспофотографии
Bn6NZ7LhVgg;"Многие фотографы спрашивали и хотели! И вот он уже близко... мой второй мастер-класс по студийному свету 📸 
Впервые! 
7 октября! 
10 часов практики работы с импульсным светом в очень классной студии. Я решила дополнить прошлую программу более интересными сюжетами и новыми хитростями )) 😉 
Итак, в программе: 
Выбор студии, на что обращать внимание. 
Немного теории  и начинаем снимать 
Художественный портрет, ростовой портрет. 
Фэшн съемка 
Балетная съемка 
Имитация дневного света 
Подготовка к Новому году. 
Организация классных съёмок под ключ, вся кухня изнутри, работа с командой. 
Ответы на вопросы и разбор референсов если останется время. 
С нами будет работать очень красивая модель, профессиональный стилист и визажист, а ещё настоящая артистка балета. 
Количество мест 7! Чтобы все успели поснимать. 
Стоимость - только орг. взнос поскольку я только первые мастер-классы даю. Потом будет дороже. 
Осталось 5 мест на момент написания поста. Чтобы записаться, пишите прямо в Директ или звоните (кнопка позвонить у меня в профиле). 😘 
#мастеркласс #мастерклассвласова #мастеркласспофотографии #импульсныйсвет #обучениефото #фотообучение #обучениефотографии #фотосессиявстудии #обучениевстудии #фотостудия #портретнаяфотография #работасосветом #обучениестудийнойсъемке #развитиефотографа #практикафото #воркшоп #воркшопмосква #фотографвласова";1537364022;103;181406020;False;мастеркласспофотографии
Bn6RxroH_ip;"Дорогие фотографы!
Историческое событие в Астане - впервые в истории свадебной фотографии Казахстана с мастер-классом к нам приедет один из лучших свадебных фотографов Испании Иньяки Лунгаран 🔥
⠀
@inakilungaran поделится многолетним опытом, а также раскроет свои секреты создания художественных и документальных фотографий.
⠀
Иньяки является Топ-3 свадебным фотографом Испании по результатам 2017 года, 8-ое место в мире по результатам летнего AWARD 2018 ассоциации ISPWP.
⠀
На мастер-классе 7-8 ноября он покажет, как снимает, начиная со сборов невесты и жениха до банкета, практика будет проходить в одном из лучших отелей Астаны. И, конечно же, поделится богатой испанской обработкой.
⠀
⠀
Подробности у организатора @nikita.zharkov или @mkphoto.astana";1537366314;101;6261388813;False;мастеркласспофотографии
