post_id;text;date;likes;owner_id;is_video;by_tag
BjNjrpulFPC;"Дорогие друзья!
EXCLUZIVE DESIGNER STUDIO
спешит сообщить о начале проведения курсов ""Конструктор - Модельер"". - Занятия будут проходить в группе из двух-трех человек.  Подробная информация по тел
📱551 109 885 Юлия.
#excluzive #дизайнстудиябишкек #эксклюзивобучение #курсы #конструктормодельер #курсыбишкека #обучениешитью #шитьебишкек #курсыконструктора #шитьехобби #леколо #выкройки #шьюсама #люблюкроить #технологиякроя #технологияшитья #мастеркласспошитью #курсышитьябишкек";1527275818;20;7280271535;False;мастеркласспошитью
Bsm_MTzhX0v;Вышивка, профессиональная разработка дизайна, сделаем качественно и в срок. Обращаться по тел / Whats App 89615954070 #курсыкройкиишитья #платья #юбки #брюки #шитьлегко #краснодар #комсомольский #хочунаучитьсяшить #курсыкройкиишитья #шьюкостюмыдлятанцев #шьютрикотаж #шьюназаказ #вышивкалоготипов#вышивка;1547456455;32;6231155905;False;мастеркласспошитью
Bt-I9Q-HRwP;"Прошедший вчера мастер-класс.
Девочки сшили две закладки с единорожками и сердцами. Узнали о новых стежках, попробовали их на практике. Познакомились с фетром: погладили-помяли разные виды этой ткани. Теперь они, точно, знают как можно выбрать фетр в магазине для рукодельниц😉 Больше фото с мастер классов здесь #ollesyaz_мастеркласс";1550380810;17;10682401134;False;мастеркласспошитью
Bt-YZ0ZFewL;😍👍Мастерство не пропьешь 😅😅😅;1550388985;2652;2964145518;True;мастеркласспошитью
Bt-ieDultV_;"💚@candy.sews  научит вас шить не только для себя, но и для любимой помощницы,подробный мастер класс и еще много полезной информации вы найдете на её замечательной странице .
~~~~~~~~~~~~~~❤~~~~~~~~~~~~~~~~
ДЕВОЧКИ А ВАШИ ПОМОЩНИЦЫ~МАШИНКИ ОДЕТЫ? ❕
~~~~~~~~~~~~~~❤~~~~~~~~~~~~~~~
Шьём чехол для швейной машины из ПВХ пленки ❕
Вам было интересно - рассказываю
⠀
Для пошива нам понадобиться:
🔗 2 фото
- Пленка пвх. Купила я ее, как ни странно в швейном магазине. Я взяла 2 м., потому как планирую сшить ещё чехол для оверлока. Для швейной машины достаточно 0.7м при ширине 1.40
- Репсовая лента 3 метра, ширина 4 см. Я взяла чёрную
- Швейная игла для толстых тканей 90/14
⠀
🔗 3 фото. Я не делала выкройку, сняла мерки машинки и нарисовала в блокноте, по ним уже чертила непосредственно на пленке. Чертёж без учета припусков, они по 1 см с каждой стороны
⠀
🔗 4 фото. У нас должно получится 5 деталей. 2 боковины, передняя часть, задняя часть и «крыша»
⠀
🔗 5 фото. Пристрачиваем репсовую ленту на одну из деталей, по всему периметру кроме низа я начала с боковой части.
⠀
🔗 6 фото. Огибаем ленту на сторону изнанки и подкладываем заднюю часть так, чтобы она снизу перекрывала репсовую ленту. Прокладываем строчку. Тут нужно не торопиться, и следить чтобы детали не съехали.
⠀
Аналогично строчим остальные детали. Когда доходим до углов срезаем нити  начинаем заново со следующей стороны детали и строчим дальше.
📍 В углах  небольшой участок останется непрошитым, но это не критично. Нужно немного помучаться и все получится🤗
⠀
🔗 7 фото. Выворачиваем, одеваем на швейную машину. Готово ✅
⠀
Вы можете делать как вам удобно. Я буду шить ещё для оверлока.
⠀
Надеюсь, было полезно и понятно, если есть вопросы - пишите, с радостью отвечу✨#DIY";1550394186;679;2964145518;False;мастеркласспошитью
Bt0HUqmBAh8;"А в субботу у нас новенький мастер-класс ♥️"" МАТЕРИАЛОВЕДЕНИЕ""♥️. Не смотря на сухое название, информация будет сочной и свежей. Расскажу простыми словами о сложном и главном)

В программе МАСТЕР-КЛАССА:
♥️Информация о современных тканях
♥️Разберемся, кто есть кто
♥️Опытные эксперименты с образцами ( будем мочить и жечь!)
♥️Составим удобный план по основным составам и тканям
♥️Поиграем в игру "" найди ткань""
♥️ Будем разбираться в соместимости тканей.
Мастер класс подходит как для новичков в шитье, так и для профессионалов, ведь рынок тканей обновляется с огромной скоростью, и так хочется быть в курсе последних новинок и знать, что теперь любой поход в магазин будет доставлять радость!👍👍 Жду вас в субботу, 🗓16 февраля, в 12:00.🕛
Информационная часть будет длится около 1.5часа, остальное время можно будет использовать, чтоб пошить.(пошить что угодно)) Вопросы как всегда по телефону или в вайбер (050)7364792.

#научушитьлюбого #шьемвместе #школашитьякраматорск #курсышитьякраматорск #шьемтрикотаж #шитькакжить #мастеркласспошитью #шьемвкраматорске #трикотажкраматорск #материаловедение #тканиукраина";1550044409;30;534107222;False;мастеркласспошитью
Bt1iV6enuqg;"На Ytube канале выложила Мастер-класс по шитью клубники!🍓🍓🍓
Приглашаю посмотреть и сшить вместе со мной! Активная ссылка в профиле.
Наши уютные мастер-классы здесь #ollesyaz_мастеркласс 🤗🤗🤗
#мастеркласспошитью #шьемклубнику #шьемвместе #творчество #рукоделие #мастерклассдлядетей #кудайпойтижелезнодорожный #кудапойтибалашиха #мастеркласс #мастерклассы #творчестводлядетей #хочушить #учушить #ручноешитье #лоскутноешитье";1550092129;20;10682401134;False;мастеркласспошитью
Bt1jtwcnRhD;"В эту субботу в Центре творчества ""Kim-art"" @tvorchestvo_balashiha
шьем закладочки🦄❤️
За всей информацией сюда @tvorchestvo_balashiha
Запись обязательна!🤗";1550092849;18;10682401134;False;мастеркласспошитью
Bt2e-_aBlZc;"❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
⠀
Всех, всех, всех!!
⠀
Поздравляем с Днём Влюблённых ❤️❤️❤️❤️!!
⠀
Желаем, чтобы всегда любовь жила у нас в домах, душе и сердце❤️❤️❤️❤️❤️!
⠀
Чтобы все влюблённые были счастливы❤️, чтобы все ищущие любовь - нашли её❤️, чтобы все, у кого она есть, смогли сделать её ещё больше !!❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
⠀
Будьте любимы❤️❤️❤️ и любите❤️❤️❤️!! #поздравьлюбимыхсвоих
⠀
P.S. Как Вам такой принт на ткани?😍
⠀
#мастеркласс #валентинкаростов #подарок на14февраля #Ростов #мастерклассростов #кройкаишитье #свитшот #шьемсвитшот #научисьшитьростов #мастеркласспошитью #швейныйковоргингростов #швейныйковоркинг #оверлокростов#шьюсамасеберостов #пошивростов #шьюростов #хочушитьсама #платьеростов #платьеростовнадону #ростовфото #ростов61 #ростовлайф #ростовнадону #ростовская #ростовдон #ростовнд  #ростовсжм #ростовткани #prostolybov";1550123923;383;3645937999;False;мастеркласспошитью
Bt3EvqVgU19;"Мк по кошечке! 🌱Приглашаю на творческий мастер класс по текстильной кошечке для детей и взрослых! 
Где вы создадите свою неповторимую игрушку . 🌱Кошечка может быть предметом интерьера , так и игровой игрушкой . Выберите понравившуюся ! 😉 👌На занятии мы будем рисовать мордочку , знакомиться с акриловыми красками и пастелью . 👌С помощью иголки с ниткой оденем кошечку . Желание и немного терпения , и у вас точно всё получится! 👍 🌱Дата : 23 февраля.
🌱Время : 12-00 .
🌱Продолжительность: 2 часа . 🌱Возраст : мк рассчитан для детей и для взрослых ! Дети от 8 лет с навыками шитья ! Если ребёнок не умеет шить , приветствуется присутствие мамы или бабушки . 🌱Количество участников: 5 человек. 🌱Место : ул. Левитана 62  Эко-клуб ""Планета детства"". 🌱Стоимость : 350 грн . 🌱Предварительная запись : в директ  или по т .0677561478 Ирина.";1550143720;466;4847722092;False;мастеркласспошитью
