post_id;text;date;likes;owner_id;is_video;by_tag
Bw1vkhAgug-;"ФРАНШИЗА ⚠️Брелок с Гос.номером⚠️
⠀
""Брелок с Гос. номером"" является не только отличным сувениром для себя, но так же и замечательным подарком для родных и близких. Эти брелки всегда вызывают приятное удивление и восторг!!!
⠀
Во франшизу входит:
⠀
⚡ Видео урок
⚡ Логотип АВТО
⚡ Макеты
⚡ Шрифты и как их установить
⚡ Руководство по запуску
⠀";1556541515;26;12358401437;False;мастерклассспб
Bw1xA5UgTyZ;"Фото GRAPHIC
А ты хочешь без всяких заморочек -создавать такие фото для себя и близких.
Привлекать взгляды на свою страничку
Быть оригинальной и выделяться в соц сетях

Я могу научить тебя создавать такие яркие фото.В мастер кассе подробно всё показано и рассказано.Спеши приобрести и выделиться";1556542272;38;12358401437;False;мастерклассспб
Bw1xJKzA_8l;"Коврик из гальки
Франшиза содержит пошаговые инструкции как создать неповторимый коврик с рисунком.
Коврик из гальки можно использовать где угодно-прихожая,ванная,кухня ,спальня.
А самое главное это массажный эффект для ваших ног от усталости и ортопедический для ваших деток!!!!";1556542340;88;12358401437;False;мастерклассспб
Bw6T8EJDEf0;"Ни какого развода или пирамид
Ни надо зазывать и кликать
Всё что нужно это изучить материал и начать реализовывать то направление которое сам(а) выбираешь!!! Всё реально ,всё доступно и главное я вас не бросаю а веду и объясняю ,пока вам это необходимо 😉Хочешь так же .????пиши мне,расскажу как и научу ....";1556694800;103;12358401437;False;мастерклассспб
Bw_mKSGDAYK;;1556872430;95;12358401437;True;мастерклассспб
BxAnSIej-ow;"🌸 ТОП-5 причин написать картину на мастер-классе по живописи @studio_kitaeva2 ⠀
🎨 1. Вы откроете в себе художника, даже если совсем не умеете рисовать.
⠀
🖼️ 2. Вы заберёте домой картину, которую с гордостью можно повесить или подарить: работаем поэтапно, помогаем каждому.
⠀
🌱 3. Пишем акрилом на холсте: смотрится солидно, все материалы выдаём.
⠀
🙏 4. Эффект арт-терапии: ваш ""почерк"" расскажет о вашем характере, вы отдохнёте и зарядитесь энергией.
⠀
☕ 5. Душевная атмосфера: секреты художников, шутки, напиток на выбор в подарок.
⠀
📌 Взрослый МК - 2000 р., скидки от 2 человек. Детский МК - 1000 р.
⠀
📩 Друзья, запись в Direct или через активную ссылку в шапке профиля.
Ваши KITAEVA2_❣️";1556906269;41;4545510788;False;мастерклассспб
BxDZ5fvle51;"Знакомить вас с ученицами моей школы?
.
.
@vika_steps Вика, но для нас она Венера🦋 Богиня любви и красоты. Очень чувственная, чуткая, отзывчивая, открытая. В первый день занятий, пришла с грустью в глазах - сегодня она КОШКА 🐈 с характером и в то же время с легкой нежностью. Умеет сочетать противоположные качества в себе👍🏽 Красиво говорит, пишет, ходит, кушает, смотрит...в общем, смотрите сами😉
Сегодня у нас была съёмка, где мы сняли Маски и показали СЕБЯ. Венера, наслаждалась как могла💕👍🏽
.
.
#я_разрешаю_себе#женскаяшколаспб#тренингидляженщин#мастерклассспб";1556999915;137;4288312499;False;мастерклассспб
BxDb6xnl6Gy;"Пайетки Франция😍😍😍
.
Размер 4мм
На фото номера
5019 и 5040
Серия Oriental
.
Цена 200руб.одна нить пайеток 1000 штук
.
Ссылка на магазин в шапке профиля.
.
Большой выбор пайеток в нашем магазине.
Доставка по всему миру👉🛫🌍.
#пайеткифранция#пайетки#золотаяканитель#товарыдлятворчества#красиаыеброшиназаказ#мастеркласс#мастерклассспб";1557000974;35;9185955425;False;мастерклассспб
BxE8GhdD2N8;"Ищем моделей на стрижку для формирования летнего портфолио 💇‍♀️⠀
С нас шикарная стрижка (короткая, длинная, текстурная, объемная 3D), стильная укладка и оздоравливающая уходовая процедура.⠀
⠀
Стоимость - всего 500 рублей за расходник вместо 3500 💃⠀
⠀
▶️ Что будет?⠀
⭐️ Интересная стрижка (пикси, каре, боб, каскад и др.)⠀⠀⠀
💝 Уходовая процедура и укладка в подарок⠀
▶️ Когда?⠀
▶️ Сколько стоит?⠀
⭐️ Вы платите только за расходник. Работа мастера совершенно бесплатна!⠀
⠀
💌 Пишите в личные сообщения или в WhatsApp, или звоните по номеру 8-900-623-42-35. Количество мест ограничено, спешите!⠀
🚘 Санкт-Петербург, 10 минут от ст.м. Гостиный двор/Маяковская/Чернышевская⠀
⠀
✨ Почувствуйте магию преображения с Ателье Цвета @hairatelierspb⠀";1557051402;28;6064338225;False;мастерклассспб
BxE8jpjj-Qm;"""Девушка у моря"" 16 май. (четверг) в 18:30
Мастер-класс ""Картина маслом за 3 часа"".
Записаться можно 24 часа на сайте, места еще есть!
Сайт: https://artmir.ru/mk
- Навыки рисования не требуются!
- Все материалы включены в стоимость.
- 8 человек в группе.
- Размер холста 30*40 см.
- Стоимость при оплате заранее 2000 руб. При оплате на мастер-классе 2400 руб. На мастер-классы которые проходят по пятницам в 18:00 скидка 40%, стоимость всего 1500 р. (при оплате заранее).
Записывайтесь заранее !
------------------------------------------------
Расписание всех мастер-классов на сайте: artmir.ru/mk
(в описании группы есть активная ссылка на сайт)
4 минуты от ст. метро ""Обводный канал""!
-------------------------------------------------
Будет очень интересно!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#artmir #артмир #мастерклассмаслом #мастерклассспб #картинамасломзатричаса #творчество #артмирналиговском #обучениерисованию #обучениеживописи #картинамаслом #артстудия #художественнаястудия";1557051640;22;3860645216;False;мастерклассспб
BxEkZXig3BR;"«ТРАНСФОРМАЦИОННЫЙ ВОКАЛ» с Анной Маюр @anna_maiur_official . Записаться на МАСТЕР-КЛАСС по вокалу можно по ссылке в шапке профиля⬆️ Начни меняться прямо сейчас . 🎤
Авторский мастер-класс от певицы и основателя школы вокала поможет тебе узнать секреты управления своим голосом . ☑️5 главных фишек профессионального вокала от певицы ☑️специальные упражнения для раскрепощения и устранения зажимов ☑️Разбор песен и тренировка исполнения любимых композиций
. 
Через 2 часа авторского МК вы почувствуете полную #перезагрузку , получите полное понимания красивого вокала и сможете с легкостью управлять своим голосом. .
‼️Авторская методика преподавания ‼️
.
До встречи на Мастер-Классе 🎙
.
#ШколаВокала #ЭкспрессШкола #ЭкспрессШколаВокала #МузыкальнаяШкола #ПреподавательВокала #МузыкальнаяШколаСпб #ПреподавательВокалаСпб #ШколаСпб #УрокиВокала #ВокалСпб #УрокиВокалаСпб #урокимузыкиспб #прослушиваниеспб #пробноезанятиеспб #вокалсартистом #укокивокалапитер #школавокаласпб  #мастерклассспб #МастерКлассВокал #ТрансформационныйВокал #ВокалсАннойМаюр #мканнымаюр";1557038973;616;531587444;False;мастерклассспб
