post_id;text;date;likes;owner_id;is_video;by_tag
BEyE2BUACEz;"⠀
⠀⠀В 2016г я принимала участие на Золотом гребене, который проходил в ВДНХ Экспо и там  познакомилась с очаровательной @akermananastasi 😍👸💃, мастером своего дела, визажистом из Екатеринбурга🙌
⠀
#макияжуфа#визажуфа#макияжвуфе#мастерклассуфа#золотойгребень2016#@akermananastasi#@akerman.mua#вднхэкспоуфа#вднхуфа#золотойгребеньуфа#монохромуфа#модельуфа#моделинг";1461929171;17;961945007;False;мастерклассуфа
Bk1tM1AgHoP;"Интересно, какое место изображено на картине? 🤨🌏
#очереднаястраннаякартинару";1530770469;122;253106052;False;мастерклассуфа
Blu8c1VgG7M;"#очереднаястраннаякартинару 
Начатая ещё в декабре и законченная лишь недавно. Захотелось нарисовать что-то подобное после просмотра фильма «Цветок пустыни». Тяжелый фильм с потрясающей игрой главной актрисы😍";1532691067;95;253106052;False;мастерклассуфа
Bv9EufIhsGM;"«Вперед, патруль!» - звучит воодушевляющий призыв бесстрашного мальчугана Зика Райдера, и «Щенячий патруль» отправляется на выполнение очередной спасательной операции. 
Но сегодня Гонщику не обойтись без подмоги: с помощью ребят им предстоит устранить последствия разрушительной бури в Бухте Приключений! ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ #детскиепраздникиуфа 
#аниматорыуфа #выпускнойуфа #инстамам #деньрожденияуфа #деньдетейуфа #itsyourdayufa #игроваякомнатавкругудрузей #твойденьуфа #игроваякомнатауфа #игроваякомнатакарамелькауфа #гелиевыешарыуфа #бетмануфа #аниматорбетмануфа #аниматорынавыпускной #твойденьуфа #игроваякарамелькауфа #игроваякомнатауфа #аниматорнавыпускнойуфа #игроваякомнатакарамелькауфа #аниматоруфа #мастерклассуфа #игроваяназорге";1554640004;13;840724304;False;мастерклассуфа
BvAF9I3hdhH;"Мы выбираем то, что нам не по душе.
⠀
А я ведь никогда не училась рисовать, не владею всеми этими навыками выстраивания лиц, нанесения бликов. Да и с фантазией бывает туго.
⠀
Но уж если идея влетает, то не воплотить её невозможно. 😍
⠀
На самом деле, каждую свою картину я начинаю создавать, срисовывая с чьей-то работы, но потом... меняю цвета, натыкаюсь на новые работы, меняю фон, положение предметов, всё-всё по частичкам, и в конце.. выходит МОЁ. ( это совет тем, кто боится начинать рисовать, потому что «фантазия не работает»)
⠀
Вернусь к заголовку: я не рисовала с лета. «У меня же учеба, занятия, дела, к чему мне рисование, тем более, я занимаюсь этим несерьёзно» 🙃
⠀
Я выбирала то, что мне не по душе. 
А рисую я с удовольствием. Это расслабляет. Цвета раскрашивают серую весну🤦🏻‍♀️,мечтать становится легче, сил больше. А делать другие вещи становится проще.
⠀
Рисуйте! 
Точнее,занимайтесь тем, что вам по душе! 🌸 #очереднаястраннаякартинару";1552593973;105;253106052;True;мастерклассуфа
Bw-AVY6DrLl;"А эта работа совсем скоро отправится во Францию 🗼
 Приятно осознавать, что мы делаем этот мир 🌐 чуточку красивее 😍 #шерстянаяакварельуфа#woolpaintingufa#картинышерстьюуфа#мастерклассуфа";1556818740;57;8918078411;False;мастерклассуфа
Bw0-L0ilDvs;"А вы знали, что существует металл, который помнит свою исходную форму? Так называемый Нитинол, сплав титана и никеля, обладающий высокой коррозионной и эрозионной стойкостью. Процентное содержание титана — 45 %, никеля — 55 %, что соответствует формуле TiNi, то есть количества атомов равны.
⠀
Таким образом, если деталь сложной формы подвергнуть нагреву до красного🔴 каления, то она запомнит эту форму. После остывания до комнатной температуры деталь можно деформировать, но при нагреве выше ♨️40 °C она восстановит первоначальный вид.
⠀
Такое поведение связано с тем, что, фактически, этот материал является не типичным сплавом, а интерметаллидом, и при закалке взаимное расположение атомов упорядочивается, что приводит к запоминанию формы.
⠀
Материал находит применение‼ в медицине, в частности, для лечения пациентов с заболеваниями и травмами ☝опорно-двигательного аппарата: воронкообразная деформация грудной клетки («грудь сапожника»), переломы позвонков, Hallux Valgus (шишки 👣на ногах). Также применяется в стоматологии👄 для ортодонтического лечения: металлические дуги брекет-систем сделаны из данного материала.
⠀
⠀
_________
💡Детская Лаборатория ""ФАРАДЕЙКА""
📍г.Уфа, ул.Менделеева 205а ЛСЦ БАШКИРИЯ
📞8(917)372-29-20";1556515632;10;5475114884;True;мастерклассуфа
Bw0-LrIBJgJ;"А вы знали, что существует металл, который помнит свою исходную форму? Так называемый Нитинол, сплав титана и никеля, обладающий высокой коррозионной и эрозионной стойкостью. Процентное содержание титана — 45 %, никеля — 55 %, что соответствует формуле TiNi, то есть количества атомов равны.
⠀
Таким образом, если деталь сложной формы подвергнуть нагреву до красного🔴 каления, то она запомнит эту форму. После остывания до комнатной температуры деталь можно деформировать, но при нагреве выше ♨️40 °C она восстановит первоначальный вид.
⠀
Такое поведение связано с тем, что, фактически, этот материал является не типичным сплавом, а интерметаллидом, и при закалке взаимное расположение атомов упорядочивается, что приводит к запоминанию формы.
⠀
Материал находит применение‼ в медицине, в частности, для лечения пациентов с заболеваниями и травмами ☝опорно-двигательного аппарата: воронкообразная деформация грудной клетки («грудь сапожника»), переломы позвонков, Hallux Valgus (шишки 👣на ногах). Также применяется в стоматологии👄 для ортодонтического лечения: металлические дуги брекет-систем сделаны из данного материала.
⠀
⠀
_________
💡Детская Лаборатория ""ФАРАДЕЙКА""
📍г.Уфа, ул.Менделеева 205а ЛСЦ БАШКИРИЯ
📞8(917)372-29-20";1556515637;54;6989020392;True;мастерклассуфа
Bw00b2Mj3jC;"С 14 лет человек вступает во взрослую жизнь! В такой замечательный день очень кстати тематический тортик 😊🎂 Тортики от 1200/кг, за декор оплата дополнительно, сахарные картинки в подарок 🌺
🍬 Срок оформления заказа от 2-х дней
🍬 Возможна доставка, оплата дополнительно
🍬 Самовывоз в районе Центрального рынка
🍬 Позвонить можно по телефону в шапке профиля ⬆️
🍬 Вопросы  Direct или WhatsApp
9⃣6⃣2⃣5⃣3⃣7⃣7⃣3️⃣3️⃣4️⃣
#подарокуфа#праздникуфа#детскийпраздникуфа#пряникиуфа#тортназаказ#тортназаказвуфе#детскийтортуфа#тортыназаказуфа#тортназаказуфа#тортыназаказвуфе#капкейкивуфе#пищеваяпечатьуфа#печатьнавафельнойбумагеуфа#пряникиуфа#пищеваяпечатьуфа#сахарнаяпечатьуфа#печатьнасахарнойбумагеуфа#печатьнавафельнойбумагеуфа#печатьнатортуфа#фотонатортуфа#торткартинкауфа#съедобнаяпечатьуфа#сахарнаябумагауфа#вафельнаябумагауфа#подарочныйбоксуфа#вкусныйбукетуфа#шоколадуфа#мастерклассуфа#детскиймастерклассуфа#тортцифрауфа#свадьбауфа #розыгрышуфа#тортпаспортуфа";1556510511;9;12767588133;False;мастерклассуфа
Bw033FYhunn;Завершаем пасхальную тему на этот год🐣💐 Фотографий с мастер-классов осталось множество, а вместе с ними и огромное количество хороших воспоминаний! Благодарна всем, кто пришёл в тот день помастерить, пообщаться, познакомиться! С праздником Пасхи вас, мои дорогие! 🥰💐🧁❤️ 😚🕊 #шьюназаказуфа #уфавналичии #уфапраздник #праздникиуфа #праздникуфа #very_lovely #irina_ishmuratova #творческаямастерскаяvery_lovely #декор #текстильуфа #уфасити #ufainsta #ufainstagram #ufamama #мамочкиуфы #мамауфа #мкуфа #уфамк #уфамастеркласс #тканиуфа #уфа #ufa #мастеркласс #мастерклассуфа #кудапойтивуфе #кудапойтисдетьмиуфа #творчествоуфа #уфатворчество #пасхасvery_lovelyvery;1556512307;78;2270835378;False;мастерклассуфа
