post_id;text;date;likes;owner_id;is_video;by_tag
BibH2gHlLBa;"Прекрасные и нежные пионы для банкетного зала. Продажа, аренда, изготовление на заказ.
#пион #мкоренбург #borisovanatali2013 #пионыоренбург #витриныоренбург #оформлениесвадьбыоренбург #пионоваясвадьба #пионымастеркласс #мастерклассоренбург #мастерклассцветы #гофрированнаябумага #tmkvartira56 #цветы #зимниедеревья #цветыизбумаги #ростовыецветы  #большиецветы #гигантскиецветы #гигантскиепионы #giantpaperflower #giantflowers #bigflower #bigflowers #handmadeflowers #handmadeflower #crepepaper #crepepaperflowers #crepepaperflower пион #мкоренбург #borisovanatali2013 #пионыоренбург #витриныоренбург #оформлениесвадьбыоренбург #пионоваясвадьба #пионымастеркласс #мастерклассоренбург #фотозонаоренбург #деревья";1525583505;80;3270176674;False;мастерклассцветы
Bu-1-wNBljV;"🌸Мечтаете научится создавать КРАСОТУ?
🌸
Студия @fortunadecor наконец-то поделиться секретом создания Роскошных Пионов🌸
🌸
20 марта в закрытом аккаунте в Инстаграмм в прямом эфире пройдет вебинар, на котором @fortunadecor покажет сборку пиона-светильника💡!
🌸
Так же вы узнаете , как можно сделать ростовой пион!
Студия @fortunadecor поделиться своим
«фирменным» универсальным основанием ,которое подходит для создания множества других ростовых цветов!
🌸
Узнаете как можно сделать пион с подсветкой для «водоёма»!
🌸
А так же увидете один из вариантов современной «безпроводной» подсветки цветов!
🌸
После вебинара вы получите выкройки с видео-запись эфира ...и с легкостью в удобное для вас время создадите свой ПИОН!
🌸
Уверенны-  вам понравится!!!
🌸
Стоимость участия в вебинаре - 1️⃣2️⃣9️⃣9️⃣р
🌸
Для записи на вебинар - переходите в аккаунт 👉 @fortunadecor 🌸
Или напишите в комментария «хочу» и мы вышлем вам всю информацию!";1552551899;397;3145210397;False;мастерклассцветы
Bu-5Ev_n9kC;Цветок из крафта, нежный, красивый. В этой технике очень легко работать. Цветы можно использовать в помещении и на улице.;1552553521;34;9002495790;False;мастерклассцветы
Bu-5ySZH7HL;Отзыв нашей ученицы мк 💐Цветы в крафт технике💐;1552553952;21;9002495790;True;мастерклассцветы
Bu-6FokHkLe;Отзыв нашей ученицы о мк 💐Цветы в крафт технике 💐;1552554099;9;9002495790;True;мастерклассцветы
Bu-6eF5HOQe;Шикарный Мак в крафт технике.;1552554253;34;9002495790;False;мастерклассцветы
Bu-cw1JBIWm;"А через год вы будете жалеть, что не начали сейчас📆.
И думать, что за этот год могли бы успеть начать свое дело, получить дополнительный доход, заниматься любимым делом... И вспоминать, что мы вам говорили...
.
Так вот мы вам говорим: пора❗ Начинайте сейчас‼
.
Уже через пару недель начинается наш живой мастер-класс.
Вы научитесь:
✔ Изготавливать разные формы больших цветов: безопасный торшер из трех роз, пышный пион, арку из орхидей.
✔ Упакуете свой аккаунт, научитесь продавать через Инстаграм
✔ Получите 💯 работающие техники для нахождения клиентов офф-лайн
✔ Сделаете портфолио. Вам будет, что показать своим первым клиентам.
✔Получите поддержку в творческом чате
.
А еще
➕ Получите 10 мастер-классов в подарок🎁
➕ Заберёте все цветы💐, изготовленые вами, с собой и сможете их продать
➕ Окунетесь в атмосферу творчества, пообщаетесь с единомышленниками, сможете задать нам все интересующие вопросы
.
Ставьте ➕ в комментариях, и мы расскажем, как вам успеть зарезервировать свое место и получить все подарки🎁.
⠀
#декоратор #большиецветы #цветыизбумаги #женскийбизнес #бумажныйдекор #цветыволгоград #творчество #цветочныйдекор #гигантскиецветы #цветыкраснодар #декоркраснодар #мастерклассцветы #декормосква #мастеркласскраснодар #обучениедекору #цветочныйдекор #мастеркласс #хобби #цветыизглины #мастерица #курсыдекора #ростовыецветы #гиганскиецветы #мастерклассы #своимируками #цветыизизолона #цветыизфоамирана #видеокурсы #акция";1552538677;37;10149967337;False;мастерклассцветы
Bu-lwPTASh-;"Доброе утро, друзья🙌

Мы закончили очередной заказ👌

Сегодня наши георгины отправляются в Нефтекамск🚚

Мы очень будем ждать фото уже оформленной витрины🙏

В этом году наши георгины бьют все рекорды по заказам! И это не удивительно, ведь смотрятся они очень эффектно 💫

А какие цветы у вас пользуются большой популярностью среди заказчиков?";1552543391;1818;3222568386;False;мастерклассцветы
Bu-toZqnOcY;"Для любителей цветов из Бисера : весенние первоцветы « КРОКУСЫ»
.
навеки ваша Золушка Наталья
 @art_para .
.
.
#мастеркласс #мк #мкбисер #мкбисероплетение #бисероплетение #бисер #мастерклассцветы #цветы #цветыизбисера #бисерныецветы #флористикаобучение #флористика #flowers #flowerstagram #handmade #хендмейд #видео #видеоурок #видеоуроки #videorussia #videostar #video #videohandmade .";1552547559;197;10377231513;True;мастерклассцветы
Bu6GBpSgApy;"Мастер-класс ""Маки"" !

длительность: 1,5 часа
стоимость: 2800 р.
даты: понедельник, вторник, четверг, суббота!
результат: отличный! 🔥

#студия_жостово
#мастерклассцветы
#жостовскаяроспись #худржественнаястудия #студия_москва";1552392539;31;11293597909;False;мастерклассцветы
Bu78x2LH57H;"Мастер класс 24 марта. Будем шить куколку 25 см. Группа из 6 человек.🌼 куколку будем собирать из уже отшитых и набитых деталей.
🌼Разберём все секреты обтяжки головы, набивки тела и крепление волос
🌼Акссесуары и цвет волос на Ваш выбор
🌼Домой уйдёт с готовой куклой и кучей полезной информации ⏰ Начало в 12:00 📝 Запись по предоплате 📲 По вопросам записи исключительно по 8-701-342-4785
#flower#flowerbar#flowerbarkz#цветыпетропавловск#цветывпетропавловске#скоцветы#цветывмоемгороде#цветыкз#цветыпетропавловск#петропавловск#петропавл#казахстан#цветыказахстан#букетпетропавловск#букетпетропавл#елкапетропавловск#елкапетропавл#украшенияпетропавловск#цветыизфоамирана#ростовыецветы#открыткипетропавловск#флорариумпетропавловск#мастерклассцветы#брошьпетропавловск";1552454800;48;4735241603;False;мастерклассцветы
Bu7K-ikBEAs;«Важно что ты делаешь, и как ты это делаешь», сказал кто-то умный 🤓 #важноневажно #неважноважно #paperflowers #мастеркласс #дизайнмышление #бумажныецветы #kharkivgram #designthinkingworkshop #kharkivlive #kharkivlove #мастерклассцветы #харьковмастеркласс #процессирезультат;1552428689;45;1364536336;False;мастерклассцветы
Bu8-tVwHBrw;Дождались весны😄💝💝💝🌹🌹🌹🌺🌺🌺#мастерклассцветы#ободкирезинкизаколки;1552489466;29;7497452786;True;мастерклассцветы
Bu8BTzyALOt;"💫МОСКВА 19/20/21 апреля💫
⠀
Курс ""Большие цветы""
⠀
Друзья, мест с каждым днем все меньше!
⠀
Вас ждет невероятно крутая, прокаченная, новая программа!
⠀
3 дня творчества, вдохновения, эмоций, позитива и конечно много цветов!
⠀
В программе курса:
💫Пион+бутон из гофрированной бумаги 🔥NEW🔥
💫Садовая роза из Эва 🔥NEW🔥
💫Магнолия из фоамирана 🔥NEW🔥
💫Анемон из изолона 🔥NEW🔥
💫Сборка арки и ростовых композиций!
⠀
Вы познакомитесь со всеми современными материалами для изготовления больших цветов!
⠀
Хотите попасть на курс?
Пиши ХОЧУ в комментариях и мы вышлем вам всю подробную информацию по курсу!";1552457624;1673;3222568386;True;мастерклассцветы
Bu8EE4OAs6q;"Не успели надышаться и даже отчитаться о прошедшем мастерклассе нет возможности.
⠀
Желающие получить новые знания по флористике, провоцируют двигаться семимильными шагами к поставленной цели.
⠀
14.03.2019 в 15:20 Инна Николаевна проведет мастеркласс «Флористическая заколка».
⠀
Вы снова встретитесь с живыми цветами и узнаете, как дополнить образ, чтобы подчеркнуть индивидуальность, поднять себе настроение и быть просто неотразимыми на любой вечеринке, свадьбе, или отдыхе.
⠀
Мастеркласс пройдёт в школе Аметист @school_ametist по адресу: Московская область, городской округ Химки, улица Чкалова, дом 5. Начало в 15:20.
⠀
Мастеркласс проводится бесплатно, при поддержке @torbinael 
Все материалы предоставляются.
⠀
Ждём Вас в гости!";1552458626;78;5586605146;False;мастерклассцветы
Bu8cKGSlMbo;"Как правильно получить отзыв о своей работе? Спасибо за лайк ❤, нам приятно.
.
Не секрет, что очень многие люди перед покупкой изучают отзывы. Наверное, и вы тоже. Ведь покупателю хочется убедиться, что
👌он получит именно то, что представлено на фото
👌мастер не подведет со сроками
👌да и просто не исчезнет с предоплатой. 
Поэтому пренебрегать отзывами не советуем. Они здорово повысят доверие ваших клиентов.
.
Но где же их взять?
.
✅Просто попросите - это самый простой и очевидный способ. Не стесняйтесь. Ваш клиент сам может и не догадаться, что вам это необходимо. Подскажите ему.
.
✅Стимулируйте размещение отзывов: можно давать небольшую скидку на следующий заказ или кэшбек за отзыв. Можете пообещать какой-то подарок в дополнение к заказу.
.
✅Проведите конкурс отзывов. При этом клиент размещает фото и отзыв на своей страничке под вашим хэштегом. А в конце месяца вы можете провести розыгрыш среди разместивших отзыв. Эта схема удобна тем, что так о вашем декоре узнают все подписчики вашего клиента и вполне вероятно, у вас станет больше заказов.
.
А вы берете отзывы у своих клиентов? Бывают с этим трудности? Давайте обсудим в комментариях.
.
И напоминаем, что сейчас - самое время приобрести видео-курсы от @valentinflowers. Мы дарим вам весеннюю скидку 80% на 8 уроков и плюс 8 подарков. Ставьте ➕ в комментариях, и мы пришлем полный список курсов на выбор.
.
.
.
.
.
.

#декоркраснодар #мастерклассцветы #декормосква #мастеркласскраснодар #обучениедекору #цветочныйдекор #мастеркласс #хобби #очумелыеручки #мастерица #курсыдекора #valentinflowers #ростовыецветы #мастерклассростов #мастерклассы #своимируками #цветыизизолона #цветыизфоамирана #декоратор #идеидлятворчества #цветыизбумаги #обучениеростов #бумажныйдекор #цветыростов #творчество #цветочныйдекор #гигантскиецветы #цветыкраснодар #рукодельницы #ярмаркамастеров";1552471251;787;2959714768;False;мастерклассцветы
Bu8jdAQjfkm;;1552475076;81;1170322664;False;мастерклассцветы
Bu_4bVjDjU5;;1552586736;87;1170322664;False;мастерклассцветы
Bu_S1Iih23_;"🧐Трудно ли изменить свою жизнь?💪
.
☺Нет, не трудно. Особенно если вы приняли твердое решение. И не намерены останавливаться🎯.
.
Нужны ли существенные вложения, чтобы начать свой бизнес❓
Нет, не нужны🙅. Особенно если вы решили начать бизнес под кураторством [club176313193|@online_krilya].
.
Мы стараемся сделать вход в собственное дело максимально простым💁
Живой мастер класс - концентрат всего нашего мастерства в изготовлении декора и опыта в продажах. Мы обучаем вас всему, что знаем сами👌.
.
В том числе, и умению продавать свои работы. После мастер-класса каждая участница получает пошаговые техники, которые позволяют уже в первые 1-2 недели после обучения найти своих первых клиентов и взять первые заказы.
.
И в дополнение к этому у нас разработана удобная система оплаты живых мастер-классов👍. Для того, чтобы забронировать свое место вам нужно внести только первый взнос. Оставшуюся часть суммы вы сможете передать уже непосредственно при личной встрече на нашем занятии. Так ваше решение становится еще проще и приятнее.
.
Хотите узнать подробности❓ Ставьте ➕ в комментариях, и мы расскажем, как вы можете забронировать свое место на мастер-классе.
⠀
#большиецветы #гигантскиецветы #мастерклассцветы #творчество #женскийбизнес #рукоделие #мастерклассцветы #хобби #бумажныецветы #цветы #цветыизбумаги #ростовыецветы #цветыволгоград #бумажныйдекор #декорнапраздник #обучениеволгоград #волгораддекор #цветыизфоамирана#флористика #цветыгиганты #мастерклассволгоград #мастерклассы #мастеркласс #видеокурсы #обучение #курсыдекора";1552567024;34;10149967337;False;мастерклассцветы
Bv01ieFlVaN;"2012 год. Все цветы без проволоки из ""мармышковой"" мастики #сахарнаяфлористика #сахарныецветы #мастерклассыхарьков #мкпряники #мксахарныецветы #мклепкаизмастики #мклепка #пряникиназаказ #цветысахарные #цветыизрисовойпасты #цветывафельные #цветыизбинпасты #бинпаста #цветыизмастики #мастеркласс #вафельнаябумага #декордляторта #цветыназаказ #мастерклассцветы #cookies #sugarflowers";1554363606;36;3994419115;False;мастерклассцветы
