post_id;text;date;likes;owner_id;is_video;by_tag
BwaBZ1DHn9S;Я побывала на День рождении🎉у одной прекрасной девушки, умницы и красавицы  @kviki13.84 , где провела свой первый МК😁, на котором мы делали катаные свечи из вощины, с добавлением масел и трав🍀🍃🌿🌾. И я познакомилась с интересными девчонками 💃💃🏽💃💃🏻Спасибо😍🙏Викуля за приглашение😄И спасибо девочки, за участие и искренний интерес😄 ________________________ #свечиизвоска#свечигродно#медовыесвечи#свечи#мастерклассгродно#мкгродно#хоббигродно#выходныегродно#деньрождение#мкнаденьрождение#детскийпраздникгродно#досуггродно#свечиминск#свечибрест#мк_для_детей_и_взрослых_#мастерклассы#мастерклассыгродно#мкдлядетейгродно#мкдлядетей#мкдлявзрослых;1555611341;51;7969411624;False;мастерклассы
BxtmMPWIZeL;"Этим летом Вас ждёт:
🌴Тематические вечеринки
🌴 Фруктовые фестивали
🌴 Вечера за просмотром кинофильмов
🌴Угадай мелодию
🌴Барбекю пати на свежем воздухе
🌴Кулинарные мастер-классы
🌴Флэшмобы
🌴Мини диско
🌴Квесты для детей
🌴Аква-грим
🌴Фестиваль красок
🌴Караоке-батлы
🌴Вечер с живым вокалом в ресторане
🌴Наши лучшие друзья Маламуты
🌴Пейнтбол
И многое другое 😃😃😃
Проведи это лето незабываемо вместе с нами 💣
С нашим прайсом Вы можете ознакомиться на сайте или звонком на прямую в отдел продаж 👍🏻
Дачный клуб «Родники»
☎+7(351)220-53-63
🛎www.rodnikiural.ru
#родники #дачный #дачныйклуб #дачныйклубродники #отдых #отдыхнаурале #дети #аниматор #свежийвоздух #люблюдетей #спортивныйаниматор #детскийаниматор #игры #квесты #мастерклассы #лето #детскийотдых #отдыхнаприроде #шашлыки #мангальнаязона";1558415646;13;1976144442;False;мастерклассы
Bxu-YFQHT3P;"Один раз в год сады цветут
Весну любви один раз ждут
Всего один лишь только раз
Цветут сады в душе у нас
Один лишь раз, один лишь раз.....
⠀
Так и хочется спеть, когда вижу свою ласточку🕊.
⠀
Она получилась очень нежной и неземной.
⠀
Получилось такой какой и была по задумке.
⠀
Была создана мною уже пару недель назад, но выставляю только сейчас. Не потому что было лень😅. А потому как именно сейчас она взойдет на то место куда и была определена.
⠀
Хотите мк от меня?
⠀
Жду ваши комментарии под постом👇";1558461880;21;3595520726;False;мастерклассы
Bxu-a1JgqqS;"Всем добрый вечер! Этой фотографией хочу сказать о том, что началась запись на Мастер-Класс «Набор Посуды»! В карусели работы моих учеников! Возможно, что группа будет меньше, чем обычно, всего 5 человек и на данный момент осталось только 3 свободных места! ☀️
Посуды становится все больше с каждым мастер-классом, так как я даю возможность каждому участнику сделать все задуманное! 
Итак! Что вас ждёт на этом Мастер-Классе!
✔️Работем с двумя разными материалами! Шамот и фаянс!
✔️Делаем большой набор посуды! Большую фруктовницу, тарелки, разделочные доски, пиалы, менажницы! На что хватит фантазии! От 5 до 8 работ!
✔️В процессе лепки я делюсь с участниками курса своими секретами. Мы будем много говорить о керамике, и я отвечу на все ваши вопросы!
✔️ Конечно, вас ждёт самый вкусный чай и волшебный кулёчек от JLV Ceramics!
✔️22 июня -Лепка/29 июня-Роспись!
✔️Если вы из другого города и у вас нет возможности сделать перерыв неделю 22 июня-Лепка/23 июня-Роспись!
✔️Также идёт предварительная запись на июль!
✔️В карусель я добавила наборы посуды, которые сделали участники последнего Мастер-Класса!";1558461903;335;4872340726;False;мастерклассы
Bxu032viYdX;"Наше лицо насчитывает более 50 мышц. И уже 1 и 2 июня мы проработаем вот эту мышцу лба, которая называется Фронталис. Морщины на лбу это проблема практически 90% людей, и связано появление этих морщин прежде всего с эмоциями, которые вызывают сокращение этой мышцы. Я научу вас контролировать эти сокращения, быть более сознательными при ваших эмоциях. Вы увидете, что можно эмоционировать по-прежнему, но без вреда для Вашего лица. Запись на первый мастер класс (1,2 июня в 9:00 и 15:00 время по Парижу) здесь или через сайт в био.
#йогадлялица #молодоелицобезопераций #здоровоелицо #красивоелицо #счастливаяженщина #изменисвоюжизнь #здоровье #красота #молодость #люблюсебя #женщина #фейсйога #онлайн #мастерклассы";1558456898;12;8704801942;False;мастерклассы
Bxu0NHMhGsn;"Вот такой Арт, появился в одном из городов нашей страны, созданный @boriscolor  вместе со мной. На этом рисунке я, на @worldbboyclassic в Голландии. ✈🇳🇩
@fsalaround
#мастерклассы #мастеркласс #шагвперед #шафл #обучениетанцам #остоженка #брейкданс #хореография #студиятанца #хипхоп #танцымосква #уличныетанцы #брейкинг #чувстворитма #чувствостиля #bboyworld #bboying #breaking #breakdance #bboy #bgirl #toprock #footwork #steps #wildmill #dope #fame #школабрейка #shkolabreyka #graffiti";1558456548;58;5498102326;False;мастерклассы
Bxu0Sf4gB0b;"ЧЕЛОВЕК-ПАЛИТРА 🎨
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Мария Григорьевна Дрезнина родилась в Москве, в семье художника.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
В 1972 году Мария окончила среднюю художественную школу (МСХШ), затем в 1978 году – Государственный художественный институт имени В.И. Сурикова, мастерскую театрально-декорационной живописи под руководством М.М. Курилко-Рюмина.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
С 1982 года – член живописной секции Московского союза художников. Мария работала как живописец и театральный художник, выступая автором выставочных проектов и социально-художественных акций для детей и родителей.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
В 1975 году начала педагогическую деятельность. Мария Григорьевна преподавала в детских студиях, в Краснопресненской художественной школе в Москве, работала в детских психологических центрах. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
В середине 90-х годов Мария Григорьевна создала методику «Ориентация в пространстве» для обучения маленьких детей 5–10 лет изобразительному искусству. Основная цель программы – раскрытие индивидуальных возможностей каждого начинающего заниматься изобразительным творчеством, научить детей говорить на языке искусства с помощью формы, цвета, линии, ритма, композиции. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
С 2006 года Мария Григорьевна проводит занятия по арт-терапии для детей с ограниченными возможностями в Центре эстетического воспитания детей и юношества «Мусейон» ГМИИ имени А.С. Пушкина.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
23 мая в 19:00 приглашаем вас на мастер-класс легендарного арт-терапевта и художника Марии Дрезниной «Женщины нашего времени».
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Место проведения: 3-й Донской проезд, 1, художественная студия-мастерская
⠀
Стоимость: 3.500 рублей. В стоимость входит чай, кофе, вода и легкие закуски. А также все необходимые для художественного творчества материалы. КОЛИЧЕСТВО МЕСТ ОГРАНИЧЕНО!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Для записи на мероприятие просто напишите нам в Direct 📬";1558456592;26;8222261262;False;мастерклассы
Bxu18SPh7j3;Композиция с герберой, матиолой, эустомой и  хризантемой на день рождения. Возможен повтор. Подробности в директ. #galaflorets#цветычелябинск#букетычелябинск#композицииизцветов#флористическийдизай#свадебныебукеты#оформлениецветами#курсыфлористики#мастерклассы;1558457458;10;13510301068;False;мастерклассы
Bxu1HcWlQyC;"😇Всем привет 😇
Приглашаем вас на курс по Педикюр «Медицинская обработка сложной стопы»
Преподаватель - Ирина Титова 
@titova_pedicure
🔴ПРОГРАММА КУРСА🔴 🌸1 день - 2990 рублей 🤩 (только 26.05 цена за этот курс будет 1990 рублей) -хотите попасть на курс-ставьте +
✔️Теоретический блок ✔️Демонстрационная работа Преподавателя на модели 🌸1 день - 3990 рублей 🤩(только 26.05, 27.05 цена за этот курс будет 2990 рублей) -хотите попасть на курс-ставьте +
✔️Теоретический блок ✔️Демонстрационная работа Преподавателя на модели ✔️Отработка на 1 модели ученицей 🌸2 дня - 4990 рублей 🤩(только 26.05,27.05 цена за этот курс будет 3990 рублей) -хотите попасть на курс-ставьте +
✔️Теоретический блок ✔️Демонстрационная работа Преподавателя на модели ✔️Отработка на 2 моделях ученицей 👍🏻Групповое занятие, в группе 2-3 человека 😊 🔴Теоретический блок, где мы подробно разберем:
-Историю -Строение ногтя -Слои ногтя -Строение кожи -Скелет стопы -Строение мышц стопы -Сухожилия -Деформация стопы -Виды деформации стопы -Работа с диабетической стопой
-Болезни кожи -Микробиология: грибы, вирусы, паразиты, бактерии
-Болезни ногтей
-Проблемы стоп -Вросшие ногти -Деформированные ногти -Трещины -Мозоли -Натоптыши -Гиперкератоз -Обработка микотической стопы -Протокол процедуры -Фрезы -Эргономика
-Этикет в педикюрном кабинете -Продвижение -Оборудование, инструментарий, доп. материалы 🔴Практическая часть:
-отработка на модели со сложностями на стопе и проблемными ногтями
🥰Курс можно пройти онлайн и оффлайн🥰
🙏Если хотите узнать подробности пишите в Директ или звоните
Проконсультируем вас🙏
📲Запись тел/WhatsApp 89282577575
•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~•
🏛Центр Обучения «Афродита», г.Краснодар, ул.Красных партизан, д.105
•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~
•~•~•~•~•~•~•~•~•~•
#афродита
#afrodita
#центробучения
#обучение
#краснодар
#обучение#курсы#мастерклассы#развитие#новаяпрофессия#шугарингобучение #эпиляция #сахарнаядепиляция #гладкаякожа #шугарингкурсы #мастершугаринга #депиляция #sugaring #шугарингнедорого #шугарингкраснодар #красота#шугарингбесплатно #центробученияафродита #afroditaschool #сертификат #афродитакраснодар #краснодар #afrodita_nogti";1558457061;13;7905366611;True;мастерклассы
Bxu1KLllqX7;"😇Всем привет 😇
Приглашаем вас на курс по Педикюр «Медицинская обработка сложной стопы»
Преподаватель - Ирина Титова 
@titova_pedicure
🔴ПРОГРАММА КУРСА🔴 🌸1 день - 2990 рублей 🤩
✔️Теоретический блок ✔️Демонстрационная работа Преподавателя на модели 🌸1 день - 3990 рублей 🤩
✔️Теоретический блок ✔️Демонстрационная работа Преподавателя на модели ✔️Отработка на 1 модели ученицей 🌸2 дня - 4990 рублей 🤩
✔️Теоретический блок ✔️Демонстрационная работа Преподавателя на модели ✔️Отработка на 2 моделях ученицей 👍🏻Групповое занятие, в группе 2-3 человека 😊 🔴Теоретический блок, где мы подробно разберем:
-Историю -Строение ногтя -Слои ногтя -Строение кожи -Скелет стопы -Строение мышц стопы -Сухожилия -Деформация стопы -Виды деформации стопы -Работа с диабетической стопой
-Болезни кожи -Микробиология: грибы, вирусы, паразиты, бактерии
-Болезни ногтей
-Проблемы стоп -Вросшие ногти -Деформированные ногти -Трещины -Мозоли -Натоптыши -Гиперкератоз -Обработка микотической стопы -Протокол процедуры -Фрезы -Эргономика
-Этикет в педикюрном кабинете -Продвижение -Оборудование, инструментарий, доп. материалы 🔴Практическая часть:
-отработка на модели со сложностями на стопе и проблемными ногтями
🥰Курс можно пройти онлайн и оффлайн🥰
🙏Если хотите узнать подробности пишите в Директ или звоните
Проконсультируем вас🙏
📲Запись тел/WhatsApp 89282577575
•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~•
🏛Центр Обучения «Афродита», г.Краснодар, ул.Красных партизан, д.105
•~•~•~•~•~•~•~•~•~•~•~•~•~•~•~
•~•~•~•~•~•~•~•~•~•
#афродита
#afrodita
#центробучения
#обучение
#краснодар
#обучение#курсы#мастерклассы#развитие#новаяпрофессия#шугарингобучение #эпиляция #сахарнаядепиляция #гладкаякожа #шугарингкурсы #мастершугаринга #депиляция #sugaring #шугарингнедорого #шугарингкраснодар #красота#шугарингбесплатно #центробученияафродита #afroditaschool #сертификат #афродитакраснодар #краснодар #afrodita_nogti";1558457048;8;5603659061;True;мастерклассы
