post_id;text;date;likes;owner_id;is_video;by_tag
Bi1ACr9A3-L;Всем доброго ❤️ чудесного ✨ утра ☀️☀️☀️!!!! После утренней прогулки под пение птиц и под ласковыми лучами утреннего солнца, настроение просто .... даже слов не подберу.... Очуметь какое классное!!!! Посмотрите как я делаю рисунок в виде пастушьей сумки на пиалах, и обязательно со звуком, пусть моё настроение передастся и вам 😘😘😘😘!!!! Хорошего дня, дорогие мои!!!! #доммастеров #семейнаямастерская #гончаризнемецкойдеревни #немецкаядеревнякраснодар #европея #pottery #clay #handmade #ceramics #ceramist #madewithlove❤ #krd #claystagram #potteryvideos #potterymaking #мастеркласснагончарномкруге #мастерклассывкраснодаре #глина #керамика #гончаркраснодар #мастерскаякерамики #рашпилевская110 рядом с #одинтеатр;1526453099;89;2307155611;True;мастерклассывкраснодаре
Bi1OdMzgU_m;"Приглашаем Вас на очень интересный и красивый мастер-класс по созданию интерьерной куклы. Вы сможете создать свою неповторимую красотку! Очень много материалов, париков и аксессуаров в наличии от @dolls_by_elena_t 
#интерьернаякукла #мастерклассывкраснодаре";1526459383;26;2900333463;False;мастерклассывкраснодаре
Bi1SaZCA2Ip;"Добрый день! 🌿
Кто ещё не записался на создание Великолепного Цветочного Ожерелья!? 😊
⠀
У вас есть отличный шанс 😉 звоните скорее по указанному номеру кафе и бронируйте свое местечко для творчества 😍
⠀
🎨 МК ""ЦВЕТОЧНОЕ ОЖЕРЕЛЬЕ""
⠀
🔢КОГДА: 20 мая
📍ГДЕ: Т-Кафе, ул. 40 Лет Победы 144/5
⏰ВО СКОЛЬКО: 11:00-12:00
⠀
☎Телефон для ЗАПИСИ: 252-69-96 ⠀
💥💥💥ОБЯЗАТЕЛЬНАЯ ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ПО УКАЗАННОМУ ТЕЛЕФОНУ!!!💥💥💥
⠀
Количество мест ограничено! ⠀
#ArtSolomka 
#Solomka_мастерклассы 
#Solomka_в_Краснодаре 
______________________________________________ 
#АртСоломка 
#Solomka 
#творческаямастерскаяSolomka 
#Краснодар 
#кудапойтивкраснодаре 
#детивкраснодаре 
#мастерклассывкраснодаре 
#творческиемастерклассывкраснодаре 
#ткафекраснодар 
#ткафе";1526461457;28;1912150287;False;мастерклассывкраснодаре
Bi2HieAHRdw;"Repost @marina_konov 
Всем доброго ❤️ чудесного ✨ утра ☀️☀️☀️!!!! После утренней прогулки под пение птиц и под ласковыми лучами утреннего солнца, настроение просто .... даже слов не подберу.... Очуметь какое классное!!!! Посмотрите как я делаю рисунок в виде пастушьей сумки на пиалах, и обязательно со звуком, пусть моё настроение передастся и вам 😘😘😘😘!!!! Хорошего дня, дорогие мои!!!! #доммастеров #семейнаямастерская #гончаризнемецкойдеревни #немецкаядеревнякраснодар #европея #pottery #clay #handmade #ceramics #ceramist #madewithlove❤ #krd #claystagram #potteryvideos #potterymaking #мастеркласснагончарномкруге #мастерклассывкраснодаре #глина #керамика #гончаркраснодар #мастерскаякерамики #рашпилевская110 рядом с #одинтеатр";1526489467;63;274477667;True;мастерклассывкраснодаре
Bi4BobzgIbn;"А у нас новый подарочный наборчик для творчества!😃😍
⠀
Все наши наборчики можно посмотреть в представленной линейке товаров в нашей группе! 🎁🎁🎁
⠀
#ПодарочныйНабор_ArtSolomka
 ______________________________________
⠀ ☎ ✍🏻Телефоны Мастерской: 
Запись в группы, занятия, мастер-классы : 
Тел. WhatsApp: 8-964-912-11-12
⠀
☎✍🏻Выездные мастер-классы, праздники, дни рождения, оформление, шары: Тел.WhatsApp: 8909-45-75-771 😊 ✉Почта: solomka-art@yandex.ru 
_______________________________________ 
#АртСоломка 
#Solomka 
#творческаямастерскаяSolomka 
#творческаямастерская 
#кудапойтивкраснодаре 
#Краснодар 
#детивкраснодаре 
#мастерклассывкраснодаре 
#творческиемастерклассывкраснодаре 
#чтоподарить
#подарокручнойработы
#набордлятворчества";1526553322;27;1912150287;False;мастерклассывкраснодаре
Bi4IUC_F0a5;"♥️♥️♥️Бу---ра---ти---но! ♥️♥️♥️ Прекрасный малыш, умещается в ладонь, для самостоятельного создания куклы. Заготовка  моего авторства, не реплика. На фото роспись масло. Для заказа пишите в директ. Доставка по всему Миру.
Мои фотки тоже нравятся...но что-то загодочно особенное в работах @seldireeva , профессионализм да....и кое что еще...а вы видите? Тут фотки и профи и мои🙃 и все без фотошопа!";1526556825;128;4044552547;False;мастерклассывкраснодаре
Bi4XDVagkxU;"Хорошего дня, дорогие!💐
Часто слышу от участниц моих мастер-классов, что очень хочется декорировать вещицы самой, но так страшно начать! 🤔
И материалы в наличии. И время есть, и желание. Но чего-то не хватает... А я Вам скажу, чего🤫 - ОПЫТА! 
Опыта преодоления страха чистого листа. 
Мало опыта в использовании материалов, совмещении техник. И проще не делать, чем испортить😞

Как преодолеть страх и начать новую работу? - Брать и делать! 😂  Только преодоление страхов ведёт к развитию. 
Это в общем, а в частности, вот мои Советы начинающим:😘😉
🌱Есть такой термин - насмотренность. Выберите нескольких хороших мастеров, работы которых Вам нравятся. 
Рассматривайте их работы, анализируйте, как они сделаны, какие техники применены, какая фурнитура использована. И постепенно появится вкус, понимание стиля. Это как грамотность, приобретённая в результате постоянного чтения книг.🤗
🌱 Параллельно первому, непрерывно учитесь. Ищите бесплатные мк в интернете. Приобретайте мк в записи. 🌱Делайте работы. Теория, не подкреплённая практикой, не дает результата🧐 🌱Ходите на живые мастер-классы. Они дают мгновенный результат и рывок в развитии 👌. 🌱Выбирайте учителей тщательно🙂, от них во многом зависит Ваша дальнейшая творческая судьба💝
🌱 Используйте качественные материалы и Заготовки. 🌱И самое главное: прекратите уже себя мучить самокритикой. Не зацикливайтесь на недостатках и дефектах! Отмечайте свои успехи!🤗
Обнимаю и желаю творческого вдохновения!💖
P.s. В следующий четверг, 24 мая, в 12-00 приглашаю на мастер-класс по декупажу коробочек.  Листайте карусель-мои старенькие работы для Вашего вдохновения😉
#тм_желанные_вещи 
#декупажкраснодар 
#мастерклассывкраснодаре 
#творческаямастерскаякраснодар 
#подаркиидекор 
#хоббикраснодар 
#декупажвкраснодаре 
#курсыдекупажа";1526564553;136;1906045017;False;мастерклассывкраснодаре
Bi4zk3cHw-R;"Мои творческие искания новых фактур уже привычных форм...осталось еще чуть-чуть😍😇✌
#мачтерскаяшелкопряда  #мастерклассыдекупаж  #мастерклассывкраснодаре #растения #чай #чайныйнабор #чайныйдомик #декор #экостиль #кухня #дом";1526579508;138;2153121339;False;мастерклассывкраснодаре
Bi6D8KLnEz4;"👨‍👨‍👧‍👦👨‍❤‍💋‍👨Этот пост для тех, кто любит свою семью и в субботу 19 мая хочет провести время с пользой на Фестивале #PROсемью с нами! Фестиваль состоится в парке Городской сад с 11.00-19.30 в программе фестиваля #PROсемью интересная концертная программа, тематические зоны для общения по темам Здорового питания и  образа жизни💪🏻🍏🍌, Материнства, эксперсс- консультации врачей👨‍⚕, нейропсихологов, специалистов по подготовке к родам и грудному вскармливанию🤓, семейная эстафета, выступление фокусника, шоу мыльных пузырей,  выставка товаров, сделанных с любовью мамами-рукодельницами, фотозоны, беспроигрышная лотерея и розыгрыш главного приза - цифрового фотоаппарата Canon👍🏻 Мы и наши замечательные партнёры : Mortimer клуб изучения Английского языка, социально-психологический центр ""Диалог"", школа танцев ""Чемпион"", Монтессори студия ""Гармония"", Metrofitness, 
Анастасия Брилева , фотограф 
Гавринёва, 
Фотограф Олеся Леонова , 
Группа компаний ""101 квест"", визажист Ксения  Котова 
Студия ""Карусель"", фотограф 
Елизавета Задорожная, 
HOLIDAYS DANCE 
STUDIO , 
ALENLU BEAUTY STUDIO, Краснодарский педагогический колледж , 
Компания Юг.Дизайн сервис ,бренд COLLAGE, цветочная  мастерская lizaveta_flowers , юрист 
Ильдар Макешов,
Семейный психолог 
Тлепшева Зарета Каральбиевна,
Мастер депиляции Липовка Виктория, 
Фотограф Екатерина Алексеева ,
Фотограф Анастасия Маруневич,
Школа - студия ""SUN STYLE”
фотограф 
Гавринева  Яна,
«Искусство Жизни»
Компания  Mary Kay,
Демидов Александр 
Бренд YCL,Юг-таймс , Кубань сегодня , психолог Труфанова Екатерина , Галина Катакалидис , Компания Mary Kay, Компания Seny, Компания Oriflame , Валентина Варшавская и многие другие приготовили множество подарочных сертификатов и  сюрпризов  для вас , наши дорогие участники фестиваля! 
И это только часть того что будет! Поэтому дорогие наши любимые семьи  мы ждём вас на Фестивале 19 мая. Приходите и получите возможность стать обладателем подарков от наших партнеров,, удача точно на вашей стороне!
А я  буду участвовать  в ярмарке подарков ручной работы, буду рада ценителям 😇✌🙋🎁
#ярмаркарукоделия #просемью #праздник #семья #handmade #типичныйкраснодар #мастерклассывкраснодаре";1526621641;25;2153121339;False;мастерклассывкраснодаре
Bi6FQ29H9n4;"Пару слов о мастер-классах.❗
Друзья, я по-прежнему провожу МК, провожу их часто, но не всегда выкладываю рекламные посты, потому что зачастую сотрудничаю с детскими центрами. 
Все МК мы обязательно фотографируем и выкладываем в группе в контакте.
Фотографии очень много, их уже перевалило за 2 тысячи, а ведь даже не все МК готовы!
На фото кстати последний крутой рождественский мастер-класс по изготовлению пряничного домика! 
Всем добра!✌
#вкусняшка_крд 
#детикраснодара 
#детскиемккраснодар 
#мастерклассывкраснодаре 
#мастерклассдлядетей 
#детиготовят
#детиготовяткраснодар
#мастеркласскраснодар";1526622335;10;5645063897;False;мастерклассывкраснодаре
