post_id;text;date;likes;owner_id;is_video;by_tag
Bm8gi_gFEi5;;1535293683;46;575573086;False;мастерклассывсамаре
Bn71a_zFodo;Доброе Солнечное Утро🌞 КРАСОТЫ Вам в ленту🤗;1537418557;72;575573086;False;мастерклассывсамаре
BnAyipwFxNe;"Первый урок базового курса☝🏻 учимся красиво и аккуратно, а главно незаметно тонировать кожу
✌🏻 создавать верный рельеф лица
🤟🏻работа с бровями";1535437335;36;575573086;False;мастерклассывсамаре
BnIuXvrFeB4;Делюсь своими знаниями о макияже🤗 а у меня их много💪;1535703584;41;575573086;False;мастерклассывсамаре
Bnje6-hFlsH;Брови🤟🏻;1536601454;65;575573086;False;мастерклассывсамаре
BnjervWFCfe;"@ammon__ra ты ПРЕКРАСНА😍 женщина-кошка🐈
@flick.k молодчины👍🏻 преодолеваешь все трудности макияжа💪 100% прокачка)))";1536601329;42;575573086;False;мастерклассывсамаре
Bnl5jhyFi0f;Эта потрясающая девушка @ammon__ra НЕРЕАЛЬНАЯ❤️ ВНИМАНИЕ!!! она сможет стать вашим персональным тренером, прокачать ваше тело до совершенства, ведь об этом она знает всёёёё👍🏻;1536682526;28;575573086;False;мастерклассывсамаре
Bo-4vn3F1EK;"Вот я и вернулась домой! Уже вчера активно принялась за дела, которые меня заждались 😎
Кстати, напоминаю, что в пятницу пройдёт открытый мастер-класс по шерстяной акварели 🎨 Предварительная запись обязательна - пишите в директ 📲 Количество мест ограничено.

Пишите или звоните 89276551771
Приедем в любую точку мира!
Вместе с нами - здоровье в творчестве!
#творческаямастерская #бешенаяпчёлка #школамастерклассов #здоровьевтворчестве #выездныемастерклассы #мастерклассысамара #мастерклассывсамаре #мастерклассыдлядетей #мастерклассыдлявзрослых";1539668446;22;4098628614;False;мастерклассывсамаре
Bo0jlpslQWh;"#АнглийскийНужен #EnglishNeedSamara
#мастерклассывсамаре #АнглийскийДляМалышейвСамаре #АнглийскийДляДетейвСамаре #АнглийскийДляШкольниковвСамаре #КвестынаАнглийскомвСамаре #АнглийскиеКвестывСамаре
#Английскийдляподростковвсамаре #английскийязыквсамаре #АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara";1539321862;14;5726541266;True;мастерклассывсамаре
Bo1__dmFino;"💗ПОСТ БЛАГОДАРНОСТИ 💗
•
•
Спасибо большое всем участникам проекта #ИгроEnglishтека! Мы очень рады, что дети знакомились друг с другом,  играли, улыбались и....незаметно для себя росли!!!
•
•
За 1 час 20 минут нам покорились 3 вершины:
🎲 Fifteenашки
🎲 Twister
🎲 One, Two, Three Game. •
•
На сколько было весело, знают только дети!!! •
Внимание! Открыта запись на следущее БЕСПЛАТНОЕ мероприятие 9 ноября в 19:00!!! •
•
#АнглийскийНужен #EnglishNeedSamara
#мастерклассывсамаре #АнглийскийДляМалышейвСамаре #АнглийскийДляДетейвСамаре #АнглийскийДляШкольниковвСамаре #КвестынаАнглийскомвСамаре #АнглийскиеКвестывСамаре
#Английскийдляподростковвсамаре #английскийязыквсамаре #АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara";1539370256;51;5726541266;False;мастерклассывсамаре
Bo2Fl1AAJdf;. #мастерклассполепке  #мастерклассторт #мастеркласскараганда #мастерклассворонеж #мастерклассшымкент #мастеркласскмв #мастерклассывсамаре #мастерклассбишкек #мастеркласспитер #мастерклассактобе #мастерклассактау #мастеркласснск #мастерклассывкраснодаре #мастерклассновороссийск #мастеркласспотортам #мастеркласскемерово #мастерклассякутск #мастерклассыростов #мастерклассыкраснодар #мастерклассвастане #мастеркласспокерамике #мастерклассвязание #мастеркласспенза #мастеркласспошитью #мастерклассдети #мастерклассоренбург #мастерклассыастана #мастерклассыомск #мастеркласссургут #мастерклассднепр;1539373191;16;8066977686;False;мастерклассывсамаре
Bo3IaIAlFW3;"Всем доброго утра☕️☀️
Пришло время ответить на самые популярные вопросы в нашем Директе)
⠀
⭕️Подойдет ли новичку?
✅Да. Все наши МК подходят новичкам. Так что не переживайте, у вас получится👍
⠀
⭕️Можно сразу забрать работу после МК?
✅Нет. Сперва ваши работы 1-1,5 недели сушатся, потом проходят обжиг при температуре около 1000 градусов☝️ В среднем весь процесс от изготовления до финального обжига занимает 2-3 недели.
⠀
⭕️Могу ли я покрыть изделие глазурью самостоятельно?
✅Да. В стоимость мк входит возможность самостоятельно покрыть своё изделие понравившейся глазурью ⭕️Есть ли у вас мастер классы для детей?
✅Да. Встречаемся по воскресеньям в 11:00 и в 14:00. Детки от 6 до 12 лет🧒🏻👧 ⭕️Можно ли отметить у вас день рождения?
✅Да. А также девичник, организовать тимбилдинг и т.д. Это может быть мк по лепке или мозаике. Главное заранее бронируйте, позвонив по телефону в профиле или написав в Директ ;). #lepco_home #lepco_school #керамикасамара #керамикавсамаре #мозаикавсамаре #мастерклассывсамаре";1539408223;114;4547646240;False;мастерклассывсамаре
Bo4Ptl9FrwJ;"Красивые фотографиям рад не только инстаграмм), но и наши любимые студенты. •
•
Для того, чтобы удивительные и эмоциональные моменты занятий остались у нас в памяти, 16, 17, 20 и 22 октября в нашей студии будет работать фотограф. •
•
Каждый ребенок получит в подарок заветный фотоальбом🎁😉📸
•
•
Мы уверены, что лучше портрета  может быть только сам процесс!!!
•
•
#АнглийскийНужен #EnglishNeedSamara
#мастерклассывсамаре #АнглийскийДляМалышейвСамаре #АнглийскийДляДетейвСамаре #АнглийскийДляШкольниковвСамаре #КвестынаАнглийскомвСамаре #АнглийскиеКвестывСамаре
#Английскийдляподростковвсамаре #английскийязыквсамаре #АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara";1539445607;27;5726541266;False;мастерклассывсамаре
Bo4PzI8n4Su;"Плодотворное лето наших вышивальщиц! Крутите карусель😊
Рушник от @ga.lina7821, а на 3-м фото и она сама со своей салфеткой!
#строчеваявышивка #строчеваявышивкавсамаре #мастерскаяживоеремесло #вышивка #embroidery #мастерклассывсамаре";1539445652;149;6326275790;False;мастерклассывсамаре
Bo6cOJ9lHEM;Lepco_girls💃🏼 Кто-то даже остался на следующий мк💪  #lepco_home #lepco_school #lepco_ceramics #керамикасамара  #керамикавсамаре #мастерклассывсамаре;1539519274;196;4547646240;False;мастерклассывсамаре
Bo6ttAXlEV6;"Эту компашку сделала одна из участниц нашей шерстяной группы поддержки.  Основы валяния,  с ""0"" до целого зверька,  я даю на мк ""крошка на ладошку"" присоединяйтесь к нашей теплой компании. Следующий мк 21октября,  а занятия для продолжающих каждое воскресенье. 
#мастерклассывсамаре #обучениевалянию #сухоеваляние #самара";1539528439;63;1467557634;False;мастерклассывсамаре
Bo8XP1rF7l3;"Мастер-класс по изготовлению ловцов снов🤗 ниточки, бусинки и невероятное удовольствие!)
Всем интересного и яркого дня!😘
#fartukmk
#творческиелюди
#творчество #творческиемастерклассы #творческиезанятия #творческиедети #мастерклассвсамаре #мастерклассывсамаре";1539583775;24;3246003525;False;мастерклассывсамаре
Bo8ZoSsFnk6;"МЫ ЛЮБИМ ГОТОВИТЬСЯ К ПРАЗДНИКАМ
•
•
Поэтому уже сегодня мы перебрали весь наш материал, относящийся к #halloween.
Все самые красивые костюмы, декорации, игры в нас готовы. На днях допечатаем наш новый суперквест, и все вам расскажем!!!
•
•
Готовим костюмы и #trickortreat🎃
•
•
А если хотите попасть к нам на вечеринку, пишите под постом!!!
•
•
#АнглийскийНужен #EnglishNeedSamara
#мастерклассывсамаре #АнглийскийДляМалышейвСамаре #АнглийскийДляДетейвСамаре #АнглийскийДляШкольниковвСамаре #КвестынаАнглийскомвСамаре #АнглийскиеКвестывСамаре
#Английскийдляподростковвсамаре #английскийязыквсамаре #АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara";1539585024;21;5726541266;False;мастерклассывсамаре
Bo9PkkwFJ58;Ещё немного о вкусном мастер классе, который проводила девушка Оля @dushinechaju_samara . С ней можно спокойно оставить своего ребёнка , Оля поможет и очень подробно все расскажет детям. Зовите нас всегда на кулинарные мастер классы!!! Пирожное Картошка было очень вкусным😍. Осталось найти рекомендованную вами сгущёнку и повторить дома . #детисамара #самарадети #детскийдосугсамара #лятарта #latarta #мастеркласссамара #мастерклассывсамаре #аленкапечет_;1539613305;58;2179233767;False;мастерклассывсамаре
Bo9XrSBFhsV;"20 ОКТЯБРЯ НАШ МАСТЕР-КЛАСС ДЛЯ НОВЫХ СТУДЕНТОВ 5-7 И 8-10 ЛЕТ
•
•
На мастер-классе •
•
ваш ребенок примет участие в занятии
родитель присутствует во время урока
знакомимся с учителем и руководителем студии
выбираем время в расписании для новых групп
•
•
Все участники мастер-класса получают скидку на покупку абонемента на месяц в день мастер-класса в размере 500 рублей
•
•
Записаться можно, написав в Директ 📩 или пройдя по ссылке в профиле.
•
•
#мастерклассывсамаре #АнглийскийДляМалышейвСамаре #АнглийскийДляДетейвСамаре #АнглийскийДляШкольниковвСамаре #КвестынаАнглийскомвСамаре #АнглийскиеКвестывСамаре
#Английскийдляподростковвсамаре #английскийязыквсамаре #АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara";1539617594;17;5726541266;True;мастерклассывсамаре
Bo9be1clIfW;"#АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara

20 ОКТЯБРЯ НАШ МАСТЕР-КЛАСС ДЛЯ НОВЫХ СТУДЕНТОВ 5-7 И 8-10 ЛЕТ
•
•
На мастер-классе •
•
ваш ребенок примет участие в занятии
родитель присутствует во время урока
знакомимся с учителем и руководителем студии
выбираем время в расписании для новых групп
•
•
Все участники мастер-класса получают скидку на покупку абонемента на месяц в день мастер-класса в размере 500 рублей
•
•
Запись по телефону:
📲8 927 260 93 14
----------------------------------------------------------------------------
#АнглийскийНужен #EnglishNeedSamara #samara #мамысамары #instamamasamara
#АнглийскиеКвестывСамаре
#Английскийдляподростковвсамаре #английскийязыквсамаре
#АнглийскийНужен #EnglishNeedSamara
#мастерклассывсамаре #АнглийскийДляМалышейвСамаре #АнглийскийДляДетейвСамаре #АнглийскийДляШкольниковвСамаре #КвестынаАнглийскомвСамаре #АнглийскиеКвестывСамаре";1539619549;72;5748326514;False;мастерклассывсамаре
Bo9rXdHFmav;"🍁Расписание на неделю🌿:
Четверг, 18.10, 19:00— МК «Кружка или чайная пара»☕️, 1200₽/1500₽
.
Пятница, 19.10, 19:00 — МК «Свободная тема»🙌, 1200₽. Здесь мы делаем что угодно - для тех, кто заждался определенного мк или хочет осуществить свои давние задумки
.
Воскресенье, 21.10, 11:00 — «Kids»👦🏻👧🌿, 800₽, детские творческие занятия. В этот раз будем делать тарелочки с отпечатком растения. Детки от 6 до 12 лет. Продолжительность 1,5 часа
.
Воскресенье, 21.10, 14:00 — МК «Свободная тема»🙌, 1200₽. Здесь мы делаем что угодно - для тех, кто заждался определенного мк или хочет осуществить свои давние задумки
.
На фото второй по популярности среди 👧👧🏻 — МК «Аромалампа» (после единорога))
#lepco_home #lepco_school #lepco_ceramics #lepco_mosaic #керамикавссмаре #мозаикавсамаре #мастерклассывсамаре";1539627877;120;4547646240;False;мастерклассывсамаре
BoGoQeeFPe5;Мои ученицы Самые ТАЛАНТЛИВЫЕ #безприувиличений 🤟🏻;1537780754;48;575573086;False;мастерклассывсамаре
BoMRsVEFbKo;Работа моей ученицы Александры👍🏻;1537970250;43;575573086;False;мастерклассывсамаре
