post_id;text;date;likes;owner_id;is_video;by_tag
BC2JeQ4rJ1X;"❗❗❗ дорогие мамочки, учителя, классные руководители, воспитатели ❗❗❗ 💜 Порадуйте деток не только интересным, но и познавательным мастер-классом по росписи пряников-козуль 🍭Приедем к вам в школу / детский садик 🍭Все материалы привезем с собой! 🍭На МК участники распишут 4 пряника разноцветной глазурью 🍭Узнают историю архангельских пряников-козуль 🍭Все прянички заберут с собой и порадуют не только себя, но и своих близких ✅ Обновлённые программы МК ещё насыщеннее, ещё интереснее 🍭Звоните и заказывайте прямо сейчас🍭 📱8-967-597-27-47 - Анна
📱вступайте в нашу группу - активная ссылка в профиле";1457770848;10;2859872854;False;мастерклассывшколу
BCd58hNrJxf;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1456957401;149;2859872854;False;мастерклассывшколу
BCd6CG7rJxo;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1456957446;150;2859872854;False;мастерклассывшколу
BCd6GK2LJxz;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1456957480;104;2859872854;False;мастерклассывшколу
BCd6WCBrJyS;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1456957610;132;2859872854;False;мастерклассывшколу
BCfeuzprJyc;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457010241;104;2859872854;False;мастерклассывшколу
BCffOwjrJzl;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457010503;95;2859872854;False;мастерклассывшколу
BCgZjNCrJya;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457041079;89;2859872854;False;мастерклассывшколу
BChliyhLJzv;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457080922;98;2859872854;False;мастерклассывшколу
BChlm6OrJzz;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457080956;152;2859872854;False;мастерклассывшколу
BChlrDbLJz5;#пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457080989;144;2859872854;False;мастерклассывшколу
BCi75T2rJw7;"✅ пряники-козули на заказ
✅ корпоративные заказы с изображением вашего лого
✅ пишите в Директ или звоните 89675972747";1457126195;58;2859872854;False;мастерклассывшколу
BClM6RUrJ6a;Козули к 8 марта🎁 #пряникиспб #пряникиназаказспб #пряникиручнойработы #пряникикозули #пряникипитер #сувенирыручнойработы #сувенирыспб #сувенирыпитер #корпоративныеподаркиспб #козули #козулиспб #козули #имбирноепеченьеспб #имбирныепрчникиспб #имбирноепеченье #имбирныепрчники #выездныемк #мквшколе #детскиемк #мастерклассыпитер #мастерклассыспб #мастерклассывшколу #выездныемастерклассы #пряникивспб #козуливспб #необычныйподарок #чтоподарить #ручнаяработа;1457202225;64;2859872854;False;мастерклассывшколу
