post_id;text;date;likes;owner_id;is_video;by_tag
BT8uQush5Zh;"‼️ОДНО МЕСТО БЕСПЛАТНО‼️ Приглашаем на 2-х дневный интенсив ""ОРАТОРСКОЕ МАСТЕРСТВО И ИСКУССТВО ОБЩЕНИЯ

Почему-то многие считают, что обаяние и харизма – это то, что дается от рождения и потом их уже невозможно развить или раскрыть в себе. Это не так. 
Наш курс — курс ораторского мастерства, который научит вас тому, как нравиться и получать то, что хочешь. В работе. В отношениях. В общении. ‼️ Курс предназначен для тех, у кого голос является одним из главных инструментов успешности, - преподавателей, психологов и бизнес-тренеров, врачей, продавцов, и, конечно, руководителей. Для тех, кто читает лекции, совершает большое количество звонков по телефону, а также ведет переговоры и выступает перед аудиторией, и тех, кому это только предстоит и кто хочет быть эффективным, запоминающимся и успешным. ✅ ВЫ УЗНАЕТЕ: - что такое харизма и можно ли этому научиться; - как говорить уверенно, не уставать, перестать волноваться и каждое выступление делать максимально успешным; - как звуком голоса управлять аудиторией, вызывать эмоции, убеждать и побеждать; - как взаимодействовать со слушателями в ходе выступления от бескомпромиссного монолога до коллективного обсуждения предложенных вами вопросов; - зачем переговорщику крепкий пресс; - какие простые техники борьбы со стрессами наиболее эффективны. 
Сертификат о прохождении курса 
В течение занятия работает фотограф, чтобы запечатлеть эмоции выступающих людей! ✅ УЧАСТНИКИ ПОЛУЧАЮТ: - обучающие лекции от экспертов - видеозапись каждого своего выступления - качественную обратную связь и сопровождение от преподавателя - команду единомышленников - чай, кофе, печенье:)) ✅КОГДА: с 20 по 21 мая с 11.00 до 19.00 ✅ГДЕ: г.Гатчина, ул.К.Маркса дом 40 ✅СТОИМОСТЬ: стоимость полного 2-х дневного курса 7 500 рублей, накануне, 19 мая, среди участников будет проведен розыгрыш, по итогам которого один человек пройдет весь интенсив БЕСПЛАТНО! ✅ВЕДУЩИЙ: Вадим Трубачев- тренер проекта День Тренингов в 2016 году в Санкт-Петербурге и Гатчине; призер конкурсов по ораторскому искусству и парламентским дебатам на английском языке;
✅КАК ЗАПИСАТЬСЯ: по телефону 8 (911)-754-39-17 Елена или в direct";1494498684;38;5395859143;False;мастерклассыгатчина
BTe8bTHhRoD;"Описание:🍀 Семейный центр ""Клевер"" - это развивающие игры,мастер-классы,различные курсы и тренинги для детей и взрослых 🍀 🍀 Авторские методики:
✅""Вундеркинд""
✅ Скорочтение
✅ Развитие памяти
✅ Коррекция почерка
✅ Управление информацией ✔️ А ТАКЖЕ РАЗНЫЕ ИНТЕРЕСНОСТИ ДЛЯ РАСШИРЕНИЯ ЛИЧНЫХ ГОРИЗОНТОВ:
♈️ Обучение астрологии
🎴 Расстановки на Таро
🎲 Игра Лила (древняя Индийская настольная игра,является инструментом наблюдения за закономерностями случайных событий в жизни) 📚 ИНДИВИДУАЛЬНЫЕ И ГРУППОВЫЕ ЗАНЯТИЯ 
Школьники 6 -17 лет 
Взрослые от 18 лет 
Антивозрастные от 60 лет 📝📞 Запись в Direct";1493499478;4;5395859143;False;мастерклассыгатчина
BTf39urhkjM;Уроки каллиграфии в нашем центре #гатчина#гатчинапарк#астрологиягатчина#семейныйцентр#семейныйцентрклевер#семейныйцентрспб#астрологияспб#таро#тароспб#тарогатчина#игралила#игралиласпб#игралилагатчина#обучениеспб#обучениегатчина#курсыгатчина#курсыспб#мастерклассыспб#мастерклассыгатчина#семья#дети#ребенок#мама#followme#instamom#instakids;1493530693;10;5395859143;False;мастерклассыгатчина
BTtZx--hFBT;#гатчина#гатчинапарк#гатчинскийпарк#instakids#instamom#followme#мама#ребенок#курсыгатчина#курсыспб#игралила#игралиласпб#игралилагатчина#гатчинскиемамочки#9мая#развивающиеигры#развивающиеигрыспб#семья#семейныйцентр#семейныйцентрспб#семейныйцентрклевер#дети#детигатчина#детиспб#мастерклассыгатчина#мастерклассыспб;1493984630;8;5395859143;False;мастерклассыгатчина
BTw1R-Qhrqp;"23 мая (вторник) 11-00
🎭 Расстановки на Таро по вашим запросам 🎭
 Это уникальный шанс получить ответ на свой главный вопрос! 
Стоимость сеанса 349 рублей! ✨Таро являются хорошим инструментом для «мониторинга» личностного роста, и детектором для тех, кому Важно отслеживать, как работа с собой влияет на жизнь, события и отношения. «Картинки» расклада и развития событий меняются вследствие работы над собой. 
Иногда Таро сразу предлагают решение, а иногда показывают, что может Вас ждать на этой дороге, в зависимости от того, какой выбор Вы сделаете. 
На консультации профессионального Таролога Вы получите ответы на Ваши вопросы, узнаёте об отношениях, препятствиях к достижению своей цели, об истинном отношении людей к Вам. Вам будет предоставлена возможность увидеть множество альтернативных решений, о которых Вы раньше и не думали. 🍀В нашем центре Вы можете проконсультироваться по следующим сферам: - Работа и карьера - Бизнес - Любовь и отношения ✏Запись по телефону 8-911-754-39-17 или личным сообщением администратору #гатчинапарк#гатчина#гатчинскиемамочки#гатчинскийпарк#курсыгатчина#тарогатчина#тренинги#тренингидляженщин#тренингигатчина#тренингиспб#раскладытаро#семья#дети#instamom#instakids#мама#ребенок#мастерклассыспб#мастерклассыгатчина#центр#семейныйцентр#семейныйцентрклевер";1494099711;20;5395859143;False;мастерклассыгатчина
BTybQflBsC_;"🎌 ИГРАЕМ В ЛИЛУ-ЧАКРУ 🎌
🍀в пятницу 12 мая и далее каждый понедельник с 18-00 до 21-00 
ДОБРО ПОЖАЛОВАТЬ НА ИГРУ!!! «Лила Чакра» - это игра на ЛЮБУЮ поставленную ЦЕЛЬ. 
Играя в «Лила чакру» Вы сможете увидеть свой внутренний мир как на ладони, понять, в чем ваши слабости, которые и создают препятствия, а в чем ваша Сила – что помогает вам взлетать и ДОСТИЧЬ ЦЕЛИ!!! С собой возьмите ХОРОШЕЕ НАСТРОЕНИЕ, ЖЕЛАНИЕ изменить реальность и ЦЕЛЬ к которой Вы идёте!!! Орг.сбор 750 рублей. 
Адрес встречи: Гатчина, улица К.Маркса дом 40.  ЗАПИСЬ ОБЯЗАТЕЛЬНА! 🍀 Записывайтесь по телефону или через сообщения: 📱 8 (911) 754 39 17
#клевер#гатчина#семейныйцентр#игралила#курсыгатчина#трансформационныеигры#развивающиеигры#мастерклассыгатчина#тренинги#какпровестивечер#семейныйцентрклевер#курсыспб#красноесело#курсыгатчина#игралиласпб#гатчинапарк#гатчина#питер#гатчинскийпарк#балтийскаяжемчужина#тренинги#тренингиспб#астрологияспб#астрологиягатчина#семья#дети#мама#instamom#instakids#обучение#развивающиеигры#развивающиеигрыспб#весна";1494153176;29;5395859143;False;мастерклассыгатчина
BTycqSIhFIz;"🍀Открыта запись на женский тренинг 👑«Путь Королевы»👑 !!! !!! Следите за расписанием !!!
Многие женщины говорят, что хотели бы семейного счастья, душевной близости, хотели бы здоровья, изобилия и успеха в своём творчестве. 
Почему одно получается, а другое - нет? Например, получается зарабатывать деньги, но не получается построить счастливые отношения? Что на самом деле мешает? 💖 Если, будучи: девочкой – Вы мечтали 💃стать Принцессой, 
девушкой – встретить 🙎‍♂️Принца, 
взрослой – стать 👑 Королевой,
Наш тренинг «Путь Королевы» поможет тебе:  Вырастить крылья  Взлететь над суетой 
Создать свое королевство 
Принять свое Я и влюбиться  Исправить прошлое 
Создать будущее  Взойти на трон 💖Воплотим мечты в жизнь! 
Весь «путь» состоит из трех ступеней : «Картина мира», «Дом моей души» и «Мои женские роли». Прошедшие этот тренинг получат 🎁В ПОДАРОК 🎁еще один мини-тренинг по выбору. 
Форма работы: арт-терапевтические и проективные методики, работа с личным пространством, активная визуализация, сказкотерапия. 
Благодаря этим техникам Вы согласуете свой ум, свою интуицию и подсознание, чтобы ничего не мешало двигаться в желаемом направлении и использовать все доступные возможности для того, чтобы получить желаемое. #спб#питер#гатчина#гатчинапарк#гатчинскиемамочки#ясчастлива#семья#счастлива#счастливая#счастливаяжена#счастливаямама#ребенок#дети#балтийскаяжемчужина#курсыспб#курсыгатчина#мастерклассыгатчина#мастерклассыспб#обучение#обучениегатчина#обучениеспб#жена#жещина#девушка#весна#красота#beauty#instamom#instakids";1494153912;42;5395859143;False;мастерклассыгатчина
BTydSnlBiCl;"💖🐱Имидж студия для детей !!! Открывается набор детей от 5 до 13 лет!!! Хороший вкус, умение ухаживать за собой, творческий подход к своему образу, знания об этикете, моде и стиле позволят вашему ребёнку быть уверенным в себе, счастливым и успешным. 
Чему мы научим: 💅мой первый маникюр 💋мой первый макияж 👗👜правильный имидж 🍰🍴этикет 
Занятия в утренние и вечерние часы! Обучать ваших деток будет Галина Серга - Лауреат Четвертого Чемпионата парикмахерского искусства «Мир красоты» в номинации «Лучший визажист в Ленинградской области»! Стоимость полного абонемента в мир красоты - 2800 руб., все материалы предоставляются, по окончании курса каждый ребенок получит именной сертификат!!! Для записи звоните по телефону 8-911-754-39-17, количество мест ограничено!#спб#питер#гатчина#балтийскаяжемчужина#курсыспб#курсыгатчина#клевер#обучениеспб#обучениегатчина#красота#дети#детиспб#детигатчина#ребенок#мама#гатчинскиемамочки#гатчинапарк#мастерклассыгатчина#мастерклассыспб#семья#маникюр#этикет#весна#семейныйцентр#семейныйцентрклевер#семейныйцентрспб#фотосессия#тренингиспб#тренингигатчина#тренингидляженщин";1494154242;47;5395859143;False;мастерклассыгатчина
BUHlWBPhFIF;"21 мая в 10:30 состоится мастер-класс: 🛁 Гейзер для ванной и подарочная коробочка 🎁
Возраст от 5 лет, ⏳длительность 2,5 часа 🎁 При изготовлении натурального подарка своими руками для мамы, дети познакомятся с химическими веществами и китайской живописью в стиле Гохуа. Интересно? ✅ При изготовления гейзера для ванной (бомбочки – которая шипит при опускании в воду и отдает воде цвет и аромат) 👶🏼👦🏼👧🏼👧🏽 дети познакомятся с такими химическими веществами, используемыми в быту, как соль, сода, кислота, масло, и посмотрят как они реагируют друг с другом. Узнают, что такое части и пропорция. 
Украшая подарочную коробочку дети узнают основы китайской каллиграфии в стиле Гохуа. На специальной бумаге выполнят в этой технике узоры мягкой китайской кистью, а потом вырежут и сложат подарочную коробочку. И конечно перевяжут ее атласной лентой. 🎁
Гейзер для ванной и коробочка расписанная в китайской каллиграфической технике Гохуа – отличный подарок из натуральных материалов своими руками плюс знания по химии и китайской каллиграфии.
💰Стоимость мастер-класса 1000₽,по предоплате 900₽.💰, все материалы предоставляются.
📲📩 Запись в лс или по телефону 8 (911) 754-39-17 Елена #гатчина#гатчинапарк#астрологиягатчина#семейныйцентр#семейныйцентрклевер#семейныйцентрспб#астрологияспб#таро#тароспб#тарогатчина#игралила#игралиласпб#игралилагатчина#обучениеспб#обучениегатчина#курсыгатчина#курсыспб#мастерклассыспб#мастерклассыгатчина#спб#питер#игры#семья#дети#ребенок";1494863108;8;5395859143;False;мастерклассыгатчина
BUHldGXBoG8;"3 июня в 10:30 мастер-класс: 🍎🍐🍊Фрукты и ягоды 🍓🍇🍒 из помпонов.
Возраст от 5 лет, ⏳ длительность 2,5 часа.
✅ Помпон – может превратиться в яркий фрукт или сочную ягоду, удивительно? Но это так! 👧🏽👧🏼👦🏼Пока дети будут изготавливать помпон в виде фруктов и ягод – они разовьют мелкую моторику. Мы расскажем им об истории открытия этих фруктов и их названий. А еще участники сыграют в лото «фрукты и ягоды»: разовьют речь, пополнят словарный запас, потренируют внимание и мышление, изучат фрукты. ✅А так же участников ждет целый ассортимент развивающих заданий где главные участники – фрукты. ✅ И конечно, каждый участник мастер-класса уйдет с ярким и сочным помпоном: киви, апельсином, клубничкой, ананасом, долькой арбуза.
💰Стоимость мастер-класса 1000₽, по предоплате 900₽ 💰 , все материалы предоставляются!
📲📩 Записать можно в личные сообщения или по телефону 8(911) 754-39-17 Елена #гатчина#гатчинапарк#астрологиягатчина#семейныйцентр#семейныйцентрклевер#семейныйцентрспб#астрологияспб#таро#тароспб#тарогатчина#игралила#игралиласпб#игралилагатчина#обучениеспб#обучениегатчина#курсыгатчина#курсыспб#мастерклассыспб#мастерклассыгатчина#спб#питер#игры#семья#дети#ребенок";1494863166;23;5395859143;False;мастерклассыгатчина
BUO33wPBJaM;"💑НАШЕ РАСПИСАНИЕ ДЛЯ ВЗРОСЛЫХ 📅 22 мая 18-00 «ЛИЛА ЧАКРА» - 🎲игра на любую поставленную цель. 📅 23 мая 🍀11-00 РАССТАНОВКИ НА ТАРО по вашим запросам 🍀18-30 мастер-класс по ДОСТИЖЕНИЮ ЦЕЛЕЙ  Вы полны идей и не знаете, как воплотить их в жизнь?  Вас мучают мысли об одном и том же?  Вы не знаете, какому варианту решения проблемы отдать предпочтение? 
На нашем мастер-классе ответы на вопросы придут сами собой! 📅 24 мая 18-30 💎«ДИЗАЙН ЧЕЛОВЕКА» 📅 25 мая 11-00 и 18-30 💃Школа красоты :макияж для себя :  1-макияж нюд ( Французский ,макияж без макияжа )  2-макияж кэжл (повседневный )  3-вечерний (Смоки айс )  Цикл из 3 занятий 📅 26, 27 и 28 мая 18-30 глубокий 3-х дневный тренинг 👑🦋💐«ПУТЬ КОРОЛЕВЫ»  Весь «путь» состоит из трех ступеней : «Картина мира», «Дом моей души» и «Мои женские роли». Прошедшие этот тренинг получат в подарок 🎁 еще один мини-тренинг по выбору. 📅 27 мая 14-00 живой тренинг 💖🏋‍♀️ ""КАК ПОДНЯТЬ САМООЦЕНКУ И УВЕРЕННОСТЬ В СЕБЕ"" 📅 28 мая 14-00 тренинг 🔑💰 9 ПРОСТЫХ СПОСОБОВ ПРИВЛЕЧЬ ДЕНЬГИ 📅29 мая 18-00 «ЛИЛА ЧАКРА» - 🎲 игра на любую поставленную цель. 📅3 и 4 июня с 11.00 до 19.00 авторский 2-х дневный интенсив 🍀""ОРАТОРСКОЕ МАСТЕРСТВО И ИСКУССТВО ОБЩЕНИЯ"" 
Подробнее о всех курсах читайте ниже в ленте)
Предварительная запись обязательна! Пишите в личные сообщения администратору, или звоните по тел. 8(911)754-39-17 
#гатчина#гатчинапарк#астрологиягатчина#семейныйцентр#семейныйцентрклевер#семейныйцентрспб#астрологияспб#таро#тароспб#тарогатчина#игралила#игралиласпб#игралилагатчина#обучениеспб#обучениегатчина#курсыгатчина#курсыспб#мастерклассыспб#мастерклассыгатчина#спб#питер#игры#семья#дети#ребенок";1495107702;25;5395859143;False;мастерклассыгатчина
Ba2RiMkhzKQ;"Традиционный фотоотчет с мастер-класса 🌼🌼🌼!!! По просьбам тех,  кто не смог быть в прошлое воскресенье - повторили тему прошлого занятия: ""Овечку Амели""! 🐏 Горжусь своими ученицами! 🎨👍💖
#мастерклассы #мастерклассыдлядетей #мастерклассыспб
#мастерклассыгатчина #детирисуют #детскиемастерклассы
#маслянаяживопись #детипишутмаслом";1509314682;14;6253599372;False;мастерклассыгатчина
BbWT6zaFzyb;"А теперь есть и такие вот значки по сюжетам картин🎉🎆. Каждому участнику мастер-класса - значок по теме занятия в подарок 🎁✨! Деревянные заготовки были предоставлены фирмой JamDecor ❤😊 #мастерклассдлядетей #мастеркласс #значкииздерева #значки
#значкидлядетей #детскиезначки #детирисуют
#детипишутмаслом  #мастерклассыгатчина #мастерклассспб";1510389674;7;6253599372;False;мастерклассыгатчина
Bn8Qnc1hHWt;"Дорогие друзья! ✨ЗАПИШИТЕСЬ НА БЕСПЛАТНОЕ ПРОБНОЕ ЗАНЯТИЕ ПРЯМО СЕЙЧАС ✨ ""Ораторское искусство"" 
24 сентября в 18:00⌛⏰ 📫 Гатчина, Соборная 31 (вход с ул. Достоевского) 📞 Звоните 8-921-755-44-11 ▶ НА НАШЕМ ЗАНЯТИИ ВЫ НАУЧИТЕСЬ ◀ ✔ САМОПРЕЗЕНТАЦИИ 
Вы научитесь заинтересовывать окружающих, правильно подавая себя (осанка, поза, жесты, взгляд). ✔ ТЕХНИКЕ РЕЧИ 
Вы поймете, как создать имидж уверенного в себе человека, лидера, к которому прислушиваются. ✔ ЭЛЕМЕНТАМ ПУБЛИЧНОГО ВЫСТУПЛЕНИЯ 
Вы научитесь снимать нервозность перед выступлением, устанавливать контакт с аудиторией, вызывать симпатию и удерживать внимание публики. ✔ ПОВЫШЕНИЕ САМООЦЕНКИ 
Вы повысите уверенность в себе и сможете достойно держаться в любой ситуации. ❗ ДЕЙСТВУЙТЕ ПРЯМО СЕЙЧАС ❗

Тел. для записи: 8(81371) 42-264; 8 952-350-27-01; 8 921-755-44-11
или пишите в https://vk.com/id26698459.
Адрес школы: Гатчина, ул. Соборная, дом 31 вход с ул. Достоевского.

#гатчина #мастерклассыгатчина #студияимиджа #красота #стиль # школапарикмахерскогоискусстванатальигасан #обучениеимиджмейкер #";1537432815;11;4702489588;False;мастерклассыгатчина
BwJj6TlBw08;"Пионы – самый женственный цветок!
пионы дышат нежностью и светом,
пионы словно ветер между строк,
весенним солнцем и теплом согреты...
Красив любви подаренный букет,
душевных чувств чудесное посланье...
нежней цветов во всей вселенной нет,
пион хранит любви благоуханье...
Весна всегда приходит навсегда!
так пусть в душе всегда цветут пионы,
как нежность чувств, как вечная весна
и женственность прекрасная природы.
С. Магницкая
#скульптурнаяживопись #пионы #картинасцветами #купитькартину#мкспб#hand_made_928 #декорстен#sculpturepainting #peonies #flowers #tairkraski #provence#мкгатчина#мкпитер#декоративнаяштукатурка #мастерклассыгатчина #шеббидекор#идеиподарков#люблюпионы#гатчинаподарки";1555059007;191;7122946323;False;мастерклассыгатчина
