post_id;text;date;likes;owner_id;is_video;by_tag
BkQHLYGBT9D;"Отличный мастер-класс для наших мамочек по армянским танцам от хореографа-постановщика Шохик Сарибекян! Талантливые дети - у талантливых родителей! И весело и полезно)))
Тел. 8(928448-26-81
Жду звонков от желающих научиться красиво танцевать))))
#армянскиетанцысочи #армянскиетанцывсочи #ансамбльармянскоготанца #армянскаякультура #центрискусствбельканто #belcаntosochi #belcanto_sochi #аракссочи #сочиаракс #кавказскиетанцысочи #arakssochi #sochiaraks #сочибельканто #вокалсочи #сочивокал #ансамбльаракс #ансамбльармянскоготанцааракс #мацеста #armdance #центр #амшен #мастерклассыдлявзрослых #танцуемвместе #зажигаемвместе";1529510232;156;3019797319;True;мастерклассыдлявзрослых
BkqRIzrgQP5;Приглашаем на мастер-классы по рисованию, лепке и творческим творениям 🙂. Стоимость 400р /занятие. Запись обязательна. 89263204875 Лилия#рисованиемытищи#творчествомытищи#лепкадлядетеймытищи#мастерклассыдлядетей#мастерклассыдлявзрослых#;1530386657;14;3533354425;False;мастерклассыдлявзрослых
Bn66uyqFGrz;#рисуемакварелью #дети #творчество #детскиекорпоративы #мастерклассыдлявзрослых #одинцово #можайскийдвор #можайскоешоссе #индивидуальныезанятия #эстетическоевоспитание;1537387786;7;8152347194;False;мастерклассыдлявзрослых
BnH2h0pBfvE;"ДОБРО ПОЖАЛОВАТЬ НА НАШУ СТРАНИЧКУ! 🎈 🎈 🎈 
НАШ СЕМЕЙНЫЙ ТВОРЧЕСКИЙ КЛУБ  ПРИГЛАШАЕТ ВАС, ОКУНУТЬСЯ В АТМОСФЕРУ КРАСОТЫ, ДОБРА И МИРА. 
Наши подразделения это:

1) FAMILY club/ СЕМЕЙНЫЙ клуб творчества (Для молодых мамочек, будущих родителей. Увлекательные и разнообразные занятия = родители + дети). 🎈 
2) Children's art club/ ДЕТСКИЙ арт клуб/ Творческий клуб для детишек. ( Это когда родители могут оставить своих малышей от 3-х до 6-и лет и от 6/7-и до 12-и лет на час-два на творческие занятия изобразительного искусства). 🎈 🎈 
3) ART TRAVELING / Aрт путешествия (Более подробную информацию мы отправляем по запросу в личку, а так же, следите за постами). 🎈 🎈 🎈 
4) ART RELAXATION / Арт релаксация (отдых от работы, передышка, расслабление, уменьшение напряжения, частичное освобождение от проблем)  для взрослых. Это-творческая атмосфера в кругу друзей и новых интересных людей. 🎈 🎈 🎈 🎈

О каждом разделе, мы обязательно будем рассказывать дальше в наших публикациях.

Если у ВАС есть вопросы, пишите НАМ в директ или в WatsApp. МЫ с пониманием ответим ВАМ. 🎈ТВОРЧЕСКИЕ ХУДОЖЕСТВЕННЫЕ МАСТЕР-КЛАССЫ ДЛЯ ВСЕХ🎈 
#artclub_children @artclub_children
#artclub_family  @artclub_family
#artclub_vmoscow @artclub_vmoscow
#artclub_vodintsovo @artclub_vodintsovo
#artclub_workshop @artclub_workshop #одинцово #можайскоешоссе #творчество #занятиясдетьми #рисуемдетьми #мастерклассыдлявзрослых #живопись";1535674307;4;8152347194;False;мастерклассыдлявзрослых
Br2H9bbjlA4;"Неделя трудоёмкой 📚 и мега увлекательной работы позади и вуаля!!! - результат вы видете перед собой 😊
. 
Это последний океан 🌏 уходящего 2018 года ✨🌟✨
. 
Сколько я не думала 🤔, но почему-то никак не могу придумать 🙄 название этой картине. Может поможете? Свои предложения пишите в комментариях 😉
. 
Материалы:
✏ Эпоксидная смола от @craftsmen.store
✏ Красители CraftResinTint
✏ Пигменты
✏ Артборд
✏ Акриловые краски
✏ Акриловый лак
✏ Стабилизированный мох
✏ Шпаклёвка
. 
Размер:
40 см в диаметре
.
Для заказа 📦🔖, пишите в direct/WhatsApp/Viber 📩📨🖍, координаты в шапке 👑 профиля
.
∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆
🔀🔀Follow me and you'll see lots of interesting🔀 @valeriya_tikhonenkova

#resinartwork #resinart #декордлядома #предметыинтерьера #мастерклассыдлявзрослых #resina #резинарт #флюидарт #mixedmedia #fluidart #подарки #эпоксидка #seashellart #ручнаяработа #fineart #подаркинановыйгод #fluidartwork #modernart #интерьернаяживопись #декоринтерьеров #artforsale #inkart #эпоксиднаясмола #instaartwork #интерьер #декорназаказ #interiorart #contemporaryart";1545816884;685;6685503585;False;мастерклассыдлявзрослых
BtAwIlWj3hM;"Всем привет после длительного перерыва👋👋 Я снова с вами и никакие хакеры мне не помеха 💪
. 
Теперь моя страница будет с перчиком 🌶️, это я про рекламный пост, который разместили прекрасные люди, взломавшие мой профиль и абсолютно все соц сети 💻⌨️📸
. 
Реальность такова, что всем создателям и админам Instagram / Facebook абсолютно наплевать на своих пользователей 🙄
. 
Странно, но ладно. Тем не менее, это 100 процентный факт ☝️
. 
Сколько я не писала во все техподдержки, сколько не умоляла мне помочь, удалить несанкционированный рекламный пост, разблокировать страницу Facebook и тд, всё бесполезно... Так что будьте предельно осторожны, особенно если размещаете рекламу в своём профиле.
.
Всё это время, я конечно же не сидела сложа руки, а вояла новые океанические просторы 🏝️🗻 А результатом проделанной работы, вы можете полюбоваться уже сейчас 😍
. 
Ставим ❤️, кому не жалко и конечно же примеряем морское панно к своим интерьерам 🏙️ Калифорнийские пейзажи уже ищут новый дом 😉
.
P.S. Если у кого-то всё же есть знакомые мега крутые it-шники, а ещё лучше работающие в Facebook, пишите, буду очень благодарна 🙏
.
Материалы:
✏ Эпоксидная смола от @craftsmen.store
✏ Красители CraftResinTint
✏ Пигменты
✏ Артборд
✏ Акриловые краски
✏ Акриловый лак
✏ Стабилизированный мох
✏ Шпаклевка
. 
Размер:
70*50*4 см
.
Для заказа 📦🔖, пишите в direct/WhatsApp/Viber 📩📨🖍, координаты в шапке 👑 профиля
.
∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆
🔀🔀Follow me and you'll see lots of interesting🔀 @valeriya_tikhonenkova

#resinartwork #artdaily #resinart #interior #предметыинтерьера #мастерклассыдлявзрослых #fluidartwork #резинарт #флюидарт #mixedmedia #fluidart #подарки #эпоксидка #хэндмэйд #ручнаяработа #resina  #alcoholink #modernart #интерьернаяживопись #декоринтерьеров #artforsale #inkart #эпоксиднаясмола #instaartwork #интерьер #декорназаказ #interiorart #contemporaryart";1548320975;732;6685503585;False;мастерклассыдлявзрослых
Btp9o8BhsFj;"Байкал и Белиз... Вы когда-то могли себе представить, что увидете сразу два этих места вместе? А ведь они находятся на разных концах планеты 🌎🌍
. 
Не забывайте ☝️, что одинокий кораблик ⛵, бороздящий просторы барьерного рифа, ищет свой дом 🤗 и уже готов порадовать своего обладателя в преддверии 23 февраля 🎉 На мой взгляд, это прекрасный подарок 🎁 для юного защитника 🥋 .
.
Материалы:
✏ Эпоксидная смола от @craftsmen.store
✏ Красители CraftResinTint
✏ Пигменты
✏ Артборд
✏ Акриловые краски
✏ Акриловый лак
✏ Кораблик
✏ Шпаклевка
. 
Размер:
40 см в диаметре
. 
Для заказа 📦🔖, пишите в direct/WhatsApp/Viber 📩📨🖍, координаты в шапке 👑 профиля
.
∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆∆
🔀🔀Follow me and you'll see lots of interesting🔀 @valeriya_tikhonenkova

#resinartwork #artdaily #resinart #interior #предметыинтерьера #мастерклассыдлявзрослых #petriart #резинарт #флюидарт #mixedmedia #fluidart #подарки #эпоксидка #хэндмэйд #ручнаяработа #fineart #resina #modernart #интерьернаяживопись #декоринтерьеров #artforsale #fluidartwork #эпоксиднаясмола #instaartwork #интерьер #декорназаказ #interiorart #contemporaryart";1549703787;733;6685503585;False;мастерклассыдлявзрослых
Bv-7Y6Zhlon;"Доброе прекрасное утро дорогие друзья!
С началом новой трудовой недели Вас.
🌞🌞🌞
В нашей студии обновлено расписание мастер-классов по живописи.
☀️☀️☀️
В выходные дни вы сможете сбросить все тяготы будних дней всего лишь рисуя картину вместе с нами.
Не верите? Попробуйте! Вы точно уйдёт от нас полностью перезагруженными и отдохнувшими.
☀️☀️☀️ 🎨13 апреля (Суббота) в 13.00 ч. ДЕТСКИЙ МАСТЕР-КЛАСС. Рисуем с детками картину «ЗОЛОТАЯ  РЫБКА»  и обязательно загадываем желания!!!
🎨13 апреля (Суббота) в 19.00 ч. картина-«ЛАВАНДОВОЕ ПОЛЕ».
🎨14 апреля (воскресенье) в 19.00 ч. картина - «ЛОШАДИНАЯ ВЕРНОСТЬ».
☀️☀️☀️
Картины пишем на настоящих холстах на подрамнике акриловыми красками. ☀️☀️☀️
🎨Стоимость взрослых мк-5000 т.(по окончанию мк картину забираете с собой).
Стоимость детского мк-3500 тг.
☀️☀️☀️
🖌Бронируем места на сайте studioidea.kz или по телефону 87016682810.";1554702218;36;1626903709;False;мастерклассыдлявзрослых
Bv-7atRg8Uj;Юные художники субботней группы❤️👍 очень здоровские рисунки 🙌 ну такие лапочки- умнички 💕  #творчество #рисунки #артстудия #живописьмаслом #мастерклассыдлядетей #мастерклассыдлявзрослых #курсы #метрооктябрьскоеполе #изо #найдивсебехудожника #учимснуля #краскикисти #творим #гуашь #акварель #масло #акрил #графика #живопись #кудасходитьвмоскве #щукино #картиназатричаса #искусство #art #прикосниськискусству #moscow #москва #рисование;1554702233;86;6585866095;False;мастерклассыдлявзрослых
Bv-8AwBgycV;Субботняя группа🔥 тема «Загадочный подводный мир», тонированная бумага и сухая пастель  #творчество #рисунки #артстудия #живописьмаслом #мастерклассыдлядетей #мастерклассыдлявзрослых #курсы #метрооктябрьскоеполе #изо #найдивсебехудожника #учимснуля #краскикисти #творим #гуашь #акварель #масло #акрил #графика #живопись #кудасходитьвмоскве #щукино #картиназатричаса #искусство #art #прикосниськискусству #moscow #москва #рисование;1554702544;63;6585866095;False;мастерклассыдлявзрослых
