post_id;text;date;likes;owner_id;is_video;by_tag
BkqRIzrgQP5;Приглашаем на мастер-классы по рисованию, лепке и творческим творениям 🙂. Стоимость 400р /занятие. Запись обязательна. 89263204875 Лилия#рисованиемытищи#творчествомытищи#лепкадлядетеймытищи#мастерклассыдлядетей#мастерклассыдлявзрослых#;1530386657;14;3533354425;False;мастерклассыдлядетей
Bu0cHC1lz4S;"Пряники самовары, птички, матрешки и  подковы на счастье поехали провожать масленицу. 
Большое разнообразие форм для детских и взрослых праздников. Пряники-болванки без росписи. 
Заказ через сайт или директ.
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
#ginger_dream_russia";1552202791;189;2043280384;False;мастерклассыдлядетей
BvBRX9clk0i;"А вы любите котиков? 😻  Эти котики отправятся на праздник к одной маленькой принцессе, которая очень любит котиков. 
Пряники для мастер-классов по росписи пряников. Свежие, ароматные, вкусные.
Активная ссылка в шапке профиля - ответим на все вопросы. 😻😻😻😻😻😻😻😻😻😻😻😻😻
#ginger_dream_russia";1552633370;330;2043280384;False;мастерклассыдлядетей
BvwGGm0FIVA;"🥊Лучший боксер Европы 2018 Тимур Арменович Авдоян @timur_avdoyan_official_777 провел мастер-класс «Стать самим собой» для участников нашего проекта😏🙏
⠀
Тимур Авдоян в свои 17(!) лет — неоднократный победитель различных международных соревнований по боксу. Перечислим только некоторые из них:
Двухкратный Чемпион Европы.
Двухкратный Чемпион России.
Победитель международного турнира в Венгрии.
Победитель ПФО. Кандидат мастера спорта.
⠀
Впечатляет?
⠀
Тимур рассказал свою историю успеха и вызвал безумное количество вопросов о том, как же он стал таким успешным в своем направлении. Рассказал как важно рано вставать и много-много тренироваться (=читаем как важно постоянно что-то делать и не стоять на месте). В рамках МК ребята смогли отработать некоторые приемы защиты и физические упражнения для развития выносливости и силы. И даже получили задание выполнять хотя бы некоторые из них ежедневно.
⠀
Интервью с Тимуром и кадры с мастер-класса вы сможете увидеть в нашем новом выпуске уже в это воскресенье в 11:20 на телеканале «Губерния». А если не успеете на эфир, то можно посмотреть в наших социальных сетях.
⠀
#маленькиелидерыстраны #мастерклассыдлядетей #будущиелидеры";1554204519;31;10649123497;False;мастерклассыдлядетей
Bw2C3U7H1Er;"В предверии праздника 7 мая объявляем о проведении мастер -класса «Открытка папе в стиле скрапбукинг», который состоится 5 мая в 12.00 и 15.00 по адресу ул.Независимости, 25 (рядом с книжным магазином Шарманов). Цена мастер класса 2000 тг. 
Запись по предоплатена карту Каспи голд, за подробностями обращаться на номер +77071704505 
для учащихся курсов @is_your_english_ok цена 1500 тг. 😉

@art_masterskaya_diy 
@art_masterskaya_diy 
@art_masterskaya_diy";1556551631;28;4046645154;False;мастерклассыдлядетей
Bw3pP_GgC_1;"Учебный год заканчивается и скоро лето! Готовим для наших студийцев праздник - день Подсолнуха ""Цветочная поляна"". На сцене театра ""Город"" встретятся актеры и  художники, все ученики и учителя нашего ""Подсолнуха"". По традиции декорации к празднику готовят ребята! Вот - разрабатываем макеты))) Будем красить, резать, лить и приклеивать, переходить с плоскости на объемы  и обратно - выплеснем свое настроение на бумагу!!!
#деньподсолнуха🌻
#студиятворчестваподсолнух #изостудияДолгопрудный #весна  #рисование #живопись #графика #керамика #театральноемастерство #гитара #вокал #мастерклассыдлядетей #приветдолгопрудный #творчестводолгопрудный #долгопрудныйдети #долгопрудныйсегодня #долгопрудныйсоседи";1556605310;58;3269346844;False;мастерклассыдлядетей
Bw9wF6DnlYc;Детский мастер-класс – это всегда праздник, сопряженный с радостью познания и творческого самовыражения! Обучение, проходящее в игровой форме, как нельзя лучше отвечает потребностям детей разных возрастов в освоении окружающего мира и открытии тех безграничных возможностей, которые представляет мир идей. Мастер-классы помогают детям лучше узнать себя и свои способности, они развивают внимательность, мелкую моторику и артистизм. Мастер-классы для детей дают возможность маленьким исследователям попробовать себя в разных областях деятельности, а создаваемое в ходе мероприятия творческое пространство открывает широкий простор для увлекательных экспериментов. Дети легко вовлекаются в процесс усвоения новой информации, расширяющей кругозор, и освоения различных умений и навыков. Это гарантия того, что время не пройдёт даром. Как минимум, мастер-класс – это занимательное времяпрепровождение и источник позитивного настроя.;1556810224;18;4046645154;False;мастерклассыдлядетей
BwV-HYYlYrT;Скоро открытие нашей творческой студии! Следите за новостями, включите уведомление о публикациях!;1555475399;27;4046645154;False;мастерклассыдлядетей
BxAFI1KHCaL;"Первая в городе Сатпаев “Арт мастерская DIY” приглашает детей на мастер-классы  по различным видам рукоделия. Каждое воскресение в  @art_masterskaya_DIY дети проведут незабываемое время в комфортной обстановке, создавая руками уникальные изделия и реализуя свой творческий  потенциал. По окончанию мастер-класса кроме знаний, вы уносите домой готовую работу.

Для учащихся курсов @is_your_english_ok предусмотрена скидка 😉
За подробностями: +7 707 170 45 05
@art_masterskaya_diy
@art_masterskaya_diy
@art_masterskaya_diy";1556888367;22;4046645154;False;мастерклассыдлядетей
BxJdbq9nipf;Вот и прошел наш первый мастер-класс!!! Дети довольны и это самое главное 👏👏👏;1557203094;50;4046645154;False;мастерклассыдлядетей
BxNIxBxntoz;АНОНС!!! Приглашаем на детский мастер-класс «Картина Пластилином» в субботу 11 мая в 16.00!! Время проведения изменено по многочисленным просьбам. Запись открыта по ватсапп +77071704505;1557326477;21;4046645154;False;мастерклассыдлядетей
BxRITHXnuwW;"Пластилинография — новый вид декоративно-прикладного искусства. Представляет собой создания лепных картин с изображением более или менее выпуклых, полуобъемных объектов на горизонтальной поверхности. Основной материал — пластилин. 
Многие родители даже не подозревают, что лепка имеет огромное значение в развитии малыша. Он учится владеть своими руками, самостоятельно создавать различных персонажей. Пластилин — самое доступное средство для детей, которое вызывает интерес и способствует всестороннему развитию как в техническом плане, так и психологическом.";1557460450;27;4046645154;False;мастерклассыдлядетей
BxSj-NCnGy2;На своих мастер-классах мы используем только качественные материалы, и на предстоящем мастер-классе будем применять пластилин  ArtBerry от немецкой компании Erich Krause изготовленный из материалов на натуральной растительной основе, совершенно безопасный для детей. 🔝 У нас очень высокие требования к тому что мы делаем, из этого складывается ценовая политика.;1557508513;32;4046645154;False;мастерклассыдлядетей
