post_id;text;date;likes;owner_id;is_video;by_tag
Bw-FEgXg53y;"А вы дарите друзьям и близким подарочные сертификаты?) Если да, то какие? (Косметика/впечатления/книжный и тд)
⠀
Нас часто спрашивают, есть ли у нас подарочные сертификаты. И мы отвечаем — ДА! Конечно 🙌🏻
⠀
На любой из курсов или мастер-классов Cleverstudia можно приобрести подарочный сертификат ✨ Он станет отличным подарком для ваших родных и близких, ведь принесёт незабываемые эмоции и впечатления!)
⠀
Но вам даже не обязательно придумывать и угадывать, какое направление выбрать для подарка. Ведь в нашей студии есть также возможность приобретения подарочного сертификата на любой номинал 🎁 Это лучшее решение, которое можно придумать))
Ваши близкие сами выберут понравившийся курс или мастер-класс, будь то живопись маслом, каллиграфия, а может мастер-класс по алкогольным чернилам 🎉
⠀
Выбирать будет нелегко, направлений у нас много! Но тем интереснее, не так ли? ☺️
⠀";1556821325;49;1409366672;True;мастерклассыспб
Bw-H0Nupx6M;"А вот и наша первая арт-вечеринка и она для нас особенно важна!!!🤗
⠀
Под чутким руководством @krasilnikovamary мы будем будем рисовать эту замечательную картину, а также наслаждаться безлимитными угощениями 🍾🍪☕️ и праздничной атмосферой открытия🥳🥳🥳 за 2,5 часа ты напишешь свою первую картину🖼
⠀
Успей записаться по СУПЕРЦЕНЕ 1600 вместо 2000 рублей🎉🎉🎉. Все материалы и угощения включены в стоимость👻

Количество мест ограниченно!
Ждём именно тебя🤗

Для записи пиши в Директ или звони 📲 +79967941491
⠀
#мастерклассыспб #artcartelspb #творческаямастерская #творческаястудияспб #рисуемакрилом #артвечеринкиспб";1556822662;14;9387544609;False;мастерклассыспб
Bw-L-NXjgiH;"...
Стоимость 👉 отзывы 👉 видео 👉 фото 👉 листайте ——————————————————
Дорогие гости! 🌸
🗓 4 и 5 мая Мастерская резных свечей приглашает всех желающих на творческий #мастеркласс по изготовлению Венецианских свечей по уникальной итальянской технологии🇲🇽 ❤ 
Наша мастерская всегда рада новым участника и с нетерпением ждёт своих постоянных свечкоделов! 
Удобное расположение Мастерской, 1 мин. от метро Пролетарская 🚇
✏ На МК требуется предварительная запись! ——————————————————-
Пишите/звоните, задавайте вопросы:
📌 в директ
📌 по тел: 8(965)015 23 90 - Юля 
___________________________________________ 
#резныесвечи #карвинг #кудапойтивспб #мастерклассыспб #детскоетворчество #чемзанятьребенка #детскиемастерклассы #длявзрослыхидетей #творчествосдетьми #творчестводлядетей #занятиясдетьми #поделкавсад #поделкавшколу #идеидлязанятийсдетьми";1556824841;25;3058149690;False;мастерклассыспб
Bw-NWPMp-f-;"В воскресенье 2 июня 2019 года в 13:00 приходи на нашу праздничную арт-вечеринку, на которой мы будем лепить вот такие замечательные керамические ладошки и культурно отдыхать🥂🍪☕️. За 1,5-2 часа ты изготовишь два изделия, которые в дальнейшем сможешь использовать для хранения своих любимых украшений, ключей, да вообщем-то чего угодно🤔

Успей записаться по СУПЕРЦЕНЕ 1280 вместо 1600 рублей. 🎉🎉🎉Все материалы и угощения включены в стоимость👻

Количество мест ограниченно!
Ждём именно тебя🤗

Для записи пиши в Директ или звони 📲 +79967941491
⠀
#мастерклассыспб #artcartelspb #творческаямастерская #творческаястудияспб #ручнаялепка #артвечеринкаспб";1556825562;15;9387544609;False;мастерклассыспб
Bw-OboDJytu;"В понедельник 3 июня 2019 года в 19:00 приходи на нашу арт-вечеринку, на который мы будем рисовать акварелью, пить вино (чай и кофе у нас тоже есть😉), отдыхать после рабочего дня🤯

Успей записаться по СУПЕРЦЕНЕ 1200 вместо 1500 рублей. 🎉🎉🎉Все материалы и угощения включены в стоимость👻

Количество мест ограниченно!
Ждём именно тебя🤗

Для записи пиши в Директ или звони 📲 +79967941491
⠀
#мастерклассыспб #artcartelspb #творческаямастерская #творческаястудияспб #картинаакрилом🎨";1556826131;22;9387544609;False;мастерклассыспб
Bw08_gdokUy;"🖍️Нарисовала эскиз для своего мастер-класса в профиле @stany_masterom.
📏С размерами, всё как положено. Размеры взяла с уже готовой игрушки Альпаки.
⠀
🙄Потом подумала: а что, если мне снять мастер-класс на примере игрушки поменьше?
🐇Убью, думаю, сразу двух зайцев: и мастер-класс запишу и новый формат игрушки сделаю.
⠀
🖍️Снова нарисовала эскиз с уже другими размерами, соблюдая пропорции.
⠀
📽️Сняла на видео урок, как делалю заготовку для основания Альпаки по новым размерам.
☹️Чувствую, что получается мааааленькая-маленькая.
⠀
🤔Теперь сижу и думаю, сделать побольше или делать такую. Вижу, что маленькую будет труднее сделать. Мордочка получится совсем миниатюрная.
⠀
🖍️Короче, наверно, сейчас буду рисовать ещё один эскиз (уже третий) со средними размерами 😂😂😂.
⠀
А у вас так бывает?
⠀
#процесс
#впроцессе
#альпака
#войлок
#вработе
#эскизработы
#началоработы
#моипроцессы
#игрушкиизшерсти
#альпакаигрушка
#альпакакупить
#юлягриг
#страшняшки
#grig_процесс
#grig_назаказ
#встречинaмоховой
#валяниемк
#мастеркласс
#валяниемастеркласс
#мастерклассы
#мастерклассыспб
#мастерклассыдлявзрослых
#мастерклассповалянию
#мастерклассспб
#сухоеваляние
#станумастером
#валяниедляначинающих
#стану_мастером_марафон
#стану_мастером";1556515102;167;2078204823;True;мастерклассыспб
Bw11HT6o40d;;1556546824;44;12730542486;True;мастерклассыспб
Bw16_iXhpCz;"Глеб 8 лет
«В космическом пространстве»
✅Индивидуальные уроки🎨 РИСОВАНИЯ 🎨для детей !!! ✅Подготовка к поступлению в художественную школу.

Возраст от 3.5 лет ☎️ телефон для записи +79633267619

#урокирисованияспб #мк #индивидуальныеуроки #репетитор #частныеуроки #академияхудожеств #рисунок #композиция #живописьакварелью #детирисуют #детскоетворчество #мастерклассыспб #изо #артмуза #искусство #арт #рисование #рисованиевспб #дети #развитиедетей #художественнаястудия #артстудия #частныеурокирисования #спб #питер #акварель #техника #художник #творчество #artwork";1556547504;91;1057006993;False;мастерклассыспб
Bw17O9dDGMX;"ЧУДО КОКТЕЙЛЬ
.
С медом я дружна с детства😊 Бабушка приучила меня пить стакан теплой кипяченой воды с 1й чайной ложкой мёда перед сном. Это отлично укрепляет иммунитет.
.
А если начинать свой день с такого коктейля, это ускорит процесс метаболизма, благодаря чему поможет похудеть. Зарядит вас энергией и позволит быть активным целый день. Организм чистится от токсинов, улучшается пищеварение и вы дольше будете чувствовать себя сытым.
.
🔆Про медовый массаж слыхали? Меня обучили ему в колледже, кто не знает по профессии я технолог-эстетист и на уроках массажа нам рассказали про чудодейственный массаж, который выводит шлаки из организма.
.
🔆В кулинарии я использую мед и в салатных заправки, но чаще для приготовления свинины.
.
🔆Я вам больше скажу сыну с года стала давать мед при болезни. И скажу сразу для #яжматерей его не сыпет🙌
.
🔆А косметические маски для лица и волос, заметили, что в большинстве используют мед, а все почему?! Потому что в составе меда полезные микроэлементы и витамины, которые благодаря структуре меда способны проникать в глубокие слои и оказывать мощное питающее действие. Мед образует на поверхности кожи лица пленку, которая препятствует испарению влаги, но не закупоривает поры. Маски для лица обладают лифтинг-эффектом, подтягивая и возвращая былую упругость зрелой кожи. Их можно применять при любом типе кожи и волос.
.
Мед сейчас много, где используется, но я выбираю натуральные продукты. И вот уже несколько лет беру мед только у @bee_stories Я могу вам сказать с полной уверенностью, что он натуральный, с собственной пасеки.
.
Да, и 30 апреля, это уже завтра👉в Санкт-Петербурге на Греческом проспекте 17 в 18:00 пройдет мастер-класс по приготовлению сыроедческих конфет, дегустация меда и презентация нового комикса BeeStories. Вход бесплатный✌
.
Встретимся там💕 По промокоду takayayamama вы сможете приобрести мед со скидкой 10%
.
Любите мед? Как используете? Слышали о медовом массаже?";1556547630;1223;1749924224;False;мастерклассыспб
Bw18mP2Bpu1;Самое желанное занятие для многих - часик на гончарном круге. Очень расслабляет и одновременно собирает, учит чувствовать своё тело и его желания. Но на самом деле - это совсем не просто. Многие вообще разучились слышать своё тело, дёргаются, нервничают, психуют. И только через несколько часов приходит наслаждение и упоение от собственной силы - в руках, сознании, душе. Гончарный круг - карта вашего внутреннего мира, которая помогает прийти к себе... #гончарныйкруг #гончар #керамикаручнойработы #керамикадлядома #керамист #мастеркласс #мастерклассыспб;1556548345;11;7423822736;False;мастерклассыспб
Bw1GmvxF8Dz;Зеркало в ванную комнату #ваннаякомната#дизайнванныхкомнат#зеркаловванную#зеркалосподсветкой#лофт#мебельлофт#спб#невскийпроспект#массивдерева#мебельизмассиваспб#ремонтванной#lexloft#loft#loftinterior#мебельназаказспб#слэбспб#купитьзеркала#ваннаялофт#мастерклассыспб#выходные#питер❤️;1556520038;58;12003363898;False;мастерклассыспб
Bw1JyaWjeIW;"К НАМ НЕ ПРИХОДЯТ КЛИЕНТЫ 
Да, клиенты к нам не приходят, к нам приходят друзья. Каждого мастера, который открывает дверь в нашу гримёрку мы воспринимаем как друга. И как для самого дорогого друга стараемся сделать все в наилучшем образе. Нам очень важно, чтобы вам работалось легко и комфортно. Поэтому в нашей гримерке самый дружелюбный прайс, самый вкусный кофе и самые отзывчивые администраторы, которых мы зовём «наши рыженькие феи»)) Приходите, и убедитесь в душевности атмосферы в нашем бьюти-пространстве. кстати напоминаем, что первая аренда в нашей гримерке  БЕСПЛАТНА) 💰💰💰#гримеркаспб #арендагримеркиспб #обучениевизажистов #рабочееместовизажистаспб #мастерклассыспб #бьютиковоркинг #урокимакияжа #фотосессияспб #студиямакияжа #макияжспб";1556521706;20;3194215862;False;мастерклассыспб
