post_id;text;date;likes;owner_id;is_video;by_tag
BTW76PpgklO;"Заколка для волос из ракушек, основа из искусственной кожи🐚
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1493230772;12;5379671413;False;мастерклассэпоксиднаясмола
BTW7W7BgHvP;"Ожерелье. Эпоксидная смола, лепестки цветов, металлическая фурнитура, кожаный шнурок.
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1493230482;10;5379671413;False;мастерклассэпоксиднаясмола
BTW7nCrg3Ky;"Воротник из бисера на кож.зам. основе.
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1493230614;9;5379671413;False;мастерклассэпоксиднаясмола
BTW8AhxgiIK;Ожерелье из полимерной глины.;1493230823;8;5379671413;False;мастерклассэпоксиднаясмола
BTbIvW8guo0;"Формат А3, акрил, бумага
#КоваленкоАЮ  #картина #Самара";1493371716;28;5379671413;False;мастерклассэпоксиднаясмола
BVrU2ddAE-A;"Картина без рамы
🎨 бумага, акрил, гуашь
📏75×30
💲300 рублей
📦доставка 250 рублей, самовывоз из Кошелев Парка
По вопросам в Direct 
#КоваленкоАЮ #картина #Самара";1498209904;24;5379671413;False;мастерклассэпоксиднаясмола
BW3H3hcFStX;#гуруваяет #sasha_roschin #мастерклассэпоксиднаясмола #АРТкомбинат;1500753234;209;241919043;False;мастерклассэпоксиднаясмола
BYN0DeIgBKr;"Холст на подрамнике, 50×70, акрил. 💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1503662081;33;5379671413;False;мастерклассэпоксиднаясмола
BYX52wcgvZo;;1504000667;28;5379671413;False;мастерклассэпоксиднаясмола
BZxrkDTgO9m;"Подарок
Холст на подрамнике, акрил, 50*70
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1507013073;28;5379671413;False;мастерклассэпоксиднаясмола
BaZjYrDgyy1;"Сестренки Аня и Яна👭
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1508350963;37;5379671413;False;мастерклассэпоксиднаясмола
Bc5Vds7gB2H;"Доброго времени суток!🤗
Здесь я расскажу о моих куклах👭
⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐
~Шью я кукол из интерлока, футера или хлопка. Наполняю синтепухом,☁️ не из старых подушек, а покупаю новый.☝️ Набивка довольно плотная. Так как ткань фабрично тонированная, я ее дополнительно не тонирую.
~Рисую🎨лица акриловыми красками, пастелью, акварельными карандашами без всяких шаблонов, т.е. от руки и по велению сердца💕
~Одежду👗👚для кукол и самих кукол я шью только из новых материалов. Для кукольной одежды использую чаще всего: хлопок, трикотаж, красивые и хорошего качества кружева, евро - сетку, искусственную кожу и замшу.👠👜
~Волосы надежно закреплены. Трессы использую искусственные.💇
~Храню куколок в отдельных коробочках и только в шкафу (солнечный свет на них не попадает)📦. В руки кукол я никому не даю.🙅 Кремами во время работы я не пользуюсь.🙅 Отдушки не использую.🙅
~Все свои творения я очень люблю!💞 В каждое свое творение вкладываю только теплую, добрую энергетику,☀️в плохом настроении ни чего не делаю,😑по этому куколки будут излучать только добро.😇Все куколки это ручная работа и требуют к себе бережного  и любящего отношения.💝🌈
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1513712373;21;5379671413;False;мастерклассэпоксиднаясмола
BeIhEmCgr-8;"На заказ👧
📏35 сантиметров вместе с шапкочкой
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1516369259;29;5379671413;False;мастерклассэпоксиднаясмола
BeXhcnSgzYe;"Очень часто я сталкиваюсь с тем, что человек, который впервые видит кукол с двумя точками на личике, относится к ним с непониманием. Некоторые даже думают, что это ноздри😊 А глаза и нос, рот — отсутствуют😊  Есть еще и философское объяснение отсутствие рта у Большеножек: так кукла не выражает эмоции и легко принимает настроение своего владельца,  она всегда будет на одной «волне» со своим хозяином. Большеножек не нужно воспринимать слишком серьезно, в этом мире нет места серьезному взгляду на жизнь. Её нужно принимать такой, какая она есть. Конечно, вы можете нарисовать ей нос и рот, но это будет уже не Большеножка, а кто-то другой.  Лично я  горячо люблю их всем сердцем и хочу, чтобы ценителей стало больше.💞
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1516872772;30;5379671413;False;мастерклассэпоксиднаясмола
BgRC5v_Fjn3;"В свой день рожденье хочу познакомить Вас с очаровательной малышкой, она так сильно любит животных, что сама себе сшила медвежий комбенизон😊
Описание и цену выложу чуть позже
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1520950398;41;5379671413;False;мастерклассэпоксиднаясмола
BgbWOBolMnl;"Чемоданы собраны, можно ехать в новую семью✈️
Малышка с пышной шевелюрой, самостоятельно стоит
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1521296070;30;5379671413;False;мастерклассэпоксиднаясмола
BgwWtA6AFDV;"Люблю март за 
1️⃣ 8 марта Международный женский день💐
2️⃣ 13 марта мой день рождение, 15 и 18 марта дни рождения моих родителей, а 26 у моей прабабушке юбилей ей 90 лет! У кого ещё есть прабабушка?😊
По весеннему одеваться ещё рано по этому эта малышка в теплой шапочке и сапожках😊
Готова лететь к своей маме😊
📏30 сантиметров
💲1500 рублей (без доставки, доставка обговаривается отдельно)
📦доставка любую точку 🗺️ самовывоз Кошелев Парк г.Самара
❓По вопросам в Direct
#КоваленкоАЮ #интерьернаякукла #Самара";1522000967;32;5379671413;False;мастерклассэпоксиднаясмола
BhJgh-MgB2h;"Неужели весна?🔅
💜
Наличие на ➡️ @zolotye_ruhki_nalichie";1522844980;26;5379671413;False;мастерклассэпоксиднаясмола
