post_id;text;date;likes;owner_id;is_video;by_tag
BvvnmuVjkeA;"Кожен подарунок, навіть самий маленький, стає великим даром, якщо ти вручаєш його з любов'ю. (У. Уолкот).
Якщо підбираєш подарунок для коханої людини, то невеличка коробочка з хрусткими вершковими цукерками допоможе висловити свої почуття, навіть без слів❤️❤️ P.s. Є дієтичний варіант цукерок

#nadinno_savoureux_cook#savoureux#dessert#sweets#bonbons#rafaello#glutenfree#love#fitness#propernutrition#healthyfood#healthydessert#bonnenutrition#fitfood#мк#майстерклас#мкіф#мківанофранківськ#правильнехарчування#цукеркиназамовленняіф#іванофранківськ#fitdessert#dietary#dietarydessert#surprisebox#sansgluten#pâtissier#pastry#pastryelite";1554188529;281;7410773927;False;мк
Bw1LD4_j26a;"Вся актуальная палитра в вечных сторис)) Принимаем заказы на кож. фурнитуру по вашим параметрам и на стандартные расчёты !

Цены очень демократичные, также на все наборы скидки!

Есть опт:
(На опт доставка по городу бесплатная от 5 т. р. !) Заказ на сумму 2 000 скидка 3%
Заказ на сумму 3 000 скидка 5 %
Заказ на сумму 5 000 скидка 10%
Заказ на сумму 7 000 скидка 15%
Заказ на сумму 10 000 скидка 20%
Заказ на сумму 15 000 скидка 25%";1556522374;33;6754369605;False;мк
BxM1sk4A5tO;"Маленькие и очень практичные мышата. Великолепно смотрятся в виде брошки или магнитика. Спокойно переносят влажную чистку.

Стоимость МК 500р.";1557316479;74;6161555481;False;мк
BxO75eoDlh2;"РАЗМЕРЫ
55 x 48 см

ВАМ ПОТРЕБУЕТСЯ
Пряжа (100% вискозной целлюлозы(рафия) 115 м/50 г) — 500 г коричнево-желтой(крючок №3,5; кожаные ремешки)

УЗОРЫ И СХЕМЫ
СТ. Б/Н
Вязать рядами в прямом и обратном направлении: каждый ряд начать с 1 дополнительной в.п. подъема и закончить 1 ст. б/н в 1-й ст. б/н предыдущего ряда. 
Круговыми рядами: каждый круговой ряд начать с 1 дополнительной в.п. подъема и закончить 1 соед. ст. в 1-ю в.п. кругового ряда.

ПЛОТНОСТЬ ВЯЗАНИЯ
Плотность вязания: 14 п. х 17 р./круг.р. = 10 x 10 см.

ВЫПОЛНЕНИЕ РАБОТЫ
ПЕРЕДНЯЯ СТЕНКА СУМКИ
Выполнить цепочку из 51 в.п. + 1 в.п. подъема и вязать основным узором. 
Для придания формы прибавить с обеих сторон в каждом следующем ряду от начального ряда 13 x 1 п. согл. узору = 77 п. 
Через 48 см от начального ряда закончить работу. 
Заднюю стенку сумки вязать аналогично.
ДНО СУМКИ С БОКОВЫМИ ДЕТАЛЯМИ
Выполнить цепочку из 15 в.п. + 1 в.п. подъема и вязать основным узором. 
Примерно через 141 см от начального ряда (измерить по одной стенке сумки) закончить работу.

КАРМАН
Сделать 1 кольцо из нити и выполнить 8 ст. б/н в кольцо = 1-й круговой ряд. 
Продолжить работу круговыми рядами. 
2-й круговой ряд: удвоить каждую петлю = 16 п. 
3-й круговой ряд: удвоить каждую 2-ю петлю = 24 п. 
4-й круговой ряд: удвоить каждую 3-ю петлю = 32 п. 
5-й круговой ряд: удвоить каждую 4-ю петлю = 40 п. 
6-й круговой ряд: удвоить каждую 5-ю петлю = 48 п. 
7-й круговой ряд: удвоить каждую 6-ю петлю = 56 п. 
8-й круговой ряд: удвоить каждую 7-ю петлю = 64 п.
9-й круговой ряд: вязать без прибавок. 
10-й круговой ряд: удвоить 5 x каждую 12-ю петлю = 69 п. 
11-й круговой ряд: удвоить 6 x каждую 11-ю петлю = 75 п. 
12-й круговой ряд: удвоить 10 x каждую 7-ю петлю = 85 п. 
13-й круговой ряд: удвоить 14 x каждую 6-ю петлю = 99 п. 
14-й круговой ряд: удвоить 16 x каждую 6-ю петлю = 115 п. 
15-й + 16-й круговой ряд: вязать без прибавок. 
17-й круговой ряд: удвоить 10 x каждую 11-ю петлю = 125 п. 
18-й круговой ряд: вязать без прибавок. 
19-й круговой ряд: удвоить 4 x каждую 31-ю петлю = 129 п. 
20-й круговой ряд: удвоить 4 x каждую 32-ю петлю = 133 п. 
21-й круговой ряд: удвоить 8 x каждую 16-ю петлю = 141 п. 
ПРОДОЛЖЕНИЕ В КОММЕНТАРИЯХ";1557386839;132;6754369605;False;мк
BxT6ziNDYKf;#ручнаяработа#амигуруми#игрушкиназаказ#вналичии#мишки#игрушки#мягкаяигрушка#схемы#мк#вязание#вязаниекрючком#handmade#детям#слюбовью#петельки#учимсявязать;1557554039;7;9001396025;False;мк
BxeqN48AUzm;"РАЗМЕРЫ
Высота — 42 см, ширина — 34 см.
ВАМ ПОТРЕБУЕТСЯ
Пряжа (50% хлопка, 50% акрила; 50 г/150 м) — 3 мотка светло-розовой и 2 мотка коралловой;крючок №3.

ВЫПОЛНЕНИЕ РАБОТЫ
Нитью кораллового цвета набрать 2 в.п. и выполнить 6 ст. б/н во 2-ю в.п. от крючка. Вязать по кругу:

1-й ряд: по 2 ст. б/н в каждую петлю = 12 п.
2-й ряд: * 1 ст. б/н, 2 ст. б/н в следующую петлю*, повторять от * до * = 18 п.
3-й ряд: * 2 ст. б/н, 2 ст. б/н в следующую петлю *, повторять от * до * = 24 п.
Продолжать прибавлять по 6 п. в ряду, пока не будет связан 31 р. = 192 п., затем выполнить 2 р. ст. б/н без прибавок.
Перейти на светло-розовую нить, связать 3 в.п. (вместо 1-го ст. с/н) и выполнить по 1 ст. с/н во все петли до конца ряда. Закончить ряд соед. ст. в 3-ю в.п. 
Внимание!
Все последующие ряды узора «Ромбы» начинать с 3 в.п. вместо 1-го ст. с/н, заканчивать — соед. ст. в 3-ю в.п.
1-й ряд: выполнить 6 ст. с/н (ст. с/н, в.п., пропустить петлю) х 6. Продолжить: * 12 ст. с/н (ст. с/н, в.п., пропустить петлю) х 6 *, повторять от * до *. Закончить ряд 6 ст. с/н.
2-й ряд: выполнить 5 ст. с/н (ст. с/н, в.п., пропустить петлю) х 7. Продолжить: * 10 ст. с/н, (ст. с/н, в.п., пропустить петлю) х 7 *, повторять от * до *, закончить ряд 5 ст. с/н.
3-й ряд: выполнить 4 ст. с/н (ст. с/н, в.п., пропустить петлю) х 8. Продолжить: * 8 ст. с/н (ст. с/н, в.п., пропустить петлю) х 8 *, повторять от * до *, закончить ряд 4 ст. с/н.
4-й ряд: выполнить 3 ст. с/н (ст. с/н, в.п., пропустить петлю) х 9. Продолжить: * 6 ст. с/н (ст. с/н, в.п., пропустить петлю) х 9 *, повторять от * до *, закончить ряд 3 ст. с/н.
5-й ряд: выполнить 2 ст. с/н (ст. с/н, в.п., пропустить петлю) х 10. Продолжить: * 4 ст. с/н (ст. с/н, в.п., пропустить петлю) х 10 *, повторять от * до *, закончить ряд 2 ст. с/н.
6-й ряд: выполнить 1 ст. с/н (ст. с/н, в.п., пропустить петлю) х 11. Продолжить: * 2 ст. с/н (ст. с/н, в.п., пропустить петлю) х 11 *, повторять от * до *, закончить ряд 1 ст. с/н.
7-й ряд: * ст. с/н, в.п., пропустить петлю*, повторять от * до * до конца ряда.
8-й ряд: вязать, как 6-й ряд.
9-й ряд: вязать, как 5-й ряд.
10-й ряд: вязать, как 4-й ряд.
11-й ряд: вязать, как 3-й ряд.
ПРОДОЛЖЕНИЕ В КОММЕНТАРИЯХ";1557914440;246;6754369605;False;мк
BxmBppDHD2A;"Девочки, для вашего удобства сделала (подглядела у ZARA) магнитные кнопочки на пришивной кожаной основе, специально для тех кто не любит кнопочки👌😉 Набор для шопера из натуральной кожи

1 ФОТО

ЦЕНА НАБОРА 420 рублей🦋🦋🦋(скидка на набор 10%)
Ручки пришивные размером 70 см ширина 2см
Магнитная кнопка на кожаной основе 
Цвет кожи :Чёрный , цвет фурнитуры никель

Цены по отдельности ручки пришивные 420 рублей
Застежка 50 рублей 
2 ФОТО

ЦЕНА НАБОРА 510 рублей🦋🦋🦋(скидка на набор 10%)
Ручки пришивные размером 70 см ширина 2см
Застежка на кнопке 14 см 
Цвет кожи :Чёрный , цвет фурнитуры никель

Цены по отдельности ручки пришивные 420 рублей
Застежка 150 рублей

На заказ любой цвет из палитры, любые размеры и расположение проколов) 
ВСЕ ЦЕНЫ ОТ  ПРОИЗВОДИТЕЛЯ 🔥🔥🔥";1558161607;45;6754369605;False;мк
BxqJHS9H1DZ;"Леопард! Да,это безусловно тренд 2019 😺 Животный принт все больше и больше охватывает инстаграмм,и знаете мне такой дизайн тоже по душе🐆
Как сделать такой дизайн?👇🏻
➖ наносим любую светлую подложку( я использую камуфляж от TNL 02) покрываю в два слоя, сушу каждый из них 30 сек
➖ далее берём яркий цвет( я взяла Masura 294-277) и заполняем чуть меньше половины ноготка,сушим
➖ прорисовываем две полосочки,одну потолще,она будет разделять два наших цвета и одну потоньше,ее рисуем поверх яркого цвета ➖ далее берём коричневый оттенок( я взяла Vogue,но я не угадала с цветом,он оказался темноват,поэтому берите оттенок чуть светлее моего)
➖ рисуем небольшие произвольные разводы на светлой части ноготка,сушим
➖ дальше берём гель-краску и небольшими штришками проходим по контуру каждого пятнышка,которое мы нарисовали до этого
Почему я прогадала с коричневым цветом? Да все потому что он слился с чёрной гель-краской и из-за этого рисунок получился не четким,поэтому будьте внимательнее при выборе оттенков,не повторяйте моих ошибок😺
➖вы можете сушить каждое пятнышко со штришками отдельно или если вы уверены что ничего не размажете,то сушить весь дизайн
➖перекрываем матовым топом и дизайн готов😼
#леопардовыйпринт#животныйпринт#дизайн#дизайнногтей#мк#мкногти";1558299738;34;6184357805;False;мк
BxrZPi9hwMg;"Вот и новенькие 3Д слайдеры в действии 🌺🌸
⠀
Испробовали и котиков и Цветочки... не смогли определиться на чем то одном 😂, как часто бывает 🤷‍♀️
⠀
С маникюром отходила моя девочка @kristina_vatutina 🌺. аж 6 неделек! Не смогли мы раньше состыковать наши свободные окошки! Увы! 🗓📆
⠀
Но это исключение у нас, а ни в коем случае не норма. ❌Ногтям очень тяжело, когда центр тяжести так срастает...🆘
⠀
Лучшее время для замены маникюра это 3-4 недельки, в зависимости от скорости роста ногтей.
⠀
Ну эстетику я уж опускаю... хотя тоже не мало важный факт❗️, что при столь длительной носке проседает даже столь твёрдая база, которую я использовала. Посмотрим как поведёт новая база от марки Diva 💁🏻‍♀️
⠀
Увидим через месяц! А пока проверьте ваш 📅 Календарь, записаны ли вы на маникюр?
⠀
Москва Ⓜ️ ЧИСТЫЕ ПРУДЫ
📞 8-926-911-10-16
Активная ссылка в шапке профиля 👆🏼
⠀
Все работы по тегу #nailpopova";1558342690;17;627188884;True;мк
BxtxtPugPjv;"🤩НОВИНКА в НАЛИЧИИ 🤩
.
🍃Стильный комплект для малышки
.
✨Размер 74 - 86
.
🍃В комплекте:
.  #блумеры
#платьедлямалышки
#солоха
.
✨Ткань сатин ( хлопок 100 %)
.
🍃Доступны к заказу любые размеры и любые принты
.
📳По всем вопросам ждём Вас в директ, viber, WhatsApp +79532988767
.
🌏Отправка почтой или ТК в любую точку мира
.";1558421714;19;11576503177;True;мк
