post_id;text;date;likes;owner_id;is_video;by_tag
BVkxEw6DIzV;"Бэкстейдж МК по семейной и детской фотографии в г.Саратове -20.06.2017г.
#мкfamilyfoto
#workshopfamilyfoto";1497989820;34;2322229476;True;мкfamilyfoto
BXp4sbDDDNH;"Создаём красивые детские фотоистории ©FAMILY FOTO 👦🏻модель Рамир @mister_ramir 🔝модельное агенство @matreshka_kids
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto #matreshka_kids";1502456554;170;2322229476;False;мкfamilyfoto
BXp5Tclgz-L;"@Regrann from @family_foto_ -  Создаём красивые детские фотоистории ©FAMILY FOTO 👦🏻модель Рамир @mister_ramir 🔝модельное агенство @kids.matreshka 
#обучениефотокрд #фотокраснодар #фотошколакрд #matreshka_kids #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto - #regrann";1502456874;77;5366197804;False;мкfamilyfoto
BXp5flaD1wL;"Создаём красивые детские фотоистории ©FAMILY FOTO 👦🏻модель Рамир @mister_ramir 🔝модельное агенство @matreshka_kids
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto #matreshka_kids";1502456973;154;2322229476;False;мкfamilyfoto
BXp5rlsDsMs;"Создаём красивые детские фотоистории ©FAMILY FOTO 👦🏻модель Рамир @mister_ramir 🔝модельное агенство @matreshka_kids
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto #matreshka_kids";1502457072;171;2322229476;False;мкfamilyfoto
BXp5tuzDur4;"Создаём красивые детские фотоистории ©FAMILY FOTO 👦🏻модель Рамир @mister_ramir 🔝модельное агенство @matreshka_kids
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto #matreshka_kids";1502457089;62;2322229476;False;мкfamilyfoto
BXp5uHfgcq8;"@Regrann from @family_foto_ -  Создаём красивые детские фотоистории ©FAMILY FOTO 👦🏻модель Рамир @mister_ramir 🔝модельное агенство @matreshka_kids
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto #matreshka_kids - #regrann";1502457093;88;5366197804;False;мкfamilyfoto
BXp5wUtDjeD;"🌿Мастер - класс семейного и детского фотографа ТО ""FAMILY FOTO"" Милы Каменевой по семейной фотографии ✅КРАСНОДАР
🌿28-29 августа 
@family__foto ⭐️
📸Мастер-класс будет интересен как начинающим так и профессиональным фотографам, а так же всем тем, кто хочет научиться создавать теплые и красивые фотографии семейных историй, правильно пользоваться рекламой и продвижением , делать красивую обработку фотографий 🖼 ✅ПРОГРАММА МК и ЗАПИСЬ НА МК 📲Координатор-организатор - Эля Купаева  8-918-938-28-77 или в Директ @elvira_familyfoto/ @family_foto_ 📸Фотограф - Мила Каменева (https://vk.com/mila_cam) @family_foto_ - портфолио
модель Рамир @mister_ramir 🔝модельное агенство @matreshka_kids
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар #мастеркласскрд 
#обучениефотокрд #фотокраснодар #фотошколакрд #фотошколакраснодар
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto #matreshka_kids";1502457111;456;2322229476;False;мкfamilyfoto
BXv-5UiD-Ul;"Repost from @family_foto_ 🔜🔜🔜Фото в рамках workshop Милы Каменевой @family_foto_ ""Sweet morning"" в потрясающе атмосферном @loftpotolok . 🔝Модели -прекрасная пара @suzannmen 🔝Организатор @elvira_familyfoto
👄визажист @makeup.hair_bysokolova 🌿🔝Оформление и локация @loftpotolok 
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto
#обучениефотокраснодар #loftpotolok #фотостудиякраснодар #workshopfamilyfoto #workshopkrd #воркшопкраснодар #краснодарфото #фотосессиякраснодар #lovestory #familyfoto
#фотостудиякраснодар #фотостудиякрд #лофткрд #photokrd #фотопространствокрд #интерьерloftpotolok";1502661132;147;5543524504;False;мкfamilyfoto
BXv-BZmDsV4;"Наши workshop соответствуют заявленным ожиданиям 😊

ВСЕГДА✔️
Ожидание /реальность 🔜🔜🔜🔜🔜🔜 🔜🔜🔜Фото в рамках workshop Милы Каменевой @family_foto_ ""Sweet morning"" в потрясающе атмосферном @loftpotolok . 🔝Модели -прекрасная пара @suzannmen 🔝Организатор @elvira_familyfoto
👄визажист @makeup.hair_bysokolova 🌿🔝Оформление и локация @loftpotolok 
#workshopfamilyfoto #familyfoto #workshopкраснодар #воркшопкраснодар #воркшопкрд #мастеркласспофотографии #мастеркласскраснодар #мастеркласскрд #обучениефотокрд #фотошколакраснодар #фотошколакрд #обработкафотографий #мкfamilyfoto
#обучениефотокраснодар #loftpotolok #фотостудиякраснодар #workshopfamilyfoto #workshopkrd #воркшопкраснодар #краснодарфото #фотосессиякраснодар #lovestory #familyfoto
#фотостудиякраснодар #фотостудиякрд #лофткрд #photokrd #фотопространствокрд #интерьерloftpotolok";1502660674;223;2322229476;False;мкfamilyfoto
