post_id;text;date;likes;owner_id;is_video;by_tag
Bv-_6Q0BYaF;"💞Нежности в ленту 👌
❤️Благодарю за лайк ❤️
. Начало весны, диктует нам свои, особенные правила. Улыбаться каждому дню, радоваться солнышку, замечать мелочи и детали на улице, во дворе. Вот уже, практически везде, растаял снег, мы его уже не любим, грязный, некрасивый снег, нас даже раздражает. Мы слушаем, как начинают петь птицы и можем стоять долго и молча, получая истинное наслаждение от этих волшебных трелей. А воздух, какой чудесный, пахнущий воздух, такой тёплый , лёгкий, нежный и волнующий до глубины души. Сразу идут, прекрасные воспоминания и ты уже видишь, как набухли почки на деревьях, распустились пушистые и мохнатые котики, которых хочется потрогать, понюхать. Наша душа расцветает с весной, вдохновляется новыми ароматами, звуками, и конечно же ждёт, чего-то нового, дерзкого, чувственного и безумно волшебного. Ах весна, весна, она диктует новые правила, эмоции, и ожидание прекрасного счастья, именно здесь, именно сейчас, именно сегодня 🙏 ❤️😘
. С любовью, ваша Лариса ❤️❤️❤️ #акварельнаногтях#
#nails#instanails#
#видеокурсыакварель#
#курсыпоакварели#
#нейлартакварелью#
#ручнаяроспись#видео# #мкакварель#топмастеров #
#рисункинаногтях#ногти2019#
#мкгелькраска#мкгельлак#нейларт#
#nailstilist#watercolornail#nailstyle#арт#
#маникюрмосква#видео#росписьногтей#
#курсыпоакварелимосква#курсыросписиногтей#дизайнногтеймосква#нейлдизайн#
. ☎️Запись в шапке профиля, просто жми на ссылку и да будет вам счастье ❤️👌";1554704588;117;2236036214;False;мкакварель
Bv-hF7CgWF_;"Прекрасной недели, красоточки 💐
Начну неделю с того, что важно для меня
Мои киты 🐳 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
☝🏾Цель от Бога (именно откровение от Него лично для меня) ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
☝🏾Постоянство ⠀⠀⠀⠀⠀⠀⠀⠀⠀
🙏🏾Благодарность ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀☝🏾Ответственность за свои поступки и даже ошибки ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Желание достигать и много тренироваться 🏋️‍♂️ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Что вам помогает идти вперёд? 
Или наоборот каких качеств не хватает для достижения целей?
⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
•
•
•
•
•
#мкногти #мкдизайнногтей #мкакварель #мкакварельнаногтях #дизайнногтей #ногти #ногтиминусинск #ногтиабакан #ногти2019  #акварель #пейзаж #пользаголиковой #минусинск #маникюрныйинстаграм #маникюр #маникюрминусинск #минусинскманикюр";1554688431;114;4057606738;False;мкакварель
Bv06xecB-nd;"Вариант дизайна с классическими цветами 🙂

График на апрель 👇🏼
8.04(пн) 10.00 (Выезд на Львовскую, Толбино)
9.04(вт) выходной 
11.04(чт)  12.00 14.00 16.00
12.04(пт) 10.00 12.00 14.00
13.04(сб) 10.00 14.00 (Толбино)
14.04(вс) 12.00 
15.04(пн) 14.00 16.00 (Подольск)
16.04(вт) 10.00 12.00 14.00 16.00
17.04(ср) 10.00 12.00 
18.04(чт) 10.00 12.00 14.00 16.00
19.04(пт) 10.00 12.00 14.00
20.04(сб)10.00 (Подольск)
21.04(вс) 10.00 (Толбино)
22.04(пн) выходной 
23.04(вт) 10.00 12.00 14.00 16.00
24.04(ср) 10.00 12.00 14.00 16.00
25.04(чт) 10.00 12.00 14.00 16.00
26.04(пт) 10.00 12.00 14.00
27.04(сб) 10.00 12.00 
28.04(вс) 10.00 12.00 
29.04(пн) 10.00 12.00 14.00 16.00
30.04(вт) 10.00 12.00 14.00 16.00";1554366351;124;6613632902;False;мкакварель
Bv0PvqgAw8r;"Ну что ребят, я возвращаюсь!!!! ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Хочу делать то, что реально моё ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Я потратила целый год снова угождая всем подряд и слушая мнение других, просто навязанное мне ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
И даже увидела как мою идею с пейзажами подхватили блогеры, после публикаций моих мк в популярных пабликах ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Последней каплей было увидеть СЛУЧАЙНО свои работы в приложении #Pinterest 
Это реально знак🙏🏾 ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀
Все!!! Не хочу больше так 
Буду рисовать снова и стараться делать с большей силой

И конечно верю, что здесь есть те, кто реально понимает о чем я и поддерживает меня✊🏽";1554343791;95;4057606738;False;мкакварель
Bv1VAs7HAnX;"Девочки, еще один курс ВЫХОДНОГО ДНЯ🌸""Ботаническая иллюстрация акварелью""🌸 !
с 6 апреля!  Читайте до конца, чтобы понять уровень преподавателя!!👇👇👇
Мы так подгадали, чтобы закончить курс до майских праздников!
Это правда очень клевый курс, созданный владельцами студии вместе с заведущей сектором ландшафтной архитектуры Русского музея!!💣💣💥 Он прекрасен тем, что разработан с учетом ритма жизни современной девушки: ✨желанием развиваться и ✨ценностью личного времени!
Ничего лишнего, но достаточно подробно для того, чтобы ты смогла погрузиться в мир акварели!
😊Мы позаботились о том, что во время занятий у тебя будет все необходимое, не надо ехать за кисточками или выбирать правильную бумагу - все самое лучшее мы уже подготовили!
Ждем вас, наши дорогие, до встречи! 🚀старт 6 апреля по субботам в 12.00
4 тематических занятия, полное погружение в мир цвета и цветов!
__________________________________________
Узнать подробности и записаться
📲тел/WhatsApp/Viber +7(911)9253175
📥директ

#artandme_spb #художественнаяшколаспб #курсырисованияспб #цветочныйпринт #арт #мастерклассспб #дольчегаббана  #watercolorspb #акварель #подиум #мкакварель #акварельспб #урокипоакварели #рисование #платье #botanical #botanicalillustrations  #ботаническаяиллюстрация #ботаника #artandme_botanica";1554380107;255;2984984900;False;мкакварель
Bv3IBpBBB-m;"Благодарю за лайк ❤️
👌Подпишись на мою страницу
👌Не забудь, сохранить
🖌️🎨Привет, всем моим любимочкам. Я к вам, с новой порцией акварельной вкусняшки. Спасибо за ваши комментарии, жду отзывы, как вам эта нежная прелесть?  Важно, ваше мнение 😘❤️👌
#акварельнаногтях#
#nails#instanails#
#видеокурсыакварель#
#курсыпоакварели#
#нейлартакварелью#
#ручнаяроспись#видео# #мкакварель#топмастеров #
#рисункинаногтях#ногти2019#
#мкгелькраска#мкгельлак#нейларт#
#nailstilist#watercolornail#nailstyle#арт#
#маникюрмосква#видео#росписьногтей#
#курсыпоакварелимосква#курсыросписиногтей#дизайнногтеймосква#нейлдизайн#
. ☎️Запись в шапке профиля, просто жми на ссылку и да будет вам счастье ❤️👌";1554440408;229;2236036214;False;мкакварель
Bv3XIfrFb1o;"👄Уже в это воскресенье рисуем акварелью еще одну роковую красотку на мастер-классе ""Девушка в синем""!
⠀
Да, рисовать людей непросто, но очень увлекательно! Если вас зажигает эта тема, надо пробовать!
⠀
Уровень сложности - сложно (но это не пугает, а только еще больше воодушевляет!)
Формат работы А3
⠀
На мастер-классе мы с вами:
1. Изучим основные пропорции лица
2. Научимся обобщенному построению головы в повороте три четверти
3. Изучим пропорции верхней части тела относительно головы
4. Выполним красивые заливки акварелью
⠀
⏰Когда: 7 апреля с 16:00 до 19:00
📍Где: Челюскинцев, 26, 5-й этаж, офис 510 (ориентируйтесь на вывеску на здании ""Стоматология на Челюскинцев"")
⠀
👛Стоимость мастер-класса 1500 рублей
(предоплата 500 рублей)
⠀
🔥Чтобы получить спец. цену на этот мастер-класс - ставьте лайк этому посту, подписывайтесь на наш аккаунт студии @akvamarin_art, и напишите в директ ""Хочу узнать спеццены для подписчиков""
Мы с радостью вышлем вам более выгодные условия участия!
⠀
Для записи на мк, напишите ""Хочу записаться на розу пастелью"" в директ @akvamarin_art или лично преподавателю мк - @olgachukleeva_art
⠀
#мастеркласстюмень #мктюмень #тюмень #тюмень72 #мкаквамарин #мкакварель #мастерклассакварель #рисованиетюмень";1554448328;9;8550444180;False;мкакварель
Bv3dZx1hcBQ;"Пятничка 🌿

Пусть будет у вас в ленте цветочно-брюссельская💐

Я пока немного в «домике» 🏠 
Заряжаюсь, наполняюсь✨

Март был трудноват на заказы, но я умею обнулять 
Дзынь ✨ и как новенькая✨

Тем более происходят перемены, которые давно, давно хотела🙃
Тестовый режим🌟

А так хороших Вам выходных, у меня намечаются итальянские 💃🏼 buona giornata ☀️ Ждусь🙃
_
#koba_art #brending #логотиптольятти #логотип #визиткитольятти #визиткисамара #логотипсамара #логотип #лого #illustration #illustrator #инстамамс_тлт #тольятти #instarussia #tlt #logo #visits #брендинг #брендингтольятти #брендингсамара  #brand #logo #акварельныемастерклассы #мкакварель #мк";1554451615;83;230890562;False;мкакварель
Bv4AIt7hjMx;"#Repost @larisa_best_ (@get_repost)
・・・
🎨Поговорим о красках! Вчера, сделав себе выходной, я отправилась на Маяковскую, (смотри сториз) в свой любимый магазин @peredvizhnik . Закупаюсь там по полной, всегда и часто, выбор огромный, ассортимент отличный. Консультанты приветливые. Есть бонусная карта, и интернет магазин. Рекомендую❤️ 👍
.  Предпочтение в красках , я все таки отдаю акварели ""Белые ночи"". Хотя, у меня, несколько разных. Важно, что Эти акварельные краски, изготавливаются из тонкотертых пигментов. Максимальная интенсивность светового тона акварели, сохраняется, даже при  разбавлении водой, и причём, большим количеством. Достигается такой результат, благодаря, высокой концентрации пигмента, и тонкости его перетира. Свойства яркости, и чистоты цвета, высокая светостойкость, прозрачность цвета, сделали акварель ЗХК , самой любимой, среди нескольких поколений живописцев.
. На сегодняшний день, в палитре акварели 66 цветов. Выпускается, как в кюветах по 2,5 мл, так и тубах по 10 мл.
. Что приобрести, тубу или кювет, выбор только за вами! Пробуйте, экспериментируйте, любите, Рисуйте, ошибайтесь. Помните, что одному- удобно, то другому, может не подойти . Выбирайте для себя, свой путь и истинное предназначение. Делайте свою жизнь ещё лучше и совсем, не похожую на других.
#акварельнаногтях#
#нейарт#
#нейлартакварелью#
#мкакварель#
#видеокурсыакварель#";1554469826;10;706223113;False;мкакварель
Bv4LUiyAmAZ;"Самый ответственный момент.. это тени.. чуть влево или вправо... меньше или больше ... картинка поменяется ..
__
Как же я люблю свою работу🙈
Благодаря ей.. я много чему научилась .. особенно рисовать 😍
Всегда мечтала по рисовать на бумаге..
Очень надеюсь ,что конечный результат не далеко уйдёт от оригинала 😊
Кстати,теней добавила .. Теперь видно,что это ребёнок?!😊";1554475915;688;663824601;True;мкакварель
