post_id;text;date;likes;owner_id;is_video;by_tag
BSavpZNhjrY;Итак, я наконец-то выбралась из плена повторов))) и готова к новому ! В директ вы спрашиваете про мастер-классы, готова проводить, возможен вариант он-Лайн по скайпу, если наберём группу из 4 человек , то возможен вариант в Санкт-Петербурге очный. Темы любые из моих изделий , но ограничения по вашему уровню и объёму работы, это согласуем лично. Пишите , жду🌺#мастеркласс#мастерклассброшь#мастеркласспитер#мкнабокова#мкпитер#мкукрашения#мкбижутерия#санктпетербург #москва#шанель #дольчегабана2016;1491211076;85;2219945770;False;мкбижутерия
BgIht6AAQE5;"Вы ждете мои мини мастер-классы? 
Встречайте новый МК - Закладки для книг. 
Что вам потребуется: ✅Ювелирный тросик ✅Кримпы (зажимные бусины) ✅Плоскогубцы ✅Тонкогубцы ✅Бусины ✅Основа для закладки ✅Шапочки для бусин ✅Цветочки из пластика (когда-то давно лепила сама из запекаемой глины) 
В конце видео я показываю несколько вариантов закладок, так что вы вполне можете обойтись без самолепных цветочков. 
Если есть вопросы, задавайте их в комментариях. 
Все мои видео МК смотрите по хештегу #мк_annamilto 
#ручнаяработа #мк_annamilto #видеоfabbyfeed #закладкадлякниг #handmade #annamilto #fialkadecor #декор #закладка #бижутерия #винтаж #винтажныйстиль #diy #мастеркласс #видеоурок #сделайсам #мы_снова_дома_ #мк #видеомк #своимируками #мкбижутерия #видео";1520664692;294;1610488595;True;мкбижутерия
BgX909xl0Iq;"С пятницей, вас, друзья! Впереди два выходных дня, и если вы не знаете, чем заняться, займитесь декором прищепок! 
Яркие и веселые прищепки, использовать которые нужно СТРОГО НЕ ПО НАЗНАЧЕНИЮ! 😂😂😂 Я предлагаю такие варианты их использования: - чтобы закрывать открытые пакеты с крупами, орехами и прочей едой, - чтобы украсить подарочный пакет, - чтобы зафиксировать что-то, -чтобы скрепить ими бумажки, - в качестве заколки для волос 😂 . ❓А какие нестандартные способы применения прищепок пришли вам в голову? Поделитесь ими в комментариях!😊 . 
А еще, я хочу напомнить про розыгрыш шикарного блокнота ручной работы, который достанется одному из моих активных подписчиков! 
В конце марта я выберу один из моих мартовских постов и среди людей, которые комментировали этот пост я разыграю блокнот! 
Блокнот вы можете увидеть ниже в ленте. Пост от 2 марта. .
Все мои видео МК смотрите по хештегу #мк_annamilto . 
#ручнаяработа #мк_annamilto #видеоfabbyfeed #прищепки #handmade #annamilto #fialkadecor #декор #декорприщепок #веселыймк #винтаж #винтажныйстиль #diy #мастеркласс #видеоурок #сделайсам #я_почти_свободен_ #мк #видеомк #своимируками #мкбижутерия #видео";1521182837;278;1610488595;True;мкбижутерия
BkuKIyYhPY1;"Осталось всего 3 места! Звоните! Записывайтесь!
#мкбижутерия
#авторскаябижутерияеленыбестави #elenabestavi #еленабестави #авторскаябижутерия #стильнаябижутерия #бижутериявподарок #бижутерия #handmade #своимируками #переделкаукрашений #украшение #аксессуары #серьги #браслет #колье #jeweller #earrings #bracelet #necklace";1530517205;18;4149827475;False;мкбижутерия
BlpNJmZHoW_;🔥Attention🔥 до конца июля действует супер цена 800₽ 💥 на мини-фоны размером 30/32 см!!!;1532498496;67;1765291811;False;мкбижутерия
Bp99wYOjilL;"✔ Приглашаем на Мастер класс! Украшения своими руками. Изготовление бижутерии. Который состоится по мере формирования группы. ✔Стоимость от 400р, продолжительность 1-1.5часа. 
Все материалы входят в стоимость. ✔Мастер класс подходит как для взрослых, так и для детей от 12 лет. ✔Запись в магазине Арт Хобби ул. Восточно-Кругликовская 28/1 Или по тел. +7903 450 23 03 или пишите в директ 
#артхоббикраснодар #бижу #мкбижутерия #мастеркласс ##жкпанорама #бижусвоимируками #своимируками #краснодар #мксерьги  #бижуизготовление #дизайн #творчестводетям";1541785002;23;7212274089;False;мкбижутерия
Brr1nzMF3le;"Лаконично и дорого!
Стильные серьги из натуральных камней ручной работы @natalia_sotskaya сделаны в комплект к роскошному колье Царица востока.
Колье в процессе вы можете посмотреть, листая карусель, в готовом виде чуть позже.
Кусочек процесса изготовления сережек смотрите в видео.
Полный мастер-класс для тех, кто хочет быстро сделать классные серьги и не испортить камни, смотрите на моем канале Ютюб по ссылке в профиле в разделе Бесплатные мастер-классы.

#серьгивподарок #сережкивподарок #ольгакотова #цветочнаястихия #серьгискамнем #каксделатьсережки #мкбижутерия #мксережки #видеомастеркласс #видеомксережки#купитьподарокдевушке #купитьподарокженщине #купитьподарок #купитьподарокжене";1545471725;61;6363725814;False;мкбижутерия
Bszl8XdBdYE;"Медные украшения сейчас переживают свое второе рождение, главным образом, за счёт флёра старины. Винтаж - это необычно, красиво и изысканно. Создание своими руками винтажных украшений, которые будут существовать в одном экземпляре, не такой сложный процесс, как кажется на первый взгляд.
⠀
Приглашаем 23 января на мастер-класс по оплетению кабошона или бусины, на котором вы постигнет все секреты и премудрости этого увлекательного занятия.
⠀
Программа занятия:
❤️Свойства и качества меди.
❤️Особенности многоярусного эскиза украшения.
❤️Правила и навыки работы с медной проволокой.
❤️Особенности и технологические ""изюминки"" холодной ковки.
❤️Виды плетения.
❤️Нюансы плетения из проволоки и сборки украшения
❤️Виды ""состаривания"" изделия и его шлифовки. Узнаем как сделать украшение ""с историей""
❤️ финишная обработка лаком.
⠀
Длительность занятия с 10 до 16
⠀
Стоимость 1500 р.
⠀
Материалы входят в стоимость. Инструменты предоставляются.
По желанию можно принести свой кабошон или бусину диаметром не менее 2 см
⠀
Информация и запись:
📞 8914-704-40-14, 8-924-254-48-30
🏫 #владивосток, Постышева 41, цоколь 5 подъезда
Ждем Вас в гости!☕
#плетениеизмеди #мкплетение #мкплетениеизмеди #кулонизмеди #школарукоделия_мк #мкукрашения #мквинтажныеукрашения #украшениямастеркласс #мкбижутерия #рукоделиеобучение #обучение #творчествовладивосток #украшенияизмедимк #мастерклассподвеска #творческаястудия  #кудапойтивбудниедни #vlru #афишавл #влафиша #вл #мквл #творческиевыходные #творчество #владмама  #рукоделиевладивосток #мастеравладивосток #мастерклассвладивосток  #афишавладивосток";1547879424;46;4502079811;False;мкбижутерия
Bszl9D3gSY6;"Медные украшения сейчас переживают свое второе рождение, главным образом, за счёт флёра старины. Винтаж - это необычно, красиво и изысканно. Создание своими руками винтажных украшений, которые будут существовать в одном экземпляре, не такой сложный процесс, как кажется на первый взгляд.
⠀
Приглашаем 23 января на мастер-класс по оплетению кабошона или бусины, на котором вы постигнете все секреты и премудрости этого увлекательного занятия.
⠀
Программа занятия:
❤️Свойства и качества меди.
❤️Особенности многоярусного эскиза украшения.
❤️Правила и навыки работы с медной проволокой.
❤️Особенности и технологические ""изюминки"" холодной ковки.
❤️Виды плетения.
❤️Нюансы плетения из проволоки и сборки украшения
❤️Виды ""состаривания"" изделия и его шлифовки. Узнаем как сделать украшение ""с историей""
❤️ финишная обработка лаком.
⠀
Длительность занятия с 10 до 16
⠀
Стоимость 1500 р.
⠀
Материалы входят в стоимость. Инструменты предоставляются.
По желанию можно принести свой кабошон или бусину диаметром не менее 2 см
⠀
Информация и запись:
📞 8914-704-40-14, 8-924-254-48-30
🏫 #владивосток, Постышева 41, цоколь 5 подъезда
Ждем Вас в гости!☕
#плетениеизмеди #мкплетение #мкплетениеизмеди #школарукоделия_мк #мкукрашения #мквинтажныеукрашения #украшениямастеркласс #мкбижутерия #рукоделиеобучение #обучение #творчествовладивосток #украшенияизмедимк #мастерклассподвеска #творческаястудия  #кудапойтивбудниедни #vlru #афишавл #влафиша #вл #мквл #творческиевыходные #творчество #владмама  #рукоделиевладивосток #мастеравладивосток #мастерклассвладивосток  #афишавладивосток";1547879430;17;8786151430;False;мкбижутерия
Bth-gfAhv1E;"Медные украшения сейчас переживают свое второе рождение, главным образом, за счёт флёра старины. Винтаж - это необычно, красиво и изысканно. Создание своими руками винтажных украшений, которые будут существовать в одном экземпляре, не такой сложный процесс, как кажется на первый взгляд.
⠀
Приглашаем 10 февраля с 12 до 18 на мастер-класс по оплетению кабошона или бусины, на котором вы постигнете все секреты и премудрости этого увлекательного занятия.
⠀
Программа занятия:
❤️Свойства и качества меди.
❤️Особенности многоярусного эскиза украшения.
❤️Правила и навыки работы с медной проволокой.
❤️Особенности и технологические ""изюминки"" холодной ковки.
❤️Виды плетения.
❤️Нюансы плетения из проволоки и сборки украшения
❤️Виды ""состаривания"" изделия и его шлифовки. Узнаем как сделать украшение ""с историей""
❤️ финишная обработка лаком.
⠀
⠀
Стоимость 1500 р.
⠀
Материалы входят в стоимость. Инструменты предоставляются.
По желанию можно принести свой кабошон или бусину диаметром не менее 2 см
⠀
Информация и запись:
📞 8914-704-40-14, 8-924-254-48-30
🏫 #владивосток, Постышева 41, цоколь 5 подъезда
Ждем Вас в гости!☕
#плетениеизмеди #мкплетение #мкплетениеизмеди #школарукоделия_мк #мкукрашения #мквинтажныеукрашения #украшениямастеркласс #мкбижутерия #рукоделиеобучение #обучение #творчествовладивосток #украшенияизмедимк #мастерклассподвеска #творческаястудия  #кудапойтивбудниедни #vlru #афишавл #влафиша #вл #мквл #творческиевыходные #творчество #владмама  #рукоделиевладивосток #мастеравладивосток #мастерклассвладивосток  #афишавладивосток";1549435807;20;4502079811;False;мкбижутерия
