post_id;text;date;likes;owner_id;is_video;by_tag
BXR8tTin9XW;"Не так давно я ввела такую рубрику ""Делюсь Опытом"". Немного поразмыслив на эту тему, получив от вас огромную отдачу в виде вопросов, и почвы для размышлений 😻я решила проводить вот такие вопросы-  ответы!
💠В течении дня буду отвечать на ваши вопросы здесь!
~
Платное обучение доступно не всем, дааалеко не всем, платные советы, платные консультации, платные ""пинки""😅 А между тем двигаться ""вместе лучше""😍
~
Девочки, сейчас у меня нет возможности выделить определенное время на он-Лайн обучение и я знаю, что обещала это сделать уже как пол года назад, но все поменялось, я рада грядущим переменам в моей жизни, но вот обучение доступно только по МК.
~
Зато появилась идея))) для тех кому нужно получить бесплатно:
-консультацию
-совет
-или у вас творческий кризис
-с чего начать делать работы из бисера
-бесплатные МК в сети
-или все застряло и нужна креативная идея
- или ещё куча всего может быть: взгляд со стороны, оценка качества, где нужно подтянуть.
Ну или что-то, что ещё наболело, что в моей компетенции.

Пишем в комментариях,конечно, это для тех кто открыт к новому, не боится критики и действительно готов развиваться
Бисер - это моя ❤️ уже как ...23 года. Все началось летом 1995 .
~
Вот список того🔖, что уже можно узнать на моей странице:

#айшатвидео

#айшатвопрос✅

#айшатмотивациякдействию - для тех кто хочет делать и продавать свои вещи

#айшат👍отзывы - отзывы о моих работах
.
#айшат👑комплекты - комплекты
аксессуаров с сумочками
.
айшат🎓мк - мастер классы, можно поучиться, узнать секреты и приёмы вышивки и плетения
.
#айшат🔎детали
.
#айшатвдохновение - вдохновляющие фотографии Швеции и не только

#бисер #ручнаяработа #вышивкабисером #вопросответ #вышивка #продажаукрашений #сумочки #надомнаяработа #мамавдекрете #мама #хобби #хоббикакбизнес #мкбисер #beads #embroidery #aishatalimurzaeva #handmade #handmade_ru_jewellery";1501653352;153;1461059726;False;мкбисер
BXZ5MkJlLUl;"Все любят совушек? Миниатюра выполнена из стекла вручную, с добавлением серебра. Камушек из спектралитов -ларвикит и конечно же японский бисер!
#кулонссовой
#украшениессовой
#бижутерияссовой
#стекляннаясова
#ларвикит
#кулонсларвикитом
#украшениеснатуральнымикамнями 
#украшенияотнадеждыломакиной 
#надеждаломакина
#МКбисер
#обучениебисероплетению
#кулонизбисера
#совабисер
#ларвикитбисер
#нетакаякаквсе
#унл";1501919947;46;1587927409;False;мкбисер
BXcwzMzlR1s;"Доброго дня! Представляю несложный мастер-класс по оплетению шатона в оправе. Данный элемент можно использовать, как самостоятельное изделие, например, миниатюрные серьги, а также добавить в вышивку или более крупные элементы плетения.
___
Материалы: 
1. Бисер круглый Miyuki 15/0 и Miyuki 11/0. 
2. Бисер Delica 10/0. 
3. Бисер TOHO Treasures 11/0. 
4. Жемчуг Swarovski 6 мм. 
5. Шатоны Swarovski в оправе 4 мм и 8 мм. 
6. Нить, иглы.

#lunapiena_мк";1502016208;1105;1510797991;False;мкбисер
BXh3SwmBlZb;"Всем  приветики. Как и обещала - анонс МК на август.
Итак... МК проходят в очень уютной студии Снегири. Все материалы входят в стоимость, также вам будут предоставлены все инструменты для работы. С собой можете приносить только хорошее настроение. После всех МК вы уйдете домой с готовой работой и знаниями😉😉😉
❤ 19.08 - герб Пчелка (осталось 2 места). На МК мы научися работать с канителью, проволкой и объемным бархатом. А также научимся Каретной вышивке
❤ 25.08 - жужик ( осталось 3 места). На МК мы научимся работать с бисеррм, канителью, кабашонами и проволкой
❤ 26.08 - медаль из канители ( осталось 2 места ). Это один из сложных МК, мы будем учиться работать с канителью, оплетать риволи и так же работа с объемным бархатом.
Если у вас все еще остались вопросы или вы хотите попасть на МК, пишите в комментариях или в директ. Жду всех с нетерпением😘😘😘
#мквмоске #мкбисер #мкснегири #мкжужики";1502187384;395;1912905817;False;мкбисер
BY25W1CHZnn;"Всем доброго времени и хорошего настроения!!!🌺🌺🌺
Видно я поддалась осеннему настроениюи решила заглянуть в лес за грибами и поняла, что грибы бывают вкусные и бывают красивые🍄😄
Вкусные - мы пожарим, а вот красивые - можно приколоть на джемпер, блузу, шарф или подарить подруге.
Яркий ,не большой грибок с перламутровыми(нет не пуговицами), а точечками на шляпке и юбочкой из кружева ,привлечёт к себе внимание и подарит приятные эмоции вам и окружающим.😊#брошь #грибы#бисерныеброши #бижутерияпитер#бисерпитер #украшениядлякоролев #необычныеаксессуары #хэндмэйд #авторскаябижутерия #дизайнерскиеукрашения #handmade #осень#подарок #мастеркласс#брошигрибы #ручнаяработа #мкбисер#бижутерия#мастеркласспитер";1505040593;14;3608221180;False;мкбисер
BY4_f52nGgZ;"Популярные  вопросы по Мк! **************** 1🎈 Почему Предоплата! Мк выходит в ограниченном кол-ве!!! Только 25 мест!!! Хочется что бы он достался тем-кто кому действительно нужно! Предоплата за мк 500р.  Предоплата за Комплект материала - материалы нужно заказать, собрать - а это время, с предоплатой я сделаю это быстрее( и выгоднее по стоимости для вас!) Стоимость комплекта материала 1500р. Цвет на ваш выбор! Запись только в профиле Инстаграм! ( запись уже в процессе, осталось 7 мест!) ****************************** 2🎈Комплект материалов? Кроме Мк в ПФ формате можно приобрести полный  комплект  материалов ! Цвет на ваш выбор!!! Цвета на фото в подборке( листаем) !!! ( все остальное подберу в тот же тон по модели, выбираем цвет кристаллов и металик( золото, серебро) Стоимость комплекта материала 1500р ( Предоплата Мк 500р+материалы 1500р = 2000р) ************* 3🎈Модель для Мк?- брошь ""Сиреневый туман"" В подборке модели - варианты , которые , к примеру, можно сделать по данному мк( фото 4,5)************************* 4🎈КАК  Записаться- пишем мне в директ *** 5🎈Полная информация в предыдущем посте о Мк! по тегу #MKzzebra100 ****************** 6🎈Есть вопросы- задавайте, можно в комментариях или в директ! #МКzzebra100  #мкбисер #мкброши #мк #бижутерияручнойработы #украшениеручнойработы #брошьизбисера #мкброшьбант #процесс";1505110922;184;2135018743;False;мкбисер
BYITxDsFdrQ;"#браслет#подарок#стильно#красиво#бисер#низание#хендмейд#ручнаяработа#своимируками#анжеликасусоенкова#стильныеукрашения#браслетизбисера#браслетизбусин #плетениебисером#плетениебраслетов#бисером#искусствоплетения#мк#мкбисер#урокибисера#урокипоскайпу#консультации#рукоделие#украшенияручнойработы#мастеркласс - УДОБНЫЙ ВИДЕО ФОРМАТ.Смотрите эти уроки в любое подходящее для вас время, повторяйте в комфортной  обстановке. При необходимости останавливайте видео и просматривайте ещё раз важные для вас моменты.Около 4-х часов видео! - ГРАФИЧЕСКИЕ СХЕМЫ,которые сопровождают уроки помогут вам не только проще разобраться в низании, но и научиться читать схемы изделий из бисера. -5 ТЕХНИК БИСЕРНОГО НИЗАНИЯ. При создании этого браслета использованы почти все основные техники  бисерного низания. Изучив  их принципы, вы без труда сможете создать ещё много других изделий. -ПОШАГОВЫЕ ОБЪЯСНЕНИЯ помогут вам легко вместе с мастером сделать сложное авторское изделие. -УНИКАЛЬНАЯ ТЕХНОЛОГИЯ АВТОРСКИХ ЦВЕТОЧКОВ "" БЕЗ ОТРЫВА НИТИ"".Вы изучите секретные приёмы и технологию низания остроугольных двухслойных бисерных  объёмных цветочков на нити, которые эффектно смотрятся как деталь большого украшения, так и самостоятельно. -УНИВЕРСАЛЬНЫЙ ЗАМОЧЕК ИЗ БИСЕРА. Вместе с автором вы научитесь создавать прочный замочек из бисера, который всегда подойдёт к любому дизайну изделия. -ПОШАГОВАЯ МЕТОДИКА  СЛОЖННОГО МОНТАЖА ИЗДЕЛИЯ поможет вам без лишней потери времени, избегая варианта проб и ошибок легко сделать красивое сложное украшение! -САМОЕ ГЛАВНОЕ.!!!!!!
Восхищение друзей и окружающих, благодарность близких и хорошее настроение гарантировано!
Ну и, наконец, как пройти этот видео курс? Отвечаю : переходите по ссылке : http://monecle.com/buy/5201";1503477381;18;5922206335;False;мкбисер
BYJs5vwlJ8x;"#браслет#подарок#стильно#красиво#бисер#низание#хендмейд#ручнаяработа#своимируками#анжеликасусоенкова#стильныеукрашения#браслетизбисера#браслетизбусин #плетениебисером#плетениебраслетов#бисером#искусствоплетения#мк#мкбисер#урокибисера#урокипоскайпу#консультации#рукоделие#украшенияручнойработы#мастеркласс
 он-лайн семинар-практикум "" Ювелирный бисер : секреты малоизвестных технологий""
Первая  часть :  расширение квадратного жгута по вертикали и горизонтали.
Были продемонстрированы потрясающие возможности создания неограниченного количества украшений  основанные на знании всего лишь  2 ""секретных"" техник.
Прямо на нашей встрече были созданы две оригинальных миниатюры.
 Что было:
- пошаговая  демонстрация в видео формате всех тонкостей создания квадратного жгута,
- оригинальная подача материала позволила разобраться  даже новичкам, а опытным мастерам расширить взгляд на эту технику,
- были  рассказаны тонкости той конкретной технологии, о которых как правило умалчивают.
Практически у всех, кто присутствовал на семинаре, появилась уверенность в том, что им под силу создание даже очень сложных изделий.
Вторая часть
- Углубленное изучение техники крестик.Интересные технологии витого квадратного жгута и  превращения его из самого пластичного в очень прочный.
-Мастер-класс по созданию  комплекта из кулона и браслета- митенки "" Славянская княжна""включал:
-оригинальную ювелирную технику ,
- технологию бисерного кружева.
-Были рассмотрены  подробно этапы создания сложного объёмного цветка .Технология  имитирует ювелирные украшения.
- Идеи  на семинаре просто фонтанировали.
-Рассмотрели авторскую методику создания бисерного кружева .
-Еще раз мы вспомнили  и уточнили какой бисер подходит для создания таких изделий.
В результате  вас ожидают:
- запись первого и второго дня ( около 9 часов информации),
- полные плей-листы по созданию всех изделий двухдневного семинара ( 4 полных изделия и много технологических приёмов, которых нет в открытом доступе) ,
-возможность обратной связи после окончания семинара,
- секрет  технологии, которая вне времени и моды всегда остаётся востребованной и эффектной,
Всем, кого заинтересовала эта информация сюда : http://monecle.com/buy/5208";1503524114;22;5922206335;False;мкбисер
BYJuKbSlT1r;"#браслет#подарок#стильно#красиво#бисер#низание#хендмейд#ручнаяработа#своимируками#анжеликасусоенкова#стильныеукрашения#браслетизбисера#браслетизбусин #плетениебисером#плетениебраслетов#бисером#искусствоплетения#мк#мкбисер#урокибисера#урокипоскайпу#консультации#рукоделие#украшенияручнойработы#мастеркласс
2 часа практического видео вместе с мастером.
Вы можете наблюдать и повторять пошагово все действия на экране.  При необходимости просто остановить видео, пересмотреть ещё раз и легко пройти занятие.
Творчество на стыке техник.
При создании браслета применяется техника вязания крючком с бисером, бисерного низания и работа с металлическими элементами .
Удобный для вас метод работы.
В курсе показано несколько методик создания браслета.Выбирайте тот, что подходит вам. .
Нюансы и тонкости ""техники рукава"".
Узнаете как начинать и заканчивать такие жгуты, наращивать нить без труда, набирать бисер, красиво оформлять концы изделия.
Продолжающийся курс.
Это занятие открывает курс "" Волшебство жгутов и спиралей"" авторской школы Анжелики Сусоенковой. В последующих уроках будут рассмотрены ещё другие интересные способы создания вязанных и низаных бисерных жгутов.
Всем, кому интересно поучиться этому сюда :  http://monecle.com/buy/5199";1503524775;33;5922206335;False;мкбисер
BYK8hA8guCM;"#браслет#подарок#стильно#красиво#бисер#низание#хендмейд#ручнаяработа#своимируками#анжеликасусоенкова#стильныеукрашения#браслетизбисера#браслетизбусин #плетениебисером#плетениебраслетов#бисером#искусствоплетения#мк#мкбисер#урокибисера#урокипоскайпу#консультации#рукоделие#украшенияручнойработы#мастеркласс сегодня вечером на ютюб-канале нашего проекта- практическое занятие.
Делаю я его по вашим многочисленным просьбам.
Пока еще есть возможность походить без верхней одежды, тема браслетов и бисерного кружева остаётся актуальной.Да, впрочем, она актутальна всегда.
 Сегодня на встрече мы практически в деталях рассмотрим технологию создания.Только для участников эфира будет очень приятный неожиданный сюрприз. Вы сможете задать уточняющие вопросы и получить советы.
А еще у нас на проекте закончилось интересное мероприятие, которое называется "" Виртуальный калейдоскоп"". Подведение итогов его мы сегодня и займёмся.
Ну и поскольку скоро сентябрь- пора начала обучения, на нашем проекте с 15 сентября 2017 года стартует мастер-группа. О ней я тоже расскажу на встрече.
Жду вас и ваших единомышленников сегодня в 19.00 по мск. по адресу : https://www.youtube.com/watch?v=G90UyTzd9f4";1503565854;43;4764904138;False;мкбисер
