post_id;text;date;likes;owner_id;is_video;by_tag
BSJTIPIAxy0;"Мастер-класс брошка из кожи ""зонтик"". Дата проведения - 30 марта с 10.00-15.00. 
Место проведения - Москва, Верхняя Первомайская д. 2/32.
Сложность средняя
Время работы - 5 часов. 
Цена МК - 3500(все материалы включены). На мастер классе мы освоим каркасную технику моделирования, декорирование кожаных украшений. Сделаем брошку ""зонтик"" и проведём прекрасно время, получив новые полезные навыки. Все вопросы и пожелания в директ или по телефону 8-916-508-90-55. Ваша Алла Долматова.#мастеркласс#мкпокоже#зонтик #ручнаяработа #мастеркласскожа#интереснопровестивремя#мкброшка#мкукрашение#золотыеруки#времяспользой#работаскожей#люблюработать";1490625699;88;3072026080;False;мкброшка
BSkqn2xD9GJ;"Вот такую брошь из кристаллов выполнила участница мастер класса Гульнара @shagane2015 🌺
Я благодарю прекрасных девушек за приятную совместную работу Гульнару @shagane2015 и Юлию @iuliia8703 🌹 
Арт-дом @art_domsv 🌿 спасибо за душевный прием!
..................................................................
#мк #мкновосибирск #мкброшка #сутьвещей #кристаллы #бусины #бисер #jewels #россия #jewellery #брошка #пилн #весна";1491543987;62;1723192732;False;мкброшка
BaW3V-aAxDW;"На сайте появилось расписание мк на ноябрь. 
На этих выходных будут следующие мк:
21.10 - брошка попкорн 🍿 
Есть еще пара мест. Регистрация на сайте mymiki.ru
22.10 - #пухлик_мики 
Мест нет ⛔️
_________________
📲89267352157
📩📦🌍🌏🌎
www.mymiki.ru
Шоу-рум: ТЦ ГЕЛИОС
Королев, прт Космонавтов, 20а, 3 эт, пав 311.";1508260763;187;1591826595;False;мкброшка
Bbb0722lEnf;"Друзья, Москва! Мне пишут, когда я буду в столице и смогу провести мастер-класс.
Пока я могу предложить только индивидуальный мк.
Практически по любой моей брошке. Кстати, можно и мороженое такое сделать, только розовое😋🍦
Даты, когда это возможно: 24е или 27е ноября.
Заявки принимаю в течении пары дней.
Все материалы в стоимость включены.
Цена:6000 (можно с подругой, будет скидка😉 5000 с каждой)
Продолжительность: 7-10 часов.
Мои мк подходят и совсем новичкам👌
Пишите в Директ или вотсап🤗";1510574756;138;272759294;False;мкброшка
BcbxznlA9oZ;"👋🏻
.
А в нашей семье снова пополнение 😁. 👉🏻 #профи_mc . Мы нашли замечательного мастера по бисерным брошкам 🙌🏻.
.
Знакомтесь со Светланой ... «Творить я начала с самого детства, вязала крючком салфетки, шила простые юбки. Сейчас моё основное творчество и моя страсть - вышивка... бисер, бусины, стразы, пайетки, ниточки, все это в моих руках превращается в прекрасные брошечки...»
.
Запись на занятия к Светлане уже открыта. Мы можем еще успеть с вами сделать брошку в декабре к 🎄Новому году для себя или в подарок. Листайте галерею и выбирайте брошку 😉. Оставить заявку можно здесь в комментах или в директ. 🦌🐧🕊?
.
#мастеркласс
#мастерклассыдлявзрослых #мкчелябинск
#мкброшка
#творчество
#творчествосмамой #творчествосребенком 
#творчестводлядуши 
#творчестводлявзрослых #хобби
#моёхобби #люблюшить 
#детскоетворчество
#челябинсксегодня #челябинск #chel #che #chelyabinsk";1512720599;51;4589045973;False;мкброшка
Bcm817mAi52;"👋🏻
.
Хотела сегодня совсем другой пост выставить, ну да ладно 😌
.
Какие планы у нас до нового года? Грандиозные! 😀
.
16 и 17 декабря мы на @che_market , место 103 . Забегайте в гости 😘
.
23 декабря в 11.00 плетем венки. Запись на мк в директ!
.
23 декабря в 14.00 собираем рукодельный корпоратив🎄
.
24 декабря в 11.00 стартует мини-курс по жаккардовым 🧦
.
Присоединяйтесь к нашей банде 😉
.
p.s. Все, кто захотел на брошку Колибри, мы приготовили для вас мк! Ждите подробности завтра 😁
.
#новогоднийподарок #новогоднийдекор #скороновыйгод #новогоднеенастроение
#подарокнановыйгод
#новогодниеукрашения #игрушкинаелку #newyerdecor #christmasdecor #ручнаяработа #handmade #рукоделиедлядетей #наширукинедляскуки

#челябинсксегодня #челябинск #мк #мкчелябинск #мкброшка #брошка #колибри #корпоратив";1513095484;47;4589045973;False;мкброшка
BhT8VOOhuh1;"Дорогие друзья! Спешу сообщить, что мой новый МК по созданию прекрасной брошки Голубая даль готов!
По этому МК в формате pdf вы сможете сделать три совершенно разные брошки не только по цвету, но и разного размера, изменив всего лишь риволи на другой размер с 16 мм на 12 мм. 💁 Для приобретения  МК дайте мне знать любым удобным для вас способом!
💁 Онлайн поддержка обеспечена!
🎉 Стоимость МК 2100 рублей
#мкvaluta
#мкброшка #украшениеручнойработы 
#брошсвоимируками #мк #handmade";1523195568;441;2186922908;True;мкброшка
BiUekSeDEQZ;"И немного подробнее⤵
Мастер -класс по брошечкам из бисера проводит Светлана @myata.sib , с её работами вы можете познакомиться на её страничке,  там же выбираете любую  понравившуюся брошь и создаете её своими золотыми ручками 🖑🖐 ! я точно знаю что домой  вы уйдете со своей любимой брошкой, которую создадите за 3-4часа!
 группа не более 5 человек, внимания мастера хватит всем🤗
💲Стоимость МК со скидкой 20% 1440р, обычная стоимость  1800! все материалы предоставляются! предварительная запись обязательна!
👌И да! прекрасно справляются с брошкой девочки  с 8лет😍
📍Осталось всего 1место 👀
.
12мая 14.00
Кольцово 20 офис 405";1525360533;31;3039363349;False;мкброшка
BkKkVccFxwD;"Вчера прошел мастер-класс, где девочки кропотливо, усердно трудились над потрясающей красотой, делали:
✔брошку из бисера🍉
✔комплект нижнего белья👙
И ведь не зря говорят, что прекрасный человек прекрасен во всем, а талантливый талантлив со всех сторон🤗. Какой раз убеждаемся в том, что наши ученицы как на подбор красавицы и умницы каждая!
А какая веселая и легкая☀️ атмосфера на занятиях, так и хочется заглянуть снова и снова.
В эту субботу (23 июня) 15.00-19.00 мы повторим МК по изготовлению броши⭐. На этот раз будет новый эскиз и не менее прекрасная атмосфера! Научись творить красоту своими руками и наполнись вдохновением вместе с нами.
...........
Запись на мк в директ или по телефону 226-23-26";1529322980;94;2071572976;False;мкброшка
BmAHswlly_T;"Вязаная брошка 😍
•Автор описания Анастасия Трайно 🌸
•
•
•
#мкброшь#вязанаяброшь#брошка#мкброшка#брошказверь#брошказайка#мкброшкабесплатно";1533267390;61;5377026403;False;мкброшка
