post_id;text;date;likes;owner_id;is_video;by_tag
Bsm-uBHFlDv;"Изготовление ящерицы. ПРОДОЛЖЕНИЕ.
#брошьгалина #минскброшьгалина#мкброшь";1547456206;40;6337411721;False;мкброшь
Bsuy0gHFoqK;Брошь ящерица. Завершающие моменты работы.  Самый ответственный момент, обработка края украшения. Ручная кропотливая работа.  Изнанка изделия - это лицо мастера, она должна быть безупречна.  #брошьгалина #минскброшьгалина#мкброшь;1547718404;43;6337411721;False;мкброшь
Bw-OqvjAlwg;"А вот и немного процесса по созданию украшения. Маленький мастер-класс по  вышивке броши ""Лимон"". #мкбисер #мквышивка #мкброшь #сделатьброшь #каксшитьброшь #каксделатьброшь #брошьсвоимируками #процесссозданияброши #процесс #урокивышивки #канитель #мастерклассброшь #вышивальныйпроцесс";1556826274;282;7243870887;True;мкброшь
Bw00gvFAvbN;"Долгожданный мастер-класс Жужики в видео-формате ГОТОВ|||
.
Многие девочки не могут присоединиться к живым мастер-классам, поэтому для Вас специально ❤️❤️❤️
.
🔻В этом мк рассказываю и показываю всю технологию пошива, сборки Броши. Освоив это, Вы сможете воплотить потом самостоятельно любую брошь😉
🔻Очень важные моменты и новинки ждут Вас именно в этом МК. Даже если уже умеете делать подобные👇🏻
🔥🔥🔥 эксклюзивная обработка края Броши, такого не встретите нигде! Это не бисер, и не канитель, и даже не паетки🙌🏻
Этим я не делилась на своих живых МК✅ Впервые раскрою секрет!
🔻 МК полезен и новичкам, и уже кто знаком с брошками.
.

Как приобрести МК:
.
1. МК без материалов- доступ к видео урокам навсегда, а это значит приступить можете когда угодно, и возвращаться к материалам когда захотите.
Стоимость МК 1200₽
.
2. МК+ материалы 2000₽
Цвет Жужика можно выбрать (доставка 150 р почтой РФ)
—————
Для оплаты МК напишите мне в Директ
.
.
.
#мкброшь #каксделатьброшь #брошьсвоимируками #мастеркласспоброшкам #мкброшьжужик #мкобработкакраяброши #мастерклассынск #мкновосибирск #мкброшькемерово #мкброшьтомск #мкброшьбарнаул #мкброшькрасноярск #мкброшьиркутск";1556510551;99;912692113;False;мкброшь
Bw01VfpFCTO;"Долгожданный мастер-класс Жужики в видео-формате ГОТОВ|||
.
Многие девочки не могут присоединиться к живым мастер-классам, поэтому для Вас специально ❤️❤️❤️
.
🔻В этом мк рассказываю и показываю всю технологию пошива, сборки Броши. Освоив это, Вы сможете воплотить потом самостоятельно любую брошь😉
🔻Очень важные моменты и новинки ждут Вас именно в этом МК. Даже если уже умеете делать подобные👇🏻
🔥🔥🔥 эксклюзивная отработка края Броши, такого не встретите нигде! Это не бисер, и не канитель, и даже не паетки🙌🏻
Этим я не делилась на своих живых МК✅ Впервые раскрою секрет!
🔻 МК полезен и новичкам, и уже кто знаком с брошками. .

Как приобрести МК:
.
1. МК без материалов- доступ к видео урокам навсегда, а это значит приступить можете когда угодно, и возвращаться к материалам когда захотите.
Стоимость МК 1200₽
2. МК+ материалы 2000₽ Цвет Жужика можно выбрать (доставка 150 р почтой РФ)
—————
Для оплаты МК напишите мне в Директ
.
.
.
#мкброшь #каксделатьброшь #брошьсвоимируками #мастеркласспоброшкам #мкброшьжужик #мкобработкакраяброши #мастерклассынск #мкновосибирск #мкброшькемерово #мкброшьтомск #мкброшьбарнаул #мкброшькрасноярск #мкброшьиркутск";1556510984;63;6855541474;False;мкброшь
Bw0QZQwDjfU;"Доброго дня!
Что такое мастеркласс??? Чаще его называют МК.
Это рабочий процесс творчества зафиксированный на плёнку и подробно описанный мастером. 
МК бывает разного формата. Это могут быть фотографии с описанием или видео с подробным комментированием процесса.
Чем полезен МК?
Каждый мастер оттачивает своё мастерство годами. Поверьте, не все мастера рождаются умельцами))) нет, они такие же как и вы, только уже много много раз сделали то, что показывают в мастерклассе. Они уже столкнулись с определёнными ошибками и трудностями и расскажут вам о них, тем самым приведя вас к успеху, минуя подводные камни.
Но! Мастер мастеру рознь! Далеко не все могут вам раскрыть все нюансы. Я сама, пройдя долгий путь обучения, нашла массу всяких мелких, казалось бы моментов, объяснив которые мои учителя быстрее научили бы меня мастерству. По этому, друзья мои, мы учимся всю жизнь)
Хотелось бы сказать пару слов о Семейных мастерклассах. В чем их приимущество. В наше время мы очень мало бываем все вместе. И именно семейный МК поможет вам провести незабываемые минуты с вашими родными. После семейного МК у вас останется что-то, что будет напоминать вам о том, что вы СЕМЬЯ)
Мастеркласс по брошам к 9Мая пройдёт в семейном центре Помпон.По всем вопросам обращаться в центр. 
С уважением к вам, ваша Елена Батурина. 🎀Бантоманка🎀";1556491616;377;6052932542;False;мкброшь
Bw0yFkLjOlY;"Брошь корона 
#мкброш #мкброшь #мастеркласс #мк #ярмаркамастеров #мастерклассы #ручнаяработа #рукоделие #ручнаявышивка #брошка #бисероплетение #брошки #брошьизбисера #брош #бисер #брошь #брошькорона #броширучнойработы #своимируками #кулон #купитьброшь #вышитыйизбисеракулон #вышитаяброшь #handmadebrooch #brooch #handmade #beads";1556509280;16;12871604667;False;мкброшь
Bw0yw_ejvCi;"Брелок для ключей 
#мастеркласс #мкброш #мкброшь #мастерклассы #мк #ручнаяработа #рукоделие #ручнаявышивка ##брошка #брошь #броширучнойработы #бисероплетение #бисер #ручнаяработа #рукоделие #ручнаявышивка #своимируками #купитьброшь #брелокназаказ #брелок #брелоки #брелокизбисера #брелокнаключи #beads #handmadebrooch #handmade #chudolavka_jewellery #chudolavka";1556509636;15;12871604667;False;мкброшь
Bw195uMHVBA;"""Наши руки не для скуки""😉
.
Итак, скоро бесплатный  мастер-класс по изготовлению георгиевской  броши на 9 мая из атласной ленты☝
.
⚠Ориентировочно планирую его провести 4-5 мая, но предварительно обязательно сообщу😊
.
✔Вы выбрали брошь, смотри карусель для изготрвоеня которой вам потребуются следующие материалы:
.
🔸1 метр ленты оранжевого цвета 5см
.
🔸1 метр ленты черного цвета 5см
.
🔸1 метр ленты оранжевого цвета 2,5 см
.
🔸1 метр георгиевской ленты 2,5 см
.
🔸1 метра ленты оранжевого цвета 1,2см
.
🔸основа для броши (булавка) 1шт – это то, чем вы будете прикреплять брошь к одежде
.
🔸ножницы
.
🔸свеча или зажигалка
.
🔸клеевой пистолет
.
🔸игла и нитки
.
⚠Прошу указать  в комментариях удобное для вас время проведения бесплатного мастер-класс:
.
🔸1)	13.00-14.00
.
🔸2)	14.00-15.00
.
🔸3)	15.00-16.00
.
🔸4)	16.00-17.00
.
🔸5)	17.00-18.00
.
🔸6)	19.00-20.00
.
🔸7)	20.00-21.00
.
Очень жду ваши ответы😉 Ориентировочно МК продолжительность 1-2 часа☝ .
#anna_deco_krasnodar_мк
.
#легкожить #легкостьвдуше #мк #бесплатныймастеркласс #дарюподарки #даром #бесплатныймарафон #мкбесплатно #мкброши #мкброшь #мкброшькраснодар #9мая2019 #георгиевскаяброшь #гергиевскаялента";1556549029;91;5026461855;False;мкброшь
Bw1C4O7lZg_;"Состав внешней стороны броши:
⠀
🔵 Французские пайетки 4мм с металлизированным эффектом 2-х цветов
🔵 Японский бисер нескольких оттенков и размеров 15, 11 и 8
💎 Кристалл Сваровски и оправа
💎 Биконусы Сваровски 4мм
🔵 Сетка, 100% полиэстер
⠀
#умнаяброшь #эксклюзивнаяброшь #делаемброшь #мкброшь #мастерклассы #бесплатныемк #украшениесвоимируками #хендмейд #брошьсвоимируками  #ручнаяработа #брошьизбисера #сваровски #brooch #swarovski #handmade #jewellery #брошьптица #брошьмак #брошьбабочка #брошьтукан #брошьгубы #брошьцветок #брошьящерица";1556518084;100;9998214527;False;мкброшь
