post_id;text;date;likes;owner_id;is_video;by_tag
BYAkCFCl-xg;"Последние недельки лета!!!! Летние МК по вышивке брошей заканчиваются. На фото Катерина и брошь Сова, ею вышита.
.
#gomzaalyona #вышивкабисером #брошьизбисера #брошьсова #обучениебисероплетению #мквишивкабисером #мкброшьизбисера #мкброшьсова";1503217474;197;4322375479;False;мкброшьизбисера
BdIAehEB-KN;Наши девчули-героини! Вышили свои первые броши от начала и до конца! Красотки!👏👏👏 #мкброшьизбисера;1514204686;64;2892904852;False;мкброшьизбисера
Bf4pR3yBleG;"Дорогие дамы!  Совсем скоро весна и 8 марта 👒 👠 👜 💄 ♨ Я предлагаю тебе сделать подарок себе любимой - вышить брошь губки 👄 💋 👄 своими руками! Создай уникальную брошь по своему усмотрению. ♨МК пройдет в уютной обстановке творческого пространства студии @mart_nsk по адресу ул Советская 18 ♨МК подходит для новичков в сфере ювелирной вышивки. ♨ В процессе МК вы узнаете тонкости работы с материалами и стилями вышивки брошей. ♨ После МК вы уйдете с готовой брошью. ♨Начало МК в 11.00 Длительность 5-6 часов. 
Цена 2500  руб. Все материалы включены.
Приходи с подругой и получи скидку 10 %. Броши сейчас на пике популярности. 
Твори свой мир! 
Будь стильной! Будь яркой! .
.
.
.
.
.
#Новосибирск #брошьизбисера #мкповышивке #мкброшьизбисера 
#мкброшьSwarovski 
#мкброшь #мкброшьгубки";1520131658;33;2673859399;False;мкброшьизбисера
BgUZGZcDFLW;"Вот и обещанное ускоренное видео создания Фламинго💗
В ближайшем будущем планирую ещё одно🍭 Брошь будет совсем на другую тему🚧
#брошь #brooch #brooches #handmade #ручнаяработа #ручнаяработаназаказ #handmadebrooches #hm_mastera #брошьручнойработы #брошки #broshkadesire #брошькупить #брошьназаказ #купитьброшьизбисера #брошьизбисера #брошкаизбисера #украшенияизбисера #брошьизбисераручнойработы #украшенияизбисераручнойработы #handmadebroches 
#мк #мкброшь #мкброшьизбисера #мкфламинго";1521062700;108;4864961453;False;мкброшьизбисера
BhQ7g8LAfxo;"Внимание!
❌ Наборы материалов по 250 ₽ закончились ❌
Теперь будет прежняя цена 500 ₽
МК без материалов 1000
МК с материалами 1500
Доставка по России 250
.
.
Дорогие мои друзья и подписчики 🎊 В честь наступающего праздника Пасхи я решила устроить акцию на мастер-класс на #брошьвишня🍒 А вы знаете, что это одна из самых топовых брошей, наряду с #брошьгубы и #брошьжук
Итак, при покупке мк в формате PDF за 1000 рублей - набор самих материалов для брошки всего за пол цены, 250 рублей вместо 500!! 🎉 
Материалы включают в себя всё самое необходимое - стразовая цепочка, кристаллы в цапах, хрустальные биконусы, стеклянные бусины, чешский бисер Preciosa, жёсткая индийская канитель, корейский фетр, замочек с фиксатором, мононить, иголочка для бисера, картон для уплотнения, трафарет.
А ещё доставка по России в подарок 🎁 
Девочки, торопитесь, в наличии всего 4 комплекта материалов!
🍒
А ещё, а ещё! Теперь всегда изнанка моих изделий будет не из фетра, а из качественной экокожи и экозамши! В зависимости от цвета 😉 Перехожу на новый уровень 😎 И в наборе материалов к Вишенке будет чёрная экокожа!
🍒
Сам мастер класс стоит 1000 рублей и оформлен в файл PDF. 25 страниц с подробным описанием каждого шага, более 70 наглядных фотографий! Уровень сложности - подойдёт для новичка 👍🏻👌🏻
🍒
#мк #мастеркласс #мкброшьвишня #мкброшьизбисера #мкброшь #мквишня #мастерклассброшь #biser_prodaja  #мастерклассброшьизбисера #мастерклассброшьвишня #брошьвишня #брошкавишня #брошьизбисера #брошьизбисеравишня #broochcherry #мк_брошь_вишня";1523094009;73;4693714218;False;мкброшьизбисера
BhRGwFTlK5k;"Regrann from @butik_broshka -  Дорогие мои друзья и подписчики 🎊 В честь наступающего праздника Пасхи я решила устроить акцию на мастер-класс на #брошьвишня🍒 А вы знаете, что это одна из самых топовых брошей, наряду с #брошьгубы и #брошьжук
Итак, при покупке мк в формате PDF за 1000 рублей - набор самих материалов для брошки всего за пол цены, 250 рублей вместо 500!! 🎉 
Материалы включают в себя всё самое необходимое - стразовая цепочка, кристаллы в цапах, хрустальные биконусы, стеклянные бусины, чешский бисер Preciosa, жёсткая индийская канитель, корейский фетр, замочек с фиксатором, мононить, иголочка для бисера, картон для уплотнения, трафарет.
А ещё доставка по России в подарок 🎁 
Девочки, торопитесь, в наличии всего 4 комплекта материалов!
🍒
А ещё, а ещё! Теперь всегда изнанка моих изделий будет не из фетра, а из качественной экокожи и экозамши! В зависимости от цвета 😉 Перехожу на новый уровень 😎 И в наборе материалов к Вишенке будет чёрная экокожа!
🍒
Сам мастер класс стоит 1000 рублей и оформлен в файл PDF. 25 страниц с подробным описанием каждого шага, более 70 наглядных фотографий! Уровень сложности - подойдёт для новичка 👍🏻👌🏻
🍒
#мк #мастеркласс #мкброшьвишня #мкброшьизбисера #мкброшь #мквишня #мастерклассброшь #biser_prodaja  #мастерклассброшьизбисера #мастерклассброшьвишня #брошьвишня #брошкавишня #брошьизбисера #брошьизбисеравишня #broochcherry - #regrann";1523099900;253;1428844556;False;мкброшьизбисера
BhspdZgFFxl;"Девочки! 
Жду вас на занятие по кабошончику!
ЖДУ Всех, кто научился вышивать простые и объемные брошечки, Всех, кто хочет начать создание брошей.

21 апреля (суббота) 10.00 – 15.00 «Оплетение кабошона бисером. Брошь, кулон» 1000р. (с розами), 1250руб. (скамнями агатом, перламутром, турквенитом, варисцитом...) Будем учиться одному из основных умений в бисерном искусстве - обшиванию (оплетению) кабошона! 
Цвет кабошона и материалов для украшения подберем на занятиии. Кабошоны стеклянные с картинкой или можно принести свой камушек и написать мне расцветку.🌷 🌷🌷🌷больше фото в альбоме https://vk.com/album-106685216_231910235 
ЗАПИСЬ и ПОЖЕЛАНИЯ по ☎ 8 905 970 96 98 Татьяна Турок #река_вдохновения  #татьянатурок  #творческие_мастерклассы  #творческаястудиякрасноярск  #мк_кабошон #мк_бисернаяброшт #мкброшьизбисера #мкброшьбисер #обучаембисероплеткнию";1524024067;35;3631694004;False;мкброшьизбисера
Bi85qQkjTJ1;"Мастер-класс по созданию замечательной и милой брошки😊 «Муха ЦЦ». В этом мастер-классе будут подробно рассмотрены многие интересные моменты, необходимые для создании миниатюрных крылатых букашек, которые Вы потом сможете применить и в других своих работах.
********************************************
Мк 27 мая в 12:00 ждём Вас 🤗
Запись и подробности 📞89133729337 ватсап или Директ #so_tworenie #мкброшь #мкброшьизбисера #брошьмвоимируками #бижутерия #творчество#мастерская#";1526716915;87;2309129355;False;мкброшьизбисера
Bi87oiIF__I;Чешский бисер Приходите за покупками : ул Советская 17, Суперман, ул Порт Саида 8, т.89272506304 #бисерволгоград #чешскийбисерволгоград #мкброшьизбисера #мкброшьизбисераволгоград;1526717950;29;3402987260;False;мкброшьизбисера
BiBlJv_l9Tn;МК по брошкам из бисера, 600-700 руб, запись по т.89272506304 #мкброшьизбисера #мкброшьизбисераволгоград #бисерволгоград;1524726452;40;3402987260;False;мкброшьизбисера
